SPK_SPKC09a (exc),SPK_SPKC12a (no response),SPK_SPKC13a (no response)
400.007025,400.02625,400.7034
400.018525,400.077925,400.842775
400.090525,400.110775,401.186325
400.14005,400.133,402.15375
400.16715,400.1681,402.3715
400.194275,400.217125,402.589375
400.21155,400.271825,402.605475
400.249675,400.398125,403.650125
400.275825,400.41535,404.8029
400.3039,400.428825,406.070625
400.357,400.446675,409.077075
400.4201,400.46305,410.823775
400.444675,400.474325,412.885775
400.474775,400.4894,413.572225
400.498275,400.51965,414.0958
400.528125,400.5677,415.36425
400.55255,400.629375,416.072375
400.5758,400.7301,416.6748
400.604925,400.761875,416.725
400.68955,400.774275,420.481025
400.7342,400.788775,421.45365
400.7511,400.79305,421.61415
400.7652,400.80155,421.825825
400.7752,400.826725,422.286925
400.794225,400.8395,422.5901
400.80855,400.9139,422.7387
400.86975,400.949075,423.020225
400.893525,401.02815,423.1282
400.916425,401.0534,423.199525
400.980975,401.06585,423.2083
401.014275,401.08385,423.8612
401.059425,401.101025,423.90495
401.099125,401.114925,424.451025
401.1523,401.128575,424.5663
401.179375,401.1412,425.544825
401.205875,401.15465,425.76905
401.228575,401.16795,425.789575
401.263875,401.179075,426.4292
401.27855,401.1898,426.99455
401.31355,401.21065,427.05785
401.3505,401.257275,427.273875
401.364475,401.276625,427.303925
401.378375,401.2974,427.51775
401.46045,401.31265,427.8135
401.494175,401.352275,429.0136
401.5239,401.3691,429.505125
401.6151,401.383225,429.51285
401.6251,401.432575,429.8209
401.657175,401.581475,430.034075
401.68205,401.5992,430.386725
401.7269,401.616025,431.63155
401.79805,401.626825,432.358775
401.818075,401.650825,432.54595
401.944,401.66255,433.82795
401.9651,401.67455,434.23585
402.007575,401.68565,435.063825
402.033775,401.706625,435.301325
402.04415,401.754575,435.79745
402.075125,401.78355,435.9583
402.165125,401.842025,436.8279
402.19485,401.889575,438.0472
402.210675,401.9349,438.797425
402.232225,401.962075,439.644375
402.250225,401.978325,440.8302
402.2745,402.006825,441.35335
402.3015,402.055725,441.700175
402.335375,402.110325,441.87365
402.374025,402.125825,442.02335
402.399275,402.148125,443.037125
402.43065,402.170525,444.175825
402.451675,402.278075,444.703
402.513275,402.38,445.2288
402.58975,402.402825,446.9124
402.651375,402.420325,447.60035
402.7216,402.519,447.871075
402.766725,402.574675,448.208225
402.806075,402.624775,449.2556
402.858025,402.662,450.3808
402.910375,402.676975,452.6508
402.972475,402.7175,452.844225
402.991125,402.787125,453.1109
403.0031,402.835375,453.57515
403.019575,402.951075,453.75215
403.035425,402.9916,454.41875
403.046175,403.001925,454.46325
403.0647,403.022725,454.485175
403.12835,403.03495,454.987825
403.155625,403.04485,455.245575
403.1939,403.05805,455.673
403.231675,403.070175,456.067475
403.262575,403.1066,456.447325
403.310325,403.1274,456.99235
403.3456,403.165575,457.020275
403.3908,403.207625,457.067825
403.415925,403.27335,457.86685
403.4368,403.3098,458.2424
403.47395,403.3283,458.67085
403.497275,403.477725,461.816
403.520575,403.485025,462.1886
403.574225,403.490275,464.833875
403.6506,403.503225,466.7822
403.67625,403.51925,467.027275
403.76345,403.52845,469.45305
403.7957,403.5424,470.1871
403.835025,403.571125,470.9068
403.847325,403.59285,472.118225
403.864275,403.59645,474.3485
403.88835,403.60675,478.51015
403.931375,403.622225,478.9944
403.9628,403.6791,479.522725
404.02295,403.69695,479.8557
404.092225,403.724225,480.5689
404.1742,403.75395,482.113025
404.24995,403.784425,482.308025
404.310925,403.81605,482.310075
404.3707,403.846675,482.3762
404.419175,403.8749,482.5698
404.45975,403.90085,482.65305
404.50515,403.935275,483.883
404.549,403.960175,483.9064
404.635125,403.9844,484.1167
404.680975,404.07645,484.63645
404.7183,404.260225,485.067525
404.77565,404.321975,485.94125
404.857275,404.3498,485.95285
404.8883,404.389475,486.194325
404.93245,404.43995,486.210425
404.9739,404.4989,486.28165
404.9958,404.661125,486.72055
405.092175,404.7026,487.540725
405.139775,404.7498,488.200275
405.2196,404.786975,488.28315
405.2419,404.81425,488.58095
405.277225,404.84505,488.65035
405.3228,404.90135,489.29805
405.35185,404.93925,489.985375
405.402375,404.981075,491.166
405.4537,405.02535,491.2814
405.48885,405.149275,492.243325
405.52365,405.23045,492.302075
405.566675,405.281525,492.867075
405.682075,405.33685,493.503675
405.758075,405.3674,493.528975
405.813175,405.431125,495.05015
405.8572,405.516775,495.20445
405.89855,405.595025,496.9109
405.930075,405.66205,497.401875
405.96925,405.7246,497.65405
406.014775,405.7595,498.7915
406.0576,405.7938,499.290025
406.076425,405.8207,500.096975
406.090875,405.853875,500.25525
406.112525,405.894725,500.545825
406.1319,405.932975,500.6154
406.148575,406.02445,501.074475
406.167125,406.062475,501.507175
406.187575,406.078,501.88785
406.204725,406.0885,502.777775
406.210625,406.0983,502.793325
406.22235,406.1113,503.33505
406.25455,406.131125,503.349925
406.2976,406.142725,503.96
406.341775,406.157725,504.68915
406.402,406.1729,505.701625
406.45305,406.1887,506.037325
406.50105,406.208575,506.6761
406.533025,406.242125,506.76665
