SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
100.691675,100.096675,100.028025,100.037075
100.949025,100.2555,100.085575,100.300475
101.05025,100.2853,100.137,100.68545
101.261425,100.4166,100.194,100.772225
101.30015,100.57885,100.254075,100.849675
101.346425,100.69165,100.30435,101.028675
101.36605,100.9322,100.3623,101.067725
101.43185,100.949025,100.40495,101.2092
101.483625,101.294475,100.441525,101.24775
101.513725,101.30015,100.47405,101.822625
101.533525,101.33015,100.519775,101.922775
101.587775,101.346425,100.54625,101.944525
101.625475,101.359725,100.59495,101.980025
101.644625,101.3917,100.644,101.9997
101.70845,101.431825,100.6864,102.098525
101.7324,101.448625,100.72525,102.117775
101.7475,101.468775,100.77045,102.141625
101.76605,101.48365,100.826225,102.164175
101.7916,101.50765,100.854675,102.1952
101.8186,101.516,100.88745,102.253775
101.838,101.55305,100.9112,102.260175
101.867,101.62545,100.939525,102.3124
101.9338,101.64465,101.000275,102.50425
102.228525,101.664425,101.05355,102.5264
102.26595,101.6898,101.117825,102.553525
102.31505,101.729675,101.15525,102.586075
102.4719,101.75285,101.176475,102.634625
102.5035,101.76605,101.234,102.719625
102.524975,101.768,101.2603,102.738475
102.582925,101.8186,101.283625,102.795675
102.62855,101.86145,101.304825,103.004825
102.77745,102.0744,101.333675,103.02885
103.00405,102.135,101.347,103.111625
103.355125,102.2019,101.369375,103.1287
103.483325,102.266,101.390025,103.204125
103.516975,102.273375,101.4185,103.2443
103.5305,102.315025,101.435275,103.302875
103.55015,102.316025,101.46065,103.823675
103.56005,102.3257,101.475025,103.84335
103.591825,102.342025,101.4886,103.86245
103.61075,102.39915,101.49815,103.89245
103.6614,102.471925,101.505175,103.92335
103.82795,102.524975,101.5137,103.96205
103.91725,102.58295,101.5278,103.96835
104.015425,102.73715,101.537725,104.0263
104.14085,102.798075,101.55415,104.0554
104.17675,102.88655,101.5635,104.33465
104.381675,102.946125,101.5797,104.469375
104.50095,103.00405,101.59585,104.607675
104.58455,103.048225,101.611925,104.755225
104.6873,103.483325,101.626575,104.79115
104.78985,103.51695,101.6501,105.260225
104.930175,103.574625,101.664925,105.310925
104.994475,103.591825,101.679075,105.600325
105.19115,103.6063,101.6944,105.650675
105.22005,103.686025,101.705425,105.676475
105.2733,103.7372,101.7277,105.695275
105.323425,103.76535,101.7464,105.783075
105.364,103.827925,101.758175,105.859775
105.400225,103.915875,101.7801,105.888175
105.474075,103.9607,101.793125,105.9087
105.534475,104.001625,101.8114,106.134675
105.648,104.0415,101.831775,106.154675
105.6957,104.05885,101.833325,106.601875
105.835525,104.1409,101.8455,106.662675
106.03875,104.178325,101.859675,106.744775
106.311825,104.332075,101.885075,106.77435
106.3354,104.408775,101.90355,106.811325
106.409725,104.4653,101.9225,106.8816
106.451075,104.52225,101.937725,106.89765
106.555975,104.789825,101.954025,106.97275
106.704575,104.890075,101.979725,107.00335
106.751325,104.930175,101.994125,107.096225
106.802625,104.987025,102.00675,107.138325
106.971125,104.99445,102.03035,107.1773
107.05755,105.04495,102.0426,107.38195
107.558725,105.063025,102.0771,107.40695
107.579975,105.089525,102.0956,107.47655
107.590025,105.19115,102.108275,107.815575
107.64535,105.22005,102.137175,107.8862
107.687175,105.295725,102.1691,107.96255
107.75525,105.3101,102.186325,108.181575
107.940925,105.41885,102.21205,108.39445
108.06105,105.47405,102.23395,108.41385
108.423425,105.516925,102.253725,108.521725
108.7256,105.530925,102.269875,108.564475
108.94655,105.63145,102.286225,108.642275
109.335025,105.6957,102.299425,108.731775
109.359225,105.698975,102.310925,108.769375
109.372225,105.757525,102.325275,108.818375
109.39435,106.01305,102.334975,108.8858
109.42725,106.03875,102.341525,108.98255
109.503725,106.047075,102.353025,108.9905
109.59505,106.09465,102.3682,109.3589
109.628525,106.18325,102.3826,109.83015
109.649525,106.24795,102.394125,109.95845
109.66825,106.407625,102.41475,109.983225
109.684925,106.4594,102.44385,110.016175
109.7457,106.605075,102.467825,110.046075
109.80495,106.607475,102.48595,110.097
109.823225,106.641675,102.50945,110.134175
109.84715,106.651425,102.541325,110.149925
109.991925,106.97745,102.5776,110.5201
110.0769,107.111125,102.607375,110.867375
110.161175,107.216025,102.6443,110.90995
110.242975,107.34545,102.68385,111.00475
110.256025,107.445,102.717275,111.051425
110.30065,107.535175,102.7591,111.122325
110.350175,107.565975,102.7836,111.161125
110.390175,107.579975,102.8123,111.372175
110.588675,107.586275,102.832075,111.416
110.6221,107.632375,102.85705,111.44645
110.638675,107.64535,102.88465,111.486275
110.69285,107.66785,102.9261,111.53085
110.707175,107.761475,102.96275,111.5526
110.80745,108.061,103.00095,111.5874
110.828625,108.0677,103.024675,111.619275
110.86325,108.0883,103.062275,111.718775
110.8813,108.1345,103.09495,111.878375
111.035875,108.212625,103.1227,111.91885
111.076275,108.29445,103.152,111.99265
111.1977,108.496225,103.191525,112.016575
111.22725,108.725575,103.22925,112.1045
111.31625,108.72705,103.279025,112.1236
111.42305,108.81625,103.31785,112.291275
111.494275,108.9455,103.351175,112.48725
111.518725,108.946575,103.370625,112.513575
111.54715,109.200325,103.415025,112.54965
111.58115,109.335025,103.457275,112.630025
111.612,109.3592,103.494725,112.66225
111.64645,109.3707,103.5203,112.676675
111.72115,109.4092,103.53865,113.108925
111.861725,109.4197,103.566625,113.363125
111.8993,109.4335,103.584375,113.454075
112.050775,109.450775,103.6035,113.47645
112.092275,109.452175,103.621275,113.5049
112.1142,109.4635,103.64015,113.519125
112.24325,109.5045,103.663,113.5737
112.27035,109.59315,103.687425,113.686125
112.44775,109.595025,103.721625,113.743225
112.488275,109.64735,103.736825,113.92265
112.77485,109.649525,103.764325,113.9547
112.841425,109.6777,103.796375,113.9752
112.8582,109.715725,103.83535,114.013075
112.914875,109.73545,103.88585,114.03435
113.075575,109.737675,103.937,114.18105
113.17325,109.7597,103.961425,114.219625
113.271375,109.77455,103.996675,114.264625
113.288475,109.854825,104.025775,114.27945
113.384675,109.857475,104.040125,114.350825
113.428975,109.8709,104.073575,114.584525
113.45585,109.92215,104.1204,114.6311
113.724825,109.9277,104.148025,114.89455
113.7564,110.0531,104.189075,114.92125
113.855725,110.145175,104.218825,114.97115
113.891125,110.161175,104.27015,114.9994
113.9818,110.21185,104.299325,115.027175
114.008425,110.242975,104.34085,115.11555
114.040625,110.256025,104.3816,115.32385
114.0719,110.263,104.413475,115.379125
114.11355,110.35015,104.465575,115.606025
114.1721,110.407175,104.503525,115.64575
114.264925,110.453825,104.5566,115.684325
114.2994,110.45635,104.612075,115.70405
114.331975,110.487775,104.66405,115.78255
114.393225,110.512925,104.696175,115.886075
114.60395,110.5681,104.7325,115.908375
114.702875,110.6329,104.763875,115.987625
114.718575,110.70715,104.799775,116.09355
114.726,110.7346,104.84045,116.139
114.75625,110.79005,104.8662,116.325975
114.79535,110.86325,104.8909,116.402
114.817675,110.881325,104.90315,116.451875
114.848025,110.882875,104.9148,116.50905
114.886125,110.956175,104.923775,116.73615
