SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3700.0179,3700.0314,3700.006475,3700.621175,3700.003075
3700.047525,3700.13945,3700.024275,3701.5023,3700.027
3700.1001,3700.1826,3700.03735,3702.2535,3700.0969
3700.20405,3700.237,3700.0904,3702.63635,3700.35585
3700.290375,3700.3447,3700.13205,3702.693625,3700.392425
3700.3379,3700.365475,3700.1579,3702.980125,3700.476275
3700.38375,3700.3921,3700.168475,3703.11625,3700.6118
3700.473525,3700.426575,3700.188875,3703.3979,3700.7515
3700.496775,3700.45055,3700.23565,3703.65955,3700.9205
3700.539475,3700.54715,3700.276225,3705.109775,3700.9529
3700.575225,3700.59995,3700.30285,3705.66925,3701.00275
3700.642975,3700.6814,3700.3349,3707.546925,3701.0238
3700.750725,3700.816,3700.378675,3707.84435,3701.056825
3700.7613,3700.87125,3700.4179,3708.381325,3701.0975
3700.7699,3700.991325,3700.443675,3708.70605,3701.36515
3700.836525,3701.05825,3700.49615,3710.169925,3701.4885
3700.8865,3701.081025,3700.536625,3710.29265,3701.519775
3700.9202,3701.124675,3700.660425,3710.4214,3701.667925
3700.968925,3701.238175,3700.7237,3710.60475,3701.834025
3701.0033,3701.297375,3700.77455,3710.874475,3702.027375
3701.005225,3701.33245,3700.82435,3711.097975,3702.0839
3701.1193,3701.371025,3700.86715,3711.194225,3702.119025
3701.1738,3701.4567,3700.8894,3711.356125,3702.290075
3701.244375,3701.5787,3700.913625,3711.504475,3702.334875
3701.277875,3701.6629,3700.940975,3711.651925,3702.51445
3701.3811,3701.7106,3700.959925,3711.947525,3702.636725
3701.49305,3701.8943,3700.974375,3712.0834,3703.502825
3701.51975,3702.050125,3701.01875,3712.26505,3703.55165
3701.600425,3702.087125,3701.0488,3712.34285,3703.644475
3701.609525,3702.177375,3701.084125,3712.40905,3706.276775
3701.65835,3702.219175,3701.144725,3712.52935,3706.9832
3701.75805,3702.3471,3701.2012,3712.65545,3707.427925
3701.796975,3702.43425,3701.25305,3712.731275,3708.586225
3701.798725,3702.565925,3701.3048,3713.14955,3708.81035
3701.83385,3702.677525,3701.378625,3713.520025,3710.223825
3701.936975,3702.7879,3701.438875,3713.5948,3711.013625
3702.001875,3702.821425,3701.5551,3714.0167,3711.4447
3702.0176,3702.9573,3701.593675,3714.154325,3711.62245
3702.13535,3703.000475,3701.640375,3714.203975,3711.852875
3702.21335,3703.040175,3701.68175,3714.240425,3712.3953
3702.30225,3703.106125,3701.829075,3714.4382,3712.490375
3702.72255,3703.232275,3701.9006,3714.471525,3713.39425
3702.8756,3703.27785,3702.021025,3714.486375,3713.430075
3702.917225,3703.34895,3702.097375,3714.5978,3713.440625
3702.929375,3703.393525,3702.142675,3714.60795,3713.5786
3703.139175,3703.457575,3702.189325,3714.772125,3715.11245
3703.155825,3703.516975,3702.3372,3714.81175,3715.1632
3703.287725,3703.688175,3702.482775,3715.1756,3715.41915
3703.30925,3703.912775,3702.557125,3715.45465,3716.58615
3703.397875,3703.952975,3702.765075,3715.75725,3716.6438
3703.4855,3704.1364,3702.8394,3715.8171,3716.711075
3703.53715,3704.171175,3702.898125,3715.8616,3717.3072
3703.725125,3704.2242,3703.244975,3716.202725,3717.377975
3703.736375,3704.322,3703.861325,3716.24025,3717.417325
3703.825625,3704.376975,3704.029075,3716.3379,3717.478175
3704.002425,3704.435175,3704.1353,3716.711575,3717.527075
3704.044425,3704.537725,3704.25865,3716.7714,3717.61065
3704.448325,3704.581975,3704.3796,3716.8208,3717.842725
3704.49615,3704.639975,3704.759375,3716.84035,3717.979375
3704.843525,3704.66685,3704.8311,3717.1233,3718.145825
3704.872125,3704.69765,3705.44115,3717.346375,3718.84695
3704.8982,3704.7245,3705.986125,3717.558925,3718.910625
3704.9197,3704.80945,3706.15905,3718.54685,3718.9473
3705.132275,3704.959575,3706.77025,3719.336025,3719.004725
3705.1793,3705.0302,3707.121825,3723.5214,3719.13265
3705.22165,3705.103525,3707.6779,3725.197075,3719.434
3705.302475,3705.23045,3708.843375,3725.330075,3719.865425
3705.41035,3705.268025,3709.06335,3727.012425,3721.197025
3705.53985,3705.365825,3709.372375,3727.1354,3721.282475
3705.60845,3705.4806,3709.664875,3728.648475,3722.101075
3705.693975,3705.59275,3710.511075,3729.980325,3722.938175
3705.84125,3705.621075,3710.74185,3730.1076,3723.3555
3705.8451,3705.754275,3710.99215,3730.7391,3723.812175
3705.962325,3706.091675,3711.842175,3731.880025,3724.3862
3706.23265,3706.1363,3712.622125,3731.92975,3724.431125
3706.3087,3706.178,3712.779075,3732.686675,3725.28985
3706.3926,3706.377175,3712.915725,3733.188825,3729.48865
3706.609875,3706.43785,3712.98655,3733.365125,3730.79355
3706.723575,3706.478075,3713.067375,3733.8146,3731.0836
3707.006575,3706.556375,3713.094725,3734.012,3733.26205
3707.260725,3706.71845,3713.1193,3734.27065,3733.550625
3707.56005,3706.802625,3713.172825,3734.303,3734.221
3707.6177,3706.8699,3713.20885,3734.6286,3734.346275
3707.6776,3706.932025,3713.23395,3735.448875,3734.6034
3707.84635,3707.0138,3713.291675,3735.4605,3736.168325
3708.339625,3707.0629,3713.409025,3735.521375,3736.3872
3708.38915,3707.116975,3713.463525,3736.077375,3736.72585
3708.604675,3707.17495,3713.559075,3736.244775,3736.745225
3708.77825,3707.35405,3713.637,3736.262275,3736.768625
3708.904125,3707.41085,3713.6642,3736.57855,3736.826125
3708.930375,3707.462775,3713.687975,3736.658225,3737.41575
3709.188775,3707.525625,3713.71685,3736.7579,3737.4785
3709.74335,3707.664525,3713.7701,3737.03345,3737.6336
3709.833725,3707.814225,3713.7864,3737.100925,3737.702525
3710.221175,3707.87765,3713.87535,3737.23475,3737.71205
3710.2442,3708.0234,3713.936,3737.24535,3737.828425
3710.3394,3708.069225,3714.071225,3737.266025,3737.8494
3710.5095,3708.142275,3714.121675,3737.348,3738.708575
3710.827375,3708.190175,3714.1691,3737.50395,3738.732
3710.99975,3708.293125,3714.1765,3737.5677,3738.787425
3711.3758,3708.356925,3714.1936,3737.83325,3738.8173
3711.378425,3708.45125,3714.2166,3737.9253,3738.8513
3711.54725,3708.511,3714.2304,3738.12645,3738.919075
3711.687275,3708.690475,3714.2672,3738.1689,3738.949075
3712.510225,3708.734425,3714.276025,3738.268575,3739.05045
3712.6308,3708.98835,3714.2841,3738.347825,3739.14685
3712.800975,3709.091725,3714.28985,3738.407375,3739.233575
3713.062225,3709.157925,3714.308175,3738.4318,3739.273625
3713.149725,3709.24685,3714.3152,3738.46065,3739.312525
3713.22745,3709.343125,3714.325775,3738.474375,3739.444225
3713.2475,3709.4584,3714.333125,3738.507725,3739.478425
3713.407375,3709.5763,3714.350475,3738.51635,3739.629275
3713.8901,3709.602425,3714.36665,3738.548875,3739.7094
3713.947775,3709.67535,3714.3837,3738.5694,3739.75845
3714.02395,3709.879325,3714.39645,3738.57945,3739.829275
3714.114975,3709.91895,3714.41215,3738.603475,3739.9004
3714.161075,3709.990275,3714.426625,3738.6592,3740.0593
3714.180225,3710.048575,3714.449,3739.333675,3740.11415
3714.234825,3710.15155,3714.502025,3739.488625,3740.2952
3714.238875,3710.325375,3714.5497,3740.19605,3740.408075
3714.255925,3710.504,3714.559275,3741.553075,3740.476825
3714.275675,3710.651375,3714.575675,3741.64305,3740.556025
3714.31255,3710.723025,3714.6392,3741.830325,3740.63065
3714.3394,3710.82155,3714.6546,3741.977175,3740.749
3714.347275,3710.860675,3714.667825,3742.02825,3741.21585
3714.37115,3710.93595,3714.683725,3742.089725,3741.3313
3714.398925,3710.972225,3714.70225,3742.18495,3741.52425
3714.479575,3711.140875,3714.7324,3742.25395,3741.7159
3714.531,3711.199875,3714.7422,3742.39315,3741.860425
3714.581975,3711.2563,3714.761225,3742.588,3742.56005
3714.58815,3711.307625,3714.787475,3742.707925,3742.5884
3714.606525,3711.422525,3714.8042,3742.8314,3742.745775
3714.633825,3711.4623,3714.8469,3742.946675,3742.764875
3714.699175,3711.507675,3714.8825,3742.9767,3743.203725
3714.76665,3711.692975,3714.8993,3743.0576,3743.25115
3714.776875,3711.7939,3714.90825,3743.1058,3743.3184
3714.8126,3711.84385,3714.916975,3743.260925,3743.649825
3714.9122,3711.9051,3714.941175,3743.31945,3744.012025
3714.923925,3712.1433,3714.970325,3743.412475,3744.09665
3714.9435,3712.276025,3714.9819,3743.476975,3744.182325
3715.02255,3712.369325,3714.996325,3743.644125,3744.43175
3715.05435,3712.5557,3715.027125,3743.6991,3744.4961
3715.130625,3712.634725,3715.0514,3743.810575,3745.2904
3715.204975,3712.7235,3715.066925,3743.9506,3745.985525
3715.238225,3712.798225,3715.076875,3744.152275,3750.52955
3715.273525,3712.8617,3715.091925,3744.316825,3750.623575
3715.3182,3712.935975,3715.11385,3744.408375,3750.736575
3715.3777,3713.00335,3715.13345,3744.974725,3750.8216
3715.42815,3713.095775,3715.1524,3745.082125,3750.937375
3715.447325,3713.10355,3715.191,3745.645725,3751.19555
3715.562075,3713.1429,3715.209825,3745.7714,3751.753375
3715.60585,3713.197275,3715.220375,3746.20395,3751.811825
3715.6647,3713.2704,3715.247725,3746.5171,3752.748275
3715.717625,3713.346675,3715.264325,3746.722,3752.838475
3715.761975,3713.520075,3715.2825,3746.89365,3752.97
3715.7981,3713.571825,3715.305125,3747.017125,3753.016375
3715.84475,3713.633375,3715.323325,3747.32835,3753.097825
3715.8605,3713.686775,3715.348425,3747.6233,3753.137075
3715.934725,3713.732975,3715.3583,3748.27275,3753.447725
