SPK_SPKC01a (no response),SPK_SPKC15a (no response)
313.9088,300.0397
315.0437,300.123025
315.302825,300.196825
315.424575,300.42965
315.614925,300.6944
315.65255,300.73425
315.718625,300.802925
315.847775,300.881
315.956375,300.949175
316.116975,301.01085
316.647475,301.0794
317.035625,301.186075
317.137,301.404675
317.192225,301.478525
317.818875,301.575425
318.1764,301.98925
318.261925,302.0503
318.807325,302.43825
337.3336,302.5885
337.706325,302.643625
337.9072,302.7695
338.2209,302.832125
338.435875,302.910525
338.945325,302.97275
339.14515,303.066525
339.314425,303.11865
339.354225,303.18005
339.682775,303.282325
339.829875,303.397625
339.973675,303.561875
360.01315,303.6577
360.094075,303.7061
362.1441,303.779875
366.358975,304.056175
367.394175,304.089825
367.650475,304.57375
367.94375,304.620675
368.286675,304.665875
368.34615,304.854025
368.472875,304.905825
368.561525,305.06605
368.98055,305.175575
369.111375,305.32865
369.203125,305.437375
369.61625,305.49235
369.763875,305.656425
370.1368,305.713625
370.19945,305.779975
370.265375,305.851475
370.355475,305.9232
370.548225,306.14125
370.719325,306.2015
370.861775,306.41345
370.9696,306.553375
371.118525,306.60225
371.753925,306.647625
372.00285,306.765025
372.603925,306.884125
372.877575,306.95655
373.35775,307.00975
373.644375,307.0743
395.48905,307.12035
407.4957,307.174225
409.514675,307.347025
409.7828,307.376575
410.31985,307.60305
410.7136,307.8012
411.42575,307.9528
411.61785,307.9948
411.882925,308.117425
411.9777,308.256475
412.57005,308.288275
412.868825,308.461175
413.037775,308.623725
413.252875,308.693125
413.496825,308.7622
414.2781,308.807525
425.1055,308.85925
425.507525,308.93335
426.243075,309.036475
426.470625,309.133375
451.619675,309.18925
452.0565,309.335225
452.880375,309.374775
453.0112,309.41035
453.117875,309.5011
453.21905,309.651625
453.278475,309.8206
453.761025,309.870375
453.8904,309.948375
454.01435,310.355925
454.160675,310.447125
454.480925,310.49655
454.59945,310.6571
454.787025,310.774725
455.0136,310.845975
455.172925,311.139875
455.271825,311.2152
455.351175,311.371725
455.386225,311.50015
455.480025,311.571125
455.619325,311.629575
455.74125,311.68055
455.7857,311.767125
455.97365,311.836725
456.07775,311.931325
456.142425,312.052675
456.2208,312.12745
456.42845,312.197275
456.517875,312.489625
476.90785,312.77855
477.56665,312.8776
478.3908,313.45685
478.5803,313.98755
478.672325,314.45445
478.903725,314.525725
479.002625,314.59035
479.5163,317.631475
479.8127,317.74435
480.141475,318.0398
480.386525,318.2076
480.4488,318.3079
480.676275,318.40935
481.21185,318.49815
,318.549025
,318.598975
,318.841825
,319.095425
,319.193875
,319.33435
,319.488875
,319.59405
,319.721325
,319.81915
,319.8954
,319.99185
,320.0827
,320.1572
,320.22845
,320.293475
,320.4198
,320.495975
,320.583575
,320.658925
,320.7209
,320.8522
,321.001075
,321.05155
,321.12135
,321.1939
,321.268175
,321.3195
,321.38175
,321.4454
,321.593525
,321.658
,321.723525
,321.884525
,321.9681
,322.107325
,322.16905
,322.268725
,322.31245
,322.414425
,322.71935
,322.81675
,322.8723
,323.015575
,323.1288
,323.22805
,323.275975
,323.34755
,323.4362
,323.7328
,323.80865
,323.924475
,323.9777
,324.051075
,324.13825
,324.186125
,324.266025
,324.379
,324.4569
,324.519725
,324.586
,324.6359
,324.71885
,324.90495
,325.001775
,325.06975
,325.1424
,325.211475
,325.33565
,325.405875
,325.485225
,325.649575
,325.72615
,325.846575
,325.968
,326.001
,326.067525
,326.159825
,326.215875
,326.284275
,326.4984
,326.657925
,326.794475
,326.868525
,327.016675
,327.1042
,327.163325
