SPK_SPKC03a (exci),SPK_SPKC09a (exc),SPK_SPKC12a (inhi),SPK_SPKC15a (inhi)
0.055975,0.029475,0.013025,0.005175
0.0856,0.075675,0.0686,0.0429
0.1527,0.313375,0.162775,0.101525
0.187025,0.365475,0.18375,0.1056
0.222475,0.366625,0.2156,0.124825
0.261775,0.3882,0.24545,0.20485
0.301575,0.397375,0.29815,0.24645
0.37755,0.409825,0.32895,0.259325
0.391275,0.61285,0.364025,0.275175
0.43015,0.67765,0.397625,0.289125
0.443975,0.810825,0.45115,0.45105
0.461725,0.856075,0.48155,0.4775
0.477225,0.887125,0.5073,0.515575
0.493675,0.9181,0.53975,0.65655
0.508225,1.032425,0.572775,0.714825
0.52875,1.28175,0.604525,0.7527
0.546025,1.4686,0.636575,0.785775
0.576075,1.503475,0.6802,0.903525
0.594275,1.533275,0.758725,0.91845
0.617125,1.72705,0.784225,1.014275
0.676075,1.95625,0.812575,1.0474
0.711275,2.03985,0.85065,1.278775
0.73425,2.066925,0.876225,1.386175
0.826025,2.110575,0.922025,1.407075
0.86715,2.141325,1.024025,1.430525
0.8878,2.29035,1.04155,1.506375
0.917525,2.315325,1.070925,1.580925
0.948525,2.37205,1.089775,1.64395
0.9789,2.57735,1.245525,1.7902
0.99545,2.623175,1.281125,1.931475
1.04965,2.6916,1.372475,1.966425
1.08325,2.7132,1.407175,2.0474
1.10185,2.786825,1.46245,2.101925
1.1364,2.830425,1.476025,2.137725
1.157875,2.986675,1.503925,2.168325
1.1825,2.9928,1.554725,2.24255
1.21385,3.190125,1.6073,2.2704
1.2682,3.276575,1.633075,2.302075
1.30395,3.3832,1.66895,2.395575
1.3432,3.452525,1.743875,2.426875
1.4172,3.479775,1.840525,2.460275
1.440825,3.567975,1.866475,2.4912
1.4521,4.010775,1.940425,2.624725
1.462875,4.077575,1.989825,2.6886
1.4784,4.2446,2.11965,2.6919
1.489075,4.4477,2.18955,2.724
1.521175,4.75085,2.210625,2.747525
1.542025,4.789675,2.258,2.8021
1.55965,4.840725,2.2742,2.829225
1.578975,4.902175,2.312825,2.924475
1.600975,4.997075,2.349875,2.9527
1.6215,5.11825,2.54155,2.973925
1.66285,5.2602,2.5769,3.0317
1.68825,5.286775,2.606175,3.116825
1.718275,5.453625,2.641975,3.164775
1.762375,5.591725,2.67035,3.19055
1.78905,5.78085,2.71855,3.223075
1.82005,5.84055,2.742225,3.254425
1.854425,6.2388,2.79425,3.267825
1.892325,6.271225,2.847025,3.328125
1.914,6.289225,2.8815,3.429475
1.978225,6.392575,2.9146,3.442375
2.014525,6.394625,2.943075,3.465125
2.049575,6.49085,2.979925,3.495225
2.067575,6.498175,3.009425,3.57615
2.0931,6.83735,3.08795,3.609225
2.1246,7.07185,3.105725,3.635075
2.16435,7.078325,3.13315,3.665825
2.2024,7.0795,3.1457,3.687575
2.22055,7.10745,3.184525,3.76405
2.25155,7.112,3.23405,3.872575
2.284375,7.323975,3.2661,3.931175
2.3081,7.535775,3.32525,4.015775
2.326775,7.57785,3.3576,4.05645
2.341875,7.6311,3.390575,4.082875
2.354875,7.6783,3.43875,4.090375
2.369375,7.983575,3.513,4.1173
2.3808,8.11845,3.543375,4.143975
2.3975,8.210475,3.592825,4.2098
2.434175,8.261575,3.620725,4.271425
2.445,8.294625,3.653775,4.318475
2.46095,8.32085,3.6796,4.332425
2.4853,8.335125,3.705475,4.35305
2.496125,8.458725,3.782975,4.3561
2.539875,8.662025,3.7991,4.368825
2.569975,8.699625,3.835325,4.430475
2.604575,8.705575,3.856025,4.455425
2.625675,8.73785,3.8873,4.540075
2.6541,8.782925,3.91455,4.560425
2.7009,8.883775,3.956975,4.6221
2.75445,8.907175,4.014675,4.717375
2.800525,8.91875,4.05475,4.7485
2.823775,8.999525,4.08225,4.7812
2.83985,9.0136,4.09155,4.81985
2.8533,9.05145,4.1718,4.830125
2.917325,9.13635,4.193725,4.8634
2.9347,9.225325,4.215075,4.9304
2.97565,9.266775,4.2371,4.939525
2.993225,9.39245,4.24095,4.994125
3.054225,9.42115,4.264625,4.99725
3.0959,9.649375,4.2979,5.05105
3.139225,9.74365,4.37755,5.0799
3.164275,9.797425,4.418575,5.123425
3.193625,9.8231,4.428625,5.15155
3.273125,10.05555,4.4476,5.189125
3.301175,10.0892,4.463925,5.217225
3.3315,10.1346,4.498775,5.262725
3.3579,10.2044,4.545475,5.294225
3.4656,10.285775,4.564825,5.304025
3.474275,10.446325,4.631375,5.34025
3.501375,10.4596,4.679325,5.358025
3.53395,10.565625,4.771625,5.373525
3.567,10.646375,4.85065,5.407175
3.5851,10.72205,4.879625,5.45395
3.61545,10.768525,4.9432,5.467
3.635575,10.7942,5.013125,5.5671
3.690175,10.85735,5.05015,5.599225
3.719625,10.88295,5.0782,5.63945
3.7494,11.086725,5.126675,5.718425
3.771025,11.1118,5.1549,5.852575
3.784575,11.23755,5.1937,5.932175
3.799925,11.330025,5.248725,5.971875
3.8165,11.367875,5.29185,6.022025
3.842375,11.41825,5.35775,6.1439
3.930925,11.4297,5.435375,6.1768
3.98045,11.432125,5.464975,6.3306
4.019975,11.4875,5.54845,6.357525
4.067875,11.572925,5.57265,6.47815
4.104525,11.941975,5.618275,6.527125
4.1171,11.95255,5.654925,6.55585
4.13695,12.106575,5.682775,6.5571
4.177425,12.1524,5.718575,6.624175
4.218275,12.31145,5.756925,6.6524
4.260575,12.387875,5.80105,6.6745
4.296075,12.431575,5.834225,6.6803
4.325475,12.457825,5.879025,6.71755
4.3572,12.5086,5.9771,6.73045
4.395375,12.609775,6.02885,6.7779
4.426325,12.718125,6.05735,6.7891
4.445425,12.776475,6.08325,6.804775
4.461125,12.82055,6.107675,6.84145
4.474875,12.870175,6.138725,6.855425
4.488925,12.94595,6.1681,6.887325
4.496625,13.010475,6.2109,6.9055
4.500975,13.158425,6.2249,6.94705
4.539625,13.180275,6.27085,6.98405
4.580475,13.442225,6.304025,7.005075
4.6381,13.477825,6.35875,7.034475
4.6752,13.652175,6.46015,7.20825
4.7059,13.677475,6.50545,7.2278
4.7222,13.703325,6.550175,7.244025
4.7524,13.785975,6.574225,7.315525
4.769175,13.947875,6.603675,7.3243
4.802725,13.970625,6.6565,7.3631
4.839025,14.0465,6.6966,7.40715
4.882075,14.38395,6.794575,7.473875
4.953075,14.50065,6.82045,7.505825
4.97945,14.6204,6.8416,7.53605
5.00715,14.825,6.867075,7.5543
5.0269,14.92005,6.898375,7.581425
5.034975,14.959,6.92,7.65555
5.0372,15.07425,6.98425,7.68865
5.06865,15.1207,7.028525,7.718925
5.082975,15.15955,7.055775,7.758175
5.10395,15.221325,7.115375,7.768125
5.118725,15.240875,7.18645,7.7845
5.167,15.5923,7.20525,7.81425
5.209125,15.59585,7.250175,7.836825
5.224125,15.659125,7.380475,7.852975
5.242,15.7048,7.4136,7.888525
5.2856,15.787,7.4396,7.9204
5.292775,15.908725,7.465875,7.9567
5.308525,15.9346,7.5028,7.9755
5.33375,15.96605,7.5227,7.999775
5.35925,15.978725,7.5525,8.02855
5.391975,15.9911,7.606,8.069625
5.4086,16.07965,7.686725,8.15295
5.42535,16.342275,7.730175,8.175275
5.4648,16.3928,7.7623,8.18595
5.49485,16.4535,7.81695,8.2377
5.560475,16.702775,7.823825,8.262475
5.5895,16.72455,7.87655,8.3157
5.611775,16.73505,7.917225,8.3355
5.678225,16.747,7.931675,8.442725
5.71005,16.754325,7.948325,8.454125
5.736825,16.760125,7.963925,8.52545
5.760525,16.807975,7.981525,8.54865
5.795575,16.852275,8.0373,8.6422
5.82705,16.8997,8.07555,8.6624
5.846575,16.9251,8.106425,8.665425
5.917825,17.024725,8.1303,8.7804
5.956225,17.221375,8.160825,8.82205
5.976675,17.245125,8.170275,8.852425
5.99295,17.290475,8.195525,8.906125
6.00205,17.390075,8.21165,8.9311
6.0129,17.441825,8.22535,9.0463
6.0261,17.5037,8.240125,9.074475
6.040275,17.53685,8.28805,9.08655
6.078,17.5577,8.30045,9.096325
6.1003,17.59745,8.328625,9.120925
6.128425,17.603825,8.367075,9.1592
6.152525,17.919825,8.3999,9.1896
6.18325,18.14695,8.475725,9.20935
6.197525,18.187625,8.577025,9.22575
6.2526,18.211925,8.59955,9.3381
6.271425,18.226925,8.64545,9.3849
6.3237,18.293275,8.691475,9.4185
6.348625,18.40165,8.7162,9.4738
6.3918,18.44715,8.73765,9.4816
6.42075,18.675025,8.7631,9.52305
6.471075,18.703825,8.8044,9.5785
6.5008,18.7232,8.86105,9.6644
6.52125,18.728575,8.88675,9.69535
6.5402,18.7423,8.915775,9.69665
6.56615,18.765475,8.951625,9.731425
6.5769,18.778625,8.983,9.782425
6.60655,18.782375,9.0091,9.80155
6.6489,18.791,9.05405,9.89475
6.688775,18.933,9.094975,9.90725
6.709425,18.9921,9.115375,10.0091
6.727075,19.100275,9.15285,10.021575
6.74765,19.1827,9.18765,10.03755
6.765975,19.3475,9.245,10.13505
6.797725,19.46515,9.271025,10.176775
6.8352,19.493375,9.301875,10.241125
6.868925,19.526525,9.340825,10.273275
6.90525,19.54445,9.415825,10.2992
6.932975,19.562525,9.45485,10.31325
7.015475,19.567175,9.480575,10.338375
7.053,19.593675,9.510525,10.339725
7.090675,19.6434,9.5434,10.364125
7.115575,19.700375,9.5973,10.452325
7.13075,19.8319,9.64965,10.483575
7.1585,20.27675,9.675,10.523425
7.188675,20.290325,9.71265,10.563725
7.22165,20.3002,9.745175,10.6318
7.24375,20.316725,9.7822,10.7039
7.28595,20.3918,9.80825,10.73215
7.32455,20.436275,9.8289,10.77745
7.377375,20.4887,9.837225,10.811075
7.40875,20.559725,9.96315,10.829175
7.429525,20.626775,10.008,10.83075
7.446075,20.63665,10.046675,10.867575
7.46575,20.66455,10.095625,10.888225
7.4874,20.6882,10.138625,10.93785
7.49565,20.734375,10.196675,10.966875
7.5089,20.759025,10.221875,11.022
7.53095,20.774975,10.248325,11.046175
7.5614,20.781325,10.26875,11.092475
7.58265,20.872025,10.300775,11.209825
7.60555,20.9647,10.365275,11.231325
7.6243,20.98445,10.43385,11.263275
7.6468,21.20095,10.43805,11.294725
7.6788,21.32475,10.476825,11.362025
7.6971,21.340825,10.526825,11.4408
7.723225,21.40715,10.5579,11.514825
7.737675,21.414275,10.570175,11.547925
7.7716,21.461525,10.595625,11.551825
7.790925,21.498175,10.62015,11.634025
7.810475,21.5241,10.686175,11.6573
7.850025,21.548425,10.721675,11.676225
7.875525,21.576375,10.742475,11.69255
7.894825,21.6199,10.7947,11.703975
7.914025,21.659,10.81465,11.70865
7.934325,21.695925,10.835375,11.7406
7.961125,21.747525,10.870525,11.760125
7.9801,21.833775,10.89545,11.814025
8.000275,21.89555,10.915625,11.827275
8.020675,21.997275,10.92695,11.855975
