SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
100.04235,100.253725,100.126625,100.002125,100.37175
100.202275,100.301475,100.1617,100.0178,100.5356
100.234375,100.315225,100.1789,100.04045,100.7059
100.399975,100.33075,100.185275,100.06265,100.782325
100.4927,100.38955,100.231425,100.06835,100.85215
100.557575,100.466125,100.3042,100.079625,101.3006
100.734575,100.48115,100.31895,100.11675,101.771475
100.778975,100.5176,100.4832,100.117825,101.789025
100.918475,100.5223,100.5107,100.1389,101.8804
100.9387,100.534475,100.598825,100.153525,101.992575
101.04885,100.564425,100.620725,100.19405,102.140975
101.079975,100.5897,100.757,100.2006,102.179425
101.13435,100.6156,100.903275,100.239425,102.272925
101.162675,100.638275,100.935675,100.3028,102.3412
101.23035,100.64605,100.96185,100.32905,102.3604
101.334,100.65635,101.013825,100.376025,102.383575
101.496975,100.6961,101.033825,100.401025,102.649125
101.548075,100.727725,101.048175,100.412525,102.992
101.685675,100.76995,101.1023,100.444075,103.134725
101.807925,101.022825,101.13635,100.475925,103.4409
101.84005,101.099975,101.16475,100.50205,103.4546
101.918125,101.199825,101.251425,100.549375,103.535525
101.93515,101.290725,101.296825,100.575925,103.65215
102.049475,101.333825,101.473775,100.6012,103.67815
102.098225,101.337025,101.506975,100.6187,103.811725
102.22075,101.34745,101.56055,100.63875,103.923175
102.283775,101.3665,101.610275,100.647475,103.96195
102.381675,101.3706,101.651075,100.669575,104.408575
102.43185,101.375975,101.673975,100.695275,104.635875
102.471975,101.4161,102.01655,100.708275,105.864525
102.5615,101.426975,102.064275,100.721825,106.317575
102.644775,101.477625,102.144675,100.76165,106.35465
102.6874,101.51295,102.20535,100.7827,106.7444
102.724,101.51815,102.277375,100.789225,106.887675
102.797175,101.5435,102.533975,100.793525,106.90565
102.9123,101.562175,102.563175,100.811375,106.995525
103.03065,101.580175,102.597325,100.84745,107.0509
103.158875,101.677875,102.71355,100.888375,107.13125
103.201125,101.77545,102.747875,100.924575,107.57155
103.22485,101.787775,102.804425,100.9443,107.639775
103.238075,101.792525,102.8898,101.01485,107.65155
103.371025,101.795075,102.916125,101.047825,107.738275
103.50895,101.80745,103.002975,101.10375,107.9589
103.544875,101.82035,103.042125,101.143275,108.178725
103.5722,101.827525,103.0967,101.176925,108.189175
103.681475,101.831725,103.2433,101.20545,108.3337
103.725475,101.842975,103.27655,101.228825,108.381375
103.7492,101.86855,103.311175,101.2698,108.461775
103.782975,101.8939,103.460125,101.38145,109.100725
103.823475,101.9285,103.523225,101.418325,109.361775
103.835475,101.9406,103.5464,101.4647,109.39165
103.88065,102.174875,103.65745,101.490175,109.4368
103.924325,102.2889,103.694475,101.52755,109.470725
103.962375,102.33825,103.720575,101.562525,109.528425
103.99825,102.35675,103.7468,101.5747,109.5346
104.062625,102.374775,103.772375,101.591375,109.563675
104.123075,102.392425,103.9138,101.612275,109.862625
104.1549,102.605125,103.985225,101.6241,110.016425
104.22445,102.6932,104.00015,101.62745,110.0544
104.295775,103.0759,104.008675,101.6637,110.10375
104.302375,103.103225,104.116275,101.693825,110.1179
104.3965,103.135,104.22155,101.746,110.12875
104.44525,103.1679,104.32065,101.77485,110.235275
104.50845,103.186825,104.34785,101.7932,110.3185
104.562775,103.216025,104.387075,101.820275,110.364175
104.568925,103.233975,104.47995,101.84435,110.498275
104.697425,103.3594,104.62425,101.87295,110.56655
104.7158,103.4091,104.6821,101.915925,110.590525
104.834475,103.411175,104.7208,101.9426,110.71425
104.8825,103.516375,104.799625,101.9804,110.7278
105.0021,103.544775,104.8099,102.014475,110.7932
105.055925,103.557025,105.016775,102.042825,111.434925
105.1282,103.58635,105.029575,102.072275,111.458975
105.2299,103.616825,105.110725,102.1077,111.65195
105.260325,103.726675,105.363975,102.145575,111.728725
105.3285,103.809125,105.376175,102.173325,111.82305
105.3728,103.820625,105.422975,102.1858,112.057725
105.413275,103.9011,105.482125,102.19405,112.09515
105.452825,104.03555,105.5127,102.222725,112.3632
105.4921,104.08015,105.59285,102.23755,112.49785
105.526525,104.0918,105.61245,102.256,112.548725
105.6174,104.122925,105.630725,102.280375,112.65415
105.65155,104.1248,105.6932,102.3325,112.693325
105.736375,104.1841,105.781275,102.356575,112.712675
105.90965,104.448475,105.785725,102.364975,112.7299
105.941225,104.6367,105.914325,102.3709,112.926175
105.9578,104.667075,105.975675,102.374925,113.0144
105.961425,104.683225,106.08535,102.3932,113.13905
106.0703,104.694,106.1252,102.4159,113.328075
106.143775,104.702775,106.257775,102.465675,113.35375
106.160925,104.734925,106.336725,102.49725,113.3816
106.192,104.741275,106.530475,102.515275,113.402225
106.2592,104.922225,106.553425,102.542575,113.41045
106.334375,105.1573,106.5795,102.566025,113.447
106.362675,105.222,106.6506,102.5812,113.476675
106.40885,105.239475,106.69145,102.60795,113.702575
106.46265,105.244925,106.7029,102.624475,113.7209
106.5361,105.283825,106.915925,102.6703,113.861825
106.586275,105.3013,106.957775,102.673725,113.9653
106.625325,105.530425,106.997425,102.70975,114.083875
106.696775,105.534275,107.043175,102.732075,114.131425
106.705275,105.623225,107.23285,102.783125,114.224825
106.769025,105.682275,107.2853,102.827825,114.33055
106.7997,105.725325,107.31385,102.909,114.3645
106.83405,105.792725,107.43425,102.92715,114.3912
106.8786,105.825775,107.452375,102.9594,114.451725
107.00105,105.951375,107.480025,102.996,114.636375
107.068125,106.1467,107.5409,103.007025,114.6904
107.1396,106.1805,107.5537,103.022725,114.897
107.22605,106.2311,107.580075,103.028425,114.997375
107.247625,106.234725,107.669475,103.055425,115.0581
107.33575,106.243175,107.676925,103.0577,115.2276
107.36155,106.25075,107.881425,103.074025,115.326175
107.457525,106.26765,107.89655,103.0931,115.420925
