SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
250.032525,250.003925,250.003125,250.0215,250.003275
250.090825,250.0207,250.021225,250.151125,250.0281
250.113125,250.1978,250.062125,250.17005,250.06265
250.1656,250.20395,250.1065,250.210975,250.123875
250.1688,250.402275,250.134175,250.2701,250.1981
250.192225,250.4125,250.17345,250.2914,250.24735
250.2098,250.415725,250.2106,250.3113,250.301825
250.255275,250.4304,250.23285,250.38955,250.3495
250.282625,250.821975,250.257325,250.417475,250.385975
250.35985,250.830875,250.2811,250.47245,250.396025
250.471325,251.15905,250.30385,250.491025,250.414375
250.5265,251.25165,250.35575,250.5746,250.4561
250.566325,251.317425,250.41625,250.612,250.4725
250.651375,251.44925,250.424775,250.639075,250.4965
250.6721,251.468875,250.4382,250.684325,250.5204
250.686125,251.472175,250.5065,250.744075,250.5394
250.716475,251.49215,250.5365,250.893475,250.570525
250.805775,251.9281,250.565175,250.916125,250.59695
250.847775,252.023775,250.586925,250.927725,250.613125
250.864775,252.030075,250.607175,250.953975,250.633725
250.884975,252.0521,250.634475,250.97595,250.657075
250.9007,252.076,250.68235,250.99295,250.6826
250.9845,252.43055,250.698875,251.0731,250.712525
251.02525,252.44205,250.743575,251.10075,250.756325
251.0913,252.726725,250.7707,251.14955,250.7793
251.11775,253.068725,250.785025,251.178275,250.795075
251.1352,253.11405,250.808275,251.212225,250.813175
251.156025,253.130775,250.81915,251.2697,250.831125
251.2028,253.1739,250.851475,251.27215,250.852975
251.22255,253.18285,250.855875,251.36605,250.877175
251.264875,253.250275,250.86095,251.37225,250.894825
251.29535,253.3373,250.8826,251.4285,250.9151
251.35805,253.3887,250.90655,251.432575,251.0135
251.423125,253.411575,250.97045,251.509625,251.048875
251.4497,253.4945,251.006325,251.6594,251.082775
251.46875,253.50225,251.06075,251.684725,251.1016
251.484725,253.759075,251.112575,251.705325,251.148425
251.508125,253.842175,251.15215,251.755325,251.16815
251.576825,253.875075,251.161825,251.76835,251.178075
251.596675,253.886275,251.183825,251.810375,251.2016
251.62185,253.93325,251.201075,251.81375,251.230475
251.641,253.957575,251.23895,251.945625,251.255425
251.691875,254.176375,251.286325,251.965475,251.277075
251.7773,254.281675,251.309575,252.001425,251.316875
