SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
165.00335,165.0141,165.024825
165.03845,165.109675,165.072875
165.062075,165.1924,165.1051
165.113925,165.2257,165.155125
165.12925,165.239725,165.1675
165.162075,165.254225,165.1927
165.18625,165.286025,165.245675
165.21995,165.326675,165.2947
165.240275,165.374525,165.3354
165.300125,165.40495,165.368825
165.368575,165.453475,165.377625
165.393825,165.4715,165.39425
165.45435,165.635875,165.415
165.470875,165.9346,165.44335
165.49635,165.979525,165.505125
165.53525,167.22615,165.52515
165.5449,167.40015,165.555425
165.58915,167.562475,165.579325
165.62795,167.9992,165.63855
165.647575,168.244625,165.6532
165.686725,168.2667,165.676025
165.775475,168.367575,165.69425
165.8334,169.57825,165.72065
165.862575,169.874925,165.758025
165.9222,170.0073,165.813775
165.985225,170.3035,165.8231
166.040525,170.58325,165.841925
166.140825,170.8248,165.90765
166.176925,170.9587,165.920725
166.269675,171.275425,165.960275
166.302125,171.46965,165.986125
166.32625,171.8049,165.9988
166.3712,171.828325,166.02015
166.4393,171.946825,166.045375
166.550725,172.3517,166.08125
166.60065,172.419875,166.09685
166.8576,172.446425,166.118925
166.877425,172.547725,166.134
166.899325,172.609525,166.178075
166.96165,172.638675,166.18715
166.991925,172.68435,166.237775
167.008825,172.70475,166.268975
167.037125,172.748025,166.307125
167.072575,172.7862,166.328175
167.10705,172.8094,166.374475
167.1636,172.850075,166.404925
167.2856,172.8857,166.4382
167.32705,172.928225,166.461875
167.374725,172.97285,166.53275
167.44975,172.99735,166.55635
167.47415,173.0137,166.588375
167.56705,173.03545,166.6635
167.60685,173.069175,166.7302
167.75885,173.123625,166.747675
167.78235,173.141775,166.796725
167.812075,173.189275,166.83785
168.0044,173.226225,166.8582
168.080625,173.243325,166.8782
168.110725,173.292825,166.890575
168.1325,173.30505,166.918275
168.168725,173.343675,167.016525
168.19395,173.359325,167.031925
168.292325,173.37365,167.055025
168.30305,173.394075,167.071075
168.3274,173.42195,167.09975
168.402225,173.445175,167.114625
168.43765,173.50715,167.128925
168.472675,173.54475,167.1649
168.74025,173.57995,167.2175
168.81515,173.6056,167.24075
168.8579,173.632,167.288925
169.032925,173.648575,167.317225
169.051075,173.68145,167.332975
169.124125,173.76385,167.354625
169.265175,173.8777,167.4068
169.3001,173.90685,167.4313
169.405325,173.945525,167.457
169.4715,174.024375,167.5521
169.499325,174.084525,167.59845
169.5234,174.1209,167.6173
169.567925,174.219125,167.64935
169.602725,174.2626,167.693375
169.63005,174.2992,167.72
169.6438,174.319275,167.74755
169.6596,174.34155,167.776825
169.692325,174.437475,167.814375
169.7209,174.48415,167.845475
169.871025,174.52945,167.880275
169.890725,174.56245,167.934825
169.9387,174.58775,168.0384
170.0124,174.6033,168.055225
170.053925,174.6187,168.083975
170.0793,174.639325,168.12335
170.123675,174.661725,168.158375
170.15235,174.7356,168.17545
170.212725,174.769875,168.190925
170.324425,174.806725,168.31415
170.343775,174.817125,168.3729
170.363525,174.874275,168.398625
170.40445,174.954625,168.43005
170.441975,174.996625,168.460025
170.469025,175.017925,168.494975
170.54885,175.046425,168.556525
170.69165,175.0677,168.56745
170.761325,175.112525,168.5764
170.782575,175.13835,168.615025
170.84355,175.1786,168.655375
170.8648,175.1944,168.6677
170.920275,175.219175,168.711425
170.94585,175.24935,168.738025
170.968475,175.299025,168.758675
171.01985,175.318425,168.77155
171.059725,175.37825,168.814675
171.0865,175.431075,168.83905
171.145225,175.46595,168.8585
171.217775,175.489325,168.8719
171.266425,175.523525,168.912225
171.2893,175.56135,168.95905
171.41325,175.624275,169.00465
171.51815,175.64415,169.06715
171.541525,175.6694,169.07985
171.574275,175.681925,169.114525
171.598125,175.7079,169.1639
171.626775,175.742875,169.18065
171.68435,175.77435,169.217375
171.733325,175.812275,169.241775
171.779175,175.822825,169.291325
171.8087,175.8819,169.3339
171.83325,175.897125,169.350975
171.8778,175.97675,169.38755
171.89545,176.008875,169.44905
171.93975,176.0431,169.477025
171.998,176.0821,169.65925
172.044275,176.099125,169.693075
172.07365,176.12215,169.75665
172.10265,176.143275,169.8164
172.151425,176.19065,169.914325
172.19145,176.214025,169.9718
172.237875,176.24365,170.0134
172.273325,176.268375,170.053775
172.3027,176.303075,170.06605
172.3887,176.34195,170.088125
172.411425,176.36895,170.10895
172.450325,176.4248,170.121325
172.47215,176.49245,170.142
172.50685,176.5181,170.15765
172.5326,176.55915,170.1797
172.569325,176.5828,170.18795
172.594225,176.600825,170.296775
172.62345,176.62215,170.310875
172.6636,176.6549,170.3475
172.6841,176.704475,170.368725
172.714625,176.729125,170.39155
172.74745,176.7544,170.482825
172.774675,176.786825,170.5201
172.8102,176.805575,170.567625
172.835875,176.8281,170.6204
172.862,176.883275,170.7223
172.8939,176.977125,170.7441
172.9119,177.037625,170.772875
172.93035,177.089325,170.805175
172.98265,177.121075,170.84545
173.003775,177.151925,170.8696
173.02265,177.1774,170.92065
173.0385,177.206425,170.951475
173.052675,177.24295,171.0039
173.070225,177.279275,171.04695
173.0859,177.304025,171.0786
173.1285,177.32525,171.1252
173.158925,177.336575,171.141325
173.198125,177.3869,171.204775
173.24235,177.402975,171.295475
173.26105,177.468225,171.31905
173.29555,177.490225,171.3376
173.327225,177.531025,171.372825
173.3646,177.5526,171.46305
173.391975,177.57755,171.48875
173.416475,177.62965,171.5208
173.43325,177.644775,171.544725
173.473325,177.730175,171.573625
173.49605,177.753775,171.626275
173.5298,177.790675,171.6417
173.5686,177.8114,171.654175
173.598275,177.83245,171.68975
173.6282,177.894525,171.716425
173.661575,177.92505,171.737325
173.6916,177.951975,171.757275
173.717375,177.9726,171.79215
173.737725,177.997775,171.8286
173.7586,178.06445,171.85515
173.779075,178.1242,171.887925
173.80015,178.140675,171.905925
173.82455,178.1621,171.9304
173.8766,178.184925,171.966575
173.907075,178.205275,172.013025
173.9408,178.242175,172.036975
173.9642,178.2627,172.0813
173.982875,178.3011,172.142325
174.02315,178.32895,172.177675
174.04085,178.350675,172.20895
174.0688,178.384525,172.26905
174.096925,178.416875,172.292925
174.11745,178.4442,172.308125
174.174825,178.50395,172.3275
174.192725,178.531925,172.386875
174.209675,178.5623,172.4942
174.253375,178.5964,172.518025
174.29725,178.64105,172.586525
174.32505,178.701625,172.62165
174.3488,178.7259,172.664675
174.372875,178.75065,172.688825
174.395425,178.769925,172.70745
174.417625,178.7892,172.737625
174.437025,178.85035,172.7674
174.466225,178.919325,172.79805
174.4883,178.942275,172.813825
174.52855,178.967725,172.828475
174.554475,179.00295,172.8543
174.5787,179.031775,172.876975
174.596175,179.05345,172.901575
174.6159,179.0828,172.9307
174.66075,179.104225,172.94225
174.6921,179.11975,172.98895
174.716675,179.148825,173.02365
174.7493,179.170275,173.04635
174.770825,179.190125,173.079225
174.792775,179.24935,173.11055
174.8107,179.267275,173.133975
174.829075,179.34755,173.156325
174.89865,179.3779,173.17625
174.93095,179.411325,173.19045
174.965575,179.43865,173.196875
174.990625,179.458625,173.223725
175.060175,179.5109,173.235675
175.0768,179.5475,173.25915
175.123375,179.584375,173.275075
175.156025,179.65345,173.282275
175.184125,179.730125,173.306025
175.22385,179.77155,173.327925
175.25015,179.80935,173.3462
175.274675,179.870675,173.3802
175.3147,179.9049,173.4157
175.344475,179.936575,173.44015
175.3697,179.969175,173.468025
175.401275,180.012975,173.50175
175.418425,180.0347,173.534125
175.4408,180.081725,173.537075
175.477175,180.1113,173.55365
175.496925,180.126175,173.57135
175.524475,180.150825,173.619775
175.54845,180.225,173.6308
175.583075,180.250725,173.651525
175.616425,180.289025,173.680725
175.669,180.313575,173.69935
175.6919,180.342475,173.7674
175.737775,180.360825,173.778425
175.759525,180.38195,173.8099
175.79225,180.4019,173.841325
175.820225,180.458075,173.88615
175.862025,180.523275,173.918725
175.9072,180.596775,173.940225
175.9467,180.671925,173.987525
175.976425,180.7073,174.01485
176.008275,180.83265,174.046125
176.038625,180.8638,174.064025
176.0677,180.90915,174.12715
176.096025,180.950275,174.17615
176.122625,180.978075,174.231625
176.15025,181.017925,174.336525
176.16675,181.0858,174.395075
176.195475,181.1082,174.418425
176.231075,181.142225,174.5543
176.276825,181.181075,174.7318
176.3207,181.21805,174.758575
176.354975,181.26275,174.78445
176.3712,181.304825,174.810025
176.414675,181.344975,174.895375
176.458025,181.3782,174.90395
176.488925,181.4089,174.963575
176.524775,181.470525,175.001875
176.5514,181.5666,175.013
176.58145,181.608875,175.036525
176.6123,181.6513,175.070075
176.639975,181.6982,175.092325
176.66665,181.740625,175.1029
176.6878,181.7867,175.11565
176.7168,181.831075,175.147925
176.77025,181.884975,175.182475
176.7979,181.91845,175.259175
176.836,181.98135,175.30355
176.87075,182.016825,175.381275
176.91095,182.05855,175.410375
176.95645,182.111575,175.43805
177.01245,182.175725,175.52055
177.043075,182.224525,175.56395
177.083675,182.27785,175.593725
177.137125,182.329175,175.607075
177.16565,182.4056,175.652025
177.195575,182.513525,175.67995
177.21915,182.560525,175.8134
177.24815,182.593275,175.8362
177.2643,182.636625,175.903625
177.29585,182.70655,175.9704
177.31635,182.78515,176.005425
177.343475,182.857625,176.102575
177.3725,182.90545,176.11965
177.404225,182.953775,176.157325
177.426325,183.01085,176.19265
177.459075,183.063625,176.305925
177.4948,183.1173,176.441225
177.5253,183.15985,176.504275
177.564575,183.2092,176.543925
177.6133,183.269375,176.577875
177.650725,183.329175,176.601625
177.685475,183.415425,176.625725
177.7153,183.458525,176.64895
177.743875,183.505875,176.685425
177.774,183.558275,176.723275
177.80365,183.61195,176.746675
177.8249,183.6648,176.80235
177.860525,183.7345,176.86505
177.88535,183.772425,176.91395
177.915575,183.810975,176.9544
177.947125,183.87945,176.971525
177.98045,183.92855,177.00845
178.020425,183.97705,177.08765
178.049725,184.06365,177.130875
178.085575,184.118625,177.18785
178.138275,184.166175,177.220125
178.16385,184.2198,177.263
178.19945,184.268175,177.3115
178.23365,184.29945,177.33505
178.262775,184.3427,177.3722
178.301125,184.3946,177.398675
178.337775,184.455275,177.428775
178.3702,184.540775,177.4763
178.4148,184.604875,177.49855
178.481375,184.67175,177.525175
178.511,184.729275,177.555925
178.556125,184.814325,177.588225
178.6023,184.888025,177.73055
178.6272,184.9463,177.775775
178.6499,185.061675,177.825475
178.6812,185.121225,177.848675
178.71255,185.1742,177.8633
178.7546,185.239075,177.893825
178.792,185.290225,177.942175
178.822975,185.33515,177.959825
178.844425,185.40055,177.99535
178.88315,185.435975,178.0591
178.919925,185.490725,178.0859
178.939275,185.541975,178.18575
178.965325,185.592325,178.200825
178.99035,185.6514,178.235525
179.010625,185.726925,178.256575
179.033725,185.79205,178.3076
179.06125,185.83855,178.318075
179.078225,185.890025,178.358875
179.103425,185.93185,178.44805
179.126775,186.0156,178.501325
179.15015,186.052075,178.521075
179.168375,186.093675,178.54175
179.1992,186.13295,178.5619
179.21565,186.1811,178.5843
179.247875,186.233275,178.7187
179.332325,186.28965,178.782375
179.351425,186.359925,178.944125
179.3847,186.4151,178.97525
179.413175,186.457875,179.00035
179.43875,186.513325,179.0324
179.4929,186.5924,179.07105
179.518925,186.630975,179.08945
179.54875,186.65985,179.1215
179.588925,186.709625,179.13565
179.615275,186.74805,179.18285
179.640275,186.8104,179.21195
179.660075,186.852225,179.234525
179.6851,186.906375,179.247225
179.7147,186.9496,179.2632
179.742675,186.99795,179.3009
179.77315,187.031725,179.31325
179.807875,187.073275,179.36465
179.83155,187.120275,179.399825
179.862825,187.158325,179.426775
179.887525,187.2078,179.47595
179.91615,187.2477,179.4942
179.94825,187.295975,179.512575
179.9824,187.36965,179.553625
180.00215,187.40385,179.57125
180.0301,187.43955,179.5937
180.064825,187.482175,179.6663
180.09145,187.502575,179.69005
180.1171,187.524275,179.71575
180.15005,187.563775,179.733725
180.18635,187.610375,179.785225
180.21755,187.6461,179.809025
180.231925,187.686425,179.8355
180.282625,187.71905,179.862225
180.316025,187.752975,179.9101
180.36495,187.7931,179.94265
180.4021,187.8194,179.988825
180.42305,187.85765,180.0374
180.46255,187.900375,180.0644
180.4983,187.997425,180.089525
180.54045,188.0353,180.185325
180.5727,188.060825,180.21235
180.599675,188.105725,180.225225
180.64165,188.143675,180.238675
180.674,188.17465,180.253925
180.720975,188.215475,180.26615
180.748075,188.2348,180.285625
180.775225,188.263275,180.29965
180.8188,188.30265,180.34095
180.8541,188.33535,180.3665
180.892625,188.384875,180.380225
180.93085,188.416875,180.404225
