SPK_SPKC02a,SPK_SPKC06a,SPK_SPKC12a,SPK_SPKC13b
4100.28855,4100.537825,4100.042025,4100.0627
4103.65265,4100.54505,4100.062675,4100.179
4103.844025,4101.2654,4100.105475,4100.22305
4104.205075,4101.9132,4100.178925,4100.252925
4104.28005,4102.37365,4100.199475,4100.280675
4104.6444,4102.573025,4100.212475,4100.378025
4105.142325,4103.27875,4100.222975,4100.497875
4105.91055,4103.7529,4100.238525,4100.5357
4106.03595,4104.002475,4100.2529,4100.55895
4106.379875,4104.149975,4100.280625,4100.624225
4106.55095,4104.32715,4100.302975,4100.775925
4106.69055,4104.419575,4100.330575,4100.850175
4106.7199,4104.574825,4100.351625,4100.8922
4106.887725,4104.702525,4100.359575,4100.980025
4107.0424,4105.284575,4100.377925,4101.0895
4107.711475,4105.303075,4100.416875,4101.127475
4108.19905,4105.3916,4100.455675,4101.16395
4108.3659,4105.444925,4100.497825,4101.303925
4108.610675,4106.01905,4100.53565,4101.443
4108.6474,4106.05945,4100.558875,4101.5906
4108.933175,4106.10685,4100.62415,4101.642475
4109.309575,4106.7154,4100.6833,4101.67235
4109.796125,4107.133425,4100.692725,4101.697575
4110.829025,4107.372125,4100.741025,4101.75
4110.9138,4107.4723,4100.775875,4101.77485
4111.09925,4108.05175,4100.85015,4101.806
4111.3648,4108.4357,4100.89215,4101.853875
4111.4775,4108.91815,4100.979925,4101.8851
4111.684825,4109.246225,4101.089475,4101.906
4112.017575,4109.4851,4101.12735,4101.940725
4112.195525,4109.66365,4101.163925,4101.9763
4112.368475,4109.905425,4101.303875,4102.002325
4112.471,4109.930025,4101.38395,4102.065725
4113.09815,4109.96915,4101.44295,4102.116025
4113.107825,4110.196,4101.53315,4102.159475
4113.21795,4110.574075,4101.590525,4102.20155
4114.693525,4110.67955,4101.6424,4102.245125
4115.54475,4110.757075,4101.67225,4102.326025
4116.327175,4111.330325,4101.69755,4102.36355
4117.002575,4111.47415,4101.7261,4102.3907
4117.30955,4111.632925,4101.749925,4102.434275
4118.423675,4111.71285,4101.7748,4102.48055
4118.695225,4111.749775,4101.80595,4102.531925
4119.0244,4112.01285,4101.82295,4102.565175
4119.3522,4112.31775,4101.85385,4102.59215
4119.44765,4112.392325,4101.88505,4102.637775
4119.8043,4112.5057,4101.905925,4102.674875
4120.746975,4112.62895,4101.940675,4102.770825
4122.77245,4112.706125,4101.97625,4102.857025
4123.201225,4112.74315,4102.00225,4102.909
4123.33265,4113.073075,4102.065725,4102.967325
4123.38285,4113.221775,4102.11595,4103.07535
4123.4243,4113.317425,4102.15945,4103.15545
4123.978475,4113.44005,4102.201475,4103.25235
4124.0597,4113.482975,4102.24505,4103.329
4125.2751,4113.50805,4102.2721,4103.364475
4125.40955,4113.609625,4102.325975,4103.41005
4126.539275,4113.6826,4102.363475,4103.488325
4126.9405,4113.918125,4102.39065,4103.539725
4127.11495,4114.411725,4102.434175,4103.650075
4127.145875,4114.672875,4102.48055,4103.680275
4128.07985,4115.518225,4102.531875,4103.695775
4128.2658,4116.064,4102.56515,4103.716225
4128.455225,4116.4813,4102.592075,4103.758525
4128.5381,4117.35335,4102.63765,4103.774375
