SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
181.057925,160.033975
181.5053,160.116125
182.2161,160.26065
183.132575,160.3759
183.686325,160.47145
183.80725,160.558525
184.854825,160.66245
184.98195,160.759425
185.35755,160.84775
185.573475,161.004975
185.783425,161.22985
185.89265,161.31095
186.035475,161.423275
186.434525,161.460375
186.754625,161.515925
186.87745,161.610775
187.289075,161.693625
187.37565,161.7943
187.44495,161.890725
187.54165,162.0002
187.857025,162.099275
188.0594,162.220425
188.22465,162.40585
188.22985,162.521025
188.339725,162.617375
188.72745,162.737775
188.9803,162.8889
189.21565,162.9891
189.274875,163.045375
189.5091,163.1716
189.597025,163.2513
189.787875,163.309475
189.9412,163.3518
190.158025,163.388825
190.384825,163.428475
190.5032,163.450225
190.743925,163.50685
190.890425,163.569775
190.987325,163.6224
191.147025,163.702475
191.4154,163.752575
191.591125,163.807075
191.716175,163.90125
191.85375,163.9922
191.945025,164.07165
192.06745,164.14335
192.278225,164.204225
192.3953,164.3043
192.576825,164.35985
192.754025,164.59825
193.008875,164.69995
193.412775,164.79595
193.577675,164.9051
193.7631,165.014725
193.933375,165.106
194.1051,165.22435
194.303425,165.4152
194.607925,165.53315
194.8175,165.6836
194.947325,165.790075
195.10955,165.88455
195.3429,166.0825
195.68425,166.1786
196.076125,166.245875
196.242125,166.324
196.588,166.504575
196.68585,166.645675
197.0534,166.7494
197.2144,166.953375
197.353625,167.027875
197.45825,167.213975
197.613175,167.3211
197.85985,167.429175
197.951925,167.5136
198.0715,167.582125
198.260625,167.678775
198.45085,167.772575
198.599375,167.867625
198.806525,167.956775
199.03035,168.075925
199.2514,168.299825
199.525625,168.385125
199.7228,168.484675
199.829575,168.641025
200.01515,168.73915
200.145225,168.913175
200.38095,169.01045
200.5259,169.076425
200.668625,169.146125
200.8711,169.26405
201.242875,169.362475
201.39805,169.5688
201.65865,169.67745
201.783575,169.79625
202.0946,169.91035
202.307825,170.02475
202.593175,170.139325
202.7108,170.2222
203.130425,170.352275
203.356775,170.448525
203.582725,170.53965
203.795625,170.70285
203.9037,170.861525
204.091225,170.93655
204.19655,171.10095
204.56875,171.189425
204.629225,171.26575
204.8667,171.36945
205.053025,171.4631
205.2669,171.60525
205.906925,171.721825
206.03765,171.8965
