SPK_SPKC01a,SPK_SPKC05a
300.01035,300.0236
300.029125,300.099575
300.0448,300.13275
300.064775,300.141825
300.088375,300.16145
300.1043,300.20995
300.126625,300.263375
300.1426,300.3054
300.168275,300.34115
300.186925,300.345975
300.211975,300.3754
300.237775,300.383025
300.24675,300.473825
300.248425,300.541875
300.2762,300.568925
300.327175,300.6065
300.34145,300.638025
300.353725,300.665825
300.35865,300.7058
300.3686,300.765075
300.383025,300.7828
300.39555,300.933775
300.40925,300.993075
300.416575,301.03975
300.419275,301.0628
300.4278,301.102125
300.436525,301.152275
300.45245,301.16255
300.491575,301.18465
300.501575,301.213725
300.518425,301.330325
300.532425,301.340675
300.54705,301.41635
300.5657,301.4477
300.579475,301.512425
300.62495,301.5757
300.6481,301.637825
300.668525,301.664925
300.70495,301.68275
300.7214,301.689575
300.743475,301.749025
300.764825,301.808475
300.781925,301.81925
300.811225,301.869
300.8287,301.8764
300.847025,301.898025
300.856175,301.92245
300.869025,301.989225
300.882225,302.02425
300.89525,302.05205
300.9068,302.112975
300.920725,302.170225
300.93565,302.226
300.9683,302.24835
300.99445,302.265475
301.0142,302.287225
301.0555,302.297175
301.08245,302.40875
301.110075,302.4381
301.137525,302.464375
301.18115,302.494875
301.204475,302.52205
301.22025,302.5707
301.232675,302.6337
301.241875,302.635075
301.259575,302.7048
301.320975,302.711725
301.3404,302.747375
301.352725,302.755075
301.366725,302.7696
301.41,302.8165
301.431025,302.848475
301.441675,302.87025
301.45465,302.923825
301.4639,302.96605
301.482625,302.987225
301.496275,303.0172
301.510875,303.030425
301.53215,303.064825
301.553975,303.116975
301.563675,303.170975
301.591075,303.18495
301.608675,303.217575
301.621075,303.250825
301.64215,303.30635
301.66275,303.34685
301.67655,303.422175
301.71265,303.461675
301.727925,303.50225
301.757125,303.5235
301.794575,303.573075
301.85555,303.606125
301.8646,303.641625
301.873725,303.6871
301.8955,303.70565
301.923525,303.748
301.942625,303.80095
301.972775,303.81125
301.985375,303.88585
301.99675,303.9049
302.01065,303.970025
302.029725,304.09395
302.044125,304.180375
302.066775,304.19535
302.0836,304.225875
302.0957,304.2753
302.115375,304.30855
302.127275,304.3397
302.1399,304.37845
302.1639,304.41875
302.176925,304.422925
302.188375,304.506425
302.206575,304.592125
302.218375,304.603925
302.2275,304.611725
302.246975,304.6169
302.266025,304.626425
302.28195,304.699075
302.300125,304.78305
302.31735,304.832125
302.344725,304.8519
302.35535,304.8825
302.39635,304.90465
302.42065,304.95145
302.4499,304.99815
302.498625,305.006375
302.5209,305.0355
302.561625,305.07315
302.576425,305.151325
302.588275,305.1631
302.605575,305.17125
302.6195,305.218375
302.6282,305.224325
302.63965,305.258325
302.66535,305.287425
302.676275,305.318675
302.687975,305.32735
302.70095,305.384225
302.72725,305.4105
302.736925,305.44145
302.74835,305.4789
302.76325,305.491175
302.770675,305.534875
302.776775,305.548975
302.78475,305.57425
302.795775,305.602
302.826475,305.631425
302.851225,305.69225
302.860525,305.718875
302.872175,305.736625
302.89235,305.756325
302.9189,305.778875
302.930425,305.82715
302.95185,305.8777
302.959775,305.910325
302.9873,305.9235
303.000475,305.948175
303.023225,305.98305
303.02955,305.995775
303.034125,306.050175
303.04515,306.107575
303.060175,306.124675
303.0713,306.1552
303.085025,306.182175
303.0974,306.241175
303.113175,306.27755
303.1298,306.304225
303.16245,306.305225
303.182225,306.3137
303.199825,306.32365
303.20475,306.39035
303.2287,306.410075
303.24555,306.41495
303.2615,306.43285
303.288225,306.443575
303.294825,306.463875
303.304675,306.54295
303.328125,306.592725
303.348225,306.60805
303.382725,306.628
303.4047,306.64365
303.41845,306.67
303.4394,306.762925
303.45345,306.78495
303.4727,306.844125
303.484425,306.91115
303.507575,306.9328
303.546925,306.97025
303.5674,307.0018
303.5981,307.0117
303.616,307.093725
303.63505,307.128475
303.65305,307.177725
303.66705,307.1903
303.69095,307.221825
303.71645,307.2553
303.72145,307.2852
303.737425,307.393875
303.749625,307.410075
303.78065,307.4232
303.79825,307.4779
303.814675,307.499
303.8219,307.579675
303.839325,307.5912
303.85715,307.6085
303.87905,307.6245
303.897225,307.65975
303.91285,307.66405
303.92515,307.70915
303.943825,307.7404
303.96595,307.74295
303.980775,307.771325
304.0145,307.796575
304.02985,307.8134
304.045925,307.867225
304.0641,307.881825
304.087225,307.9129
304.105175,307.936175
304.131425,307.946275
304.152425,308.0054
304.19245,308.0195
304.2134,308.0386
304.226025,308.0695
304.235575,308.087875
304.242125,308.132775
304.2633,308.1801
304.270175,308.271025
304.282675,308.2956
304.30945,308.331
304.3118,308.385075
304.3301,308.464375
304.3489,308.52995
304.3537,308.552725
304.35975,308.60245
304.364475,308.639525
304.369075,308.6482
304.379675,308.772275
304.38685,308.86705
304.39315,308.901775
304.408125,308.95625
304.4207,308.9987
304.434625,309.031875
304.4509,309.07215
304.46195,309.102375
304.471475,309.154125
304.4928,309.181825
304.50435,309.2198
304.5304,309.25295
304.54765,309.383
304.571825,309.41705
304.589225,309.466425
304.60545,309.525475
304.63055,309.579125
304.665975,309.591725
304.6707,309.6045
304.680625,309.62045
304.689075,309.7334
304.70325,309.7649
304.71785,309.795975
304.724475,309.798025
304.732675,309.82595
304.73965,309.891475
304.7445,309.99525
304.7511,310.056025
304.76075,310.083025
304.765525,310.119625
304.774575,310.1287
304.782725,310.159725
304.823275,310.185725
304.84825,310.1979
304.8686,310.227625
304.871525,310.308025
304.885875,310.34825
304.90045,310.386175
304.909175,310.40475
304.921625,310.420775
304.939575,310.4257
304.96325,310.461325
304.983725,310.5004
305.0018,310.543225
305.011125,310.61585
305.015625,310.696225
305.027375,310.742175
305.037425,310.7702
305.0451,310.7796
305.060575,310.814775
305.06815,310.842775
305.0852,310.8914
305.088675,310.93695
305.0966,310.9715
305.101275,311.01865
305.110175,311.0606
305.144025,311.09785
305.177225,311.155125
305.1876,311.1921
305.22985,311.23435
305.262675,311.276375
305.285425,311.3057
305.305975,311.35105
305.320475,311.401525
305.3292,311.463325
305.3396,311.5316
305.3539,311.602275
305.3773,311.6285
305.38725,311.71655
305.392075,311.77575
305.409725,311.81095
305.424325,311.957225
305.43825,312.0345
305.461375,312.066925
305.474225,312.076225
305.4869,312.109025
305.495575,312.16235
305.50525,312.1821
305.512875,312.21755
305.51875,312.284475
305.528225,312.306025
305.541925,312.3642
305.553475,312.413725
305.57845,312.46765
305.588625,312.4916
305.60905,312.52725
305.61575,312.629325
305.623575,312.65965
305.64095,312.68375
305.6542,312.68955
305.673875,312.7603
305.69175,312.7855
305.725,312.7963
305.738,312.824425
305.76055,312.901175
305.776875,312.929875
305.79625,312.9779
305.813575,313.0097
305.83185,313.076575
305.84425,313.1012
305.8557,313.134025
305.87045,313.20045
305.87965,313.22275
305.891675,313.253125
305.910675,313.277075
305.924725,313.297375
305.933825,313.3089
305.9437,313.333425
305.9613,313.363725
305.9758,313.40015
305.9913,313.426125
306.005575,313.5066
306.02105,313.5475
306.041325,313.568725
306.0615,313.588975
306.063725,313.624725
306.082825,313.65135
306.116675,313.716925
306.136375,313.73735
306.162575,313.773025
306.1756,313.81045
306.18665,313.8249
306.20215,313.867
306.212825,313.903575
306.238075,313.92485
306.244075,313.95575
306.254625,313.962425
306.267,313.972875
306.276125,313.9768
306.281325,313.9939
306.2892,314.026325
306.304725,314.088175
306.31435,314.122975
306.32075,314.16025
306.3311,314.18715
306.33735,314.2293
306.345425,314.24285
306.3786,314.2774
306.39025,314.318
306.405525,314.36125
306.418025,314.381875
306.436825,314.411725
306.448475,314.466
306.45895,314.49195
306.489425,314.505275
306.501,314.527575
306.512525,314.57345
306.523025,314.615375
306.54325,314.68415
306.545175,314.703025
306.5811,314.7198
306.6016,314.732125
306.628875,314.76385
306.634225,314.809525
306.6498,314.831825
306.659975,314.86895
306.6752,314.880225
306.6864,314.89655
306.695125,314.945225
306.701625,315.00145
306.73015,315.03755
306.7318,315.054975
306.736,315.07655
306.744175,315.077775
306.791375,315.096225
306.8025,315.1149
306.83735,315.160775
306.852525,315.187625
306.862675,315.231725
306.87335,315.258075
306.88855,315.2728
306.899825,315.30525
306.90915,315.32435
306.919725,315.33385
306.940775,315.3685
306.9478,315.3839
306.960175,315.40785
306.9738,315.4672
306.990925,315.48645
307.002975,315.500425
307.023325,315.516575
307.031625,315.598625
307.05865,315.6083
307.0774,315.627375
307.10095,315.691575
307.111175,315.718725
307.144675,315.735
307.18345,315.75175
307.1902,315.784225
307.20045,315.795525
307.210375,315.8165
307.258975,315.84275
307.267175,315.920875
307.2927,315.95635
307.300125,315.95895
307.310925,315.993525
307.318125,316.0073
307.35975,316.041525
307.3738,316.063675
307.3949,316.12595
307.407575,316.144525
307.41915,316.17645
307.44015,316.2282
307.49425,316.2518
307.54,316.267025
307.54995,316.281825
307.565675,316.296625
307.5811,316.338725
307.591375,316.388475
307.606625,316.41285
307.622225,316.4256
307.627625,316.462875
307.641825,316.488
307.6568,316.618075
307.66785,316.647325
307.6828,316.719875
307.6912,316.737175
307.71345,316.763025
307.723925,316.78865
307.73305,316.82305
307.746075,316.837625
307.753375,316.839925
307.76275,316.8762
307.790175,316.90935
307.809225,316.95365
307.818,316.982
307.839825,317.0076
307.848675,317.027525
307.860275,317.035625
307.88355,317.0433
307.895875,317.0705
307.9286,317.0877
307.9547,317.108575
307.968825,317.138425
307.9885,317.19525
308.00025,317.236325
308.0124,317.270425
308.024725,317.331
308.0391,317.356725
308.053325,317.397925
308.064075,317.422125
308.0801,317.476925
308.098175,317.48385
308.1085,317.489525
308.124675,317.504975
308.14935,317.52455
308.168525,317.548975
308.1915,317.57695
308.2064,317.59335
308.2243,317.607425
308.24285,317.642575
308.2541,317.6663
308.26935,317.667875
308.282725,317.724175
308.295125,317.779725
308.302675,317.8294
308.31765,317.8568
308.3313,317.878125
308.348325,317.955675
308.369525,317.973975
308.421775,317.9815
308.43295,318.03535
308.450725,318.0716
308.4674,318.0887
308.484,318.113275
308.510175,318.1329
308.517275,318.146775
308.539925,318.187275
308.55425,318.2257
308.562975,318.260025
308.5801,318.287375
308.59115,318.382025
308.60415,318.4157
308.611525,318.518225
308.62145,318.5599
308.637175,318.585025
308.64255,318.60755
308.658075,318.620925
308.6757,318.652375
308.6947,318.66985
308.736825,318.701825
308.747175,318.720975
308.760775,318.744775
308.778825,318.763575
308.798675,318.7834
308.81975,318.800175
308.854175,318.8486
308.891225,318.8666
308.898625,318.87645
308.9196,318.89615
308.930825,318.918575
308.935325,318.932275
308.953,318.95315
308.960875,319.0043
308.9695,319.03335
308.9792,319.06085
308.9944,319.0845
309.001975,319.1217
309.025575,319.140075
309.035,319.1729
309.047375,319.20335
309.0673,319.2209
309.0876,319.238925
309.09195,319.260675
309.097675,319.307325
309.110425,319.345675
309.118,319.352975
309.127,319.423075
309.133625,319.426575
309.1565,319.4592
309.185525,319.48855
309.19315,319.529425
309.21615,319.55875
309.2309,319.590375
309.2437,319.62425
309.257225,319.652825
309.2718,319.67125
309.2824,319.6974
309.29405,319.745525
309.3162,319.80345
309.34335,319.8412
309.37215,319.87485
309.389525,319.89745
309.40755,319.9434
309.41635,319.9975
309.427825,320.02865
309.4348,320.10325
309.4434,320.1391
309.4504,320.16485
309.45875,320.29665
309.466975,320.305125
309.4749,320.345175
309.49,320.36785
309.49315,320.427525
309.495075,320.46805
309.511725,320.472375
309.54885,320.514
309.595125,320.54815
309.5965,320.590375
309.599825,320.624225
309.608725,320.648575
309.6178,320.682175
309.6524,320.744225
309.6726,320.815725
309.6867,320.950675
309.71545,320.995175
309.7271,321.012425
309.74085,321.0817
309.7541,321.10665
309.76735,321.142725
309.78085,321.174925
309.795525,321.2135
309.8122,321.262025
309.823925,321.3334
309.86185,321.3522
309.8957,321.37705
309.917725,321.398825
309.92745,321.48025
309.93615,321.62315
309.94425,321.642275
309.957075,321.720775
309.960825,321.752425
309.97425,321.77805
309.979,321.825925
309.996475,321.857325
310.00395,321.9017
310.008375,321.9151
310.0241,321.943375
310.0372,321.961675
310.0448,321.9796
310.059325,322.07075
310.069875,322.087525
310.087125,322.1384
310.106725,322.1478
310.13975,322.161825
310.168725,322.2014
310.177475,322.223
310.188825,322.246875
310.199475,322.274575
310.206025,322.307575
310.2341,322.34495
310.242175,322.39295
310.245875,322.40625
310.2567,322.423025
310.260475,322.45405
310.28135,322.469
310.2911,322.484275
310.321875,322.52235
310.338275,322.571475
310.35215,322.70025
310.3679,322.727325
