SPK_SPKC01c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a
540.01875,540.018825,540.012625,540.03355,540.047575
540.048425,540.0485,540.277925,540.056825,540.077525
540.074775,540.106575,540.330075,540.078675,540.10195
540.1065,540.130575,540.639125,540.107275,540.122375
540.1305,540.1721,540.766075,540.12785,540.147775
540.152125,540.1968,540.837825,540.146575,540.21555
540.172,540.2248,541.03915,540.16235,540.2557
540.1967,540.256625,541.090975,540.18185,540.2694
540.210525,540.2647,541.114175,540.20415,540.292225
540.2247,540.300775,541.142125,540.2319,540.3408
540.23465,540.377925,541.210825,540.24165,540.3639
540.241225,540.3897,541.290125,540.24995,540.398175
540.249825,540.40605,541.4603,540.26055,540.418075
540.2565,540.43645,541.526825,540.2653,540.45695
540.264625,540.4531,541.55065,540.2713,540.484575
540.276,540.479,541.597225,540.2881,540.5181
540.2806,540.5159,541.60965,540.293225,540.53935
540.285,540.555325,541.804525,540.301775,540.551275
540.288675,540.577925,541.88935,540.317575,540.568675
540.300675,540.581825,541.916125,540.348025,540.62425
540.3063,540.58505,542.116375,540.3704,540.645225
540.318275,540.62535,542.14795,540.38625,540.67005
540.322025,540.687275,542.15515,540.4052,540.7264
540.3358,540.70805,542.16085,540.42245,540.7466
540.34435,540.73805,542.16755,540.439125,540.75905
540.361175,540.7634,542.19705,540.461,540.794
540.377825,540.79925,542.20655,540.481075,540.80355
540.389575,540.804275,542.2118,540.494625,540.80715
540.405975,540.8162,542.261225,540.514125,540.810625
540.417225,540.82715,542.26915,540.535125,540.83545
540.4364,540.898825,542.276125,540.543175,540.8954
540.453,540.913375,542.328675,540.5499,540.92285
540.46535,540.9316,542.37505,540.56925,540.936925
540.478925,540.99855,542.406475,540.572025,541.0043
540.49915,541.05665,542.6518,540.583425,541.049675
540.515825,541.0589,542.71095,540.66825,541.05795
540.535975,541.0615,542.83045,540.688975,541.067275
540.555275,541.0693,542.836725,540.71335,541.089775
540.566375,541.1462,542.846275,540.7362,541.109275
540.569975,541.17705,542.9061,540.753075,541.16465
540.572375,541.224275,542.9104,540.789575,541.2199
540.57525,541.256325,542.9143,540.794275,541.2345
540.5779,541.39565,542.930475,540.806325,541.269075
540.5874,541.406025,542.943225,540.809525,541.29005
540.59075,541.41715,542.94605,540.8155,541.3313
540.59525,541.4562,542.960725,540.8277,541.3684
540.625225,541.516875,542.963475,540.91045,541.402875
540.63665,541.521625,542.978275,540.933975,541.42905
540.655125,541.535725,542.993125,540.952325,541.4696
540.668775,541.5421,543.00465,540.970825,541.534825
540.6872,541.617425,543.2379,540.98385,541.5453
540.707975,541.63085,543.263175,540.994875,541.576775
540.720625,541.6941,543.462875,541.0111,541.589675
540.737975,541.719875,543.520125,541.02795,541.615975
540.750825,541.745275,543.765025,541.05375,541.633675
540.7772,541.7773,543.790125,541.06795,541.653625
540.785575,541.790475,543.845775,541.07655,541.6732
540.793825,541.812775,544.0324,541.085075,541.69835
540.7992,541.922475,544.12385,541.09615,541.7239
540.811575,541.968075,544.160425,541.101825,541.75315
