SPK_SPKC01a,SPK_SPKC06a
0.014225,0.577375
0.0284,0.8131
0.049975,1.925125
0.07295,1.947275
0.086775,1.972075
0.102125,1.995175
0.11555,2.01205
0.1295,2.031725
0.1436,2.049425
0.1734,2.074175
0.18725,2.106325
0.2162,2.13345
0.224125,2.16275
0.230725,2.186475
0.237075,2.2529
0.245075,2.278225
0.252175,2.299
0.2588,2.3151
0.26365,2.333825
0.269825,2.3587
0.29945,2.36985
0.313475,2.38125
0.327525,2.399825
0.33515,2.417875
0.34795,2.427475
0.35615,2.436825
0.37545,2.446725
0.382775,2.460025
0.396875,2.477
0.405925,2.493175
0.413725,2.50685
0.436725,2.5185
0.4491,2.52775
0.468575,2.531425
0.48265,2.535725
0.49285,2.5543
0.50515,2.5836
0.515575,2.6365
0.53215,2.659725
0.559775,2.7005
0.575275,2.750625
0.59875,2.77585
0.614625,2.8058
0.6275,2.8334
0.6586,2.855225
0.663225,2.88415
0.682575,2.92065
0.698925,2.93665
0.7509,3.0038
0.766125,3.06505
0.797625,3.10785
0.81425,3.1399
0.8262,3.1735
0.84335,3.2269
0.860975,3.280475
0.877125,3.3091
0.89685,3.3683
0.903275,3.40485
0.906875,3.43005
0.911475,3.46525
0.929325,3.509475
0.941425,3.52595
0.946325,3.548525
0.95795,3.61375
0.966175,3.65105
0.97475,3.674625
0.99435,3.711525
0.9999,3.74885
1.0097,3.775725
1.014525,3.80805
1.01985,3.842725
1.028125,4.607925
1.034025,4.610575
1.046575,4.612275
1.06805,4.613775
1.10325,4.628
1.1298,4.633125
1.13605,4.63745
1.1472,4.644
1.148775,4.651325
1.1544,4.65625
1.163125,4.664475
1.170925,4.6763
1.183875,4.686975
1.23555,4.695625
1.247425,4.708525
1.257725,4.7214
1.27195,4.730725
1.29755,4.742425
1.3077,4.75425
1.312,4.76405
1.3194,4.774325
1.324475,4.7865
1.345275,4.7974
1.3873,4.810225
1.409,4.822
1.432675,4.83705
1.4428,4.84795
1.4494,4.865525
1.521225,4.88075
1.536675,4.895075
1.565525,4.9049
1.594575,4.924875
1.609025,4.93795
1.635475,4.9502
1.653,4.961525
1.6754,4.976975
1.701275,4.99165
1.728025,5.004075
1.743725,5.015975
1.75005,5.034675
1.757725,5.0456
1.783375,5.059375
1.795425,5.071
1.801775,5.089575
1.81205,5.1059
1.817575,5.1172
1.842025,5.135375
1.90165,5.155075
1.954225,5.169125
1.9815,5.183
2.024975,5.19695
2.04505,5.21025
2.056125,5.2301
2.0611,5.24305
2.06955,5.258175
2.09435,5.274825
2.099625,5.286425
2.10905,5.30005
2.1101,5.312425
2.128875,5.327475
2.133575,5.34425
2.140725,5.3575
2.159375,5.372775
2.16105,5.3841
2.181175,5.402125
2.182575,5.4196
2.2019,5.43275
2.206,5.448175
2.2083,5.468175
2.2425,5.48475
2.2993,5.499225
2.3195,5.51565
2.3303,5.53165
2.34895,5.55245
2.39055,5.565425
2.406525,5.581075
2.429125,5.594075
2.45395,5.609125
2.4623,5.620225
2.470625,5.63215
2.485575,5.64995
2.4893,5.6625
2.493325,5.6776
2.49785,5.69715
2.503475,5.7177
2.5074,5.733675
2.520075,5.749825
2.53665,5.76545
2.565725,5.78235
2.62215,5.7967
2.62495,5.812075
2.6466,5.827175
2.675675,5.842775
2.685475,5.855225
2.711375,5.866075
2.73345,5.876575
2.742375,5.892775
2.751675,5.909375
2.7706,5.925125
2.8026,5.942425
2.83685,5.956325
2.85985,5.970925
2.868375,5.993225
2.878775,6.007475
2.888175,6.027775
2.9193,6.04935
2.923625,6.066225
2.9332,6.081325
2.942825,6.094675
2.9498,6.1147
2.964075,6.1338
2.971825,6.153275
2.983975,6.1732
2.995075,6.18885
3.00765,6.207725
3.02685,6.22525
3.035175,6.24405
3.043525,6.26115
3.054775,6.275975
3.08785,6.290875
3.09735,6.3004
3.1083,6.321825
3.1311,6.335125
3.136125,6.350775
3.155875,6.365
3.165875,6.377125
3.201675,6.393975
3.216125,6.40435
3.228175,6.4233
3.2488,6.4404
3.28545,6.455975
3.30165,6.468825
3.3051,6.485675
3.3306,6.501925
3.3668,6.519375
3.375525,6.54275
3.384725,6.561675
3.3894,6.580475
3.3927,6.60405
3.404975,6.63255
3.41,6.6561
3.416,6.673925
3.421125,6.692225
3.4303,6.71875
3.436525,6.735
3.443275,6.7521
3.478075,6.7726
3.4887,6.7898
3.5128,6.80765
3.522825,6.83235
3.5299,6.85295
3.5455,6.869
3.5554,6.895925
3.56355,6.91315
3.6015,6.93365
3.6165,6.9533
3.642925,6.967575
3.668425,6.985125
3.697075,7.0004
3.7195,7.018975
3.737425,7.03845
3.78615,7.0509
3.801775,7.06405
3.814625,7.078975
3.842225,7.0986
3.871375,7.114975
3.892275,7.1286
3.910625,7.145275
3.9186,7.1611
3.931375,7.17535
3.941275,7.191125
3.957525,7.20925
3.98385,7.227625
4.001675,7.24125
4.011425,7.255975
4.0314,7.26725
4.038025,7.283425
4.0424,7.2959
4.0576,7.311475
4.069275,7.3232
4.090825,7.338425
4.1015,7.3507
4.131625,7.36305
4.1549,7.3745
4.1674,7.3847
4.180075,7.39615
4.19685,7.4111
4.212125,7.423975
4.22735,7.4417
4.2369,7.460225
4.252275,7.47545
4.260325,7.488125
4.27085,7.5039
4.300225,7.5213
4.332375,7.5375
4.348025,7.54975
4.366075,7.565325
4.381325,7.58535
4.3915,7.599475
4.4063,7.626925
4.425225,7.647975
4.4434,7.6682
4.456475,7.68905
4.4727,7.70785
