SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC04b,SPK_SPKC05a
0.019675,0.082575,0.021725,0.027175,0.0976
0.13175,0.108075,0.0711,0.118625,0.166125
0.215525,0.120025,0.119875,0.1626,0.375
0.3905,0.16385,0.17945,0.25595,0.38595
0.4186,0.196375,0.325625,0.31105,0.40935
0.564725,0.24745,0.4827,0.36555,0.4211
1.0427,0.285875,0.517425,0.41905,0.434575
1.109,0.31885,0.541175,0.462125,0.56365
1.18985,0.34915,0.617625,0.502925,0.6396
1.458925,0.37205,0.6692,0.519975,0.71585
1.49925,0.3996,0.72885,0.5537,0.7266
1.544125,0.45975,0.85925,0.5887,0.7585
1.883575,0.507525,0.957775,0.6277,0.953825
1.961225,0.53805,1.096775,0.6989,1.22255
2.00085,0.56835,1.2091,0.7752,1.51975
2.13545,0.636375,1.294875,0.834725,1.55615
2.24585,0.677025,1.368875,0.89495,1.668825
2.30045,0.67955,1.45945,0.930875,1.805
2.825975,0.7207,1.5696,1.084025,2.0373
3.033475,0.7743,1.6963,1.161225,2.05785
3.071825,0.795975,1.8421,1.2328,2.126475
3.11205,0.80325,2.007525,1.271,2.1374
3.17635,0.8248,2.05675,1.335475,2.1624
3.408825,0.849325,2.102525,1.37295,2.252025
3.51905,0.87905,2.199375,1.62565,2.28765
3.54235,0.890575,2.341225,1.755875,2.353875
3.55945,0.905525,2.364525,1.829825,2.562875
3.5985,0.924875,2.36675,1.965225,2.5953
3.680775,0.993175,2.40255,2.0288,2.609575
3.819275,1.025225,2.5233,2.090825,2.62285
3.839125,1.05195,2.601125,2.154025,2.658325
4.042075,1.0693,2.647575,2.20175,2.870775
4.111175,1.10235,2.705925,2.3111,2.9464
4.3122,1.114175,2.75425,2.34965,2.9986
4.444125,1.136525,2.809075,2.374225,3.058775
4.541175,1.1704,2.873075,2.4527,3.133575
4.6157,1.270775,2.9319,2.508475,3.169275
4.657325,1.332925,2.976675,2.65095,3.206
4.7759,1.366825,3.008775,2.69675,3.279825
4.853075,1.448775,3.061375,2.739825,3.3621
5.2102,1.466175,3.110775,2.83605,3.41705
5.45225,1.580075,3.142425,2.911125,3.454975
5.63105,1.630425,3.20735,3.000225,3.4577
5.81295,1.663175,3.28575,3.052025,3.5469
6.050525,1.680675,3.339325,3.075075,3.65015
6.167775,1.68935,3.391475,3.115125,3.709775
6.4268,1.72995,3.4134,3.16835,3.8127
6.508175,1.760475,3.50115,3.290375,4.06895
6.544825,1.790225,3.56245,3.346375,4.142175
6.545875,1.851825,3.6258,3.383625,4.21355
6.65775,1.853625,3.697325,3.4389,4.242
6.70975,1.943125,3.8456,3.5316,4.310725
6.866,1.9741,3.91875,3.682725,4.334525
7.031725,2.0039,4.029925,3.735125,4.379
7.14725,2.066925,4.18015,3.812625,4.421125
7.243875,2.075475,4.24105,3.89895,4.53375
7.41285,2.084875,4.288125,3.9745,4.567425
7.470925,2.143625,4.300475,4.036625,4.569625
7.483975,2.185525,4.337875,4.0768,4.63215
7.599175,2.22055,4.3722,4.1726,4.668925
7.8906,2.253625,4.455525,4.21945,4.934875
7.931125,2.343925,4.5368,4.249,5.070725
8.093125,2.372875,4.631675,4.303075,5.1794
8.1766,2.422875,4.675775,4.3458,5.20385
8.222325,2.424575,4.756575,4.3894,5.291375
8.3219,2.502825,4.8119,4.435825,5.3261
8.335475,2.531725,4.87075,4.487025,5.404025
8.55675,2.56555,5.15305,4.5855,5.499575
8.8644,2.592,5.203225,4.665075,5.569
9.0624,2.629575,5.279575,4.730475,5.6133
9.09165,2.669425,5.3662,4.7799,5.633275
9.484775,2.6726,5.435575,4.832625,5.662125
9.51245,2.7603,5.486975,4.91285,5.77855
9.75635,2.798975,5.51815,4.971325,5.78185
9.893925,2.85365,5.569825,5.0267,5.8645
9.9274,2.95285,5.63725,5.079225,5.945225
10.601875,2.97455,5.759075,5.117725,6.122875
10.6741,2.9993,5.7636,5.1504,6.19785
10.926675,3.049725,5.783975,5.182525,6.367525
11.0605,3.121175,5.87115,5.238375,6.3963
11.453125,3.150575,5.972575,5.284475,6.479175
11.542225,3.163625,6.0519,5.322825,6.549175
11.685975,3.2025,6.10785,5.36435,6.579475
11.778475,3.2212,6.170225,5.511825,6.8106
11.799825,3.244475,6.26715,5.562425,6.8467
11.819875,3.262175,6.29995,5.5921,6.889475
12.148175,3.2873,6.324175,5.658425,7.154675
12.15455,3.316175,6.38675,5.6974,7.195525
12.1886,3.3391,6.3918,5.756375,7.3831
12.295375,3.44305,6.5252,5.960825,7.4141
12.370675,3.4594,6.583325,6.01535,7.416625
12.402625,3.4973,6.665075,6.073375,7.5547
12.46585,3.4988,6.796475,6.099875,7.623575
12.494825,3.51875,6.85805,6.16595,7.63045
12.559175,3.601875,6.95155,6.23735,7.668375
12.637625,3.640625,7.023375,6.26875,7.672875
12.70645,3.66075,7.110925,6.288625,7.711275
12.79475,3.701875,7.253,6.321075,7.9003
12.8226,3.7312,7.45025,6.382575,8.0123
13.138325,3.7845,7.5642,6.4577,8.232975
13.258075,3.804425,7.69495,6.539525,8.315325
13.418025,3.841775,7.771975,6.5948,8.43315
13.574925,3.940225,7.826125,6.651575,8.51435
13.65105,3.971325,7.9829,6.6888,8.7926
13.6668,4.006925,8.1155,6.761225,8.85145
13.82,4.028975,8.188925,6.800675,8.927375
13.9269,4.07515,8.2847,6.860225,8.9513
14.16905,4.10225,8.369625,7.0141,8.97595
14.412725,4.1706,8.435925,7.16645,8.982675
14.650325,4.251175,8.5121,7.261,9.023325
14.676125,4.30445,8.56525,7.30985,9.137175
14.75205,4.360075,8.633,7.552525,9.212025
14.80285,4.38855,8.69645,7.65465,9.240325
14.925525,4.44745,8.7631,7.711325,9.253275
15.001775,4.519725,8.825975,7.765025,9.323425
15.04185,4.54255,8.86335,7.8075,9.47105
15.71215,4.574825,8.88345,7.91465,9.589725
15.944625,4.63575,8.954875,7.999025,9.593125
16.00635,4.6456,8.994975,8.0843,9.642025
16.083825,4.684225,9.0846,8.1541,9.714575
16.15495,4.70615,9.216725,8.293325,9.7793
16.247725,4.73255,9.272675,8.342175,9.86995
17.026825,4.7835,9.31165,8.380325,9.941925
17.21265,4.875875,9.39335,8.412375,10.029375
17.36565,4.9649,9.481175,8.431,10.077875
17.703025,4.9836,9.5571,8.48695,10.1198
17.75135,5.02635,9.60335,8.5266,10.30225
17.826625,5.066475,9.66055,8.595025,10.44185
17.869925,5.088875,9.6957,8.647225,10.4802
17.8977,5.11125,9.753475,8.69265,10.513575
17.97235,5.180425,9.87835,8.76035,10.632425
18.007,5.184625,9.968225,8.800325,10.66355
18.038925,5.23375,10.01815,8.8273,10.66555
18.170325,5.27825,10.067575,8.854525,10.87555
18.26525,5.29975,10.113925,8.89495,10.965975
18.301425,5.33935,10.1966,8.9489,10.96875
18.340525,5.35345,10.231125,9.02965,10.9921
18.381625,5.375225,10.267375,9.105175,10.99445
18.99215,5.421925,10.311375,9.19335,11.121875
19.23045,5.448175,10.3321,9.2189,11.137525
19.4335,5.48355,10.389125,9.278125,11.150325
19.74105,5.541075,10.4223,9.2975,11.160275
19.90025,5.5771,10.4877,9.3404,11.189475
19.955725,5.591825,10.519025,9.386025,11.449125
20.046125,5.6248,10.577325,9.47675,11.47315
20.08865,5.65545,10.6055,9.5521,11.491475
20.167175,5.745925,10.66655,9.57195,11.51125
20.457225,5.8266,10.7545,9.612875,11.5406
20.68635,5.884725,10.782475,9.68545,11.869175
20.9448,5.954725,11.0045,9.751175,12.004125
20.987425,5.989575,11.057225,9.806525,12.032675
21.1799,6.032075,11.1068,9.850325,12.138575
21.503775,6.06975,11.12735,9.905625,12.14805
21.64065,6.089375,11.168875,9.9374,12.17175
21.6725,6.103925,11.216675,10.02695,12.2007
21.758875,6.15245,11.2469,10.058875,12.201775
22.051275,6.181375,11.32125,10.1154,12.332375
22.136075,6.1955,11.3614,10.13985,12.365025
22.301425,6.1994,11.41845,10.162175,12.38265
22.33865,6.224825,11.449125,10.312825,12.473275
22.427675,6.273725,11.4604,10.379375,12.477175
22.48445,6.290925,11.482825,10.4651,12.500475
22.532,6.401125,11.5195,10.51625,12.703
22.56085,6.498325,11.560475,10.61305,12.779725
22.638325,6.568025,11.57635,10.653775,12.91265
22.6762,6.603175,11.61905,10.71095,12.919675
22.8223,6.63135,11.6616,10.729925,12.95425
22.89855,6.64595,11.722075,10.7532,12.99155
22.97225,6.6674,11.834525,10.775125,13.0466
23.235975,6.686375,11.85515,10.7985,13.06575
23.268575,6.729375,11.94245,10.821075,13.190925
23.4704,6.764125,11.960125,10.83585,13.2119
23.5896,6.782525,12.0167,10.865175,13.311575
23.70055,6.82565,12.03685,10.88315,13.3738
23.88435,6.85105,12.073225,10.9077,13.437
24.0971,6.85645,12.101225,10.9675,13.44255
24.191375,6.871025,12.228175,11.005675,13.504525
24.505425,6.916125,12.251075,11.025675,13.53055
24.552325,6.96375,12.349,11.0496,13.5848
24.681325,7.012125,12.38265,11.062075,13.619025
24.7509,7.09075,12.422825,11.0843,13.653825
25.065325,7.133225,12.501825,11.123025,13.7881
25.183175,7.184375,12.546025,11.13975,13.8964
25.25985,7.234675,12.67945,11.167575,13.9403
25.4518,7.26985,12.697,11.185925,14.05255
25.500925,7.31315,12.716675,11.2045,14.070625
25.5904,7.361125,12.7723,11.224025,14.143475
25.703425,7.4311,12.807425,11.237725,14.19855
25.74255,7.469375,12.850975,11.258875,14.2956
26.0595,7.5014,12.910825,11.269275,14.3178
26.094625,7.53775,12.958325,11.33515,14.44475
26.582275,7.5667,13.0073,11.34835,14.555825
26.62885,7.58705,13.048925,11.3664,14.5576
26.80535,7.61055,13.0927,11.40275,14.5663
26.905025,7.683,13.23505,11.44015,14.580875
27.057975,7.766,13.26395,11.47845,14.606425
27.102675,7.783125,13.298775,11.503425,14.6727
27.1765,7.80725,13.551125,11.530775,14.6749
27.2209,7.826,13.60345,11.56155,14.694525
27.5608,7.89485,13.692225,11.622375,14.82595
27.6717,7.911325,13.70235,11.64905,14.851125
27.97795,7.943475,13.71815,11.688325,14.917525
28.076325,7.980675,13.732825,11.7388,14.923125
28.216375,8.032875,13.75955,11.778175,14.976625
28.326775,8.07495,13.88915,11.842675,15.105925
28.510425,8.09445,13.936175,11.876,15.205625
28.5908,8.1295,13.98105,11.999525,15.34415
28.673975,8.1375,14.0135,12.0526,15.3833
28.74435,8.1944,14.031675,12.195625,15.4197
28.950175,8.232275,14.0762,12.232125,15.519375
28.996725,8.2428,14.15555,12.25245,15.565075
29.0402,8.2915,14.208375,12.427025,15.784975
29.101325,8.325275,14.24945,12.4704,15.786825
29.1415,8.350925,14.3055,12.52085,15.823125
29.295425,8.3539,14.3369,12.568375,15.9595
29.473925,8.386525,14.354525,12.602225,15.97665
29.5956,8.4202,14.38075,12.651575,16.04175
29.63115,8.4239,14.4815,12.70365,16.07495
29.674125,8.4536,14.55055,12.74025,16.19125
30.145275,8.4657,14.62085,12.7908,16.23705
30.280925,8.4911,14.647675,12.835875,16.2839
30.4025,8.4949,14.6757,12.882075,16.331475
30.692975,8.5473,14.858875,12.926925,16.37515
30.87185,8.5858,14.8986,13.056575,16.4092
31.00205,8.62255,14.94225,13.175,16.44225
31.124575,8.71265,15.0207,13.213975,16.469875
31.145575,8.843325,15.054475,13.243375,16.514725
31.20855,8.8612,15.13835,13.2579,16.55625
31.2873,8.8799,15.195825,13.301925,16.6346
31.3369,8.9593,15.23385,13.33585,16.642475
31.62645,8.98995,15.262425,13.4147,16.7564
31.710175,9.007775,15.342675,13.444625,16.94375
31.970875,9.049875,15.433925,13.46865,16.996075
32.41935,9.11155,15.5129,13.49745,17.019
32.659325,9.1473,15.599375,13.538975,17.070275
32.78745,9.1814,15.6536,13.625075,17.076775
33.088675,9.1872,15.744925,13.645775,17.2644
33.2067,9.23925,15.81395,13.748825,17.402025
33.37745,9.2655,15.87835,13.8747,17.433625
33.408125,9.270975,15.9422,13.959075,17.472
33.4812,9.3078,16.019025,14.009925,17.47615
33.517125,9.3544,16.0977,14.064525,17.539325
33.562825,9.363575,16.21025,14.109825,17.6049
33.9799,9.379975,16.29455,14.151225,17.722275
34.0954,9.39005,16.38875,14.240325,17.7635
34.2698,9.4155,16.4719,14.27345,17.796175
34.5628,9.45095,16.589025,14.312975,17.828225
34.59865,9.480075,16.6761,14.343,18.012425
34.638075,9.496,16.77535,14.38345,18.0327
34.677,9.576075,16.867075,14.41365,18.10715
34.91975,9.582275,16.9531,14.44695,18.207775
35.429875,9.605975,17.009125,14.485225,18.274975
35.61615,9.747425,17.07895,14.5405,18.2975
35.6919,9.786175,17.152875,14.5792,18.325125
