SPK_SPKC05a,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC13b
3800.1412,3800.012875,3800.2549,3800.05075
3800.2035,3800.0502,3800.26705,3800.104575
3800.26695,3800.283425,3800.66925,3800.262275
3800.296625,3800.44445,3800.7898,3800.321925
3800.312475,3800.518875,3801.025,3800.352375
3800.33285,3800.745475,3801.952075,3800.527475
3800.3675,3801.33555,3802.431625,3800.5777
3800.41775,3801.36685,3802.708375,3800.6472
3800.4335,3801.520325,3803.449825,3800.683475
3800.4778,3801.897,3803.578775,3800.83875
3800.51615,3802.3785,3803.9492,3800.92535
3800.582425,3802.841775,3804.382225,3800.99725
3800.648625,3802.938325,3804.40725,3801.004675
3800.669275,3803.31905,3804.54545,3801.110325
3800.705675,3803.588575,3804.5928,3801.19455
3800.723325,3803.619925,3804.6898,3801.29335
3800.74945,3803.8723,3804.70295,3801.33015
3800.767,3805.120375,3804.752475,3801.420975
3800.78965,3805.294025,3805.120325,3801.503975
3800.809075,3806.1648,3805.36795,3801.5659
3800.83325,3806.389575,3805.4219,3801.59535
3800.909175,3806.942425,3805.547675,3801.682375
3800.93075,3807.053225,3805.744875,3801.703575
3800.954075,3807.259925,3805.768275,3801.806225
3800.995625,3807.72805,3805.7848,3801.861775
3801.038725,3807.74525,3805.89695,3801.908975
3801.068075,3807.821175,3805.934025,3801.94185
3801.157875,3808.258675,3807.1228,3802.068075
3801.38045,3809.3971,3807.28935,3802.105125
3801.4,3809.5004,3807.951525,3802.173775
3801.48235,3809.923925,3808.366775,3802.1976
3801.548,3810.0972,3808.402675,3802.297025
3801.617025,3811.45075,3808.4557,3802.3073
3801.7036,3811.692925,3808.730075,3802.348925
3801.739925,3811.914575,3809.746725,3802.65785
3801.781075,3811.925975,3810.17375,3802.77145
3801.79975,3812.09695,3810.462675,3802.77615
3801.818425,3812.101675,3810.6473,3802.836375
3801.861,3812.43545,3810.682575,3802.84775
3801.93935,3812.606975,3811.033125,3802.872075
3801.972575,3812.84785,3811.5829,3802.9927
3802.013725,3813.36335,3811.59675,3803.2465
3802.083775,3813.371975,3811.8753,3803.312475
3802.099675,3813.99895,3812.53915,3803.395725
3802.147875,3814.380875,3812.5833,3803.428325
3802.181325,3814.534325,3812.7377,3803.44695
3802.2163,3814.71145,3813.4552,3803.5019
3802.252725,3815.50575,3813.813825,3803.549975
3802.3359,3815.61025,3814.2923,3803.56515
3802.38635,3815.779675,3814.815175,3803.6563
3802.43155,3815.938125,3815.091475,3803.705325
3802.4483,3816.406325,3815.2232,3803.752375
3802.45915,3816.77065,3815.994475,3803.7945
3802.55265,3816.868825,3816.009375,3803.824675
3802.636125,3817.503675,3816.4998,3803.842475
3802.6685,3817.61435,3816.640975,3803.9554
3802.708275,3817.71,3816.728925,3804.13945
3802.74895,3818.323825,3817.046025,3804.22855
3802.78945,3818.5794,3817.07265,3804.25095
3802.846975,3818.796825,3817.1483,3804.28725
3802.87235,3819.526875,3817.266425,3804.303475
3802.8913,3819.7777,3817.417075,3804.331625
3802.965675,3820.052,3817.6825,3804.34915
3802.9927,3820.2776,3818.149525,3804.42275
3803.071175,3820.7325,3818.587725,3804.5274
3803.105225,3820.80025,3818.66645,3804.55395
3803.137425,3821.43245,3819.495075,3804.62375
3803.2078,3822.0852,3819.84615,3804.68205
3803.250675,3822.1556,3819.88165,3804.72605
3803.336775,3822.241325,3820.068575,3804.789
3803.4105,3822.2857,3820.5172,3804.8581
3803.4497,3822.418025,3821.17265,3804.8943
3803.5009,3822.46235,3821.190975,3805.0167
3803.545125,3823.1936,3821.57215,3805.052375
3803.57065,3823.217275,3821.634025,3805.164325
3803.627675,3823.581075,3821.6635,3805.2223
3803.649525,3823.78395,3821.8299,3805.24115
3803.674875,3824.115125,3822.905875,3805.2838
3803.710625,3824.172775,3823.3318,3805.285375
3803.740375,3824.4515,3823.58045,3805.33575
3803.84365,3824.486675,3823.731625,3805.36785
3803.860025,3824.605575,3823.792075,3805.42175
3803.876,3825.0151,3824.125775,3805.454025
