SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC16a
200.168875,200.3278,200.0345,200.013825,200.3013
200.200525,200.46635,200.250875,200.044175,201.321325
200.23005,201.08255,200.326575,200.082775,202.3239
200.2911,201.103675,200.369625,200.1221,202.38015
200.37885,201.153625,200.39335,200.22495,204.4227
200.5916,201.218325,200.41325,200.2778,204.48765
200.640675,201.363475,200.504175,200.361225,204.929375
200.64805,201.886025,200.57465,200.39725,205.014475
200.6613,202.45335,200.59705,200.45175,205.070875
200.68995,202.534875,200.6555,200.473225,205.3002
201.045475,202.596025,200.7135,200.5084,205.3017
201.05695,202.73855,200.798375,200.52225,205.463675
201.064575,203.0708,200.830125,200.546025,205.50915
201.086725,203.475725,200.865575,200.726675,205.7599
201.1301,203.6173,200.87095,200.8466,205.87425
201.136475,204.510275,201.083025,200.8981,206.01175
201.234025,204.529025,201.141675,200.94375,206.04485
201.41445,204.542675,201.226625,200.995475,206.5399
201.45055,204.57885,201.259275,201.193875,206.590225
201.831775,205.07875,201.291625,201.301275,206.6951
201.838225,205.22495,201.304375,201.375675,206.741825
201.86315,205.31795,201.32735,201.45255,207.217625
201.868425,205.588625,201.397175,201.51375,207.312175
201.8945,205.64095,201.44815,201.58335,207.407425
201.960675,205.682,201.4679,201.66675,207.442825
202.02455,205.933425,201.5051,201.730625,207.7271
202.064025,206.3618,201.529775,201.767275,207.778
202.156175,206.61595,201.57265,201.81145,207.971375
202.389375,206.689875,201.595475,201.826925,208.111925
202.409125,206.791275,201.6434,201.98265,208.208075
202.415375,207.488775,201.71235,202.05885,208.227975
202.422475,207.5757,201.824425,202.117975,208.25915
202.43045,207.612525,201.9082,202.2105,208.308525
202.473425,208.078675,201.926125,202.263675,208.51845
202.520375,208.2852,202.164725,202.304475,208.570525
202.6653,208.51225,202.1721,202.3209,208.6201
202.724075,208.575825,202.2568,202.362225,208.686325
202.788475,208.710475,202.2767,202.493125,208.7624
202.815075,208.94355,202.3116,202.562875,208.81465
202.93105,209.508875,202.348075,202.64575,208.86565
202.9888,209.6015,202.451825,202.8717,208.888525
203.0517,209.6564,202.48085,203.003025,208.9127
203.223775,209.893925,202.5032,203.0471,208.91545
203.2883,210.000625,202.508475,203.10965,209.063075
203.298375,210.01115,202.6363,203.2179,209.11955
203.34705,210.186,202.6939,203.257175,209.162075
203.382025,210.200475,202.711275,203.368875,209.21145
203.527925,210.54935,202.811525,203.49605,209.239875
203.58705,211.271725,202.8392,203.658425,209.39135
203.594725,211.327725,202.921225,203.756825,209.500325
203.674975,211.390875,202.931675,203.794825,209.659125
203.794375,211.434375,202.9761,203.834425,209.66715
203.830975,211.531975,203.05865,203.878925,209.682575
203.893,211.64585,203.0808,203.947525,209.719725
203.970725,211.7192,203.157925,204.020125,209.773725
204.0081,211.798175,203.214675,204.117075,209.903825
204.037675,211.997375,203.3737,204.1939,209.971575
204.0678,212.08265,203.439975,204.294275,209.9948
204.1396,212.107225,203.469475,204.34085,210.11305
204.14085,212.9263,203.559525,204.3941,210.1165
204.306675,213.28345,203.664575,204.46975,210.25425
204.506975,213.30305,203.701675,204.49315,211.442825
204.514775,213.426175,203.79885,204.618525,212.092225
204.5338,213.59375,203.85295,204.728425,212.1037
204.58545,213.66685,203.883875,204.877875,212.145925
204.69755,213.80775,203.946175,204.920775,215.05375
205.055925,214.170525,204.12825,204.982375,215.437675
205.071025,214.25525,204.181325,205.004025,216.1111
205.088325,214.6176,204.18905,205.241575,217.286425
205.093325,214.706575,204.2287,205.262025,218.202475
205.126225,214.823025,204.3063,205.370925,219.554925
205.138675,215.25285,204.366675,205.50495,219.61285
205.1872,215.29615,204.407475,205.663375,219.8229
205.2575,215.398625,204.60425,205.6882,220.078025
205.311025,215.508675,204.754475,205.817,220.11395
205.3401,215.8035,204.80185,205.93135,220.17445
205.350975,215.866175,204.807925,206.046975,220.2455
205.44745,215.910675,204.900575,206.099475,221.42785
205.480325,215.994275,205.003075,206.206625,222.929275
205.483525,216.175225,205.12235,206.288475,223.058775
205.5056,216.279575,205.18445,206.383275,224.474025
205.5638,216.465,205.21115,206.4966,225.4551
205.6645,216.673775,205.260675,206.60285,226.041975
205.737975,216.74635,205.274925,206.686775,226.071175
205.7779,216.755225,205.28665,206.8086,227.586575
205.819025,216.85965,205.412725,206.852275,229.7508
205.847875,216.9648,205.579675,206.9416,229.797525
205.861775,217.03695,205.75635,207.0023,229.893975
205.8635,217.3166,205.770875,207.068,230.29065
205.881825,217.323375,205.860525,207.143175,230.3296
205.906375,217.68355,206.233575,207.2225,230.3644
205.938725,218.03625,206.369325,207.3015,230.744
205.9526,218.19675,206.59605,207.362,230.855475
205.98625,218.33495,206.6124,207.383325,230.8585
206.0175,218.5505,206.65035,207.449925,230.865925
206.0715,218.601325,206.7101,207.534725,231.140375
206.09145,218.7666,206.9673,207.614675,231.258725
206.155175,218.812725,207.531275,207.805675,231.3008
206.2186,218.839,207.572375,207.851675,231.485075
206.26545,218.8936,207.7668,207.93605,231.751625
206.308425,219.13785,207.844375,208.000625,231.922425
206.338225,219.300275,207.8931,208.0409,232.352875
206.384325,219.4234,207.9577,208.079225,232.479325
206.436825,219.51225,208.017925,208.22725,232.5647
206.484625,219.676825,208.073375,208.29905,232.75035
206.485625,219.743775,208.3855,208.450175,232.774275
206.497775,219.844175,208.63105,208.5253,232.804275
206.545875,219.925725,208.914325,208.603125,233.166575
206.616325,219.9523,209.151975,208.86625,233.40205
206.676725,220.235825,209.3915,208.93565,233.4203
206.728575,220.273375,209.616325,208.9956,233.4815
206.8083,220.8032,209.76335,209.04635,233.752625
206.8246,220.9088,209.824325,209.130425,233.77305
206.83135,220.968625,210.14695,209.420325,233.790925
206.877975,221.0067,210.5611,209.511825,233.866225
206.907525,221.086325,210.591675,209.61645,234.039975
206.99195,221.42915,210.62015,209.6709,234.0802
207.013425,221.5917,210.636175,209.683875,234.2099
207.067675,221.66945,210.691875,209.709475,234.6332
207.124675,221.931875,210.713175,209.726225,234.657325
207.33755,221.96965,210.7593,209.790625,234.734675
207.486525,222.19945,210.7731,209.8035,234.78685
207.523525,222.306925,210.8705,209.8936,235.14445
207.537025,222.540525,210.903575,209.934175,235.73845
207.55995,222.665675,210.9701,209.974775,235.769525
207.59965,222.7744,210.997175,210.169225,235.91395
207.64065,222.96075,211.064175,210.25895,235.944825
207.64955,223.063925,211.168475,210.29075,236.057425
207.67645,223.085425,211.1833,210.468775,236.163975
207.687925,223.14625,211.227025,210.528775,236.1805
207.793875,223.1948,211.26855,210.579025,236.2522
207.813325,223.6962,211.3767,210.625125,236.4361
207.8405,223.760225,212.0067,210.6553,236.611025
207.872425,223.888925,212.025925,210.720275,236.625125
207.9309,224.023975,212.039425,210.765875,236.674725
207.99405,224.107125,212.08805,210.789725,236.68705
208.0329,224.118725,212.168475,210.8083,236.7529
208.04855,224.282425,212.221775,210.824625,236.7624
208.09375,224.53375,212.268575,210.954625,236.9415
208.13985,224.644675,212.374125,211.011175,237.02365
208.154725,224.707675,212.5365,211.0206,237.27135
208.2066,225.0504,212.671325,211.120775,237.571375
208.241525,225.177025,212.686725,211.187275,237.7878
208.259375,225.394,212.701225,211.268425,238.003825
208.36885,225.576925,212.70765,211.2959,238.145025
208.37485,225.7647,212.74275,211.308925,238.154925
208.4095,226.08555,212.768325,211.387675,238.24195
208.428175,226.117025,212.846025,211.4038,238.254
208.434625,226.12895,212.88035,211.464225,238.3101
208.452425,226.198375,213.03645,211.529975,238.3521
208.46565,226.249775,213.08295,211.570175,238.550475
208.5923,226.344675,213.151525,211.83395,238.65215
208.62455,226.6153,213.210375,211.89595,238.71815
208.64555,226.6524,213.216125,211.980025,238.764125
208.6671,226.67785,213.30585,212.032475,238.96165
208.73365,226.68785,213.380125,212.1363,239.0365
208.752575,227.02105,213.40455,212.204225,239.222575
208.7694,227.187975,213.4323,212.254875,239.322025
208.7789,227.289575,213.4568,212.291625,239.4152
208.79095,227.634625,213.476175,212.33135,239.507525
208.7957,227.66985,213.5409,212.352,239.655375
208.824475,227.737,213.615275,212.370725,239.68255
208.9003,227.761075,213.662425,212.396675,239.703475
208.94315,227.843925,213.6907,212.475175,239.775475
208.98885,228.09345,213.8443,212.485925,240.1341
209.0191,228.13825,213.864375,212.598075,240.23545
209.022225,228.21365,213.9212,212.65505,240.350425
209.09345,228.332275,213.9472,212.71415,240.4766
209.1144,228.50035,214.0107,212.7693,240.487525
209.144475,228.7788,214.016825,212.77925,240.50745
209.158425,228.98845,214.05845,212.869375,240.51075
209.16855,229.19175,214.09675,212.94845,240.52125
209.2084,229.2256,214.1247,213.0011,240.604775
209.228825,229.2667,214.131625,213.0424,240.7189
209.2692,229.55555,214.154575,213.0605,240.752375
209.304575,229.654925,214.1663,213.1405,240.796725
209.351925,229.949275,214.18105,213.223975,240.85115
209.389725,230.079625,214.18665,213.2884,240.885375
209.426275,230.141925,214.230525,213.3285,240.91225
209.460225,230.45685,214.2568,213.365675,240.98555
209.499975,230.484475,214.3043,213.4309,241.003775
209.5566,230.510025,214.3233,213.47075,241.049
209.57575,230.6222,214.346,213.5051,241.120075
209.59135,230.641875,214.3607,213.5504,241.283125
209.625325,230.73565,214.474525,213.6702,241.291675
209.842125,230.746725,214.501125,213.713025,241.376625
209.849725,231.097975,214.54075,213.74055,241.425975
209.85325,231.174725,214.69205,213.75245,241.60945
209.88055,231.24555,214.730775,213.808225,241.6614
209.957425,231.37335,214.779475,213.851275,241.72845
210.025025,231.6236,214.802325,213.926325,241.740975
210.038225,231.6442,214.850575,213.987825,241.99335
210.061925,231.849075,214.92075,214.0006,242.080675
210.095925,232.0405,214.95555,214.0481,242.19765
210.1315,232.0599,215.06655,214.17035,242.392075
210.167775,232.168425,215.147275,214.21505,242.826175
210.213025,232.216425,215.171825,214.2282,243.07795
210.245375,232.541975,215.19455,214.27555,244.039525
210.36845,232.720325,215.229225,214.291325,245.582975
210.5001,233.09285,215.3065,214.310575,248.643125
210.53045,233.1818,215.375825,214.384025,248.920375
210.573875,233.251725,215.389175,214.5661,249.129225
210.579525,233.389525,215.429075,214.619725,249.18865
210.61975,233.781,215.470575,214.648625,249.566825
210.635125,233.901225,215.50105,214.685975,250.0537
210.665725,233.9977,215.565425,214.72305,250.15865
210.734775,234.498125,215.59565,214.796575,250.274025
210.7545,234.7404,215.6635,214.842675,250.35635
210.8712,234.947725,215.77195,214.879725,250.567525
210.88855,235.337625,215.804675,214.980775,250.686875
211.065775,235.675225,215.916525,215.13455,250.73075
211.07545,236.670275,215.934725,215.30085,250.851525
211.111025,237.136375,215.969875,215.367725,250.96205
211.2324,237.481875,216.081775,215.437325,251.0039
211.258525,237.533925,216.157975,215.4866,251.070025
211.31725,237.9098,216.16105,215.5447,251.448125
211.34795,238.035725,216.2438,215.59425,251.521575
211.392075,238.4424,216.250725,215.62365,251.72805
211.494625,238.49815,216.27935,215.70905,251.835425
211.531175,238.607425,216.324525,215.782975,251.8831
211.545025,239.4588,216.337825,215.889725,251.917325
211.6742,239.858775,216.4191,215.96385,252.0263
