SPK_SPKC08a,SPK_SPKC09a
100.116225,100.00265
100.1752,100.01815
100.292525,100.02675
100.301875,100.036725
100.313075,100.05085
100.5401,100.0862
100.56915,100.101375
100.636825,100.11775
100.73965,100.130875
100.784275,100.14385
100.8247,100.15565
100.8522,100.18385
100.88985,100.196025
100.903675,100.2212
100.924675,100.2356
100.950725,100.2619
101.0118,100.29735
101.126375,100.30475
101.14655,100.310575
101.25745,100.317775
101.270025,100.32605
101.287375,100.35515
101.325775,100.364075
101.343025,100.3904
101.465225,100.40575
101.4983,100.414175
101.597825,100.421325
101.614925,100.43555
101.710525,100.466825
101.745975,100.49335
101.770575,100.5097
101.8488,100.5203
101.9628,100.525925
101.99585,100.5343
102.043425,100.556175
102.1819,100.580875
102.208325,100.596475
102.2168,100.609725
102.270525,100.6304
102.3604,100.647275
102.41295,100.666075
102.525775,100.69335
102.5422,100.756775
102.5769,100.768925
102.601,100.78375
102.605075,100.793575
102.623275,100.8064
102.793925,100.81685
102.813375,100.829075
102.882325,100.86285
102.9089,100.8702
102.9347,100.87985
103.0684,100.890625
103.101075,100.90625
103.130025,100.92
103.1416,100.936775
103.178175,100.94875
103.20775,100.965575
103.273475,101.0171
103.3064,101.032425
103.3176,101.07825
103.3581,101.11015
103.42485,101.126825
103.4419,101.139325
103.5044,101.153225
103.54015,101.1631
103.566325,101.172125
103.5693,101.234575
103.65775,101.2475
103.769075,101.25955
103.795725,101.27015
103.811175,101.2925
103.82995,101.3065
103.889275,101.334075
103.8972,101.34635
103.92195,101.363675
104.0677,101.37915
104.11475,101.406625
104.158775,101.435
104.186875,101.4503
104.192025,101.472125
104.199475,101.48325
104.240875,101.494075
104.24595,101.509625
104.258275,101.515775
104.3566,101.52465
104.36895,101.53205
104.402225,101.5484
104.41485,101.5646
104.430225,101.57485
104.43815,101.58585
104.5071,101.60095
104.523125,101.6282
104.57315,101.6616
104.628675,101.674675
104.717875,101.6994
104.740125,101.71675
104.748525,101.7296
104.752275,101.7427
104.769525,101.75965
104.801825,101.77025
104.828075,101.780075
104.841925,101.78975
104.871125,101.8001
104.94395,101.812
104.969975,101.81975
104.996425,101.825525
105.033825,101.8311
105.037525,101.837375
105.055625,101.8438
105.083325,101.8835
105.12325,101.89515
105.154725,101.91755
105.189125,101.9297
105.241125,101.976725
105.3256,102.0009
105.438475,102.049275
105.5774,102.060525
105.594525,102.075375
105.650375,102.089675
105.724475,102.12305
105.839,102.14065
105.86115,102.1563
105.918,102.170725
105.926425,102.185625
105.948975,102.201525
105.98505,102.2229
106.0123,102.238275
106.029575,102.256725
106.05955,102.270175
106.073925,102.285525
106.0832,102.297075
106.128625,102.3122
106.179325,102.3357
106.1882,102.349675
106.22065,102.3601
106.255825,102.369
106.262675,102.3779
106.272425,102.39005
106.34025,102.412425
106.358675,102.4269
106.40455,102.437525
106.417175,102.468775
