SPK_SPKC02c,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC16a
100.296975,100.21615,100.4002,100.01865
100.33305,100.297,100.4217,100.0619
100.39125,100.333075,100.439375,100.0855
100.426375,100.391275,100.475925,100.39705
100.461475,100.426375,100.511825,100.41895
100.47435,100.461525,100.519875,100.430275
100.516125,100.51615,100.549425,100.439725
100.54265,100.5427,100.6045,100.450925
100.575525,100.810125,100.6173,100.45895
100.810075,100.893475,100.628075,100.464525
100.893425,100.935725,100.943475,100.471
100.9357,100.963975,101.020225,100.477975
100.963975,100.998,101.05095,100.483075
100.997925,101.012475,101.10685,100.487875
101.012475,101.033675,101.14045,100.49575
101.03365,101.1001,101.16275,100.500325
101.062775,101.172425,101.1704,100.505925
101.10005,101.4625,101.181275,100.511225
101.172375,101.50365,101.5516,100.51465
101.462475,101.55315,101.56755,100.520175
101.5036,101.58875,101.59995,100.523725
101.553125,101.64095,101.61675,100.529725
101.5887,101.6777,101.628425,100.533925
101.640925,101.974325,101.6426,100.53705
101.9743,102.021875,101.67575,100.54395
102.021825,102.116825,101.69555,100.54905
102.097675,102.20605,101.746325,100.5536
102.1168,102.2434,101.77965,100.560125
102.206,102.2723,102.024225,100.56805
102.24335,102.339375,102.097725,100.574725
102.2723,102.4158,102.23885,100.582125
102.339375,102.74505,102.2602,100.58675
102.41575,102.785875,102.274425,100.5896
102.745,102.819825,102.294325,100.595725
102.78585,102.864125,102.372425,100.60195
102.8198,102.88565,102.42885,100.609525
102.8641,102.9523,102.4389,100.620575
102.8856,103.23825,102.450325,100.623825
102.8877,103.3001,102.46515,100.627
102.952275,103.335075,102.80035,100.63465
103.2382,103.369325,102.821275,100.831925
103.30005,103.40025,102.854675,100.884425
103.335025,103.437825,102.8877,100.91145
103.3693,103.473025,102.953675,100.925875
103.400225,103.503675,102.966075,100.936375
103.437775,103.5371,102.977025,100.943825
103.472975,103.67055,103.497675,100.952175
103.50365,103.7238,103.5442,100.96095
103.537075,103.944925,103.56585,100.969975
103.58025,103.969875,103.57525,100.9778
103.6094,104.019775,103.597875,100.9832
103.670525,104.06435,103.64605,100.98735
103.723775,104.110225,103.6625,100.992
103.944875,104.33975,103.70255,100.995325
103.96985,104.4265,103.71525,100.99815
104.019725,104.4872,103.99435,101.008775
104.0331,104.507775,104.034425,101.01285
104.06435,104.52715,104.046325,101.0245
104.1102,104.557225,104.055275,101.0278
104.117,104.580225,104.060125,101.0358
104.28575,104.639575,104.0884,101.03975
104.339675,104.6714,104.100875,101.04355
104.403025,104.715825,104.111225,101.047825
104.42645,104.751775,104.1187,101.0524
104.487125,104.922075,104.12895,101.057025
104.50775,104.9717,104.798425,101.0634
104.5572,105.2994,104.815275,101.0669
104.5802,105.33415,104.83065,101.071475
104.6167,105.379025,104.852275,101.07695
104.671375,105.418175,104.87685,101.08525
104.7158,105.4385,104.917725,101.087775
104.7201,105.679175,104.923975,101.0964
104.75175,105.73955,104.93935,101.099775
104.77845,105.75235,104.9653,101.104075
104.815525,105.77465,105.01675,101.11155
104.92205,105.778725,105.02255,101.114375
104.944875,105.81475,105.0366,101.122025
104.971625,106.14735,105.32315,101.12535
105.042325,106.18475,105.338425,101.130875
105.299375,106.21355,105.36595,101.136725
105.334125,106.241425,105.376525,101.1498
105.379,106.476375,105.390925,101.158025
105.41815,106.577275,105.402475,101.162375
105.4385,106.669375,105.4069,101.168775
105.679175,106.69115,105.433275,101.18245
105.739525,106.71445,105.697475,101.18635
105.752325,106.746,105.718,101.5705
105.7746,107.0761,105.765125,101.586975
105.778675,107.121225,105.7807,101.6008
105.814725,107.1585,105.7931,101.610325
106.073175,107.2704,105.82665,101.620875
106.108975,107.298275,105.8726,101.6294
106.147325,107.3888,105.8792,101.63595
106.184675,107.45485,106.1025,101.645275
106.2135,107.50865,106.12745,101.653125
106.241375,107.521325,106.1424,101.65865
106.47635,107.69075,106.21475,101.67145
106.577275,107.732925,106.288475,101.676425
106.669325,107.7606,106.348325,101.6795
106.69115,107.795575,106.44905,101.682875
106.7144,108.225225,106.56555,101.6909
106.745975,108.279775,106.6392,101.695775
106.78535,108.377575,106.6775,101.700125
107.076075,108.423275,106.6957,101.704725
107.1212,108.532775,106.722075,101.71595
107.158475,108.56605,106.76,101.719375
107.270325,108.60505,106.771725,101.7252
107.298225,108.666725,106.79065,101.72975
107.388775,108.6962,106.83785,101.73465
107.454825,108.729325,106.96725,101.73915
107.508625,108.7769,107.011875,101.745225
107.5213,109.04985,107.091475,101.747825
107.690725,109.3945,107.283675,101.7591
107.7329,109.428025,107.445125,101.765275
107.7606,109.45215,107.4656,101.770225
107.79555,109.500675,107.500375,101.776425
108.2252,109.852375,107.72415,101.7849
108.27975,109.9021,107.745575,102.221075
108.37755,110.0491,107.758475,102.2299
108.42325,110.11805,107.841175,102.241725
108.532725,110.4838,107.8573,102.254
108.566025,110.528525,107.86615,102.2627
108.605025,110.595775,107.8913,102.2727
108.63835,110.63025,107.9187,102.28205
108.6667,111.048225,108.327275,102.285725
108.696125,111.13665,108.67465,102.294225
108.729275,111.207025,108.69795,102.300125
108.776875,111.2575,108.731025,102.3076
109.0498,111.311275,108.759,102.3137
109.347675,111.60865,108.79015,102.323025
109.3945,111.7559,108.8078,102.326675
109.427975,111.79,108.831625,102.331775
109.4521,111.844825,108.84545,102.33725
109.50065,111.848675,108.864575,102.339675
109.8523,111.861475,108.87085,102.347175
109.902075,111.9136,109.03185,102.352225
110.118,111.942825,109.42035,102.35555
110.4838,112.321125,109.438925,102.36125
110.5285,112.426675,109.47875,102.370575
110.5535,112.51915,109.5393,102.3761
110.59575,112.53675,109.546975,102.382125
110.630225,112.5989,109.826575,102.387525
111.0482,112.6257,109.850925,102.3904
111.1366,112.6511,109.8646,102.396425
111.172275,112.6842,109.88015,102.40025
111.207,112.71275,109.894425,102.40465
111.257425,112.7356,110.037175,102.406875
111.311275,112.755225,110.054575,102.415275
111.608625,112.758775,110.1067,102.42
111.755875,112.852125,110.122525,102.4284
111.789975,112.88045,110.221625,102.4356
111.844775,112.919025,110.2409,102.44
111.8614,112.95065,110.2634,102.446325
111.91355,112.981475,110.285975,102.4586
111.9428,113.00445,110.302775,102.465675
112.3211,113.303325,110.47505,102.474975
112.426675,113.32425,110.5753,102.4884
112.454175,113.337525,110.6112,102.7805
112.519125,113.353875,110.88275,102.816575
112.5367,113.36355,110.9132,102.8299
