SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC09a
300.01805,300.121975,300.0433
300.03775,300.23505,300.0845
300.0618,300.322675,300.134625
300.0761,300.5,300.196325
300.164,300.644775,300.25355
300.19415,300.666625,300.3254
300.21625,300.709275,300.3868
300.231975,300.97485,300.418475
300.25515,300.99375,300.4795
300.27825,301.0159,300.52005
300.295325,301.0528,300.543425
300.341575,301.108925,300.619125
300.3674,301.144675,300.65485
300.3885,301.1851,300.69405
300.409375,301.21365,300.73215
300.432825,301.276175,300.786775
300.4504,301.30845,300.833325
300.49115,301.3968,300.8815
300.530675,301.455975,300.935675
300.58005,301.4843,300.9744
300.609875,301.5081,301.0044
300.649575,301.522375,301.02965
300.69115,301.607875,301.068575
300.735075,301.62165,301.13565
300.792125,301.644825,301.19675
300.854075,301.756825,301.254925
300.891425,301.781,301.320975
300.92705,302.2649,301.36445
300.9589,302.324275,301.44885
300.97955,302.371825,301.481575
300.9966,302.5969,301.5007
301.046825,302.796975,301.516325
301.06615,302.852225,301.5343
301.085,302.877575,301.55005
301.11115,302.911175,301.5694
301.1235,302.93735,301.5831
301.1406,303.2759,301.5974
301.153775,303.2841,301.61325
301.1731,303.294975,301.62805
301.217375,303.302375,301.6438
301.233975,303.32105,301.67765
301.2506,303.33245,301.693
301.26635,303.39365,301.709175
301.282925,303.466675,301.7251
301.32675,303.78715,301.747225
301.366175,304.0615,301.7801
301.387575,304.0916,301.8134
301.407575,304.117375,301.847725
301.443425,304.192175,301.8828
301.4557,304.26585,301.9345
301.4874,304.37795,301.984575
301.5191,304.412725,302.03075
301.53505,304.432375,302.07175
301.547725,304.725075,302.123575
301.62025,304.865275,302.16965
301.66725,304.8778,302.219725
301.694725,304.903575,302.2596
301.73355,304.9217,302.28715
301.75545,304.96185,302.346675
301.781875,305.06765,302.3878
301.840375,305.1072,302.4311
301.8793,305.199,302.482725
302.003525,305.29895,302.53645
302.048875,305.317325,302.5909
302.091975,305.380475,302.632475
302.1572,305.4188,302.6887
302.209625,305.637875,302.726675
302.2513,305.728475,302.794025
302.276525,305.741925,302.8462
302.313775,305.75585,302.910525
302.33365,305.76795,302.94995
302.362375,305.7879,303.005575
302.383425,305.8992,303.048575
302.4029,305.9152,303.0923
302.42645,305.93225,303.149075
302.4721,305.951675,303.182575
302.537725,305.99105,303.24115
302.636675,306.012875,303.29
302.70605,306.092575,303.3187
302.749975,306.445425,303.35195
302.777125,306.454025,303.408275
302.864175,306.48245,303.45185
302.89425,306.507375,303.500175
302.926225,306.5394,303.5501
302.9579,306.562125,303.592325
303.04835,306.587125,303.629575
303.075,306.864325,303.7426
303.20955,306.95385,303.808925
303.240875,306.98315,303.850925
303.272325,307.0412,303.89405
303.285575,307.3528,303.937075
303.30525,307.369975,303.9957
303.3287,307.378275,304.0373
303.341175,307.3893,304.088125
303.3559,307.416525,304.135525
303.36915,307.466025,304.158
303.396725,307.7083,304.1732
303.4239,307.78415,304.199025
303.448875,308.002425,304.2159
303.48585,308.051825,304.25645
303.517275,308.062875,304.2983
303.531125,308.06975,304.319925
303.564925,308.0765,304.3433
303.578525,308.13305,304.371425
303.598,308.2289,304.40695
303.60955,308.2562,304.436525
303.636475,308.28205,304.4727
303.703375,308.332925,304.5065
303.742975,308.386175,304.5455
303.779725,308.519275,304.58215
303.8211,308.58155,304.652875
303.892525,308.600675,304.7019
303.933325,308.6261,304.75455
303.989275,308.659675,304.792375
304.0135,308.76925,304.84085
304.059125,308.82155,304.858075
304.08305,308.8486,304.872
304.107525,308.879025,304.883975
304.1205,308.913425,304.895725
304.15235,308.95815,304.9115
304.16505,309.027075,304.9214
304.1781,309.246525,304.949
304.191375,309.317025,304.96585
304.203475,309.41435,304.98325
304.214475,309.682225,305.0008
304.3006,309.8651,305.014625
304.3206,309.89875,305.0248
304.355975,309.964575,305.03615
304.4086,310.011875,305.06665
304.429475,310.057675,305.088225
304.4484,310.412075,305.1044
304.463925,310.4259,305.12255
304.482375,310.45245,305.164875
304.526225,310.525,305.18835
304.55575,310.61445,305.208025
304.58055,310.623825,305.2254
304.616525,310.62875,305.24755
304.637875,310.6467,305.27515
304.68985,310.7347,305.29945
304.7267,310.899125,305.333125
304.75385,311.153875,305.369525
304.78915,311.202775,305.432375
304.81405,311.221225,305.500375
304.833675,311.2431,305.5419
304.853225,311.30735,305.592875
304.90405,311.32375,305.640475
304.93005,311.4652,305.6767
304.94815,311.638875,305.707075
304.965625,311.69635,305.73545
304.974375,311.773175,305.751525
304.996325,311.947975,305.76695
305.012125,311.97295,305.773275
305.029175,312.03975,305.783875
305.0431,312.067525,305.799175
305.082175,312.1141,305.8102
305.110525,312.155575,305.822075
305.1401,312.2099,305.8398
305.1672,312.244625,305.8556
