SPK_SPKC03a,SPK_SPKC10a,SPK_SPKC12a,SPK_SPKC13a
0.021275,0.06,0.15485,0.026775
0.033175,1.14085,0.24605,0.04535
0.134575,1.150375,0.308725,0.05895
0.361575,1.2108,0.4343,0.099475
0.38545,1.230125,0.724825,0.11625
0.431,1.263075,0.775625,0.217925
0.462475,1.2881,0.807275,0.238025
0.599575,1.32,0.905175,0.2909
0.63505,1.3434,1.061125,0.367475
0.68745,1.3751,1.15125,0.406625
0.715525,1.41095,1.233525,0.43075
0.739,1.574775,1.299875,0.446125
0.7523,2.038225,1.333775,0.573275
0.91295,2.09635,1.4874,0.647575
0.9838,2.1407,1.556525,0.69865
1.111625,2.7388,1.58945,0.72485
1.11655,2.95535,1.596525,0.729875
1.1202,3.487375,1.64245,0.756075
1.125575,3.50355,1.713975,0.783725
1.136225,3.516725,1.78685,0.80835
1.1373,3.5284,1.833375,0.900525
1.253375,3.55165,1.9033,0.909
1.3675,3.581575,1.969275,1.061625
1.385625,3.60395,2.0033,1.1268
1.567075,3.61725,2.07025,1.140125
1.5892,3.636375,2.14975,1.14775
1.75295,3.688525,2.1749,1.161925
1.7745,4.014875,2.194975,1.165
1.917275,4.07275,2.2744,1.19365
1.99395,4.57625,2.37785,1.217375
2.178225,4.61895,2.45195,1.2263
2.216425,4.66405,2.5166,1.322925
2.4228,4.71105,2.6018,1.386275
2.709475,5.172025,2.761325,1.4355
2.719475,5.22185,2.89665,1.459875
2.727725,6.457,2.96195,1.4689
2.744425,7.24995,3.0327,1.57625
2.81165,7.27325,3.0937,1.5855
2.8186,7.38425,3.149525,1.621275
2.8987,7.449525,3.23075,1.626475
2.920425,7.980475,3.34805,1.657075
2.9938,8.0576,3.455775,1.775075
3.108275,8.383075,3.541775,1.791125
3.133475,8.412425,3.611325,1.852575
3.315075,8.432875,3.75985,1.869875
3.39505,8.44215,3.821825,1.894025
3.4081,8.4763,3.917425,1.9937
3.429625,8.484825,3.991025,2.12535
3.518825,8.510475,4.095775,2.1571
3.52695,8.53615,4.162325,2.172475
3.53935,8.578625,4.224125,2.339325
3.865225,8.610375,4.389,2.421575
3.919275,8.647925,4.6257,2.465175
3.9282,8.671575,4.794,2.50815
3.969275,8.717175,4.864725,2.569875
4.027375,9.363725,4.96185,2.5937
4.04235,9.508625,5.1642,2.6365
4.106575,9.726525,5.2418,2.690325
4.154025,9.86835,5.350475,2.71935
4.1755,9.9433,5.360925,2.7395
4.40695,10.39145,5.3964,2.756625
4.486775,10.422975,5.5097,2.778625
4.5455,10.44865,5.5869,2.83095
4.552875,10.482175,5.6625,2.89515
4.602575,11.002225,5.705525,2.95015
4.62175,11.08805,5.80745,3.00235
4.72985,11.1682,5.85125,3.0148
4.912825,11.212625,5.990975,3.039575
4.94885,11.30545,6.02505,3.126125
5.151575,11.34115,6.096175,3.150075
5.254075,11.465325,6.1444,3.2311
5.299075,11.789275,6.1813,3.4008
5.48885,11.8306,6.254075,3.469
5.5353,11.886525,6.28905,3.505775
5.602225,12.28935,6.349125,3.51085
5.712575,12.461775,6.41115,3.5684
5.73805,12.555425,6.70725,3.58095
5.79885,12.647975,6.80475,3.6013
5.844975,12.688175,6.943025,3.609475
5.863325,12.785675,7.12785,3.612625
5.944475,12.9025,7.2514,3.618525
6.049025,12.9325,7.378475,3.627875
6.081725,12.957075,7.4437,3.675325
6.095375,12.9811,7.503,3.76705
6.1326,13.00915,7.597,3.79995
6.176375,13.02085,7.687275,4.014675
6.299725,13.051525,7.794325,4.041225
6.433675,13.083775,7.894475,4.0685
6.51555,13.1228,7.998925,4.0983
6.54385,13.157475,8.100975,4.11885
6.55065,13.186475,8.232175,4.16195
6.570575,13.3404,8.41565,4.18275
6.603425,13.415975,8.432575,4.222675
6.639425,13.540775,8.528525,4.2269
6.709975,13.6508,8.603375,4.3007
6.86255,13.702225,8.701825,4.345425
7.064225,13.759275,8.85605,4.40465
7.202375,13.7838,8.9475,4.588125
7.279275,13.796625,9.1172,4.6125
7.321325,13.818725,9.19185,4.6277
7.412675,13.83325,9.240025,4.674725
7.605425,13.857625,9.299725,4.717975
7.900975,13.87825,9.359125,4.7246
7.9744,13.904675,9.4202,4.7467
7.988725,13.914,9.483525,4.811325
8.01945,13.9295,9.599325,4.83325
8.049175,13.9499,9.788275,4.865125
8.1002,13.996025,9.8629,4.891775
8.11185,14.0334,9.89455,4.931975
8.218825,14.177275,9.951675,4.9759
8.4437,14.24195,10.017175,5.02515
8.4721,14.431025,10.08595,5.099925
8.491225,14.4681,10.15505,5.12595
8.4973,14.5293,10.2428,5.189175
8.528275,14.57435,10.296075,5.217825
8.544,14.664125,10.4073,5.24675
8.56685,14.743825,10.57415,5.32305
8.582225,14.8315,10.636025,5.358775
8.653725,14.90515,10.758425,5.3946
8.660675,14.972525,10.885225,5.41685
8.755325,15.015125,11.004325,5.48265
8.776475,15.045225,11.081425,5.516275
8.844825,15.0659,11.377025,5.625375
9.024475,15.083675,11.43645,5.65775
9.13765,15.12695,11.484725,5.686375
9.175675,15.15405,11.800375,5.770325
9.185075,15.213275,11.89705,5.89885
9.68215,15.2937,11.936025,6.011125
9.73665,15.48165,11.96915,6.0597
9.77415,15.561475,12.0124,6.096275
9.8521,15.627575,12.0589,6.207
9.858725,15.6487,12.20085,6.2363
9.956325,15.652825,12.4175,6.28605
