SPK_SPKC02a,SPK_SPKC09b,SPK_SPKC13a
800.0065,800.011575,800.002075
800.092225,800.025175,800.039325
800.126825,800.042025,800.056825
800.270475,800.0521,800.2059
800.3305,800.067025,800.22865
800.541975,800.081975,800.245725
800.5609,800.13035,800.28485
800.567775,800.14555,800.30155
800.610675,800.16145,800.389575
800.713625,800.175325,800.5178
800.721525,800.23905,800.6214
800.748075,800.259675,800.6932
800.7903,800.2845,800.795625
800.82735,800.297025,800.82335
800.8573,800.314,800.838875
800.882225,800.327625,800.861975
800.984775,800.36035,800.884025
801.0604,800.371875,800.922325
801.1432,800.390075,801.164825
801.1951,800.40215,801.21115
801.216075,800.464775,801.254325
801.2305,800.4789,801.2881
801.2731,800.5113,801.3415
801.34385,800.5312,801.375875
801.410225,800.56105,801.413175
801.434175,800.580775,801.42315
801.462225,800.6905,801.4293
801.475775,800.774325,801.46515
801.4935,800.8084,801.5128
801.523925,800.8266,801.552425
801.5454,800.845175,801.643475
801.676625,800.903475,801.661725
801.782775,800.91825,801.748575
801.83575,800.938225,801.777425
801.87715,800.988825,801.793
801.916225,801.0109,801.812525
801.959575,801.045525,801.8583
802.0006,801.0619,801.8828
802.06525,801.078275,801.92175
802.0918,801.1358,801.9651
802.1754,801.204925,802.029
802.251275,801.226875,802.077125
802.4056,801.263075,802.108825
802.472175,801.277,802.169625
802.59825,801.30635,802.297975
802.637225,801.3275,802.330925
802.6808,801.3414,802.370175
802.8012,801.36845,802.401725
802.897625,801.3911,802.46265
802.96315,801.405575,802.498175
802.992525,801.450175,802.585825
803.040225,801.464475,802.628575
803.0896,801.4809,802.701525
803.091675,801.514,802.72485
803.138225,801.5305,802.767125
803.166825,801.541075,802.8567
803.198925,801.56135,803.0608
803.225025,801.57835,803.11355
803.293125,801.658325,803.137225
803.3508,801.697875,803.2357
803.401925,801.7125,803.275775
803.47745,801.74955,803.294175
803.519275,801.791475,803.31705
803.560025,801.807025,803.39145
803.6639,801.8236,803.440475
803.699775,801.8366,803.491625
803.728175,801.88245,803.5638
803.755675,801.902475,803.682725
803.813275,801.914775,803.7207
803.841825,801.94235,803.75265
803.864025,801.976575,803.82055
803.92205,802.0231,803.947525
803.957275,802.07735,803.995025
804.001325,802.100075,804.018575
804.003725,802.188925,804.04895
804.05805,802.210375,804.05885
804.0798,802.247225,804.1044
804.1204,802.27705,804.12735
804.16855,802.342975,804.140175
804.21645,802.385,804.176975
804.2515,802.40295,804.2088
804.313575,802.42525,804.280925
804.33745,802.4653,804.313675
804.376825,802.538475,804.398125
804.41555,802.581,804.490625
804.4604,802.615325,804.5356
804.520025,802.681975,804.598375
804.5728,802.718375,804.695125
804.61375,802.758,804.7315
804.724275,802.813975,804.7557
804.735625,802.852925,804.81065
804.815825,802.874525,804.8794
804.883025,802.899175,804.958375
804.91335,802.9222,805.04315
804.94715,802.9797,805.0671
804.990575,803.005775,805.102125
805.03155,803.03185,805.1338
805.10945,803.051525,805.16665
805.166925,803.12385,805.2066
805.3091,803.145925,805.258125
805.3547,803.16445,805.339775
805.483125,803.191025,805.452025
805.52135,803.211975,805.509125
805.56265,803.232925,805.64795
805.62805,803.26195,805.7075
805.6764,803.28085,805.7897
805.801125,803.2975,805.837375
805.8555,803.32175,805.8654
805.91995,803.34835,805.8879
805.95735,803.39845,805.92335
805.992525,803.459,805.960375
806.01515,803.4974,806.000675
806.05845,803.53155,806.24095
806.1024,803.599425,806.316175
806.1324,803.6395,806.353175
806.1649,803.7388,806.390975
806.199525,803.763075,806.60385
806.23185,803.832625,806.66795
806.2934,803.860325,806.77965
806.30975,803.88315,806.8486
806.340075,803.907325,806.899125
806.37805,803.95395,806.960025
806.4186,803.99685,807.005025
806.449775,804.01145,807.0436
806.48765,804.053775,807.1035
806.58915,804.0678,807.142625
806.6271,804.09565,807.219875
806.7079,804.111975,807.240625
806.754875,804.164425,807.3001
806.86915,804.177725,807.3471
806.933975,804.1963,807.430575
807.0189,804.21305,807.446025
807.078275,804.262925,807.48425
807.0855,804.28885,807.569025
807.230075,804.3088,807.616075
807.256975,804.34515,807.6396
807.333525,804.388775,807.69385
807.37185,804.40115,807.71845
807.401,804.46755,807.756475
807.44865,804.55395,807.77995
807.481425,804.567875,807.9045
807.5202,804.639125,807.993325
807.554125,804.6902,808.12955
807.583225,804.74015,808.185525
807.58765,804.753425,808.231475
807.661025,804.786925,808.2528
807.704375,804.821925,808.280775
807.753,804.898125,808.304025
807.788825,804.9133,808.328725
807.820875,804.948525,808.375775
807.867475,804.97595,808.4143
807.913575,805.002075,808.46175
807.938475,805.027925,808.513625
807.9948,805.051775,808.611575
808.0161,805.08775,808.639275
808.037225,805.112725,808.79915
808.0485,805.146325,808.8356
808.0539,805.170925,808.8798
808.077925,805.2008,808.972225
808.136275,805.224775,808.99285
808.185975,805.242,809.008825
808.2221,805.317475,809.055925
808.293675,805.363225,809.0883
808.3503,805.418325,809.135075
808.3578,805.458875,809.1656
808.41465,805.481525,809.26085
808.496175,805.50485,809.293875
808.5259,805.53295,809.368075
808.567625,805.56635,809.465425
808.576725,805.608775,809.543175
808.5963,805.640875,809.700525
808.647575,805.672775,809.763075
808.66465,805.707975,809.82315
808.686075,805.73355,809.8574
808.708975,805.793675,809.8835
808.75235,805.83575,809.91775
808.7918,805.86665,809.94195
808.81465,805.966575,809.96255
808.8371,806.003375,809.9986
808.906025,806.0789,810.03475
808.94185,806.1275,810.058025
808.973425,806.18275,810.19125
809.0077,806.235475,810.224525
809.0112,806.271025,810.31235
809.079625,806.312075,810.32495
809.099725,806.3566,810.481025
809.1981,806.3994,810.5254
809.21525,806.476,810.547725
