SPK_SPKC01a,SPK_SPKC03a
150.000775,150.037575
150.02295,150.412175
150.0527,150.470075
150.07855,150.6299
150.101025,150.687325
150.130125,150.926825
150.161075,151.005375
150.18295,151.472175
150.208975,151.552975
150.2608,151.795675
150.315675,151.84315
150.360225,151.860175
150.401225,151.9564
150.4211,152.1533
150.444525,152.231675
150.47115,152.260625
150.4961,152.3027
150.53405,152.4069
150.565925,152.4326
150.59025,152.6273
150.62475,152.715
150.6469,152.7505
150.666775,152.78035
150.688575,153.155825
150.7057,153.29085
150.7189,153.3984
150.732075,153.44175
150.7481,153.738275
150.768675,153.7948
150.79425,153.923975
150.822125,153.9401
150.844625,154.03075
150.892825,154.33075
150.920725,154.4736
150.9435,154.501825
150.962425,154.60845
150.980775,154.6886
150.992025,154.75995
151.009225,154.991775
151.019475,155.151675
151.029225,155.315175
151.0412,155.527725
151.062025,155.569125
151.0805,155.663725
151.09445,155.74875
151.12145,155.853375
151.1456,155.890675
151.1643,155.905625
151.17895,155.91855
151.1925,155.939325
151.209425,155.969825
151.233575,155.998175
151.25035,156.022325
151.27015,156.041325
151.2907,156.1723
151.323475,156.17615
151.3444,156.1994
151.37265,156.396575
151.391675,156.437925
151.408775,156.7446
151.430325,156.771975
151.4515,156.781975
151.4682,156.835175
151.491225,156.8413
151.502375,156.8998
151.520275,156.9222
151.54335,156.935775
151.55565,156.9641
151.575625,157.05055
151.5852,157.088825
151.6184,157.11615
151.632225,157.155575
151.6525,157.21255
151.664,157.294825
151.687075,157.459525
151.714325,157.547625
151.72875,157.6117
151.76265,157.651675
151.783425,157.7338
151.803875,157.757625
151.82195,158.061925
151.835075,158.143475
151.84305,158.302575
151.850375,158.472775
151.864,158.53165
151.87305,158.59205
151.89155,158.6308
151.905825,158.80075
151.928375,158.8535
151.9494,158.917125
151.9856,158.945675
152.02915,158.975175
152.05325,159.428275
152.070025,159.531175
152.0982,159.58925
152.139,159.722275
152.1628,159.8052
152.184375,159.95095
152.231325,160.005325
152.253925,160.2017
152.271775,160.24045
152.281425,160.26255
152.300225,160.429975
152.316025,160.56405
152.33005,160.6382
152.346725,160.75415
152.36815,160.870125
152.389325,160.922075
152.4127,161.11335
152.43025,161.265025
152.44555,161.446275
152.4641,161.6071
152.479075,161.709625
152.49635,161.7714
152.523675,161.95785
152.538275,161.99485
152.557,162.1155
152.5844,162.145475
152.607525,162.187325
152.62265,162.3559
152.64545,162.39785
152.662725,162.422775
152.680325,162.608975
152.696875,162.66365
152.711025,162.718275
152.723675,162.7556
152.7384,162.815675
152.7643,162.894225
152.776375,162.951125
152.79485,162.985825
152.818225,163.043875
152.851375,163.067575
152.87505,163.09625
152.897125,163.19
152.914975,163.3438
152.9533,163.57275
152.97855,163.664175
153.02695,163.7858
153.056775,163.887275
153.084825,163.95985
153.114275,164.1452
153.1441,164.30105
153.169775,164.366225
153.199825,164.3784
153.2181,164.41685
153.2338,164.466175
153.28355,164.6814
153.32225,164.732925
153.34845,164.77545
