SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC04a,SPK_SPKC10a
300.092625,300.241325,300.056475,300.094525
300.107,300.2691,300.10665,300.2563
300.16315,300.3058,300.18225,300.29875
300.1995,300.3351,300.22505,300.31355
300.234,300.36925,300.267,300.40835
300.417275,300.39905,300.282175,300.451375
300.482875,300.449675,300.30635,300.753125
300.5189,300.56125,300.348375,300.780925
300.522925,300.5978,300.371925,300.930225
300.65895,300.63655,300.414325,300.973725
300.79915,300.669325,300.4552,301.0439
300.887575,300.7131,300.498575,301.13795
301.00025,300.7415,300.585325,301.2478
301.0269,300.7727,300.617175,301.328825
301.090075,300.84505,300.698025,301.3814
301.167875,300.908325,300.71055,301.605475
301.202625,300.940825,300.720325,301.7022
301.24175,300.96835,300.7399,301.89735
301.31155,301.1302,300.7683,301.92215
301.36215,301.176075,300.798475,302.2143
301.38255,301.220275,300.80625,302.2982
301.44625,301.248475,300.822,302.343925
301.540425,301.290675,300.845375,302.42085
301.76635,301.447525,300.91365,302.502325
301.80695,301.52915,300.97475,302.516625
301.933675,301.5711,300.989075,302.654125
301.953675,301.638925,301.028525,302.68155
301.9874,301.651375,301.074575,302.845475
302.2082,301.662225,301.165525,302.895275
302.240325,301.6878,301.239,302.955625
302.28945,301.75145,301.2573,303.04295
302.33315,301.7734,301.291325,303.0773
302.3979,301.854475,301.31535,303.09705
302.42095,301.8851,301.387075,303.1133
302.460925,301.907275,301.427575,303.2732
302.498375,301.97015,301.45925,303.4128
302.500025,301.976875,301.487325,303.448775
302.639075,302.072575,301.5552,303.514825
302.712175,302.160125,301.570025,303.558575
302.7704,302.180375,301.596675,303.580725
302.89655,302.32255,301.628625,303.672075
303.062475,302.442775,301.64705,303.68755
303.141175,302.578875,301.718475,303.919375
303.186275,302.865375,301.742125,303.98775
303.272925,302.9095,301.764725,304.013775
303.38655,302.950575,301.849025,304.0655
303.401425,302.9943,301.941725,304.09825
303.5591,303.0276,301.9651,304.274825
303.63535,303.0759,302.034725,304.307025
303.6568,303.157475,302.0531,304.440875
303.676925,303.4075,302.096225,304.508875
303.800975,303.467975,302.1443,304.565
303.831375,303.533975,302.16825,304.724175
303.864325,303.5674,302.19125,304.79085
303.93695,303.5885,302.2078,304.851325
304.0142,303.606675,302.2994,304.97735
304.031725,303.72235,302.32045,305.02335
304.1223,303.750525,302.33745,305.21975
304.164475,303.874125,302.3901,305.278125
304.2009,303.888125,302.4784,305.381275
304.295825,304.08895,302.503325,305.4898
304.3098,304.26735,302.57625,305.57775
304.346275,304.44945,302.60695,305.805675
304.592525,304.547025,302.611975,305.826475
304.62735,304.58335,302.646975,305.85145
304.785225,304.61765,302.670925,306.024275
304.81105,304.646075,302.712575,306.06535
304.8963,304.66895,302.755125,306.1051
304.95895,304.6882,302.80785,306.3372
304.97715,304.71005,302.816375,306.388875
305.0429,304.7233,302.846225,306.504675
305.070425,304.74675,302.86325,306.637075
305.14165,304.76125,302.8729,306.767175
305.1837,304.82325,302.909075,306.813975
305.26875,304.841525,302.944275,306.906275
305.301925,304.8577,302.973125,306.963175
305.4722,304.875275,303.006125,307.127175
305.508625,305.030075,303.049925,307.331925
305.5378,305.12625,303.077025,307.452525
305.597,305.1478,303.14845,307.5108
305.6161,305.203725,303.16985,307.6104
305.62525,305.213825,303.18155,307.7943
305.75365,305.248675,303.20375,307.86705
305.8654,305.315275,303.2131,307.975325
305.902275,305.370925,303.21705,308.45435
305.92875,305.4213,303.26395,308.9266
305.944225,305.456075,303.2726,309.013325
306.008125,305.517975,303.28775,309.0503
306.06335,305.59495,303.34305,309.11245
306.1968,305.651925,303.35195,309.133875
306.268175,305.6768,303.3947,309.158225
306.31555,305.714575,303.43855,309.2883
306.42245,305.7309,303.48145,309.38745
306.449775,305.768075,303.527625,309.5114
306.507175,305.782975,303.53895,309.597175
306.522325,305.802925,303.594275,309.64265
306.65965,305.84135,303.64835,309.645275
306.687375,306.019925,303.695175,309.6913
306.753625,306.035075,303.7598,309.739475
306.77355,306.045875,303.77265,309.77795
306.78985,306.17325,303.80285,309.89485
306.8044,306.192775,303.809725,309.920375
306.84695,306.248725,303.827575,310.11915
306.93825,306.3467,303.847875,310.22005
306.95475,306.3771,303.863,310.31285
307.08705,306.6997,303.921575,310.705475
307.1525,306.7267,303.941575,310.821025
307.22815,306.867625,303.974425,310.87135
307.309125,306.91815,304.035325,310.897525
307.440275,306.998175,304.0999,310.968975
307.48365,307.0599,304.131375,311.03965
307.534975,307.07615,304.172,311.12095
307.54585,307.11565,304.197825,311.1988
307.5815,307.12135,304.345625,311.2919
307.636125,307.1763,304.3737,311.518475
307.673625,307.199025,304.42955,311.616575
