SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3800.268025,3800.0019,3800.000425,3800.030075
3800.92315,3800.020775,3800.026975,3800.052975
3801.304025,3800.03775,3800.047475,3800.11545
3801.724025,3800.05475,3800.13855,3800.139125
3801.749475,3800.07775,3800.1648,3800.185375
3801.884475,3800.091025,3800.255775,3800.219475
3803.525225,3800.1025,3800.317825,3800.257525
3803.781875,3800.1213,3800.34645,3800.29775
3804.581575,3800.1495,3800.382975,3800.327975
3804.61445,3800.183325,3800.4158,3800.369075
3804.784025,3800.2039,3800.45465,3800.4221
3804.9829,3800.225175,3800.4916,3800.460925
3805.223375,3800.260625,3800.525575,3800.478525
3805.3667,3800.27475,3800.593375,3800.50175
3805.4812,3800.305375,3800.6199,3800.53485
3806.048175,3800.336075,3800.638625,3800.549125
3806.065625,3800.354225,3800.658625,3800.5957
3806.7379,3800.380925,3800.6916,3800.62955
3806.788325,3800.40895,3800.716825,3800.76105
3806.9639,3800.441175,3800.762425,3800.786525
3807.09085,3800.4671,3800.785525,3800.859925
3807.449475,3800.496725,3800.8235,3800.89935
3807.516475,3800.516925,3800.84765,3800.9337
3808.291325,3800.5484,3800.8736,3801.010625
3808.3927,3800.620325,3800.91335,3801.063375
3808.445175,3800.633675,3800.944925,3801.09595
3812.0909,3800.68885,3801.0495,3801.1324
3812.499475,3800.703075,3801.08505,3801.191475
3813.224525,3800.7181,3801.167825,3801.243075
3813.8867,3800.72985,3801.2632,3801.251025
3814.285025,3800.75655,3801.2967,3801.297575
3814.320175,3800.771775,3801.328075,3801.360875
3814.392125,3800.790175,3801.36025,3801.40675
3815.063225,3800.818775,3801.397975,3801.45335
3815.3946,3800.8376,3801.4469,3801.467475
3815.54865,3800.879575,3801.50465,3801.493125
3815.6923,3800.897025,3801.5784,3801.509575
3815.9641,3800.920925,3801.773475,3801.5112
3816.071325,3800.942275,3801.804925,3801.52585
3816.3161,3800.972475,3801.831275,3801.59185
3816.356425,3800.994875,3801.89685,3801.63215
3816.81965,3801.04025,3801.9643,3801.641
3817.253825,3801.0684,3802.0033,3801.650825
3817.42065,3801.09605,3802.037725,3801.66075
3817.796475,3801.115625,3802.09215,3801.674875
3818.520725,3801.14015,3802.16725,3801.6847
3818.574325,3801.17265,3802.2126,3801.69635
3818.88015,3801.1832,3802.253825,3801.70795
3819.037875,3801.2022,3802.299175,3801.7132
3819.102025,3801.225525,3802.32935,3801.7162
3819.8563,3801.2379,3802.366825,3801.724775
3820.759825,3801.261275,3802.405425,3801.763525
3820.76755,3801.288525,3802.445775,3801.77995
3821.464175,3801.3146,3802.525725,3801.790625
3821.499875,3801.343125,3802.555675,3801.819775
3821.8439,3801.36375,3802.6102,3801.82915
3821.885625,3801.3931,3802.62235,3801.833975
3822.084375,3801.4219,3802.64625,3801.8714
3822.128825,3801.44845,3802.691425,3801.88375
3822.277125,3801.469375,3802.7257,3801.9307
3823.0708,3801.544775,3802.729475,3801.971725
3823.436325,3801.5754,3802.75145,3801.9992
3824.206225,3801.62415,3802.78285,3802.026
3824.279075,3801.6529,3802.87135,3802.064175
3824.6837,3801.709275,3802.93175,3802.099975
3824.84905,3801.7392,3802.9343,3802.17405
3825.680475,3801.761675,3802.957075,3802.221325
3825.737525,3801.801,3803.0796,3802.265225
3825.74255,3801.824575,3803.10805,3802.298425
3825.79235,3801.84255,3803.141225,3802.354
3826.083575,3801.856825,3803.16785,3802.3673
3826.389325,3801.8716,3803.2046,3802.413375
