SPK_SPKC03a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
0.009225,0.089125,0.317675,0.0076
0.0288,0.230175,0.345675,0.0229
0.05635,0.3183,0.478925,0.0294
0.0714,0.468425,0.8654,0.0369
0.079475,0.54095,0.9087,0.058125
0.092525,0.5824,1.021275,0.076325
0.10035,0.7328,1.070525,0.1034
0.1086,0.812325,1.344,0.1133
0.124375,0.846225,2.043225,0.12725
0.129725,1.095875,2.062175,0.1697
0.2383,1.12475,2.5539,0.1756
0.27265,1.247775,3.042325,0.193475
0.307875,1.24945,3.06155,0.208475
0.3264,1.8457,3.658375,0.21785
0.346175,2.290525,3.761825,0.234475
0.36345,2.356325,4.34455,0.249125
0.389725,2.420575,4.35975,0.2615
0.41265,2.501825,4.41665,0.272175
0.43305,2.53855,4.55725,0.286625
0.449725,2.587925,5.02995,0.297525
0.47575,2.7146,5.105825,0.3273
0.495975,2.799175,5.449825,0.3571
0.522875,3.1822,5.75355,0.3734
0.53775,3.343975,5.8617,0.389475
0.5666,3.407375,5.93085,0.411175
0.58155,3.898975,6.40705,0.42295
0.6115,3.950425,7.023925,0.4334
0.6327,4.1533,7.1259,0.453025
0.66695,4.2115,7.24195,0.500025
0.720325,4.38265,7.3614,0.5204
0.763575,4.486125,7.57465,0.556525
0.78315,4.579675,7.697025,0.586925
0.8106,4.6671,9.26795,0.608275
0.830325,4.806575,9.457175,0.641075
0.85445,4.808175,9.521525,0.661075
0.880125,4.90675,9.63145,0.701075
0.90365,4.9809,10.644725,0.73965
0.924475,5.076325,11.0702,0.7865
0.949325,5.2779,11.223325,0.82885
0.971325,5.310475,11.3246,0.953975
0.993325,5.353325,11.420825,0.99455
1.00975,5.457175,11.43505,1.0413
1.033425,5.478125,12.25405,1.085375
1.058775,5.530425,12.40525,1.095
1.07805,5.61325,12.54145,1.1075
1.1065,5.621,12.636925,1.115525
1.1249,5.687,13.46065,1.1307
1.1317,5.908375,13.8606,1.142575
1.140975,6.07085,13.9103,1.158625
1.1486,6.0829,13.960825,1.176575
1.164575,6.120475,14.2923,1.19015
1.171975,6.164375,14.330275,1.20485
1.19375,6.303925,14.394125,1.2209
1.207075,6.385175,14.495825,1.230025
1.229125,6.644825,14.531075,1.2455
1.248075,6.716375,14.53735,1.25795
1.287475,6.734675,14.618475,1.285475
1.311475,6.80525,14.78715,1.29735
1.374025,6.80705,15.282,1.316375
1.389075,6.837925,15.4772,1.37695
1.408775,6.884,15.843775,1.39525
1.43315,7.003825,15.85455,1.40665
1.4467,7.041325,16.3272,1.4242
1.4516,7.09695,16.74115,1.4345
1.4646,7.132375,17.140725,1.440975
1.47335,7.1709,17.476975,1.44705
1.481725,7.25175,17.59385,1.4557
1.49515,7.464625,18.01185,1.467975
1.526175,7.5087,18.1292,1.480625
1.536675,7.55315,18.15535,1.4899
1.55835,7.823325,18.7104,1.5043
1.573475,7.979475,18.8099,1.514575
1.592075,8.060275,18.893475,1.523875
1.61005,8.126475,19.179175,1.535625
1.628825,8.12955,19.26035,1.547575
1.65645,8.246675,19.4085,1.55975
1.693225,8.392075,19.4269,1.572075
1.7308,8.4791,20.059375,1.580425
1.741425,8.515975,20.076675,1.589875
1.758025,8.84665,20.348,1.6021
1.77655,8.998925,20.3702,1.6251
1.8129,9.054575,20.557725,1.6373
1.833,9.18285,21.033225,1.650525
1.8419,9.24325,21.077575,1.6625
1.8536,9.3266,21.5726,1.6761
1.87455,9.404725,21.662025,1.68755
1.8899,9.430125,21.892725,1.695825
1.910625,9.43615,21.929,1.7087
1.941525,9.635025,21.965775,1.72105
1.963125,9.862975,22.0211,1.73945
1.98655,9.8673,22.14715,1.748
2.004975,9.898225,22.358825,1.76115
2.0239,10.10095,22.537,1.775125
2.040775,10.164275,22.652975,1.793575
2.0611,10.20575,22.665275,1.813725
2.079075,10.316225,23.084825,1.831075
2.09815,10.36325,23.4939,1.8512
2.11375,10.3733,23.540675,1.874075
2.135875,10.39005,24.07255,1.90015
2.15265,10.4234,24.271875,1.913575
2.1803,10.575325,24.4485,1.92875
2.203875,10.682925,24.455275,1.9805
2.2261,10.699325,24.48035,2.009825
2.26225,10.89015,24.5415,2.02325
2.284675,11.122975,24.6801,2.034475
2.305075,11.265575,25.00505,2.054075
2.3216,11.469525,25.091425,2.07615
2.34385,11.555575,25.350325,2.090925
2.3627,11.62865,25.5193,2.103525
2.383675,11.7258,25.547925,2.111775
2.399275,11.833925,25.865875,2.122025
2.41915,12.0252,26.0266,2.135025
2.4394,12.1426,26.138025,2.14525
2.457075,12.2265,26.184825,2.152075
2.475625,12.24365,26.439125,2.164775
2.4883,12.42895,26.76575,2.1752
2.521025,12.660075,26.9295,2.185375
2.5381,12.75795,26.96855,2.191925
2.550475,13.221825,27.016775,2.20475
2.560225,13.489,27.043975,2.220125
2.576975,13.652825,27.123925,2.23035
2.58605,13.65445,27.147425,2.242875
2.592825,13.657425,27.156875,2.261325
2.603525,13.828625,27.187275,2.27515
2.62515,13.944975,27.213775,2.287925
2.64055,13.95095,27.5187,2.29805
2.662325,14.018825,28.37105,2.3151
2.68465,14.1756,28.82425,2.333825
2.704325,14.187375,29.275775,2.37015
2.72635,14.2137,29.3428,2.434625
2.74795,14.40235,29.3646,2.479175
2.762875,14.51125,29.39225,2.519425
2.78335,14.657275,29.509275,2.5666
2.799525,14.680375,29.787875,2.572525
2.816775,14.737575,29.872225,2.593775
2.83855,14.7482,29.95445,2.612025
2.8619,14.977,29.97685,2.62075
2.8779,15.00985,30.029425,2.634025
2.9065,15.0271,30.07135,2.6527
2.92205,15.118875,30.402175,2.669175
2.94175,15.2242,30.448425,2.6834
2.9574,15.276275,30.4835,2.69865
2.991775,15.3509,30.496075,2.708
3.011825,15.49305,30.531575,2.720625
3.031325,15.522775,30.7033,2.733075
3.04875,15.622775,30.9461,2.7464
3.0711,15.861825,31.030525,2.765375
3.08645,15.953925,31.09285,2.776275
3.096825,16.076225,31.1585,2.793325
3.108075,16.092125,31.17875,2.805775
3.1191,16.385225,31.1939,2.818575
