SPK_SPKC10a,SPK_SPKC11a
150.014175,150.0292
150.038475,150.0575
150.065975,150.07665
150.1035,150.242925
150.1416,150.260275
150.15245,150.27335
150.183,150.2996
150.202425,150.342675
150.2199,150.397375
150.2498,150.4208
150.28005,150.4491
150.30035,150.4854
150.376025,150.5513
150.401325,150.6531
150.44165,150.671075
150.472425,150.706775
150.522225,150.745525
150.66335,150.76775
150.7012,150.820375
150.722225,150.836775
150.760725,150.852875
150.796,150.870225
150.805175,150.92145
150.8421,150.942375
150.8524,150.97175
150.866525,150.9895
150.883675,151.012575
150.8942,151.0466
150.921075,151.073225
150.932275,151.153125
150.9749,151.185375
151.009275,151.2082
151.04105,151.226775
151.126725,151.243175
151.17375,151.2659
151.199825,151.270625
151.285775,151.322275
151.346575,151.384125
151.659625,151.50395
151.681625,151.641225
151.69315,151.68195
151.7004,151.688675
151.7103,151.7056
151.7248,151.7101
151.75585,151.72605
151.78515,151.75395
151.803725,151.768125
151.812875,151.8104
151.8214,151.85225
151.841,151.8706
151.87765,151.88395
151.903,151.9494
151.919225,151.9967
151.98255,152.029675
152.005,152.05415
152.047,152.0599
152.0724,152.1079
152.106475,152.125825
152.150575,152.182225
152.228675,152.2417
152.278725,152.316175
152.37435,152.360925
152.50265,152.4543
152.530625,152.497775
152.5854,152.524175
152.613075,152.54535
152.636075,152.56435
152.66675,152.60375
152.69575,152.6392
152.712775,152.6571
152.7463,152.6766
152.783425,152.693775
152.8117,152.732825
152.895625,152.801425
152.914225,152.8218
152.9314,152.83175
152.96685,152.90175
152.987825,152.924475
153.010075,152.9936
153.024625,153.032875
153.04965,153.0795
153.066875,153.125675
153.114925,153.149
153.18725,153.23565
153.26155,153.31
153.360675,153.361475
153.391325,153.392725
153.425775,153.4612
153.584025,153.473425
153.625475,153.510925
153.7004,153.5738
153.83555,153.62475
153.848275,153.6915
153.913625,153.7198
153.951875,153.75545
154.01535,153.793375
154.05425,153.851075
154.1524,153.938625
154.1923,153.97185
154.227025,154.01965
154.297225,154.07595
154.33185,154.10935
154.37015,154.156475
154.618225,154.216925
154.81245,154.222575
154.834525,154.2673
154.87215,154.3799
154.915125,154.41165
154.95395,154.475075
154.99785,154.5784
155.025825,154.66875
155.031975,154.7463
155.036875,154.77695
155.04315,154.80365
155.054225,154.83945
155.08135,154.859825
155.092725,154.8853
155.108125,154.963725
155.188225,155.002375
155.196075,155.0302
155.208475,155.0332
155.2165,155.04485
155.230675,155.065725
155.248875,155.0833
155.26,155.096575
155.272125,155.097775
155.29035,155.1127
155.298725,155.13345
155.3358,155.1845
155.398075,155.25025
155.412825,155.31025
155.43975,155.349075
155.47565,155.383775
155.491425,155.403925
155.538075,155.4158
155.5491,155.445375
155.593375,155.45945
155.622875,155.47485
155.631,155.49455
155.663675,155.6487
155.722575,155.697475
155.793525,155.711425
155.8386,155.728025
155.864375,155.74335
156.028125,155.75945
156.179525,155.793275
156.230075,155.813075
156.266425,155.854875
156.28485,155.93355
156.293075,155.9933
156.307975,156.036825
156.323675,156.075325
156.336025,156.10325
156.3763,156.1466
156.501775,156.180225
156.5658,156.19695
156.645625,156.198425
156.671525,156.241875
156.6886,156.246075
156.749225,156.259025
156.774075,156.262
156.8013,156.2708
156.833825,156.2835
156.90925,156.372025
156.945375,156.3955
156.983675,156.447675
157.19845,156.494275
157.2185,156.54885
157.235475,156.574625
157.247375,156.613575
157.259375,156.65885
157.297175,156.6718
157.309925,156.708
157.329625,156.73975
157.3495,156.751925
157.370725,156.76435
157.392125,156.794025
157.4297,156.828325
157.45455,156.860075
157.4846,156.878875
157.530475,156.904425
157.65475,156.9376
157.83265,156.974925
157.952975,157.06285
158.3301,157.08875
158.339475,157.1255
158.348925,157.163425
158.355475,157.1952
158.368875,157.2131
158.378425,157.2279
158.3937,157.23865
158.3995,157.2542
158.435,157.2891
158.443525,157.305775
158.4756,157.402925
158.4967,157.431025
158.5041,157.48325
158.514425,157.500225
158.526075,157.520875
158.535275,157.552625
158.55205,157.577875
158.558875,157.643475
158.56525,157.699925
158.5911,157.7091
158.604825,157.735325
158.615175,157.766575
158.633275,157.801175
158.64665,157.84455
158.658325,157.90385
158.7034,157.944525
158.7354,157.976075
158.769025,158.033875
158.95565,158.077575
158.96245,158.1088
158.969225,158.1741
158.976325,158.247075
158.9944,158.289425
158.999225,158.333075
159.004875,158.34945
159.011425,158.359925
159.036975,158.36675
159.04575,158.37465
159.07195,158.47655
159.0837,158.4977
159.120725,158.526625
159.147425,158.529425
159.1713,158.541625
159.217425,158.6024
159.29485,158.680875
159.548475,158.742075
159.561425,158.74745
159.573975,158.77995
159.583175,158.838575
159.5898,158.882125
159.602375,158.922225
159.651325,158.958775
159.6664,158.973425
159.6867,158.991175
159.73225,158.998125
159.76165,159.02945
159.885825,159.0696
160.276475,159.118125
160.44195,159.151175
160.4736,159.193925
160.52375,159.22135
160.5775,159.249625
160.626,159.251475
160.670675,159.376425
160.68915,159.4227
160.71895,159.4821
161.143675,159.53985
161.2515,159.57
161.2714,159.5852
161.27785,159.5918
161.284225,159.613175
161.2931,159.65275
161.345275,159.654
161.371825,159.6793
161.388775,159.745525
161.398975,159.7666
161.4226,159.813425
161.4403,159.859875
161.45355,159.900075
161.475825,159.946925
161.54855,159.979325
161.588025,160.01695
161.636775,160.044975
161.673725,160.0664
161.70915,160.11525
161.7354,160.14855
161.77815,160.1756
161.86535,160.2266
161.917625,160.249875
162.0062,160.283175
162.2748,160.345275
162.29485,160.425975
162.31585,160.466675
162.332175,160.489975
162.344825,160.502875
162.37485,160.51985
162.3828,160.5394
162.4027,160.558625
162.4199,160.5874
162.486375,160.6361
162.5338,160.6651
162.844975,160.6941
162.869775,160.7281
162.885675,160.803425
162.9095,160.862475
162.9265,160.901
162.958925,160.9569
162.9807,161.0451
162.999225,161.075025
163.041875,161.133025
163.105825,161.171875
163.413375,161.218225
163.438725,161.2659
163.454025,161.313675
163.4644,161.38585
163.47875,161.39685
163.491825,161.43
163.49725,161.4665
163.512325,161.488275
163.525025,161.492025
163.575925,161.508425
163.60455,161.563325
163.621275,161.622525
163.646325,161.6615
163.98325,161.69295
163.999225,161.719375
164.02695,161.740875
164.04125,161.773725
164.064725,161.79555
164.08635,161.827775
164.09995,161.865975
164.119025,161.89745
164.134425,161.925825
164.1509,161.959225
164.183675,162.04555
164.20325,162.101675
164.236975,162.1573
164.57855,162.202325
164.587675,162.223925
164.596525,162.24255
164.62005,162.260775
164.63135,162.2768
164.642325,162.3078
164.657,162.309125
164.664225,162.32515
164.6842,162.338875
164.70025,162.3722
164.742775,162.41825
164.756125,162.4377
164.770225,162.4868
164.79405,162.520975
164.8373,162.5579
164.87585,162.592075
165.07995,162.6316
165.24855,162.820525
165.260825,162.85125
165.269425,162.862875
165.276825,162.872775
165.290125,162.914925
165.303775,162.979975
165.3272,162.998575
165.3421,163.0176
165.37075,163.14985
165.393525,163.211175
165.435125,163.2698
165.446425,163.31815
165.4585,163.3839
165.474225,163.403375
165.533775,163.4146
165.57565,163.426325
165.6968,163.437025
165.901325,163.4456
165.905025,163.456475
165.9103,163.499525
165.91415,163.586375
165.929725,163.604975
165.9617,163.624575
165.998775,163.65205
166.066875,163.691375
166.088625,163.764125
166.12575,163.820975
166.14115,163.8765
166.183175,163.9244
166.2076,163.945675
166.225025,163.9687
166.2484,163.990425
166.275425,164.0149
166.301325,164.023375
166.30645,164.068075
166.316125,164.071925
166.324175,164.0849
166.3381,164.10255
166.3576,164.16405
166.370975,164.187875
166.391575,164.253175
166.420825,164.273325
166.450475,164.360625
166.470525,164.40755
166.7611,164.448275
166.77155,164.48215
166.7836,164.49925
166.79215,164.5758
166.805175,164.586425
166.818425,164.614175
166.835925,164.61585
166.8458,164.625375
166.884925,164.638725
166.93465,164.6514
167.012775,164.66595
167.253,164.704575
167.259625,164.72225
167.264725,164.761475
167.2715,164.779725
167.2783,164.808225
167.292575,164.8627
167.29885,164.8989
167.38755,165.08145
167.41345,165.160275
167.431925,165.212425
167.473375,165.24405
167.5043,165.245075
167.761525,165.261525
167.783575,165.2807
167.7949,165.3273
167.81335,165.389475
167.83975,165.41745
167.8481,165.44175
167.863,165.45915
167.897975,165.507975
167.9304,165.565725
167.95955,165.6001
167.9883,165.625375
168.008025,165.672375
168.0609,165.71575
