SPK_SPKC05a,SPK_SPKC09a
400.008625,400.018525
400.077025,400.0315
400.11225,400.040875
400.204225,400.053175
400.282725,400.076675
400.40695,400.0874
400.4793,400.09535
400.6047,400.104675
400.63735,400.1285
400.656075,400.14155
400.71895,400.177575
400.8482,400.202675
400.9329,400.227875
400.97755,400.27815
401.129425,400.315675
401.2692,400.3318
401.3087,400.385
401.54525,400.436675
401.583475,400.484725
401.635175,400.535325
401.7545,400.55125
401.832075,400.562825
401.86955,400.571275
402.183225,400.580725
402.241275,400.586725
402.25845,400.5946
402.315475,400.60005
402.347675,400.6089
402.394425,400.614775
402.44765,400.63005
402.52445,400.64095
402.630225,400.674825
402.724425,400.71335
402.767525,400.73895
402.8568,400.765125
402.951125,400.778
403.0331,400.86515
403.0711,400.895225
403.168125,400.9142
403.2078,400.971475
403.31835,400.998425
403.39895,401.029875
403.44865,401.04115
403.555275,401.0632
403.66345,401.097925
403.838825,401.164725
403.921075,401.215775
404.0423,401.3385
404.2055,401.371925
404.2802,401.3997
404.3311,401.417425
404.494925,401.431125
404.5846,401.4418
404.639175,401.448175
404.678325,401.458
404.781,401.4626
404.836775,401.4888
405.018975,401.505125
405.237025,401.512
405.313975,401.5503
405.4088,401.592775
405.453225,401.609025
405.48435,401.6291
405.74415,401.68255
405.789225,401.702025
405.8193,401.736775
405.87315,401.742525
406.08245,401.751825
406.314575,401.76095
406.449275,401.773775
406.600925,401.815625
406.68425,401.837075
406.74945,401.846675
406.8375,401.982875
406.91315,402.10595
407.32085,402.1503
407.399,402.202825
407.4982,402.247675
407.731625,402.260625
407.775425,402.272225
407.828325,402.279075
407.9887,402.294375
408.0105,402.304375
408.0739,402.316075
408.135025,402.335975
408.2832,402.34395
408.407875,402.3503
408.66765,402.358725
408.759175,402.367575
408.80715,402.4634
408.873625,402.528225
408.936875,402.564575
409.04635,402.618975
409.096725,402.641025
409.143825,402.6701
409.17375,402.7115
409.220075,402.742025
409.2966,402.77705
409.412375,402.806125
409.4422,402.880925
409.6018,402.919275
409.8634,402.963575
409.900125,402.9851
410.00075,403.001875
410.328575,403.015925
410.44335,403.028925
410.485475,403.046325
410.686025,403.057025
410.74775,403.090175
410.9648,403.130275
411.01815,403.1637
411.1159,403.2288
411.156025,403.258675
411.17285,403.2999
411.192775,403.369925
411.29815,403.387
411.363575,403.4047
411.4211,403.4163
411.4552,403.431675
411.608825,403.450675
411.7225,403.478325
411.914725,403.497875
411.96635,403.539325
412.026525,403.589725
412.160925,403.627375
412.210875,403.664775
412.392125,403.69915
412.439575,403.707975
412.5676,403.7132
412.62215,403.724325
412.6552,403.7311
412.720225,403.73625
412.792075,403.744525
412.832075,403.7561
412.8597,403.79375
412.902625,403.804925
413.0829,403.827375
413.14355,403.8382
413.24885,403.894425
413.49155,403.984975
413.518525,404.005725
413.604975,404.019875
413.664775,404.0339
413.913475,404.040375
413.96285,404.06225
414.041475,404.07505
414.145375,404.099875
414.262675,404.121225
414.3131,404.160575
414.377175,404.194975
414.531575,404.2151
414.594275,404.256425
414.658625,404.284575
414.714125,404.374325
414.77545,404.4267
414.86335,404.48395
414.985425,404.546325
415.0555,404.60215
415.1565,404.646025
415.22105,404.6768
415.32345,404.717125
415.392725,404.74335
415.4572,404.787975
415.482975,404.836125
415.50375,404.8835
415.51805,404.927875
415.558175,404.9718
415.5783,404.99295
415.6869,405.0319
415.7549,405.087625
415.761725,405.11985
415.77085,405.159275
415.7966,405.1975
415.846675,405.21985
415.962275,405.266
416.06235,405.31405
416.159775,405.348125
416.360875,405.3583
416.58515,405.3673
416.66235,405.396725
416.8062,405.404425
416.969975,405.410625
417.0196,405.419225
417.125375,405.4303
417.235475,405.455525
417.29095,405.46465
417.404225,405.478275
417.4437,405.52715
417.4937,405.547375
417.6052,405.57035
417.68535,405.581075
417.762125,405.611625
417.787025,405.67755
417.8171,405.71305
417.833,405.73355
417.945875,405.758375
418.031725,405.799825
418.12765,405.846275
418.1542,405.90415
418.286825,405.952025
418.4146,405.99765
418.4674,406.058125
418.525425,406.135825
418.554325,406.168325
418.6022,406.231075
418.666925,406.29165
418.6961,406.33095
418.814375,406.3696
418.9689,406.429775
419.050225,406.45625
419.175875,406.4944
419.433,406.5223
419.583975,406.54975
419.6267,406.57955
419.679525,406.624325
419.7425,406.701175
419.774225,406.7586
419.835125,406.822375
419.88205,406.832675
419.92845,406.84315
420.068175,406.854275
420.176525,406.8628
420.2317,406.907575
420.461,406.917225
420.505975,406.924125
420.54575,406.9408
420.6205,406.949925
420.711775,406.976075
420.751325,407.0305
420.813425,407.052175
420.8984,407.060125
421.019225,407.078925
421.12055,407.09195
421.2517,407.123275
421.370325,407.20115
421.5196,407.234575
421.56985,407.30205
421.6053,407.33485
421.712875,407.3622
421.753125,407.3866
421.95245,407.406825
422.100425,407.45615
422.14505,407.4711
422.72025,407.500375
422.885225,407.52795
422.94305,407.5449
422.96755,407.603825
423.016525,407.621325
423.075875,407.6782
423.19485,407.764875
423.21765,407.8344
423.27505,407.911525
423.3874,407.94485
423.426625,407.95855
423.643625,407.992725
423.69635,408.0107
423.818825,408.025925
423.838425,408.045025
423.8561,408.05565
423.8878,408.07205
423.92625,408.085525
424.0469,408.098575
424.07605,408.12255
424.162225,408.1437
