SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a
200.147925,200.035825,200.001575,200.026925
200.266175,200.0884,200.031175,200.046625
200.41845,200.119225,200.09095,200.098025
200.65265,200.145025,200.12565,200.151825
200.724025,200.172725,200.192,200.2816
200.801875,200.1919,200.2688,200.325825
200.819325,200.211625,200.310525,200.348025
200.9058,200.29635,200.360125,200.440225
201.283925,200.34675,200.46365,200.44405
201.88355,200.37695,200.5056,200.52675
201.941325,200.465725,200.603925,200.660875
202.1004,200.4707,200.61785,200.69505
202.152375,200.495,200.656525,200.747325
202.245175,200.5302,200.673975,200.8373
202.291625,200.620725,200.69475,201.02635
202.564675,200.684175,200.7545,201.285
202.594025,200.70825,200.77735,201.358925
202.86045,200.7122,200.897475,201.474075
203.0771,200.7302,200.976175,201.5516
203.203075,200.7982,201.056125,201.73185
203.24705,200.84065,201.077175,201.74865
203.267775,200.870575,201.176625,201.80225
203.45825,200.943725,201.181725,201.90595
203.468825,200.994575,201.218475,201.9628
203.642525,201.019825,201.26345,201.971
203.68995,201.03085,201.381125,202.040825
203.853275,201.07435,201.487925,202.0842
203.939825,201.18135,201.529875,202.099875
204.04465,201.200375,201.5586,202.124325
204.072725,201.2192,201.59525,202.163275
204.333125,201.320475,201.621575,202.171025
204.399075,201.3636,201.645975,202.222975
204.541775,201.380075,201.71335,202.249975
204.5947,201.416325,201.779275,202.291825
204.688275,201.507225,201.7983,202.3017
204.695325,201.512625,201.807525,202.33025
204.7511,201.55835,201.83365,202.4156
204.788425,201.6914,201.855225,202.499725
204.790975,201.724175,201.862625,202.5046
204.993925,201.756625,201.865775,202.570825
205.00245,201.802775,201.8813,202.5884
205.042475,201.814625,201.893625,202.596125
205.247525,201.85505,201.9084,202.65985
205.254825,201.87255,201.9212,202.69105
205.460725,201.901825,201.928525,202.74545
205.699475,201.93235,201.93815,202.87085
205.7624,201.9714,201.958875,202.904475
205.769075,202.0123,201.97055,202.915175
205.8838,202.043875,201.98085,203.19365
205.922175,202.07475,201.99505,203.214575
205.947725,202.0918,202.001325,203.23445
205.96275,202.1235,202.021175,203.2391
206.037425,202.1449,202.053225,203.282925
206.3852,202.179625,202.062425,203.340275
206.3907,202.232,202.075725,203.34815
206.4316,202.2895,202.088125,203.445025
206.49135,202.338,202.09555,203.460725
206.510625,202.3455,202.122275,203.4784
207.04235,202.3609,202.1314,203.620875
207.06945,202.394825,202.1503,203.644475
207.325025,202.432075,202.177175,203.682925
207.439,202.4899,202.186375,203.707325
207.458725,202.52735,202.204375,203.717975
207.4761,202.562675,202.220275,203.743775
207.53005,202.647525,202.2771,203.795975
207.532025,202.693325,202.2892,203.84015
207.649075,202.736075,202.343175,203.892825
207.665625,202.80525,202.408275,203.93385
208.15505,202.873425,202.43845,203.958225
208.1825,202.9034,202.467775,204.009075
208.585975,202.92425,202.50035,204.0341
208.59265,202.9325,202.5915,204.06255
208.7374,202.980725,202.621975,204.116625
208.794325,203.006425,202.643425,204.196725
209.025575,203.028425,202.6963,204.288425
209.370975,203.06735,202.738325,204.3081
209.443625,203.098725,202.791025,204.341825
209.54435,203.116075,202.8109,204.3632
210.030025,203.14835,202.845675,204.37185
210.0654,203.1799,202.894025,204.3828
210.07515,203.215425,202.92505,204.432125
210.302475,203.24495,202.9578,204.461
210.3579,203.3072,202.978675,204.516925
210.37245,203.31685,203.01115,204.558075
210.395975,203.329925,203.028625,204.565325
210.5941,203.3464,203.043125,204.719075
210.59575,203.362725,203.05215,204.74945
210.60415,203.382675,203.06075,204.87775
210.6688,203.4358,203.071625,204.8971
210.8651,203.4725,203.089525,204.919725
210.961775,203.4924,203.10225,204.94555
211.429525,203.524575,203.111725,204.962075
212.127275,203.559525,203.1243,205.054125
212.169825,203.579275,203.1621,205.0891
212.2224,203.59355,203.179025,205.11595
212.3418,203.60805,203.18855,205.143575
212.435725,203.6137,203.20735,205.157775
212.902725,203.67545,203.22965,205.1957
213.114325,203.738275,203.238325,205.2231
213.277875,203.746925,203.257925,205.2722
214.067275,203.82285,203.2723,205.330725
214.10095,203.872225,203.2862,205.3388
214.49165,203.89995,203.3063,205.39635
214.5112,203.919775,203.329775,205.4047
214.5719,203.9761,203.337,205.438275
214.6522,204.005375,203.352075,205.46495
214.883425,204.03735,203.370125,205.49695
214.9256,204.039275,203.392025,205.54425
215.23315,204.061575,203.4288,205.5534
215.3607,204.0856,203.439425,205.615475
215.9131,204.110325,203.449175,205.642775
215.94615,204.12025,203.456925,205.693475
216.13955,204.1606,203.4781,205.7883
216.280225,204.216825,203.4843,205.850675
216.383925,204.273975,203.49875,205.88025
216.8035,204.326175,203.514825,205.947175
216.83405,204.35955,203.529475,205.97525
216.93525,204.3777,203.5359,205.999775
216.977925,204.41135,203.54305,206.014025
217.318775,204.415525,203.5665,206.032175
217.4116,204.494275,203.573375,206.072175
217.55335,204.5012,203.584175,206.108675
