SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC10a
0.1037,0.826975,0.038875,0.01225
0.192925,1.11755,0.068875,0.048975
0.930575,1.4139,0.081175,0.08575
1.5436,1.913875,0.089375,0.175525
1.5612,2.103775,0.096275,0.809575
1.5871,2.173125,0.1023,0.9424
1.611575,2.4973,0.1136,1.57775
3.151975,2.53745,0.16455,1.81
3.229175,3.080075,0.174,2.123975
3.319075,3.3268,0.188275,2.328725
3.335025,3.4892,0.205075,2.337625
3.4206,3.77095,0.225525,2.37145
3.448525,4.28595,0.241475,2.492025
3.466625,4.395075,0.25875,3.056425
3.8835,4.6658,0.2917,3.125375
3.976775,4.943325,0.313725,3.28265
4.24305,4.95705,0.353125,3.4705
4.36855,4.997875,0.392,3.5386
4.45485,5.183525,0.442025,3.698825
4.522225,5.237175,0.469575,4.185225
4.5439,5.262625,0.492125,4.26395
4.5894,6.14545,0.52955,4.321875
4.7131,6.555025,0.562875,4.376525
5.014775,6.9503,0.607025,4.513125
5.13205,7.0919,0.692925,4.560675
5.31485,7.173725,0.741275,4.65495
5.89445,7.536075,0.766525,4.75425
6.02695,7.9749,0.7843,4.8059
6.064475,8.416775,0.821975,4.866275
6.0732,8.8389,0.8377,4.937325
6.163575,9.25275,0.850075,5.100175
6.274375,9.4549,0.86275,5.68645
6.330375,9.5043,0.8762,5.716325
6.3737,9.66655,0.892475,5.740925
6.87635,9.77575,0.905225,5.90725
6.9668,10.24485,0.922725,6.07035
7.0822,10.328425,0.9375,6.1005
7.38175,10.373275,0.94795,6.16245
7.4354,10.52065,0.9615,6.81275
7.91025,10.55755,0.994975,6.868825
8.18055,10.809225,1.0122,6.906525
8.476675,10.832825,1.01865,7.4043
8.650675,10.8837,1.04805,7.4775
9.4243,10.921975,1.0639,7.51855
9.469725,11.0978,1.085375,8.11495
9.487,11.314175,1.107975,8.1657
9.554425,11.343975,1.121975,8.23935
9.581075,11.45005,1.1421,8.329675
9.72095,11.692825,1.183925,8.42845
9.742025,12.191775,1.219575,8.749375
9.782575,12.22735,1.2491,9.0578
9.81305,12.247675,1.29095,9.1765
9.8218,12.312725,1.330025,9.226825
10.008125,12.315275,1.352375,9.2952
10.3091,12.47085,1.391725,9.32815
10.518225,12.5014,1.42305,9.403775
10.55725,12.56215,1.46045,9.453
10.68125,13.16025,1.5071,9.57505
10.921225,13.170575,1.532375,9.618575
10.98875,13.426325,1.548075,9.7377
11.097425,13.7088,1.55965,9.790225
11.137025,14.003475,1.5681,9.8601
11.1958,14.2369,1.583275,9.900025
11.24,14.5467,1.602375,10.004375
11.33595,15.188075,1.617475,10.12315
11.413025,15.9124,1.627525,10.164225
11.878425,16.20605,1.642325,10.1985
11.89695,16.337175,1.651825,10.25135
11.935775,16.59755,1.666975,10.390625
11.966325,16.633925,1.701,10.47695
12.059875,16.85795,1.711025,10.544475
12.08655,17.08975,1.736125,10.68335
12.1188,17.118875,1.757225,10.746925
12.272025,17.448975,1.772525,10.795175
12.40485,17.87905,1.820775,10.850075
12.471125,18.8895,1.84745,10.880775
12.7869,19.04705,1.874825,10.94305
12.8848,19.199875,1.889325,10.989625
12.93055,19.8535,1.9272,11.099225
12.98525,19.85575,1.973575,11.285075
12.99705,20.21625,2.003475,11.319175
13.0415,20.223475,2.032225,11.35545
13.8073,20.325775,2.0662,11.630325
13.8206,20.347575,2.090175,11.923775
13.9164,20.451125,2.120375,11.96595
14.35655,20.667775,2.14575,11.9957
14.368075,20.77005,2.184625,12.121725
14.40355,21.1351,2.216975,12.168875
14.42655,21.205275,2.31855,12.19455
14.81885,21.238375,2.33705,12.3342
14.82965,21.55615,2.352625,12.365475
