SPK_SPKC03a,SPK_SPKC10a,SPK_SPKC13a
300.007825,300.032175,300.023075
300.016375,300.10935,300.0382
300.0254,300.14565,300.061375
300.034575,300.164175,300.08485
300.039325,300.17945,300.106475
300.053425,300.1907,300.119
300.065425,300.199825,300.1519
300.07055,300.226625,300.17715
300.08725,300.26175,300.1977
300.092025,300.2682,300.219675
300.102075,300.2982,300.246875
300.12275,300.30925,300.273
300.138725,300.3246,300.295475
300.148075,300.367,300.32155
300.159075,300.381875,300.341175
300.180525,300.4141,300.36215
300.189275,300.4477,300.38765
300.193875,300.5248,300.407725
300.2218,300.640875,300.4302
300.234,300.67815,300.448525
300.24655,300.692475,300.46775
300.26265,300.71225,300.50735
300.28465,300.7321,300.5257
300.294825,300.7608,300.54455
300.310725,300.7755,300.564125
300.321575,300.78905,300.594375
300.331125,300.804275,300.614425
300.3421,300.8165,300.639075
300.34785,300.848825,300.664025
300.3516,300.885375,300.688475
300.356725,300.91755,300.7571
300.361625,300.9337,300.7823
300.365975,300.94645,300.807625
300.387525,300.9607,300.8493
300.3974,300.968125,300.8876
300.423375,301.006925,300.93935
300.441125,301.02815,300.989925
300.456025,301.0468,301.019625
300.470375,301.06415,301.0433
300.488625,301.085575,301.086625
300.505975,301.10475,301.113825
300.5195,301.1081,301.167425
300.530925,301.111475,301.212475
300.541275,301.139025,301.242325
300.55695,301.14185,301.264625
300.570825,301.16755,301.2969
300.58315,301.183625,301.322
300.595275,301.198925,301.3495
300.608675,301.23475,301.381975
300.623675,301.24035,301.409475
300.639325,301.283875,301.46315
300.6561,301.29545,301.509975
300.677,301.3157,301.5296
300.68485,301.335175,301.57295
300.7057,301.3719,301.615825
300.71275,301.37535,301.673725
300.7303,301.3853,301.719
300.7427,301.4069,301.7645
300.7596,301.435975,301.7975
300.7779,301.46235,301.8296
300.7959,301.49055,301.8837
300.8154,301.510275,301.925875
300.826675,301.56,301.97595
300.8353,301.5893,302.011675
300.8429,301.6458,302.048175
300.8542,301.674225,302.089825
300.864075,301.702075,302.125325
300.878625,301.719125,302.207725
300.8959,301.74,302.239625
300.9086,301.7806,302.308025
300.918775,301.797225,302.351025
300.925725,301.867375,302.409475
300.936275,301.900275,302.588425
300.9534,301.9326,302.600825
300.964025,302.0054,302.6265
300.968375,302.040125,302.651675
