SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC07a
0.0018,0.010075,0.08705,0.052375,0.00545
0.147,0.02375,0.142425,0.441,0.04645
0.1926,0.04665,0.177675,0.59795,0.06525
0.2052,0.081575,0.19165,0.6364,0.155825
0.210775,0.115725,0.2148,0.6585,0.2106
0.221725,0.14265,0.219275,0.73765,0.2452
0.2265,0.176225,0.223875,0.75285,0.265325
0.23095,0.19345,0.3134,0.9534,0.281
0.23825,0.213025,0.330875,0.98995,0.3202
0.25095,0.21915,0.3644,1.052075,0.3774
0.2634,0.24645,0.385,1.061975,0.400575
0.27895,0.2798,0.408775,1.073725,0.422725
0.29535,0.30285,0.425025,1.14055,0.4424
0.310425,0.3057,0.469425,1.333275,0.46155
0.340625,0.322625,0.489925,1.50375,0.489675
0.425875,0.33665,0.524775,1.531625,0.51755
0.571575,0.3498,0.5422,1.552425,0.54175
0.5842,0.379125,0.58425,1.5624,0.564025
0.5906,0.3852,0.589375,1.5738,0.6313
0.597575,0.4004,0.595025,1.582125,0.662625
0.60305,0.4593,0.611625,1.68035,0.672475
0.607425,0.474175,0.62075,1.7534,0.68925
0.61095,0.4942,0.628825,1.7683,0.71275
0.614075,0.52945,0.693125,1.93785,0.767925
0.62325,0.5585,0.702275,1.9549,0.81425
0.626425,0.585975,0.71,2.425975,0.833575
0.629225,0.59435,0.73405,2.452175,0.846775
0.633375,0.604975,0.784475,2.473875,0.860725
0.636525,0.612225,0.812175,2.48395,0.8806
0.64025,0.618125,0.826425,2.7428,0.88185
0.65375,0.625275,0.842125,2.767475,0.899775
0.6612,0.63665,0.857225,2.81995,0.9181
0.674625,0.640425,0.879,3.0371,0.932375
0.69245,0.646,0.9206,3.12785,0.94555
0.703675,0.651275,0.95515,3.164825,0.9516
0.7053,0.657225,0.973025,3.174825,0.958375
0.71685,0.722375,1.0078,3.511175,0.98085
0.7281,0.731,1.04185,3.60655,0.9988
0.7393,0.745175,1.054775,3.65465,1.014175
0.751425,0.7938,1.063975,3.667875,1.03315
0.766725,0.86425,1.074525,3.817775,1.053
0.871725,0.8903,1.082575,3.95475,1.130675
0.9709,0.910475,1.0987,4.0973,1.170125
1.040275,0.929725,1.107525,4.297825,1.2083
1.047575,0.943825,1.125475,4.357025,1.224775
1.0572,0.986125,1.14435,4.48775,1.24405
1.066225,1.007425,1.15415,4.521725,1.2682
1.07925,1.02905,1.176875,4.56035,1.288675
1.089125,1.03955,1.193125,4.71865,1.30755
1.0974,1.050425,1.2026,4.7529,1.31825
1.10595,1.055575,1.212275,4.788525,1.33595
1.111675,1.06105,1.2196,4.860625,1.357025
1.120775,1.07225,1.23775,4.925925,1.375725
1.128425,1.075975,1.301425,4.999625,1.393675
1.137075,1.079575,1.353425,5.1442,1.416875
1.145775,1.0838,1.373475,5.27795,1.4244
1.156275,1.099575,1.392275,5.412,1.454325
1.1779,1.111225,1.428925,5.44895,1.47215
1.187325,1.134825,1.447425,5.4722,1.51515
1.19545,1.1523,1.464925,5.599925,1.5432
1.2066,1.184675,1.4812,5.6682,1.5694
1.218725,1.19095,1.49695,5.72155,1.584575
1.2364,1.2267,1.519075,5.74425,1.6002
1.26035,1.231025,1.537825,5.751875,1.62145
1.309975,1.254225,1.560325,5.774225,1.655325
1.521125,1.320275,1.567025,5.979775,1.68725
1.5318,1.349675,1.574975,6.025825,1.752875
1.53685,1.37325,1.58785,6.04145,1.76725
1.542525,1.395,1.591275,6.07295,1.7987
1.547225,1.413075,1.618075,6.1298,1.819
1.5521,1.434025,1.643825,6.178425,1.83935
1.5561,1.451925,1.651225,6.20485,1.904
1.5621,1.4941,1.674925,6.407975,1.934825
1.5661,1.514,1.684225,6.7189,1.94255
1.571375,1.529875,1.708625,6.761425,1.95945
1.58495,1.5461,1.7533,6.808025,1.98945
1.593675,1.555025,1.778325,6.81275,2.0066
1.6295,1.561275,1.805825,6.9764,2.026875
1.65565,1.5716,1.824425,7.039475,2.062725
1.678725,1.5793,1.845825,7.046775,2.0747
1.691775,1.5832,1.8617,7.119825,2.09875
1.72065,1.585075,1.87145,7.237525,2.11555
1.7956,1.610875,1.887875,7.34175,2.1552
