SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
200.00725,200.014025,200.00825
200.030175,200.0663,200.019975
200.0431,200.088375,200.025225
200.048725,200.09595,200.0319
200.05525,200.100125,200.03755
200.071725,200.10475,200.0447
200.07715,200.178825,200.067325
200.08445,200.189425,200.080225
200.0924,200.1957,200.089375
200.1135,200.20975,200.0949
200.1221,200.253475,200.100925
200.129775,200.26145,200.108625
200.15355,200.275275,200.117625
200.1632,200.304175,200.124625
200.184175,200.319375,200.133375
200.240225,200.387475,200.145475
200.246125,200.396025,200.156625
200.267075,200.40025,200.1643
200.280575,200.413275,200.171
200.2957,200.4507,200.18255
200.314525,200.46,200.215025
200.334025,200.4869,200.225075
200.3427,200.495625,200.23675
200.3511,200.560825,200.2659
200.36805,200.569,200.2741
200.37595,200.622625,200.292525
200.3916,200.65615,200.311525
200.404675,200.665725,200.321975
200.408975,200.683525,200.3527
200.42625,200.697375,200.3605
200.44095,200.7296,200.37085
200.446175,200.76165,200.37955
200.466625,200.7837,200.38905
200.471225,200.85455,200.4013
200.47925,200.8816,200.41765
200.503325,200.903425,200.436825
200.515975,200.927225,200.4491
200.53065,200.936775,200.457875
200.5536,200.96185,200.4705
200.585,200.985725,200.51335
200.59545,200.991525,200.542525
200.609225,201.010475,200.55245
200.635775,201.0598,200.560825
200.6482,201.10745,200.572325
200.673325,201.133,200.5893
200.739675,201.142475,200.60185
200.7992,201.17895,200.630575
200.808675,201.22105,200.652825
200.820675,201.269825,200.66235
200.89095,201.28735,200.6718
200.916825,201.377475,200.7055
200.9518,201.419925,200.739025
201.00335,201.4244,200.763275
201.026275,201.46685,200.775425
201.039525,201.476625,200.800125
201.06765,201.483575,200.84345
201.0811,201.487825,200.872475
201.088525,201.507375,200.899575
201.099225,201.5138,200.91815
201.1124,201.535975,200.922675
201.119075,201.547325,200.93995
201.123825,201.58075,200.955175
201.15925,201.58865,200.9649
201.173875,201.61415,200.970875
201.18475,201.61835,200.98005
201.1902,201.631875,200.9932
201.2058,201.635575,200.998625
201.2285,201.67675,201.024125
201.24025,201.691325,201.029325
201.25255,201.6947,201.041725
201.259825,201.711575,201.04985
201.367425,201.7151,201.065975
201.383125,201.74,201.073375
201.393475,201.7474,201.082775
201.407525,201.7547,201.10285
201.4287,201.764075,201.109875
201.438575,201.809625,201.129175
201.446825,201.841275,201.1361
201.452575,201.849925,201.155425
201.45645,201.868925,201.1663
201.47195,201.911675,201.18735
201.499575,201.9376,201.199175
201.5189,201.964875,201.211
201.52785,201.9907,201.2195
201.531425,201.99865,201.23285
201.542775,202.01215,201.26485
201.5929,202.06335,201.2805
201.609275,202.073225,201.298825
201.62325,202.106275,201.31575
201.638925,202.110875,201.336425
201.65505,202.115,201.340125
201.702825,202.122275,201.3624
201.725875,202.1704,201.3737
201.759425,202.1754,201.3801
201.77035,202.263475,201.3892
201.78535,202.2674,201.398825
201.79005,202.2857,201.4114
201.86545,202.29,201.418525
201.8968,202.32475,201.42755
201.91735,202.3508,201.4349
201.9499,202.364025,201.441725
201.955775,202.391125,201.449525
201.974325,202.412875,201.462
202.029075,202.44405,201.469125
202.04205,202.455275,201.4838
202.057325,202.473675,201.4956
202.10215,202.5053,201.516425
202.118625,202.58895,201.522025
202.12985,202.593475,201.529125
202.186975,202.6285,201.551
202.202325,202.6337,201.558475
202.2067,202.6395,201.569075
202.25425,202.6663,201.577175
202.258925,202.70965,201.58435
202.2724,202.75255,201.59295
202.280375,202.832475,201.59905
202.30595,202.86425,201.6053
202.311225,202.870975,201.612725
202.315425,202.892025,201.626475
202.339475,202.96455,201.634225
202.5205,203.00985,201.6436
202.5541,203.015675,201.6566
202.6559,203.058775,201.665625
202.6948,203.089575,201.673775
202.721475,203.100525,201.68195
202.72595,203.132325,201.689975
202.826025,203.13805,201.70045
202.8525,203.15505,201.709475
202.92525,203.178375,201.7143
203.219625,203.1878,201.721
203.329025,203.19815,201.727325
203.36335,203.2033,201.735
203.39335,203.21425,201.742
203.484125,203.228775,201.7565
203.519075,203.233375,201.7655
203.539725,203.2919,201.77625
203.611675,203.37285,201.785475
203.64325,203.409475,201.79415
203.75715,203.440975,201.80225
203.761675,203.470725,201.8085
203.7791,203.4891,201.816125
203.817125,203.494075,201.823625
203.98775,203.50265,201.836475
203.9992,203.55335,201.845475
204.332375,203.570875,201.85405
204.350825,203.5798,201.87425
204.360175,203.691875,201.8856
204.3672,203.72795,201.892025
204.52455,203.743725,201.90195
204.588825,203.76555,201.922625
204.615925,203.7697,201.931675
204.761425,203.784975,201.942475
204.783725,203.788775,201.95045
204.7911,203.792375,201.9581
204.795525,203.822075,201.969075
204.80055,203.84615,201.98465
204.804475,203.869675,201.99325
204.8189,203.89235,202.006675
204.9575,203.914625,202.02045
205.001025,203.964275,202.03515
205.344475,203.9679,202.05065
205.359325,203.971075,202.058025
205.383075,203.9917,202.070825
205.541175,204.09815,202.078975
205.58945,204.11125,202.100275
205.6767,204.322,202.113925
206.13545,204.32785,202.122275
206.3876,204.33575,202.1337
206.43555,204.363675,202.14515
206.671775,204.3983,202.162125
206.680825,204.420575,202.169275
206.6914,204.427225,202.190925
206.699025,204.432375,202.197175
206.7057,204.455025,202.202325
206.806375,204.461425,202.21015
206.8685,204.47935,202.221975
206.9222,204.5052,202.228675
207.065525,204.53605,202.24135
207.083325,204.554025,202.25005
207.088275,204.60485,202.257175
207.09225,204.8478,202.273975
207.2009,204.880475,202.2959
207.409075,204.900475,202.302175
207.445725,204.941525,202.30845
207.487525,204.97115,202.31965
207.727025,204.97575,202.3255
207.783525,204.9876,202.334
207.7933,205.022975,202.34225
207.807,205.078175,202.346925
207.815225,205.097225,202.353625
207.8526,205.102525,202.359925
208.08345,205.176275,202.3678
208.111575,205.193075,202.374425
208.1364,205.21835,202.37975
208.14525,205.225375,202.385625
208.15205,205.371775,202.40085
208.176925,205.403825,202.421525
208.1846,205.419825,202.42765
208.193825,205.433325,202.435075
208.204875,205.456325,202.442125
208.25115,205.460775,202.447975
208.525225,205.47,202.454
208.563325,205.474,202.46085
208.5718,205.487975,202.46695
208.607075,205.5352,202.480125
208.6491,205.5577,202.4869
208.673925,205.56275,202.493175
208.69375,205.616775,202.503825
208.752125,205.6924,202.5096
208.853575,205.740325,202.51805
209.18515,205.823175,202.523575
209.481875,205.836575,202.534025
209.870175,205.90465,202.540325
209.89775,205.918025,202.551275
210.00305,205.950225,202.5725
210.04425,205.9664,202.581375
210.0763,205.980775,202.589225
210.0894,205.98755,202.5963
210.14345,206.0298,202.602075
210.1614,206.10455,202.610525
210.1769,206.125325,202.623025
210.22025,206.394575,202.637125
210.48655,206.419625,202.651525
210.511725,206.4399,202.660575
210.529775,206.686425,202.669075
210.534475,206.695675,202.67405
210.540125,206.702775,202.68265
210.55005,206.712325,202.697125
210.556575,206.715375,202.70815
210.5761,206.724125,202.723525
210.584575,206.7392,202.73345
210.614125,206.786775,202.744525
210.74005,206.817375,202.750825
210.798575,206.827525,202.761975
210.830875,206.8381,202.776
210.849225,206.846525,202.787675
210.866875,206.861175,202.7993
210.893475,206.87625,202.811825
211.461225,207.059725,202.819825
211.6352,207.096825,202.832525
211.64075,207.125175,202.8407
211.65175,207.161,202.853775
211.660725,207.170125,202.86625
211.672175,207.181675,202.875275
211.703825,207.255575,202.89075
211.717375,207.374925,202.899025
211.7351,207.424725,202.908375
211.754925,207.435175,202.91535
211.7862,207.4599,202.926075
211.80525,207.46815,202.9366
211.8223,207.477675,202.94865
211.8468,207.497275,202.956175
211.8736,207.522475,202.96325
211.882875,207.7589,202.973975
212.23935,207.7766,202.97985
212.302525,207.798875,202.989875
212.319675,207.823525,203.00475
212.3655,207.838325,203.024725
212.378575,207.8795,203.03075
212.408225,208.005775,203.03575
212.416275,208.054,203.05735
212.431375,208.12065,203.0687
212.4588,208.157325,203.07835
212.827875,208.167025,203.0841
212.873875,208.229,203.09835
212.89,208.237075,203.10585
212.909725,208.339525,203.119375
212.921075,208.54305,203.128125
212.931675,208.555925,203.1446
212.94,208.577925,203.154025
212.955075,208.597125,203.162925
212.96995,208.618025,203.1722
212.98395,208.634325,203.1804
212.99395,208.659925,203.203775
213.00385,209.009325,203.209875
213.0193,209.036575,203.2173
213.040925,209.096525,203.241725
213.22885,209.4697,203.24925
213.24345,209.49815,203.2546
213.268875,209.773975,203.260175
213.289,209.7841,203.268875
213.304975,209.825775,203.275625
213.318775,209.84915,203.2864
213.39035,210.060475,203.29475
213.534125,210.100725,203.311825
213.562125,210.109325,203.327575
213.575125,210.121475,203.33645
213.5887,210.474775,203.3448
213.6153,210.50645,203.355675
213.628175,210.516975,203.371575
213.648925,210.565975,203.382575
213.68,210.62575,203.4035
213.72215,210.6454,203.4157
213.746475,210.818325,203.4381
213.7619,210.839225,203.455125
