SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC10a
200.04835,200.0097,200.0089
200.129075,200.0123,200.0186
200.1954,200.0245,200.051725
200.228175,200.034925,200.14225
200.239475,200.0473,200.1689
200.262625,200.0544,200.234425
200.302025,200.057075,200.2375
200.34545,200.059375,200.25835
200.365675,200.064625,200.353125
200.382625,200.0667,200.379575
200.471325,200.071,200.4408
200.5286,200.087925,200.460975
200.565725,200.09265,200.494225
200.584475,200.09875,200.67625
200.60795,200.10165,200.692425
200.62245,200.1042,200.904875
200.62825,200.10765,200.955225
200.64305,200.109825,201.23195
200.653275,200.1214,201.3285
200.711025,200.134175,201.46625
200.773475,200.138625,201.519275
200.8245,200.1485,201.533325
200.8447,200.1506,201.6087
200.9987,200.15915,201.93415
201.103775,200.16545,202.10655
201.181475,200.170775,202.1762
201.1924,200.176675,202.260825
201.212025,200.183675,202.283725
201.229225,200.187175,202.3367
201.3753,200.195,202.55995
201.50505,200.202125,202.5885
201.560525,200.215175,202.70005
201.588675,200.221225,202.74545
201.643025,200.225975,202.77445
201.657475,200.228575,202.790025
201.708225,200.234475,202.803325
201.723375,200.244025,202.836925
201.74425,200.248175,202.841375
201.7934,200.254225,202.93205
201.8257,200.275975,203.115475
201.8384,200.28155,203.137375
201.84405,200.287175,203.291525
201.8827,200.296575,203.32605
201.90315,200.3001,203.385575
201.91695,200.316725,203.76635
201.936075,200.324425,203.7798
202.001175,200.32905,203.95735
202.038075,200.35275,203.961125
202.124975,200.37815,204.056125
202.1752,200.387,204.128525
202.227525,200.41405,204.1966
202.261275,200.424475,204.2726
202.3341,200.440275,204.454825
202.341875,200.446925,204.496025
202.348425,200.452775,204.503225
202.3683,200.47425,204.612775
202.379225,200.48295,204.6729
202.387575,200.4896,204.7154
202.408325,200.497625,204.8608
202.422,200.5035,204.935575
202.4747,200.5078,204.968375
202.5086,200.5116,205.009625
202.543525,200.515825,205.0283
202.563325,200.523475,205.0361
202.630475,200.5314,205.118025
202.65685,200.538175,205.167975
202.688,200.546625,205.1978
202.709575,200.5549,205.27235
202.794675,200.55725,205.381175
202.8315,200.56515,205.4889
202.894725,200.5691,205.507725
202.96845,200.57095,205.5617
202.9927,200.5742,205.654025
203.00955,200.582225,205.686675
203.0282,200.5872,205.75845
203.0513,200.589175,205.8231
203.0691,200.595175,205.9403
203.091525,200.60095,206.143325
203.140825,200.6056,206.290325
203.17825,200.6083,206.35295
203.21725,200.620425,206.396975
203.37925,200.632325,206.7537
203.406375,200.63985,206.769
203.411925,200.642225,207.0277
203.448075,200.645925,207.06465
203.461525,200.652075,207.0809
203.4879,200.654,207.28255
203.515025,200.659975,207.34405
203.553725,200.66415,207.5672
203.61735,200.667975,207.64915
203.6363,200.6709,207.758375
203.662775,200.6812,207.7756
203.709075,200.689675,207.8193
203.7384,200.69865,207.8983
203.783725,200.707025,207.900775
203.789525,200.714375,208.0413
203.80525,200.717975,208.18925
203.838,200.725725,208.1907
203.845025,200.73435,208.264375
203.8533,200.7458,208.34255
203.868175,200.7487,208.4836
203.89065,200.75385,208.5097
203.9196,200.771025,208.6795
203.926175,200.79885,208.72105
203.947475,200.803225,208.796275
203.97525,200.8057,208.86825
204.00335,200.8087,208.9344
204.0147,200.814,208.961825
204.0342,200.81665,208.987625
204.039925,200.81985,209.093075
204.063525,200.828825,209.1235
204.097125,200.83975,209.145975
204.141675,200.855025,209.1597
204.172525,200.8634,209.18405
204.19565,200.867675,209.214625
204.250725,200.874375,209.4932
204.2562,200.881925,209.5545
204.270275,200.885775,209.806175
204.28215,200.893875,209.817875
204.295325,200.932525,209.84225
204.32105,200.934925,209.930025
204.3351,200.9382,209.998275
204.355675,200.940925,210.0631
204.4523,200.9676,210.32865
204.47055,200.97855,210.436525
204.494325,200.983675,210.437675
204.52845,200.995975,210.493825
204.5427,201.0094,210.52915
204.565825,201.039525,210.63765
204.576475,201.05295,210.641475
204.582125,201.061075,210.762425
204.630675,201.073275,210.806225
204.64265,201.114175,210.80725
204.648625,201.157675,211.0594
204.777525,201.1765,211.070225
204.8056,201.1976,211.207475
204.827175,201.2148,211.247
204.9065,201.264475,211.274325
204.941625,201.274825,211.313025
204.9725,201.286875,211.32675
205.001525,201.321475,211.34435
205.049425,201.32655,211.437675
205.12985,201.32885,211.5422
205.162325,201.337525,211.630725
205.1882,201.344575,211.645725
205.199975,201.348275,211.653025
205.205925,201.356875,211.67665
205.212125,201.3623,211.7467
205.25325,201.37905,211.843
205.2672,201.38325,211.9825
205.30565,201.3896,212.0426
205.310875,201.397875,212.2751
205.3272,201.4042,212.37835
205.337525,201.409775,212.47825
205.351225,201.418575,212.5747
205.37855,201.42425,212.8011
205.40205,201.42935,212.94805
205.418075,201.435575,213.115
205.480925,201.437925,213.159625
205.5481,201.444925,213.25625
205.601775,201.45435,213.31785
205.6207,201.456325,213.4587
205.633025,201.459,213.508875
205.63855,201.46925,213.66465
205.649625,201.47785,213.675
205.657825,201.48015,213.731575
205.690875,201.48255,213.741375
205.6981,201.48625,213.77055
205.705875,201.48875,214.01535
205.738375,201.49455,214.064425
205.754375,201.497,214.187825
205.7737,201.502875,214.216825
205.793125,201.5055,214.23575
205.83005,201.508925,214.31395
205.8428,201.51495,214.4906
205.9019,201.5211,214.5629
205.93785,201.5307,214.7702
205.9623,201.54515,214.900775
205.994225,201.551475,215.057675
206.023225,201.574875,215.162025
206.0507,201.579125,215.3721
206.07665,201.58365,215.5059
206.1039,201.586,215.590775
206.129975,201.593775,215.6007
206.148975,201.597025,215.7776
206.162975,201.601925,215.90735
206.170025,201.6081,215.97605
206.20735,201.611925,216.067275
206.22705,201.616625,216.2082
206.278475,201.618575,216.272275
206.295175,201.62765,216.274275
206.31875,201.6309,216.435525
206.332375,201.637875,216.4659
206.340975,201.650125,216.47235
206.3677,201.655375,216.486525
206.41665,201.657125,216.58445
206.433075,201.6616,216.634525
206.5173,201.684775,216.744975
206.57275,201.69165,216.76515
206.601625,201.69905,216.938025
206.647475,201.70765,217.02065
206.654325,201.716025,217.14205
206.661325,201.719875,217.2043
206.687475,201.733075,217.266275
206.6982,201.735775,217.28615
206.787,201.744125,217.34595
206.80855,201.750975,217.357275
206.8251,201.759275,217.4107
206.91285,201.762,217.5237
206.945975,201.7717,217.591825
207.008475,201.7763,217.59765
207.06625,201.783625,217.716025
207.0991,201.79435,217.7691
207.104925,201.80535,217.7813
207.157325,201.82765,218.35335
207.177875,201.8352,218.420175
207.198425,201.84195,218.44835
207.24875,201.848375,218.478425
207.3138,201.852575,218.498175
207.333475,201.8614,218.759525
207.3921,201.87855,218.867175
207.42675,201.887525,218.9354
207.4421,201.8996,219.0847
207.48005,201.906975,219.1798
207.50825,201.9187,219.1865
207.52675,201.9342,219.258
207.64275,201.9378,219.32675
207.686975,201.948225,219.467125
207.725425,201.954675,219.6124
207.745625,201.961525,219.6605
207.775925,201.9763,219.842825
207.78155,201.978725,219.90675
207.83725,201.981775,219.974325
207.8645,201.997025,219.998275
207.928475,202.001475,220.051875
207.94035,202.00485,220.075475
207.964075,202.01265,220.19135
207.97415,202.016,220.28285
208.040225,202.02635,220.33785
208.065575,202.02835,220.365525
208.088775,202.04175,220.46135
208.100975,202.04775,220.532975
208.1199,202.0581,220.559225
208.132875,202.0741,220.642475
208.14235,202.08315,220.650425
208.1482,202.0986,220.652225
208.16055,202.100325,220.685125
208.21405,202.105425,220.83805
208.29115,202.109625,221.018675
208.31385,202.11335,221.048875
208.342675,202.117125,221.15285
208.4534,202.136875,221.19855
208.494475,202.143575,221.27145
208.50795,202.14695,221.283725
208.5134,202.15505,221.365125
208.517825,202.163625,221.4728
208.527875,202.168425,221.545375
208.5378,202.179225,221.63245
208.54895,202.1823,221.670275
208.57655,202.1941,221.798475
208.606725,202.200375,221.82325
208.621625,202.207125,221.9297
208.65275,202.212175,221.942175
208.72665,202.21675,222.02715
208.78745,202.237875,222.102525
208.80685,202.240175,222.137575
208.819175,202.24345,222.1788
208.828325,202.2483,222.3838
208.83855,202.254425,222.40605
208.844875,202.25715,222.593075
208.851025,202.26,222.692225
208.89465,202.2625,222.85875
208.9108,202.26815,222.871175
208.9369,202.2702,222.885725
208.956875,202.272375,223.0011
208.9626,202.287375,223.02075
209.043375,202.290075,223.2708
209.102175,202.296,223.279775
209.184425,202.3072,223.32135
209.214475,202.31555,223.336975
209.2651,202.324025,223.464925
209.308975,202.36475,223.525125
209.34175,202.3703,223.58155
209.39495,202.373825,223.82465
209.42635,202.383075,223.837025
209.472025,202.385975,223.85915
209.564875,202.3953,223.932425
209.570675,202.400975,224.0105
209.62445,202.4077,224.11345
209.64815,202.417125,224.1367
209.676025,202.42055,224.334825
209.712075,202.4254,224.53845
209.774425,202.44885,224.62215
209.816675,202.501925,224.750675
209.836825,202.509225,224.769825
209.89295,202.526675,225.0143
209.908275,202.553575,225.1581
209.949925,202.560875,225.2569
209.9888,202.56645,225.263225
210.079925,202.570825,225.4256
210.158925,202.580575,225.5952
210.2035,202.584325,225.67575
210.285575,202.589125,225.94565
210.291025,202.5941,225.97315
210.31195,202.6164,226.003875
210.3308,202.63665,226.1221
210.336425,202.63935,226.131
210.348375,202.653075,226.196425
210.4668,202.656125,226.224925
210.488525,202.6718,226.268375
210.555025,202.675775,226.447825
210.611025,202.6826,226.529175
210.6399,202.68745,226.58685
210.684775,202.690275,226.69415
210.70975,202.69545,226.8451
210.7202,202.697925,226.9247
210.74045,202.70515,227.0182
210.757325,202.708675,227.22025
210.781575,202.714225,227.37795
210.836,202.718425,227.517525
210.8579,202.721425,227.599
210.881825,202.738475,227.726325
210.952,202.74835,227.867425
210.98285,202.751775,227.8791
211.068425,202.780525,227.9372
211.083875,202.78585,228.00635
211.1095,202.7919,228.178175
211.186425,202.7979,228.293825
211.229825,202.80495,228.6456
211.26625,202.81055,228.73275
211.318225,202.827275,228.802775
211.3454,202.84095,228.9573
211.382225,202.852,229.054
211.462875,202.8674,229.435725
211.51235,202.9292,229.52365
211.527075,202.939925,229.61925
211.532025,202.954575,229.76865
211.55265,202.958775,229.79375
211.58575,202.965,229.924825
211.6378,202.985075,230.057675
211.657525,203.000175,230.131825
211.698375,203.017225,230.14345
211.727625,203.033075,230.214225
211.769425,203.080975,230.24445
211.7988,203.12115,230.3763
211.81255,203.14855,230.54545
211.82565,203.15825,230.6415
211.845325,203.16905,230.667725
211.85795,203.176625,230.69055
211.876875,203.18985,230.8134
211.8825,203.2045,230.846325
211.915575,203.2093,230.862175
211.962925,203.223925,230.892625
212.119875,203.22865,230.91385
212.131875,203.234575,231.2434
212.1784,203.250025,231.258275
212.1852,203.267775,231.342975
212.22025,203.294725,231.4515
212.23865,203.32335,231.4738
212.266275,203.338725,231.538975
212.29735,203.346275,231.5937
212.336625,203.355375,231.75785
212.384625,203.365175,231.815
212.4188,203.393025,231.885125
212.43535,203.407525,231.88655
212.50185,203.43305,231.92145
212.514725,203.454725,232.0721
212.55455,203.492625,232.127025
212.58855,203.508,232.134375
212.6224,203.518475,232.245625
212.658175,203.530475,232.33795
212.7148,203.554,232.56135
212.736675,203.564,232.577675
212.768825,203.567525,232.604175
212.773725,203.583725,232.63595
212.785575,203.6019,232.6921
212.79325,203.614225,232.77655
212.79805,203.68805,232.843925
212.850775,203.703175,233.095275
212.8614,203.75705,233.156725
212.904525,203.785925,233.311475
212.931625,203.80175,233.372525
212.952175,203.8111,233.413225
212.9753,203.8196,233.5623
213.022875,203.8394,233.617775
213.02855,203.8967,233.728325
213.075225,203.92685,233.843875
213.2155,203.93645,233.89775
213.298525,203.973775,234.004275
213.327975,203.9814,234.167875
213.357075,204.041475,234.20005
213.37785,204.04635,234.2395
213.39975,204.05115,234.314825
213.4092,204.083075,234.369275
213.418175,204.086925,234.475625
213.442025,204.117175,234.5842
213.453525,204.13675,234.58585
213.519475,204.152625,234.595475
213.5429,204.187525,234.685775
213.579125,204.203225,235.002325
213.614425,204.210575,235.062175
213.64615,204.2215,235.35095
213.8263,204.22775,235.40985
213.84755,204.2418,235.53925
213.866825,204.258975,235.5416
213.881175,204.285925,235.6179
213.899225,204.3029,235.74905
213.908175,204.31355,235.789425
213.92,204.319775,235.95205
213.941275,204.34695,236.052275
213.965275,204.3618,236.061425
213.98345,204.3741,236.118475
213.9891,204.391925,236.22405
214.088325,204.406925,236.2343
214.1498,204.46475,236.409125
214.186575,204.468925,236.498875
214.2145,204.47855,236.8369
214.234225,204.494025,236.8718
214.239775,204.501325,236.933475
214.254,204.51835,237.3537
214.27375,204.52335,237.3818
214.2868,204.54235,237.4024
214.29785,204.54965,237.4578
214.321675,204.569075,237.463825
214.3548,204.58505,237.5253
214.3852,204.594,237.542
214.404925,204.611425,237.641875
214.4205,204.62195,237.724875
214.468125,204.630125,237.753475
214.481475,204.65835,237.8668
214.492425,204.662,237.88435
214.522275,204.67245,237.910825
214.5433,204.68115,237.93555
214.563625,204.696525,237.962975
214.59135,204.705175,238.00665
214.61155,204.737,238.0248
214.654925,204.75965,238.14775
214.690125,204.80005,238.195975
214.706075,204.8123,238.208525
214.71445,204.832575,238.280075
214.73615,204.850575,238.321675
214.754075,204.8714,238.35655
214.771175,204.87815,238.3752
214.789025,204.88405,238.402325
214.79635,204.89745,238.45755
214.877425,204.91015,238.518475
214.898375,204.92045,238.530025
214.909025,204.94275,238.5816
214.9146,204.970825,238.598575
214.94385,204.98575,238.62955
214.95625,205.01455,238.683825
215.05355,205.032975,238.72265
215.08915,205.04195,238.743625
215.144175,205.0881,238.806075
215.156575,205.1136,238.888325
215.19925,205.12605,238.954675
215.210425,205.145975,238.955725
215.23335,205.15755,239.132575
215.242125,205.1822,239.282125
215.25565,205.1922,239.392325
215.29625,205.205275,239.4973
215.312975,205.216975,239.556975
215.3499,205.2303,239.587
215.362625,205.24975,239.596925
215.395125,205.26895,239.8734
215.40065,205.28785,239.881975
215.4158,205.3026,239.90085
215.436425,205.3095,239.951625
215.4771,205.318175,239.9558
215.49115,205.323075,240.11105
215.500425,205.3298,240.14235
215.513275,205.334075,240.245875
215.527275,205.34185,240.26825
215.56075,205.3483,240.281775
215.5661,205.358625,240.4171
215.58255,205.36335,240.55145
215.61065,205.376725,240.5981
215.643675,205.3882,240.6044
215.67915,205.3946,240.641275
215.694425,205.400725,240.65625
215.71285,205.405775,240.687325
215.729075,205.41975,240.746025
215.759125,205.4305,240.79275
215.8875,205.43605,241.001375
215.9335,205.44385,241.013
215.945775,205.448575,241.05515
215.95925,205.45535,241.0729
215.9791,205.470275,241.198425
216.03715,205.4749,241.20995
216.0571,205.4903,241.35735
216.0802,205.498225,241.367525
216.1176,205.505775,241.39935
216.141075,205.51265,241.577175
216.157675,205.5233,241.5922
216.2639,205.532925,241.73275
216.310325,205.54035,241.7358
216.39295,205.5562,241.80795
216.4288,205.56625,241.81335
216.43835,205.568975,241.862875
216.450725,205.572975,241.991225
216.481225,205.576025,242.000475
216.5689,205.58065,242.080225
216.662875,205.58515,242.20215
216.702075,205.5928,242.2459
216.783325,205.606275,242.263025
216.829375,205.61055,242.337075
216.862575,205.61715,242.356125
216.9082,205.629575,242.658875
216.92305,205.636625,242.67165
216.947375,205.660475,242.689025
216.970525,205.668375,242.69825
216.9813,205.673875,242.9132
216.986875,205.692675,242.98175
217.04065,205.69705,243.087825
217.058125,205.7082,243.0985
217.081825,205.71265,243.279475
217.1132,205.7149,243.2932
217.14575,205.717225,243.39525
217.1745,205.72095,243.503675
217.184425,205.725575,243.602275
217.201075,205.729075,243.65005
217.224925,205.731975,243.673575
217.254525,205.7346,243.78915
217.2708,205.740175,243.900125
217.298625,205.7425,243.916275
217.346425,205.7508,244.016925
217.39615,205.759425,244.113525
217.45095,205.76775,244.31375
217.4906,205.782225,244.358425
217.532,205.78885,244.49835
217.55445,205.79105,244.5127
217.5599,205.79765,244.599425
217.571575,205.802625,244.613275
217.610575,205.804625,244.6633
217.62485,205.809975,244.692975
217.691725,205.81215,244.729025
217.746875,205.82145,244.75855
217.765625,205.83505,244.796625
217.789775,205.8378,244.83425
217.800275,205.84075,244.966825
217.8168,205.851425,245.14465
217.82355,205.85615,245.213325
217.843775,205.8598,245.29085
217.884175,205.86355,245.3445
217.897675,205.86895,245.671275
217.927325,205.873025,245.744625
217.94065,205.875425,245.774475
217.952325,205.882575,245.875075
217.9616,205.895375,245.9417
217.972,205.897575,246.0171
217.980925,205.899775,246.0818
217.99485,205.9096,246.31185
218.00055,205.91385,246.355725
218.01905,205.923925,246.36695
218.0303,205.933325,246.380425
218.065375,205.947075,246.388025
218.0917,205.9573,246.48195
218.108825,205.96695,246.662325
218.124525,205.985925,246.855
218.1369,205.9999,246.858125
218.197175,206.003225,246.8946
218.20635,206.010875,246.957175
218.257025,206.017325,247.073025
218.3425,206.034425,247.10775
218.354675,206.039275,247.30615
218.36605,206.053625,247.323
218.378325,206.0625,247.350875
218.427275,206.06665,247.541625
218.447125,206.07285,247.601525
218.537225,206.077375,247.6975
218.566825,206.085625,247.7363
218.581575,206.08815,247.786775
218.59495,206.091175,247.872325
218.619625,206.095975,247.88665
218.632775,206.099675,247.888075
218.6372,206.102275,247.9277
218.643825,206.117675,247.999025
218.7104,206.119875,248.01565
218.729275,206.128725,248.08055
218.748125,206.146175,248.081925
218.7669,206.1503,248.149075
218.795575,206.157425,248.1977
218.8013,206.16395,248.24455
218.8125,206.16615,248.282475
218.82465,206.17765,248.3024
218.874725,206.184875,248.3761
218.883875,206.203125,248.388475
218.904,206.204975,248.45565
218.9382,206.2076,248.7031
218.95015,206.209425,248.751575
218.99345,206.213375,248.772
219.04205,206.215825,248.8047
219.057675,206.2199,249.047425
219.105275,206.23245,249.061325
219.15635,206.24235,249.1105
219.181,206.244425,249.16115
219.191275,206.253925,249.243525
219.215175,206.255975,249.251675
219.2238,206.258175,249.2622
219.23025,206.262175,249.4055
219.2366,206.264225,249.452375
219.27625,206.265925,249.514975
219.2936,206.270625,249.5571
219.355175,206.275175,249.58855
219.366725,206.27735,249.649475
219.371325,206.285,249.721475
219.3999,206.2881,249.74035
219.42345,206.305975,249.84765
219.433425,206.3086,249.863175
219.440175,206.3127,249.8972
219.508575,206.31545,250.012075
219.535525,206.322125,250.0306
219.5426,206.3265,250.0684
219.548475,206.335475,250.136175
219.557325,206.33825,250.146425
219.565375,206.3409,250.215025
219.583075,206.34635,250.24725
219.635425,206.34865,250.3528
219.641975,206.35255,250.38545
219.687475,206.356975,250.435575
219.700375,206.364025,250.475975
219.7278,206.3658,250.542925
219.8118,206.36805,250.590525
219.843975,206.37,250.618225
219.9003,206.372025,250.63095
219.91085,206.374175,250.713775
219.942675,206.37835,250.81035
219.949825,206.381425,250.83415
219.98505,206.3839,250.862125
220.023875,206.38835,250.921825
220.1119,206.394825,250.95355
220.17565,206.399875,250.968325
220.2394,206.4065,251.035275
220.2725,206.41725,251.2358
220.3444,206.423625,251.23945
220.402825,206.454675,251.282875
220.44425,206.466,251.3353
220.478675,206.468625,251.38645
220.515025,206.47105,251.3948
220.526475,206.4735,251.8157
220.552225,206.476925,251.894075
220.57375,206.47875,251.9128
220.586,206.4852,252.00995
220.593,206.4934,252.229025
220.60735,206.4954,252.32985
220.62005,206.4976,252.5413
220.651025,206.50005,252.619575
220.6642,206.504025,252.673325
220.706625,206.505825,252.73745
220.727425,206.512125,252.77375
220.758125,206.518625,252.78005
220.76985,206.520725,252.845625
220.780975,206.5229,252.93135
220.806875,206.525175,252.93545
220.864875,206.527425,253.0959
220.910625,206.53615,253.20725
221.03005,206.552675,253.2471
221.0632,206.5639,253.25485
221.08305,206.573125,253.52575
221.10935,206.57525,253.628625
221.127325,206.57785,253.65485
221.1501,206.580025,253.65775
221.16735,206.586525,253.67895
221.191525,206.58845,253.7971
221.23985,206.594675,253.907275
221.32655,206.596925,253.998125
221.3402,206.59925,254.013025
221.3592,206.603275,254.04505
221.37995,206.6053,254.14035
221.390125,206.608475,254.1878
221.418,206.61345,254.269175
221.445875,206.615575,254.28145
221.503175,206.623975,254.322375
221.630675,206.627875,254.3396
221.665875,206.630075,254.343025
221.691,206.632375,254.392375
221.697125,206.634375,254.399525
221.7041,206.639325,254.454975
221.71895,206.647,254.611475
221.72395,206.660625,254.617475
221.755275,206.6831,254.67835
221.7849,206.68865,254.7024
221.802275,206.690925,254.7287
221.835,206.700725,254.7704
221.85915,206.7115,254.776825
221.908575,206.739,254.854975
221.930725,206.747275,255.10985
222.03,206.76365,255.2822
222.07595,206.772275,255.3588
222.09435,206.782525,255.50475
222.1357,206.78615,255.521225
222.157925,206.801325,255.538525
222.176325,206.818725,255.6267
222.2135,206.83265,255.7626
222.22715,206.859725,256.080325
222.2481,206.864275,256.089525
222.260675,206.877,256.110925
222.279325,206.902375,256.12275
222.2944,206.910275,256.134575
222.311875,206.91315,256.137225
222.350925,206.915275,256.20225
222.375675,206.920225,256.412975
222.411225,206.930275,256.45875
222.417,206.9326,256.52495
222.455825,206.9369,256.7463
222.500225,206.942625,256.7868
222.554575,206.947875,256.832475
222.6017,206.955825,256.8571
222.6205,206.96005,256.990675
222.62775,206.96295,257.058675
222.670875,206.9652,257.063075
222.702375,206.97685,257.10265
222.79185,206.979225,257.134825
222.812225,206.9975,257.143425
222.844925,207.005875,257.286425
222.8696,207.008725,257.3055
222.883125,207.01315,257.369775
