SPK_SPKC09a,SPK_SPKC09c,SPK_SPKC10a,SPK_SPKC12a
600.011625,600.2793,600.01735,600.0142
600.081975,600.4239,600.085825,600.112725
600.220075,600.680025,600.141725,600.188425
600.270225,600.72105,600.207075,600.262675
600.366525,600.74165,600.2238,600.391825
600.37705,600.8178,600.281125,600.443925
600.383275,600.984775,600.302525,600.47735
600.386575,601.00815,600.3698,600.5072
600.392425,601.01915,600.374225,600.60265
600.4206,601.0464,600.379575,600.783375
600.4597,601.53965,600.389875,600.8393
600.770575,601.6894,600.39975,600.983275
600.788275,601.8716,600.44025,601.046975
600.80405,602.074475,600.446825,601.0997
600.81635,602.2107,600.506975,601.3066
600.876175,602.2241,600.6869,601.47445
600.942125,602.451375,600.7348,601.515075
600.9515,602.4584,600.796875,601.550925
600.966175,602.497375,600.80385,601.60095
600.9725,602.508575,600.822825,601.73995
600.976,602.533325,600.84295,601.782825
601.084675,602.539625,600.91205,601.8614
601.22395,602.546675,600.9557,602.199175
601.254025,602.77445,600.9606,602.267625
601.364475,603.01615,600.9772,602.3261
601.431,603.114725,601.257225,602.356075
601.52515,603.14845,601.270825,602.6216
601.580675,603.313825,601.292425,602.64065
601.596925,603.652775,601.314225,602.68145
601.618,603.758,601.3757,602.74105
601.654125,603.815025,601.4078,602.8629
601.6655,603.896925,601.4811,602.918125
601.67025,604.3989,601.500575,602.984975
601.68425,604.412225,601.523125,603.029
601.873275,604.53155,601.54045,603.0407
601.9123,604.589925,601.56795,603.1224
601.94215,604.781475,601.5751,603.20485
601.98905,605.02305,601.583625,603.4203
602.004525,605.2865,601.5859,603.567125
602.011475,605.330425,601.653225,603.959125
602.018,605.3807,601.83425,604.2093
602.033925,605.426475,601.874475,604.238175
602.132875,605.6696,601.912575,604.30115
602.15895,605.67925,601.950625,604.412375
602.16825,605.780175,602.007725,604.45905
602.44355,605.9765,602.05185,604.734575
602.45955,606.08205,602.0573,605.1558
602.462975,606.136325,602.12025,605.240225
602.473025,606.353125,602.13535,605.347
602.49275,606.504,602.161775,605.561175
602.496325,606.672,602.17705,605.602725
602.53855,606.87535,602.19365,605.701275
602.6944,607.0215,602.317875,605.7377
602.85545,607.12315,602.3371,605.770625
602.8765,607.1387,602.351925,605.96095
602.948325,607.2225,602.436475,606.050675
603.005825,607.289075,602.461,606.242475
603.0114,607.307425,602.46665,606.296
603.021,607.33435,602.4804,606.360225
603.1905,607.460275,602.52045,606.3958
603.2144,607.5383,602.523775,606.473875
603.2352,607.626875,602.5278,606.729275
603.25165,607.687525,602.5539,606.771775
603.268975,607.706725,602.565225,606.805275
603.409275,608.03395,602.6437,607.01815
603.425025,608.365025,602.715975,607.249975
603.446575,608.470725,602.738025,607.258675
603.469375,608.479025,602.74295,607.297925
603.4805,608.505725,602.78795,607.318725
603.498375,608.701725,602.836375,607.35415
603.648325,608.7106,602.9146,607.37955
603.7139,608.72655,602.965075,607.5855
603.721675,609.10465,602.97895,607.687425
603.73115,609.179425,603.021825,607.88735
603.824575,609.217025,603.033175,608.026275
603.927875,609.237025,603.070375,608.063125
604.0481,609.55855,603.09225,608.148575
604.07535,610.666475,603.20095,608.17295
604.09045,610.915975,603.323025,608.2435
604.108925,611.069325,603.3478,608.260425
604.17805,611.0926,603.371475,608.34135
604.302475,611.248875,603.3992,608.400175
604.348275,611.263325,603.424975,608.59445
604.378925,611.273375,603.4812,608.618125
604.404475,611.4494,603.487475,608.802075
604.4216,611.579,603.54605,608.9758
604.461775,611.583725,603.551575,609.01275
604.465575,611.65265,603.6175,609.1026
604.493525,611.657725,603.6363,609.1465
604.528375,611.757575,603.658775,609.215175
604.53585,611.7872,603.67775,609.220625
604.5392,611.9924,603.894525,609.2437
604.548325,612.095875,603.905925,609.270325
604.566725,612.10215,604.02245,609.437025
604.578075,612.11155,604.0366,609.478075
604.6305,612.1212,604.039,609.576725
604.64505,612.3354,604.081925,609.616275
604.7029,612.4179,604.09515,609.845475
604.751925,612.560275,604.1243,609.90115
604.9349,612.6563,604.13305,610.1835
605.028425,612.673725,604.1826,610.250125
605.043375,612.737875,604.21485,610.35745
605.056275,612.90955,604.267,610.614525
605.350975,612.94995,604.303375,610.64905
605.409825,613.110325,604.36,610.89665
605.59955,613.140725,604.422,610.935725
605.6228,613.17685,604.511075,611.039975
605.723225,613.236475,604.85165,611.140575
605.732675,613.463825,604.8627,611.254275
605.85385,613.486625,604.89405,611.4719
605.944525,613.559375,604.960425,611.569875
605.971625,613.737625,604.992675,611.6189
606.003475,613.746575,605.03815,611.689275
606.027675,613.814575,605.07555,611.80845
606.071525,613.973825,605.104925,611.989425
606.079225,614.02195,605.141275,612.1769
606.139,614.041675,605.295975,612.231825
606.14325,614.291025,605.400125,612.5718
606.172075,614.472025,605.425575,612.591175
606.175925,614.503475,605.43775,612.64345
606.18175,614.524,605.463325,612.7834
606.1989,614.803075,605.5832,612.805475
606.253875,614.897975,605.613675,612.8532
606.455125,614.943775,605.639375,612.899
606.5438,614.991375,605.713625,612.94305
606.582825,615.03475,605.8012,613.15115
606.6631,615.089675,605.8305,613.23635
606.687325,615.102475,605.838925,613.402825
606.7755,615.155,605.868825,613.41445
606.82265,615.3058,605.951075,613.467625
606.883725,615.423575,605.958525,613.7566
607.004625,615.44725,606.089325,613.943075
