SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC11a
0.107125,0.02945,0.032675
0.2103,0.0866,0.03505
0.634875,0.128725,0.065625
0.6999,0.155225,0.08545
0.74295,0.193475,0.11245
0.770925,0.198225,0.189275
0.797825,0.20455,0.275575
0.835025,0.215125,0.3061
0.916775,0.246125,0.39865
1.13225,0.257925,0.4128
1.28475,0.339575,0.452925
1.2927,0.379125,0.49845
1.438975,0.392325,0.5009
1.441575,0.404875,0.563425
1.471775,0.4297,0.575425
1.537775,0.4618,0.6352
1.739975,0.47355,0.63945
1.889225,0.509575,0.65955
2.0355,0.5178,0.749125
2.110675,0.53,0.78795
2.314475,0.545125,0.837475
2.409725,0.5735,0.87105
2.459175,0.62055,0.902
2.474325,0.6637,0.9186
2.5011,0.694275,0.93505
2.8134,0.73395,0.997975
3.43885,0.88335,1.013125
3.81615,0.94115,1.0316
4.101175,0.9563,1.1026
4.174275,1.0466,1.251525
4.349275,1.0792,1.27025
4.387975,1.125525,1.2855
4.44775,1.149275,1.2872
4.79525,1.15815,1.297975
4.913625,1.224975,1.336275
5.114925,1.273175,1.41045
5.183375,1.315825,1.469775
5.447125,1.3444,1.50935
5.50175,1.3685,1.5537
5.779625,1.382325,1.569775
5.82605,1.38705,1.6797
5.873075,1.3941,1.704275
5.922175,1.41945,1.736175
6.64175,1.433025,1.76085
7.014,1.448225,1.8148
7.140175,1.4593,1.8202
7.369,1.47875,1.8322
7.5134,1.498975,1.842825
7.7119,1.50585,1.87935
7.766425,1.51945,1.953275
8.093675,1.563825,1.985075
8.3231,1.5759,1.99235
8.3512,1.592225,2.030475
8.3633,1.6044,2.08065
8.477075,1.681,2.216725
8.509475,1.6894,2.246225
8.7513,1.706425,2.265025
9.06385,1.71505,2.3362
9.1936,1.734625,2.3465
9.20045,1.751775,2.466975
9.39055,1.754525,2.52165
9.86725,1.7783,2.55125
9.96725,1.80545,2.6057
10.1938,1.86595,2.622275
10.2778,1.999575,2.647825
10.42935,2.016075,2.667075
10.568675,2.0775,2.704125
10.942575,2.093975,2.718425
11.3099,2.116775,2.805125
11.5345,2.155925,2.8228
11.566275,2.206675,2.8369
11.735875,2.2175,2.87645
11.870325,2.25095,2.886675
12.063975,2.3267,2.9032
12.267325,2.34415,2.932225
12.41335,2.36575,2.9663
12.471975,2.385,3.0319
12.516475,2.397625,3.066425
12.554275,2.41615,3.078675
12.776275,2.447175,3.161925
12.818725,2.46925,3.22505
13.0063,2.51715,3.2486
13.1203,2.536775,3.260275
13.1505,2.711525,3.279075
13.3139,2.7253,3.300625
13.57255,2.754325,3.318575
13.580725,2.8049,3.3285
14.044875,2.82885,3.34345
14.056325,2.852525,3.356325
14.262725,2.86445,3.381975
14.545575,2.876175,3.3973
14.569275,2.92,3.408325
14.806875,2.94215,3.441425
14.877475,2.987475,3.45775
14.8821,2.99465,3.511225
14.9028,3.01175,3.5143
14.9161,3.022875,3.525975
15.361225,3.0578,3.55235
15.54755,3.0954,3.575125
15.5649,3.111075,3.58425
15.750575,3.235575,3.59995
15.759,3.25005,3.61215
15.850225,3.27065,3.630775
15.91005,3.29195,3.648375
15.984925,3.3469,3.671525
16.031975,3.3748,3.729
16.048925,3.396075,3.738325
16.0565,3.421825,3.7742
16.075125,3.471825,3.7874
16.10685,3.49225,3.810475
16.133575,3.498825,3.81325
16.4191,3.541825,3.8436
16.629625,3.557475,3.854725
16.80235,3.56795,3.908525
16.82995,3.58215,3.96655
17.215525,3.6558,3.973075
17.279225,3.716325,4.025625
17.492625,3.731575,4.118025
17.508975,3.739475,4.12395
17.52835,3.7544,4.1455
17.572925,3.766425,4.14975
17.91575,3.7904,4.199525
17.9288,3.810625,4.240725
18.063725,3.8231,4.248425
18.281775,3.919475,4.281275
18.3035,3.92835,4.2961
18.30575,3.982375,4.3121
18.478925,4.003125,4.37855
18.79235,4.03965,4.40485
18.8048,4.0658,4.415025
19.0374,4.11785,4.4304
19.411475,4.12865,4.483775
19.537025,4.165525,4.52375
19.54555,4.18095,4.542625
19.548525,4.19395,4.583675
19.5759,4.225775,4.617975
19.620825,4.24755,4.639275
19.665225,4.260275,4.688075
19.730725,4.280175,4.699775
19.8053,4.333675,4.737625
19.964625,4.370875,4.74645
19.981425,4.4505,4.76465
20.07165,4.46695,4.797975
20.4058,4.5097,4.8284
20.64495,4.51795,4.862325
20.750625,4.6021,4.876625
20.9505,4.619,4.926975
21.0591,4.65275,4.94955
21.119075,4.688225,4.9632
21.1544,4.704,4.982775
21.20275,4.7336,4.9995
21.4075,4.825875,5.01705
21.739625,4.853625,5.045875
21.747275,4.8817,5.05215
21.77835,4.892125,5.066825
21.8164,4.954875,5.10435
21.859625,4.9664,5.12345
22.00865,4.97315,5.1377
22.05345,4.981025,5.267675
22.131375,4.989075,5.282375
22.30335,5.053225,5.319525
22.882875,5.061525,5.358825
22.924375,5.07545,5.37705
22.966725,5.09995,5.4155
23.03435,5.13785,5.434275
23.0539,5.156225,5.445725
23.176125,5.204925,5.510325
23.278525,5.22555,5.530625
23.32415,5.238625,5.548975
23.350625,5.2536,5.600125
23.68915,5.2653,5.61535
23.710675,5.27965,5.634325
23.73755,5.324575,5.7092
23.8219,5.3675,5.718075
24.083825,5.3884,5.813775
24.201525,5.41435,5.83535
24.22555,5.4237,5.858725
24.270525,5.432375,5.8706
24.275425,5.46975,5.905225
24.345125,5.490075,5.908625
24.86435,5.518175,5.92055
24.922975,5.5589,5.931925
24.971925,5.5984,5.949975
25.0976,5.6172,5.97535
25.1775,5.644175,6.0804
25.1945,5.6608,6.0943
