SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC07a
2800.0112,2800.0855,2800.108775,2805.395825
2800.052325,2800.225725,2800.11205,2810.724475
2800.1614,2800.389575,2800.148025,2813.28045
2800.18555,2800.43125,2800.4708,2817.464875
2800.4408,2800.517,2800.49025,2823.862475
2800.5109,2800.550525,2800.585725,2823.912675
2800.574475,2800.73345,2800.697175,2824.8576
2800.583125,2800.792725,2800.74345,2826.5383
2800.64625,2800.830575,2800.7718,2827.9651
2800.80855,2800.990575,2801.0924,2828.7016
2800.84085,2801.0611,2801.11625,2831.038825
2800.920925,2801.29525,2801.2743,2831.8042
2801.1311,2801.313825,2801.416225,2833.696775
2801.2064,2801.50175,2801.4833,2834.8271
2801.2211,2801.585225,2801.530875,2834.8428
2801.233925,2801.600425,2801.553825,2836.668425
2801.250575,2801.707775,2801.962975,2837.93885
2801.3045,2801.98705,2802.023,2841.669525
2801.40885,2802.09205,2802.1643,2843.0714
2801.44655,2802.2398,2802.27365,2843.742725
2801.53205,2802.3133,2802.390225,2844.183975
2801.622975,2802.614125,2802.817125,2846.316525
2801.65765,2802.66025,2802.829125,2847.272975
2801.741525,2802.803125,2802.869825,2850.62025
2801.80465,2802.812,2802.95485,2851.68415
2801.893925,2802.8868,2802.979925,2852.15015
2801.9535,2803.3503,2803.0776,2852.602275
2802.206775,2803.50405,2803.173275,2854.922375
2802.507175,2803.565825,2803.212625,2855.47615
2802.588775,2803.624925,2803.388925,2856.095175
2802.886225,2803.772425,2803.486925,2860.390925
2802.894525,2803.7937,2803.51335,2862.77675
2802.9033,2804.06195,2803.7485,2862.8638
2802.91745,2804.1075,2804.0903,2863.272775
2802.923,2804.26435,2804.1,2863.7441
2802.92855,2804.581325,2804.106325,2866.703425
2802.945175,2804.620675,2804.12735,2866.72415
2803.41595,2804.849825,2804.181225,2867.947925
2803.459,2804.88375,2804.2914,2868.0696
2803.7118,2804.9006,2804.8155,2868.610825
2803.735675,2804.91885,2804.982325,2870.054325
2803.749025,2804.958975,2805.110475,2870.3472
2803.799575,2805.013875,2805.178225,2870.72335
2803.887525,2805.0449,2805.194025,2871.51125
2804.1091,2805.101025,2805.52455,2871.90595
2804.120225,2805.225975,2805.650575,2872.043725
2804.128825,2805.2471,2805.664475,2872.32695
2804.14755,2805.357175,2805.96835,2873.81725
2804.222775,2805.5627,2806.61055,2876.3606
2804.232175,2805.850625,2806.680725,2877.6462
2804.2684,2805.941375,2806.9509,2878.488675
2804.337025,2806.053325,2806.9929,2880.061425
2804.3489,2806.135175,2807.04425,2880.896475
2804.433325,2806.37635,2807.0672,2880.905225
2804.5731,2806.478325,2807.116075,2881.426525
2804.74605,2806.5135,2807.18285,2882.129825
2804.799275,2806.668725,2807.2045,2883.175925
2804.83815,2806.80975,2807.219925,2883.654975
2804.8987,2806.9006,2807.251,2883.662075
2804.927025,2807.0916,2807.282675,2884.48095
2805.051325,2807.1654,2807.36685,2885.3041
2805.096175,2807.444825,2807.431475,2885.351125
2805.106575,2807.667925,2807.530875,2886.97365
2805.160025,2807.734875,2807.567625,2887.8027
2805.19465,2807.749125,2808.061225,2888.913925
2805.222325,2807.762825,2808.091,2890.639775
2805.33205,2808.140225,2808.295125,2891.70175
2805.8214,2808.853175,2808.5227,2892.505775
2805.8741,2808.8912,2808.5778,2894.847275
2805.97385,2809.12655,2808.6302,2894.857975
2806.0108,2809.3443,2808.7197,2896.45175
2806.19225,2809.374025,2808.877925,2896.466875
2806.395325,2809.527175,2808.8998,2896.783975
2806.45935,2809.614925,2809.120025,2896.79105
2806.477575,2809.6865,2809.130975,2897.048375
2806.51875,2810.02835,2809.155425,2898.162275
2806.542825,2810.082025,2809.1853,2899.046925
2806.70755,2810.1113,2809.262575,2899.08745
2806.89165,2810.351325,2809.904725,2899.295075
2806.907575,2810.388725,2809.95315,2899.99905
2807.0695,2810.59465,2809.9863,2901.8956
2807.09325,2810.71575,2810.001,2903.0313
2807.123675,2810.97035,2810.138975,2903.108075
2807.1519,2811.13565,2810.14455,2903.12305
2807.158625,2811.161875,2810.18645,2903.936575
2807.1761,2811.28565,2810.24875,2905.544225
2807.208725,2811.4593,2810.556875,2907.578375
2807.430075,2811.6284,2810.5758,2908.018425
2807.586725,2811.893575,2810.58875,2909.7869
2807.783,2811.999225,2810.6287,2910.909175
2807.8455,2812.2052,2810.74755,2911.530375
2807.996075,2812.238775,2810.768175,2911.8317
2808.01255,2812.2882,2810.821225,2911.872125
2808.034375,2812.412275,2810.92915,2912.51185
2808.10865,2812.449325,2811.01615,2912.626375
2808.13805,2812.471975,2811.034375,2913.901125
2808.193875,2812.485525,2811.1216,2914.1822
2808.32925,2812.5504,2811.145275,2914.244075
2808.4218,2812.814175,2811.35885,2914.582425
2808.45255,2812.9173,2811.410475,2915.90365
2808.6702,2812.9425,2811.524425,2915.961625
2808.6878,2813.084925,2811.5899,2916.91775
2808.7177,2813.12945,2811.774575,2917.0351
2808.7302,2813.5853,2811.7969,2917.060325
2808.764325,2813.611175,2811.80605,2917.279825
2808.877375,2813.7138,2811.8175,2917.685
2809.06105,2813.894075,2811.915225,2917.92805
2809.17565,2813.9201,2811.95305,2918.19575
2809.2643,2813.983175,2811.96025,2920.233025
2809.48465,2814.155975,2812.013325,2921.2196
2809.5392,2814.3833,2812.42345,2922.843925
2809.76465,2814.4918,2812.4356,2923.123125
2809.8646,2814.509525,2812.5626,2923.4246
2809.87855,2814.693925,2812.622825,2923.632075
2809.923625,2814.7719,2813.248125,2923.8706
2810.020225,2814.86385,2813.2731,2924.03605
2810.18855,2814.8845,2813.34795,2925.088925
2810.199,2814.900125,2813.468125,2925.432925
2810.21555,2814.9724,2813.53495,2925.457975
2810.2342,2814.9786,2813.72405,2926.02915
2810.2591,2815.263275,2813.849775,2926.052675
2810.30025,2815.417175,2814.047725,2926.217775
2810.612325,2815.4786,2814.2105,2927.234825
2810.77945,2815.896925,2814.274175,2927.5145
2810.79635,2815.9361,2814.360625,2931.132275
2810.89445,2816.14795,2814.38165,2931.289075
2811.089625,2816.255075,2814.39785,2931.7521
2811.14205,2816.32415,2814.4066,2933.112325
2811.17365,2816.5355,2814.90175,2933.1409
2811.184975,2816.558025,2815.014925,2934.468075
2811.213925,2816.62455,2815.044075,2935.27795
2811.2336,2817.50075,2815.092525,2935.642
2811.290525,2818.005625,2815.143,2935.6601
2811.38355,2818.122725,2815.179,2937.53265
2811.423825,2818.345875,2815.2505,2937.549975
2811.65795,2818.38085,2815.447375,2938.542975
2811.690875,2818.405725,2815.695975,2938.90685
2811.80575,2819.0139,2815.819325,2938.91715
2811.818375,2819.033825,2816.030125,2940.298325
2811.960925,2819.232775,2816.044175,2942.36025
2811.9712,2819.251425,2816.057825,2942.37795
2811.985325,2819.508125,2816.3762,2942.482775
2811.99455,2819.62825,2816.382375,2942.91545
2812.0922,2819.636225,2816.385425,2943.6895
2812.21415,2819.64145,2816.4114,2945.635125
2812.22645,2820.0289,2816.479875,2945.785525
2812.23485,2820.232575,2816.508025,2946.109325
2812.31415,2820.2554,2816.53725,2947.086975
2812.536025,2820.5243,2816.711725,2947.381425
2812.584825,2820.62265,2816.7843,2947.39535
2812.626275,2820.74525,2816.803425,2947.469525
2812.69555,2820.88215,2816.844375,2947.5227
2812.766075,2820.9611,2816.93005,2947.6635
2812.796475,2821.3308,2817.0012,2948.5507
2812.829525,2821.413275,2817.0302,2948.9464
2812.8583,2821.58675,2817.036325,2949.365425
2812.903375,2821.83315,2817.079275,2949.730275
2812.922125,2821.8385,2817.101175,2951.139225
2812.97965,2821.9644,2817.3436,2951.633625
2813.038575,2822.059675,2817.565275,2951.683075
2813.052825,2822.297625,2817.58795,2952.7809
2813.105925,2822.563425,2817.5924,2952.8024
2813.229625,2822.65605,2817.730625,2954.871625
2813.495075,2822.925475,2817.75625,2955.11065
2813.60295,2822.963975,2817.917975,2956.135925
2813.685075,2822.9916,2817.954825,2956.41495
2813.7529,2822.998425,2818.06545,2957.7271
2813.7656,2823.10725,2818.277325,2960.016675
2813.819925,2823.159475,2818.299,2960.3306
2813.8652,2823.30595,2818.399725,2960.33675
2814.186825,2823.480675,2818.41225,2964.774975
2814.4225,2823.6044,2818.493925,2965.678475
2814.47645,2823.62185,2818.527075,2966.664875
2814.496775,2823.7282,2818.75895,2966.6737
2814.51905,2823.76135,2819.028425,2966.695175
2814.621325,2823.791,2819.040425,2967.5628
2814.6486,2823.80995,2819.60945,2967.650975
2814.6746,2823.833025,2819.982475,2968.091025
2814.684425,2823.946725,2819.99545,2970.26415
2814.89395,2824.0242,2820.22615,2970.99615
2814.9109,2824.415475,2820.251275,2971.0307
2814.934925,2824.57545,2820.30095,2973.0359
2814.962325,2824.989375,2820.493975,2974.168825
2815.489775,2825.308675,2820.580975,2975.210125
2815.502775,2825.313425,2820.809325,2975.672475
2815.529425,2825.35685,2821.071675,2977.256675
2815.540775,2825.58975,2821.108475,2977.333475
2815.554225,2825.61985,2821.230275,2978.782625
2815.661425,2825.65825,2821.498,2978.9484
2815.67645,2825.947075,2821.5363,2978.9698
2815.703225,2825.97615,2821.6699,2979.63915
2815.854725,2825.9942,2821.702425,2980.005275
2815.864475,2826.058575,2821.9126,2982.221525
2815.875625,2826.295825,2822.0826,2982.303075
2815.885325,2826.3882,2822.1499,2982.477625
2815.8968,2826.500675,2822.27385,2984.05025
2815.97825,2826.534625,2822.422775,2985.183175
2816.08695,2826.73235,2822.6083,2986.224475
2816.1425,2826.749375,2822.693775,2986.73175
2816.405275,2826.855225,2822.751,2987.6265
2816.419625,2826.993075,2822.771875,2988.73315
2816.4314,2827.20525,2822.8505,2990.352575
2816.435775,2827.35175,2823.020025,2990.882525
2816.585725,2827.403725,2823.265575,2990.912625
2816.626875,2827.4349,2823.3762,2991.7871
2816.7372,2827.4827,2823.3846,2991.86225
2816.778075,2827.5588,2823.456225,2993.24735
2816.994325,2827.57415,2823.87145,2993.76955
2817.030675,2827.58375,2823.882425,2994.364825
2817.044375,2827.897425,2823.887625,2994.435875
2817.1093,2827.96785,2824.268,2995.014925
2817.12,2828.12805,2824.323425,2995.4203
2817.185275,2828.17775,2824.3597,2995.75705
2817.3041,2828.546925,2824.406075,2995.9061
2817.457575,2828.67295,2824.619975,2996.235375
2817.537775,2828.68895,2824.630725,2996.925775
2817.574425,2829.272475,2824.799925,2997.624175
2817.607775,2829.3345,2824.89215,2997.930675
2817.719125,2829.5712,2824.971975,2998.6231
2817.925825,2829.637225,2825.323425,2998.629025
2818.0699,2829.7254,2825.342125,2999.033775
2818.1518,2829.738475,2825.432825,2999.066225
2818.294875,2829.808525,2825.646475,2999.2541
2818.412975,2829.9099,2825.65485,2999.6
2818.466375,2829.932525,2825.699125,
2818.578725,2829.973625,2826.1826,
2818.604525,2830.0397,2826.345425,
2818.7483,2830.5859,2826.353625,
2818.81725,2830.612275,2826.378225,
2819.0002,2830.63365,2826.571475,
2819.011525,2830.81085,2826.7997,
2819.0454,2830.88285,2826.9253,
2819.339425,2830.923825,2826.961575,
2819.374625,2831.093525,2827.014575,
2819.453825,2831.1521,2827.179775,
2819.67295,2831.487075,2827.25185,
2819.676275,2831.5456,2827.56755,
2819.6857,2831.566025,2827.579225,
2819.889025,2831.598325,2827.613625,
2819.9877,2831.6567,2827.9322,
2820.236975,2831.962,2827.94255,
2820.2455,2831.991975,2827.9547,
2820.482725,2832.283625,2827.97185,
2820.529325,2832.4084,2828.220625,
2820.6234,2832.534125,2828.3229,
2820.8489,2833.1916,2828.34375,
2820.94315,2833.517075,2828.494925,
2821.169975,2833.70665,2828.640775,
2821.381375,2833.81475,2828.7283,
2821.543025,2833.85665,2828.7491,
2821.5563,2833.892,2828.92235,
2821.5646,2833.9576,2828.994025,
2821.57755,2834.02535,2829.1666,
2821.6919,2834.057875,2829.242625,
2821.75805,2834.16745,2829.294575,
2821.83305,2834.673025,2829.350075,
2821.84105,2834.7861,2829.36865,
2821.8482,2835.05975,2829.5448,
2821.942425,2835.3712,2829.65745,
2822.327925,2835.55785,2829.691625,
2822.353425,2835.624075,2829.873125,
2822.370925,2835.638225,2830.02005,
2822.4338,2836.005925,2830.06325,
2822.7636,2836.15195,2830.139625,
2822.7953,2836.66185,2830.240575,
2822.8262,2836.667225,2830.312475,
2822.844025,2837.144725,2830.3566,
2822.932925,2837.25555,2830.628175,
2822.9487,2837.549825,2830.95645,
2822.970575,2837.5795,2831.05725,
2823.0095,2837.74185,2831.11635,
2823.431,2837.9106,2831.1688,
2823.443475,2837.9797,2831.43095,
2823.44985,2838.130925,2831.463025,
2823.532975,2838.1597,2831.62495,
2823.8933,2838.285625,2831.685375,
2823.9003,2838.412375,2831.775775,
2823.939625,2838.60985,2831.8815,
2824.00015,2838.6919,2832.14365,
2824.006575,2838.868875,2832.317375,
2824.065825,2838.916525,2832.44195,
2824.194475,2838.990525,2832.561475,
2824.467175,2839.024475,2832.5716,
2824.52045,2839.055225,2832.599725,
2824.539775,2839.239275,2832.6728,
2824.6136,2839.490825,2832.8008,
2824.67705,2839.536525,2832.837975,
2824.711425,2839.552125,2832.96695,
2824.743025,2839.5753,2833.0437,
2824.812275,2839.588325,2833.167975,
2824.85345,2839.61635,2833.185925,
2824.914975,2840.27935,2833.196875,
2824.949675,2840.482125,2833.2233,
2825.3257,2840.911325,2833.25065,
2825.338125,2840.981175,2833.4056,
2825.34785,2841.01725,2833.545675,
2825.438,2841.3175,2833.6055,
2825.4688,2841.3695,2833.81205,
2825.620675,2841.437125,2833.9273,
2825.656825,2841.608325,2834.0071,
2825.675,2841.724225,2834.047325,
2825.92105,2842.428425,2834.118075,
2825.97275,2842.4348,2834.26285,
2826.121875,2842.515025,2834.303475,
2826.20785,2842.695225,2834.367125,
2826.3662,2842.71985,2834.42945,
2826.3843,2843.038825,2834.4554,
2826.39455,2843.365275,2834.466425,
2826.4041,2843.4203,2834.470975,
2826.41985,2843.690375,2834.590075,
2826.43985,2843.70445,2834.706025,
2826.64045,2843.712675,2834.816025,
2826.74465,2843.778975,2834.835025,
2826.773175,2843.9222,2834.895975,
2826.862125,2844.233725,2834.9123,
2826.91275,2844.3711,2835.020375,
2826.9702,2844.4302,2835.049425,
2827.036275,2844.757675,2835.092175,
2827.10765,2845.46215,2835.259425,
2827.2793,2845.502275,2835.51,
2827.4278,2845.507425,2835.657775,
2827.454875,2845.5329,2835.95845,
2827.575675,2845.71045,2836.031625,
2827.729725,2845.99795,2836.2222,
2827.7554,2846.69515,2836.320325,
2827.85475,2846.746725,2836.343475,
2827.883575,2846.79845,2836.462,
2828.01975,2847.058075,2836.50205,
2828.036725,2847.20025,2836.540725,
2828.1903,2847.2289,2836.5779,
2828.21725,2847.251325,2836.645,
2828.2634,2847.62395,2836.654125,
2828.28765,2847.668125,2837.228575,
2828.436975,2847.945675,2837.301925,
2828.683225,2847.9582,2837.307825,
2828.7461,2848.0495,2837.424325,
2828.7794,2848.21035,2837.481125,
2828.822275,2848.286375,2837.6785,
2828.8499,2848.321925,2837.718475,
2828.8842,2848.5387,2838.02255,
2829.13905,2848.575625,2838.103275,
2829.1688,2848.579925,2838.16935,
2829.346075,2848.883725,2838.179225,
2829.392575,2849.02705,2838.486775,
2829.422175,2849.15745,2838.573525,
2829.475175,2849.1797,2838.654425,
2829.969,2849.2787,2838.733175,
2830.0468,2849.488675,2838.953825,
2830.508075,2849.645775,2838.95955,
2830.53585,2849.737275,2839.069575,
2830.5476,2849.759,2839.0938,
2830.5654,2849.77505,2839.119325,
2830.579625,2849.936975,2839.124175,
2830.586675,2850.104025,2839.316025,
2830.656325,2850.10965,2839.7241,
2830.827325,2850.40675,2839.898225,
2830.9531,2850.56315,2839.9828,
2830.971725,2850.71975,2840.029325,
2831.327475,2851.094875,2840.049125,
2831.3692,2851.4934,2840.05525,
2831.437275,2851.61005,2840.0799,
2831.4747,2851.625325,2840.372975,
2831.789975,2851.958275,2840.3892,
2832.1936,2852.017725,2840.42195,
2832.56505,2852.25465,2840.51915,
2832.57245,2852.6117,2840.57635,
2832.580925,2852.85155,2840.593,
2832.6043,2852.9719,2840.609475,
2832.640825,2853.18145,2840.623025,
2832.653225,2853.27155,2840.6595,
2832.762125,2853.293875,2840.959225,
2832.7779,2853.385225,2840.96705,
2832.89095,2853.4486,2841.04165,
2833.083,2853.487425,2841.215925,
2833.19315,2853.499225,2841.398575,
2833.2056,2853.9216,2841.6549,
2833.213425,2854.0077,2841.667675,
2833.22555,2854.206075,2841.741475,
