SPK_SPKC12a,SPK_SPKC13a,SPK_SPKC15a
0.0877,0.046125,0.00175
0.56005,0.080125,0.1742
0.846575,0.087725,0.1794
1.092675,0.10495,0.258975
1.413375,0.1138,0.28855
1.9709,0.40165,0.301325
2.06845,0.49375,0.30285
2.13645,0.50785,0.3082
2.175575,0.573275,0.330625
2.33095,0.641275,0.33945
2.57425,0.708225,0.3463
2.939075,0.74025,0.350225
3.320675,0.819975,0.735275
3.52725,0.887925,0.74705
3.582975,0.940775,0.793075
3.591025,0.954325,0.87565
3.922375,0.960975,0.8915
4.0166,0.969975,0.921575
4.14345,0.97705,0.95155
4.161825,0.9796,0.97355
4.411425,1.05415,1.17495
4.474875,1.0838,1.293525
4.4817,1.174575,1.332175
4.741175,1.2293,1.714725
4.832775,1.333,1.85405
5.084425,1.3493,2.35455
5.496425,1.58985,2.375825
5.5694,1.82775,2.43455
5.618025,1.896275,2.532275
5.740275,1.970975,2.57895
5.76045,2.086075,2.584975
6.194825,2.2565,2.6018
6.21615,2.261825,2.608175
6.4058,2.271025,2.627725
6.63615,2.291275,2.95
7.224375,2.311825,3.133775
7.225825,2.34085,3.157425
7.513,2.3541,3.3877
7.63675,2.357075,3.63825
7.80175,2.363775,3.8749
7.9833,2.4801,4.156675
8.11145,2.496625,4.255475
8.23965,2.50465,4.4495
8.495675,2.5432,4.7986
8.71755,2.548125,4.8289
8.771825,2.665525,4.83235
9.02535,2.722775,4.84765
9.208825,2.7687,4.862775
9.301,2.803425,4.8763
9.571675,2.904,4.95155
9.7014,2.91395,4.95935
10.35085,2.955625,5.0366
10.6459,2.963125,5.0573
11.362375,2.969225,5.109225
11.685925,3.001575,5.1129
11.79725,3.020775,5.150525
11.8765,3.05915,5.44775
11.962375,3.187375,5.593
11.98135,3.227475,5.708525
12.141825,3.296525,5.80715
12.420125,3.325225,6.094425
13.395475,3.381075,6.202275
13.49405,3.39655,6.36
13.606325,3.418175,6.67475
13.732525,3.522275,7.059975
13.7473,3.533375,7.1218
14.3269,3.536125,7.17455
15.06435,3.575625,7.2061
15.18645,3.583025,7.23975
15.315675,3.58445,7.291475
15.391675,3.59095,7.453325
15.43935,3.605975,7.549125
15.46735,3.659725,7.613175
15.58015,3.672175,7.6661
15.6012,3.679325,7.68145
15.684425,3.72975,7.732025
15.78065,3.8086,7.7558
16.78155,3.858825,7.7731
16.878825,3.90735,7.8402
17.278675,4.105375,8.002125
17.436575,4.109975,8.0061
17.961875,4.1541,8.01275
18.385575,4.164875,8.35835
18.953125,4.1692,8.394475
19.3886,4.1965,8.576525
19.628775,4.2056,8.94665
19.9321,4.2333,9.139775
19.99715,4.2814,9.5945
20.04165,4.2862,9.683325
20.103375,4.321925,9.693425
20.3053,4.399975,9.694425
20.678775,4.417525,9.78185
20.82865,4.46545,9.93395
20.9154,4.47235,10.16045
21.106825,4.603375,10.4086
21.1675,4.720725,11.190275
21.2676,4.839425,11.700525
21.286625,4.907175,11.836225
21.5457,4.926775,12.051425
21.79815,4.93495,12.313825
21.8948,4.9589,13.007175
22.0123,4.967925,13.16205
22.033375,5.0447,13.63575
22.151725,5.062375,13.742825
22.15605,5.1475,13.843525
22.184025,5.16175,14.569625
22.222575,5.1761,14.639325
22.42495,5.215575,14.74805
22.68675,5.29935,15.0665
23.388375,5.3977,15.11885
23.396825,5.39895,15.3952
23.64405,5.531575,15.449925
23.676525,5.551625,15.4866
23.727725,5.56055,15.5353
23.90335,5.573025,15.552825
24.08415,5.614925,15.6791
24.186925,5.61795,15.6819
24.3294,5.68295,15.7048
24.601275,5.7218,15.7431
25.0908,5.74025,15.83115
25.200725,5.848275,16.006475
25.296175,5.8962,16.2959
25.381425,5.9132,16.56935
26.2232,6.087075,16.831825
26.352125,6.09075,17.1686
26.379025,6.10505,18.020925
26.697725,6.127,18.3706
26.73655,6.169175,18.490025
26.8345,6.2641,18.6514
26.856675,6.2871,18.809525
26.94345,6.298425,19.097325
27.586875,6.36285,19.201525
27.9961,6.381,19.212825
28.08765,6.46695,19.657975
28.2434,6.481175,19.678375
28.40225,6.675025,20.1346
28.446875,6.8439,20.170325
28.49995,6.917675,20.180575
28.668425,7.0583,20.183125
28.8745,7.291925,20.52135
29.05375,7.3351,20.57615
29.25015,7.449225,20.629725
29.537675,7.486575,20.65875
30.514625,7.585775,20.894
30.575775,7.596125,20.9295
30.68045,7.626275,21.12305
30.7538,7.645875,21.79075
31.095975,7.709975,22.30915
31.2244,7.755725,22.346975
31.254425,7.91285,22.376325
31.728125,7.942275,22.63775
31.815775,7.997275,22.754125
31.927275,8.051,22.7664
32.2038,8.1114,22.963775
32.402575,8.11475,23.002025
32.48125,8.177425,23.05965
32.922025,8.256375,23.0675
33.20365,8.2887,23.3031
33.2572,8.312075,23.4359
33.2819,8.371975,23.438225
33.694825,8.422225,23.710875
34.00045,8.433125,23.742925
34.10335,8.53125,24.499625
34.151575,8.671625,24.75545
34.37975,8.67635,24.97725
34.492975,8.7176,25.2418
34.80155,8.8026,25.2913
34.87485,8.933025,25.340525
34.9072,8.984975,25.34875
35.059475,9.078575,25.351125
35.108075,9.135025,25.4082
35.425625,9.172275,25.607675
35.46195,9.239225,26.641425
35.50845,9.332825,26.658075
35.529475,9.370675,26.670875
35.6432,9.379675,27.083225
36.281775,9.46575,28.940775
36.32975,9.51595,29.162275
36.835625,9.5859,29.394575
36.8631,9.669175,29.4722
36.884175,9.685175,29.55175
36.906825,9.698675,29.9856
37.074675,9.717125,30.099175
37.09905,9.735975,30.10745
37.53555,9.739,30.180675
37.571025,9.784,30.2096
37.636975,9.8354,30.408025
37.764675,9.847675,30.645275
37.973975,10.04655,30.8889
38.135775,10.125975,31.011225
38.3798,10.151875,31.14065
38.88695,10.18325,31.311775
39.22815,10.2817,31.61215
39.525875,10.405925,32.083575
39.5588,10.430725,32.3046
40.01795,10.489825,32.320725
40.06025,10.493625,32.719575
40.187725,10.496,32.830425
40.199425,10.606125,33.5034
40.2067,10.683075,34.453575
40.532575,10.722125,34.771875
40.8961,10.748925,34.833775
40.9319,10.765875,34.897325
41.1479,10.7986,35.4167
41.4734,10.904125,35.4627
41.480175,11.025575,35.502825
41.5732,11.042625,35.79205
41.589925,11.059275,35.989625
41.8842,11.159975,36.239575
41.9007,11.2397,36.841675
42.285825,11.40295,36.935175
42.3794,11.534775,37.017025
42.7637,11.55285,37.0399
42.79185,11.5917,37.094825
43.06475,11.7912,37.20595
43.081625,11.921675,37.2265
43.099425,11.9366,37.39205
43.14555,12.11345,37.451125
43.214725,12.241825,37.590425
43.217625,12.30515,37.69645
43.230375,12.4067,37.7175
43.729775,12.475625,38.225975
43.87785,12.505275,38.38895
44.059225,12.5097,38.5034
44.3821,12.703525,38.520875
44.44555,12.73735,39.10385
44.6627,12.75295,39.210925
44.8086,12.857475,39.358325
44.9591,12.9188,39.687
45.00175,12.92575,40.0076
45.088775,12.9854,40.52025
45.121125,13.0255,40.6127
45.689175,13.2991,40.72855
45.712425,13.35985,40.813925
45.725425,13.39295,40.8828
46.39905,13.4939,40.9403
46.42625,13.503125,40.95235
46.598175,13.566525,41.103275
46.71575,13.57885,41.13025
46.8123,13.60825,41.187575
46.874575,13.6102,41.2235
47.048275,13.74415,41.256675
47.2721,13.77225,41.33775
47.809975,13.78285,41.342575
48.231125,13.96585,41.35885
48.33395,14.010825,41.405725
48.370575,14.059325,41.566925
48.4128,14.114475,41.667675
48.4362,14.138875,41.833875
48.454525,14.162025,42.0016
48.557975,14.201425,42.05405
48.610175,14.2265,42.29915
48.723575,14.391025,42.310425
48.878625,14.66215,42.75735
48.990575,14.68255,43.138775
49.28995,14.78425,43.19225
49.293125,14.8357,43.26775
49.350725,14.903025,43.673825
49.446175,15.186575,43.8883
49.636425,15.263325,43.8944
49.680575,15.53515,43.911375
49.713575,15.58015,43.953775
49.75485,15.6955,44.3645
49.810225,15.697,44.7572
49.84135,15.79755,44.848225
49.860675,15.9862,44.93005
49.87495,16.102925,45.00475
49.953125,16.105375,45.1044
49.96695,16.20325,45.15095
50.091575,16.27145,45.21435
50.168725,16.33325,45.303975
50.316175,16.368975,45.45945
50.398325,16.38095,45.60055
50.486825,16.38225,45.7123
50.510925,16.49095,45.71955
50.5882,16.525125,45.7919
50.6277,16.674875,46.4714
51.53265,16.77675,46.65095
51.820175,16.790625,46.8722
51.887225,16.79745,47.010375
52.026975,16.802975,47.0933
52.0466,16.81585,47.2052
52.210575,16.86905,47.417
52.396375,16.882225,47.5457
52.43115,16.971475,47.624575
52.536975,16.98435,47.643425
52.63315,17.09775,47.88395
52.666675,17.107725,47.982075
52.711325,17.124575,48.15045
52.737075,17.2392,48.3996
53.048725,17.250425,48.774525
53.14275,17.558325,48.83505
53.318225,17.69125,49.122975
53.330475,17.80795,49.15115
53.505625,17.834475,49.238625
53.53615,17.870175,49.29815
53.67835,17.9141,49.343575
53.700375,17.928925,49.375075
53.702625,17.98825,49.8738
53.7118,18.04005,50.1624
53.806,18.152425,50.16915
53.895075,18.222,50.25125
53.911625,18.235075,50.264675
54.200025,18.329025,50.2848
54.34355,18.3468,50.336475
54.356275,18.376725,50.584475
54.37615,18.512025,51.02355
54.4574,18.60025,51.5792
54.51215,18.660575,51.62905
54.5512,18.669825,51.697525
54.5619,19.02925,51.7499
54.594375,19.04245,52.091275
54.630525,19.08985,52.625075
54.64335,19.1665,52.805175
54.827225,19.257925,52.984675
54.91815,19.352675,53.070575
54.97805,19.39925,53.4128
55.060375,19.479375,53.50065
55.17365,19.5078,53.514775
55.3875,19.54925,53.525125
55.61305,19.5819,53.595425
55.632675,19.63205,53.721675
55.750525,19.677025,53.777825
55.83395,19.705475,53.826975
56.0122,19.7291,53.95325
56.083125,19.784875,54.01885
56.158975,19.848625,54.033425
56.213625,19.94755,54.176325
56.34145,20.00665,54.2757
56.41695,20.01005,54.3288
56.451225,20.06355,54.50745
56.52465,20.06715,54.570825
56.665125,20.071825,54.595175
56.69415,20.1062,54.6127
56.71485,20.169125,54.661825
56.825575,20.1906,55.010525
56.90625,20.2027,55.0147
57.281725,20.237175,55.0204
57.40645,20.3089,55.27565
57.544975,20.39855,55.379875
57.579075,20.44005,55.6571
57.754,20.50035,56.0504
57.7806,20.697675,56.122525
57.7884,20.73815,56.2169
57.8769,20.74855,56.367475
58.1447,20.7721,56.42435
58.3237,20.96065,56.652025
58.35485,20.9868,56.8844
58.3751,21.000225,57.792225
58.417725,21.024,57.844875
58.439775,21.04225,58.0063
58.660475,21.0581,58.34385
58.782725,21.106675,58.3556
58.8049,21.130375,58.450325
58.8549,21.266525,58.873525
59.492675,21.286675,58.893125
59.533725,21.378875,58.91395
59.59585,21.4354,59.360625
59.845675,21.4516,59.634225
59.955475,21.530075,59.72015
60.03425,21.5499,59.7325
60.1186,21.558375,60.1462
60.2049,21.65975,60.258375
60.206225,21.68035,60.302125
60.3843,21.69865,60.3532
60.51035,21.718875,60.6178
60.645475,21.77315,60.651475
60.7502,21.8163,60.67115
