SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC16a
0.045575,0.02135,0.01125,0.1855,0.062475,0.077825
0.121725,0.086675,0.024175,0.58795,0.292675,0.191725
0.174625,0.10155,0.186275,0.96285,0.335775,0.38905
0.506275,0.104075,0.206775,1.270025,0.369075,0.5283
0.633575,0.147375,0.328475,1.310925,0.385175,0.545325
0.656125,0.20045,0.355325,1.328725,0.631575,0.7057
0.6975,0.261825,0.462225,1.5065,0.68965,0.765925
0.8062,0.337325,0.58055,1.822175,0.741725,0.7985
0.83545,0.3447,0.675125,1.8599,0.818175,1.0018
1.026075,0.35305,0.67795,1.91965,0.9238,1.092525
1.047675,0.3564,0.82625,2.314625,0.982275,1.2605
1.343075,0.36955,0.881025,2.333225,1.085025,1.76535
1.360775,0.3721,0.942325,2.3647,1.107425,2.020775
1.6021,0.378425,1.01595,2.6858,1.15165,2.355325
1.6626,0.409575,1.01985,2.845,1.3073,2.464475
1.6805,0.445475,1.1461,2.894825,1.3893,2.494625
1.867275,0.47905,1.20695,3.0842,1.469725,2.7184
2.085525,0.6757,1.2825,3.1837,1.48495,2.724925
2.132175,0.74415,1.29135,3.647525,1.5722,2.790875
2.1541,0.77965,1.452,3.7691,1.60975,2.967225
2.1752,0.863175,1.46535,4.34135,1.6408,3.323775
2.198125,0.90235,1.479875,4.3611,1.866925,3.361525
2.317075,0.926925,1.609825,4.5979,1.893375,3.60865
2.337025,0.944375,1.621125,5.0462,1.930925,3.795575
2.3442,0.946825,1.712525,5.1746,1.967625,3.946475
2.36945,0.9677,1.82645,5.226775,2.084725,3.9838
2.402825,1.067225,1.8669,5.237975,2.21325,4.007275
2.456675,1.13545,1.90405,5.5646,2.26685,4.010225
2.625,1.15695,1.97545,5.662125,2.301075,4.115625
2.685575,1.174975,2.0376,5.7871,2.4594,4.15575
2.723775,1.22995,2.115175,6.06375,2.608175,4.276775
2.75,1.26455,2.30595,6.3478,2.665475,4.314475
3.15825,1.267625,2.370275,6.75995,2.762425,4.611925
3.52765,1.2782,2.38025,6.796125,3.21705,4.789
3.54885,1.281075,2.38735,6.962275,3.401125,4.880475
3.664675,1.2835,2.395275,7.38575,3.41475,5.005675
3.73915,1.292225,2.61755,7.431625,3.488825,5.021725
3.899025,1.30285,2.704475,7.6883,3.519425,5.2102
4.46305,1.339925,2.705825,7.8289,3.588,5.3584
4.7627,1.413925,2.732575,8.559725,3.655975,5.74885
5.0669,1.443475,2.789225,8.639225,3.75695,5.85435
5.106275,1.501725,2.874575,9.248775,3.8196,5.89425
5.126025,1.514725,3.0466,9.640875,3.883775,5.965825
5.2449,1.538825,3.20215,9.6809,3.942575,6.025225
5.3362,1.55705,3.356475,9.696575,3.98835,6.026775
5.386275,1.5774,3.6475,9.884075,4.01845,6.133875
5.432675,1.62135,3.66265,9.998575,4.125975,6.14925
5.640825,1.643075,3.727325,10.300475,4.17075,6.243125
5.816375,1.723425,3.737225,10.4388,4.272625,6.28695
5.8781,1.7453,3.747975,10.481525,4.2972,6.5181
5.93865,1.8111,4.092725,10.5664,4.33235,6.7751
5.991625,1.82585,4.17085,10.8437,4.440775,6.850275
6.044925,1.8285,4.23405,10.9043,4.6196,6.937125
6.167175,1.84465,4.4114,10.958675,4.63755,7.534925
6.20085,1.8524,4.417675,11.0937,4.707275,8.13405
6.297925,1.889125,4.674125,11.178775,4.720375,8.15665
6.365,1.918675,4.75985,11.25615,4.868675,8.180925
6.5555,1.934975,4.9242,11.4042,5.0328,8.1924
6.5724,1.946725,4.9651,11.407,5.074625,8.22445
6.639375,1.9541,5.023175,11.495225,5.3661,8.274175
6.67475,1.978225,5.04115,12.1688,5.408925,8.358775
6.7028,2.240475,5.0715,12.1754,5.4898,8.43345
6.740625,2.27945,5.159,12.186025,5.937175,8.534925
6.78905,2.332325,5.238075,12.50905,5.96205,8.73605
6.813625,2.348625,5.337625,12.5315,6.048,8.7559
6.9745,2.354075,5.3741,12.5334,6.16765,8.859275
7.4349,2.383375,5.426775,12.53705,6.33445,9.24845
7.4955,2.41905,5.64545,12.5545,6.47575,9.69185
7.745675,2.47115,5.655825,12.647275,6.49535,9.740675
7.91605,2.482725,5.877675,12.66955,6.691375,10.38845
8.013825,2.5466,5.89655,12.737975,6.754275,10.421275
8.237325,2.5952,6.0553,13.4443,6.75635,10.564875
8.250875,2.654175,6.140825,13.53745,6.852675,10.6171
8.2721,2.6612,6.27585,13.925725,6.884375,10.638375
8.429225,2.679625,6.355025,13.9561,6.942575,10.8441
8.7954,2.7122,6.407625,14.653825,7.0798,10.873775
8.9339,2.734475,6.441025,14.696575,7.29275,11.2319
8.980225,2.7672,6.580375,14.7095,7.50905,11.23955
9.051225,2.7827,6.620425,14.719,8.092325,11.2467
9.08425,2.807025,6.6808,15.1024,8.1511,11.253
9.338875,2.857875,6.68295,15.13805,8.187175,11.326325
9.481725,2.9105,6.759475,15.2275,8.22965,11.4044
9.8345,2.933,7.19235,15.626925,8.237125,11.454725
9.87675,2.9687,7.243425,15.682875,8.23965,11.4805
9.908525,3.00645,7.4316,15.721125,8.497775,11.570675
9.95135,3.0231,7.46065,16.150425,8.513775,11.688925
9.9606,3.037625,7.486125,16.2313,8.64985,11.80465
10.015175,3.048575,7.9,16.239375,8.8001,11.82625
10.04185,3.0601,8.09045,16.31,8.93025,11.92545
10.07,3.06965,8.17255,16.511075,9.0564,12.1878
10.19265,3.1193,8.17625,16.890125,9.0972,12.19
10.28465,3.14605,8.289275,16.973,9.099225,12.3312
10.44035,3.1545,8.29705,17.042225,9.154725,12.5808
10.71045,3.20345,8.402,17.0592,9.19315,12.634825
10.763325,3.214525,8.43475,17.56515,9.203875,12.688525
11.262425,3.2701,8.504775,17.5698,9.34725,12.845975
11.27555,3.28305,8.671475,17.87285,9.475475,12.913925
11.27665,3.32745,8.867825,17.952375,9.70005,12.952275
11.303275,3.360675,8.940225,17.99795,9.825175,13.245825
11.313375,3.3956,9.17195,18.00555,9.877125,13.520275
11.3728,3.424225,9.20395,18.045325,10.346875,13.6784
11.419175,3.443875,9.250425,18.1064,10.375225,13.7601
11.4558,3.48475,9.272975,18.275825,10.406825,13.776075
11.516325,3.5894,9.349475,18.318675,10.41495,13.79465
11.8251,3.647225,9.532175,18.3601,10.56845,14.006575
12.314575,3.692525,9.67975,18.384425,10.665025,14.117025
12.478775,3.728025,9.6851,18.69495,11.094825,14.281625
12.500625,3.74955,9.69655,18.7049,11.12805,14.338775
12.516275,3.753375,9.7076,18.7993,11.173,14.4818
12.73795,3.780225,9.720725,18.82775,11.192475,14.4922
12.7857,3.790025,9.740525,19.00465,11.2113,14.562025
12.9564,3.808725,9.7463,19.0121,11.224175,14.653475
13.009225,3.817825,9.771925,19.033175,11.25955,14.71875
13.157575,3.82805,9.8457,19.035275,11.44515,14.747825
13.37485,3.835425,9.88405,19.0463,11.8003,14.9369
13.487725,3.84095,10.1119,19.06535,11.88415,15.051425
13.66125,3.9477,10.300475,19.481225,11.926775,15.075
13.70585,3.95265,10.423225,19.51945,12.130875,15.150875
13.7266,3.9722,10.43875,19.820225,12.386125,15.219075
13.776225,3.980925,10.4402,20.328425,12.4327,15.47795
13.8055,4.007575,10.46615,20.395425,12.436125,15.6035
13.8717,4.0254,10.47065,20.88575,12.5312,15.656375
13.88455,4.048625,10.534,21.07665,12.60355,15.673975
13.9505,4.071525,10.566425,21.148175,12.622325,15.67725
14.024575,4.081425,10.632025,21.217625,12.66615,15.761875
14.215125,4.097775,10.760325,21.24415,12.74925,15.7874
14.396275,4.138525,10.818975,21.26215,12.8087,15.9522
14.40935,4.1701,10.833475,21.388775,12.828375,15.977525
14.423925,4.179475,10.846775,21.433025,13.17115,16.10465
14.483125,4.195775,10.990475,21.525275,13.451125,16.14
14.6316,4.369625,11.130075,21.738625,13.5221,16.2848
14.656675,4.5118,11.192475,21.775925,13.73805,16.31355
14.795675,4.648775,11.455375,22.24965,13.985325,16.765275
15.0469,4.676525,11.493025,22.26875,14.04485,16.953275
15.141275,4.71355,11.495225,22.327725,14.2584,17.0471
15.153225,4.74135,11.53925,22.3448,14.33425,17.132775
15.173325,4.804325,11.775575,22.595325,14.3774,17.1646
15.221825,4.824625,11.92045,23.117,14.409775,17.1802
15.24125,4.839375,12.28115,23.138675,14.559425,17.251325
15.358725,4.9017,12.29985,23.14125,14.57055,17.524
15.512375,4.936825,12.321575,23.188025,14.604325,18.13565
