SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC13a,SPK_SPKC13b,SPK_SPKC15a
400.01455,400.017025,400.057075,400.023275,400.0334
400.032175,400.02915,400.0877,400.02885,400.059225
400.048575,400.0335,400.127175,400.042675,400.093325
400.07715,400.036325,400.24445,400.0648,401.061175
400.088575,400.0451,400.332525,400.084075,401.4306
400.097475,400.053075,400.371575,400.094325,401.710525
400.109225,400.0634,400.38825,400.109425,402.272225
400.135475,400.083525,400.40875,400.120175,402.664425
400.15045,400.09325,400.4415,400.129975,402.753275
400.167375,400.113,400.457475,400.13785,402.786875
400.1818,400.121175,400.4779,400.148,402.9748
400.197325,400.13015,400.53205,400.1566,402.99195
400.2282,400.1503,400.552275,400.181825,403.02635
400.257675,400.1786,400.599925,400.189475,403.053825
400.27015,400.191625,400.757,400.207125,403.089125
400.27935,400.218475,400.772975,400.213775,403.266325
400.282425,400.236575,400.81755,400.223525,403.319875
400.28455,400.259225,400.844875,400.229475,403.329575
400.2882,400.270025,400.913125,400.23655,403.345225
400.2996,400.276275,400.938725,400.242925,403.354175
400.305725,400.284875,400.957675,400.250825,403.78325
400.3108,400.29595,401.063275,400.259275,404.0389
400.32235,400.30645,401.12285,400.267725,405.182875
400.346125,400.32025,401.158325,400.275275,405.208275
400.365775,400.325925,401.168225,400.286675,405.442375
400.3936,400.3499,401.21225,400.291125,405.45995
400.407275,400.363025,401.231875,400.296075,405.475775
400.4149,400.37045,401.24805,400.29965,405.481925
400.419475,400.392375,401.26875,400.3046,405.493475
400.42775,400.4031,401.295775,400.30935,405.507575
400.4334,400.4114,401.32195,400.3155,405.52865
400.43825,400.418775,401.346675,400.321875,405.9699
400.44455,400.4276,401.4389,400.328925,405.9876
400.45155,400.444825,401.468125,400.342425,406.0122
400.458775,400.45525,401.556325,400.3532,406.037675
400.462675,400.46985,401.6273,400.364375,406.0924
400.467675,400.4873,401.641175,400.38045,406.62175
400.479675,400.50315,401.711,400.396275,406.657375
400.49215,400.511275,401.72165,400.412125,406.67655
400.5035,400.51285,401.736625,400.42665,406.68225
400.5122,400.529175,401.805,400.44665,406.687175
400.518225,400.5386,401.8478,400.464075,406.6913
400.522525,400.557775,401.863925,400.472,406.7056
400.5322,400.56615,401.87855,400.4833,406.713475
400.5421,400.583525,401.892575,400.488925,406.929475
400.5464,400.598475,401.905025,400.498025,406.93875
400.5591,400.60675,401.9175,400.5062,406.9666
400.56935,400.648625,401.935775,400.523925,406.977225
400.586775,400.659225,401.989925,400.5379,406.987975
400.596725,400.6722,402.0187,400.548425,407.015725
400.602475,400.683425,402.02985,400.562175,407.0298
400.6092,400.6877,402.042575,400.5798,407.083875
400.6135,400.721425,402.05215,400.5898,407.3721
400.62705,400.7383,402.1057,400.607975,407.4147
400.653275,400.742225,402.1654,400.60905,407.433825
