SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC10a
400.0087,400.023475,400.01135
400.0551,400.147675,400.0717
400.1139,400.39375,400.1209
400.226725,400.4751,400.18505
400.334325,400.553825,400.2477
400.4004,400.581875,400.365025
400.451775,400.746425,400.432725
400.467775,400.85285,400.5008
400.50385,400.938625,400.5456
400.56,400.9936,400.6287
400.641575,401.035275,400.69745
400.686375,401.198425,400.789425
400.816975,401.42685,400.8202
400.892325,401.50825,400.947025
400.914925,401.5757,400.9808
400.942525,401.667675,401.15935
400.9563,401.749375,401.2212
400.975475,401.857525,401.3034
401.02295,401.949875,401.42405
401.068325,401.978025,401.6632
401.133675,402.05435,401.6982
401.179625,402.117925,401.78115
401.224875,402.1769,402.016725
401.2678,402.287575,402.0827
401.281825,402.3973,402.13285
401.299525,402.477775,402.166825
401.31585,402.5059,402.190525
401.354075,402.541275,402.238725
401.40205,402.66155,402.265425
401.483125,402.730675,402.305525
401.53165,402.9004,402.37585
401.55985,402.946225,402.44865
401.594375,403.108825,402.5556
401.6252,403.17635,402.73525
401.66985,403.241225,402.808575
401.73065,403.27905,402.841725
401.7956,403.316275,402.9076
401.898025,403.455,402.98825
401.95745,403.55115,403.1035
402.0027,403.765925,403.1411
402.035775,403.820975,403.1925
402.092975,404.1514,403.216525
402.1733,404.230475,403.24435
402.2175,404.404325,403.35465
402.24505,404.504925,403.4144
402.269925,404.614925,403.460975
402.3103,404.720675,403.516875
402.3783,404.817675,403.610475
402.44655,404.89765,403.67395
402.49015,404.999275,403.73725
402.5105,405.113475,403.82815
402.5224,405.185225,403.955175
402.53705,405.360325,404.1492
402.566225,405.4255,404.18995
402.582025,405.5317,404.25805
402.61275,405.639225,404.417875
402.642525,405.6936,404.505575
402.663575,405.724125,404.613075
402.68835,405.8064,404.7247
402.710225,405.95975,404.811325
402.741625,406.0516,404.909225
402.762025,406.27505,404.979175
402.7881,406.38175,405.174575
402.82675,406.460025,405.22985
402.88315,406.54135,405.29175
402.920575,406.677875,405.3363
402.966425,406.752075,405.446
403.033225,407.017025,405.541125
403.103325,407.093275,405.671725
403.1767,407.258525,405.7254
403.218375,407.359375,405.767175
403.2388,407.45415,405.8161
403.259675,407.616625,405.897175
403.2789,407.636875,405.970375
403.290425,407.672625,406.0328
403.31165,407.995275,406.195675
403.3322,408.073575,406.279575
403.347025,408.206625,406.33055
403.42035,408.319375,406.37875
403.456675,408.355725,406.444125
403.530075,408.388675,406.531275
403.673875,408.4954,406.5766
403.7459,408.586675,406.63445
403.763575,408.787925,406.699275
403.778625,408.90975,406.77895
403.7988,409.00665,406.832925
403.8244,409.0255,406.9573
403.874275,409.143525,407.00165
403.903075,409.250425,407.067275
403.9395,409.298625,407.1256
403.961325,409.659175,407.192225
403.995825,409.722275,407.29315
404.040325,409.8195,407.3672
404.084725,409.916975,407.440375
404.163475,409.970325,407.472325
404.198025,410.021,407.507975
404.216625,410.14275,407.578375
404.2532,410.2356,407.629875
404.27425,410.3344,407.642375
