SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC12b
630.021375,630.004475,630.001125,630.0841
630.0348,630.0859,630.024575,630.146175
630.0418,630.092275,630.05265,630.1704
630.05415,630.111575,630.059625,630.514975
630.0638,630.141425,630.071975,630.5477
630.069825,630.15385,630.0964,630.652625
630.099875,630.370475,630.107125,630.703125
630.23765,630.379175,630.18635,630.7349
630.27725,630.394675,630.1875,630.7593
630.322975,630.4056,630.3502,630.834375
630.374625,630.4377,630.382225,631.132
630.414925,630.623275,630.385,631.324075
630.4228,630.70015,630.386225,631.328925
630.45345,630.710775,630.394975,631.4512
630.519675,630.7953,630.396525,631.475175
630.6012,630.817675,630.4165,631.80365
630.6464,630.890575,630.422525,631.883325
630.68485,630.8976,630.427575,631.899375
630.7417,630.918075,630.4616,631.913075
630.753575,630.957575,630.4743,631.942625
630.76925,630.9802,630.50175,631.9464
630.783975,631.084475,630.525925,632.2141
630.8402,631.117325,630.5891,632.330975
630.854725,631.163125,630.611725,632.35435
630.864775,631.285475,630.63215,632.399925
630.874625,631.34775,630.6668,632.444725
630.930775,631.404425,630.67355,632.478725
631.2959,631.434225,630.68975,632.5879
631.323375,631.54455,630.728025,632.688525
631.329675,631.55825,630.748325,632.70115
631.339,631.8945,630.78305,632.71385
631.362375,631.948575,630.79565,632.780275
631.3866,631.9857,630.8245,632.915525
631.49915,632.0275,630.826375,633.0536
631.529375,632.038025,630.863325,633.121025
631.549575,632.054075,630.92085,633.167475
631.5553,632.070675,630.929025,633.2286
631.566525,632.076225,631.030625,633.468175
631.5746,632.088525,631.03395,633.800425
631.5914,632.114725,631.10625,633.844975
631.63645,632.12195,631.3035,633.882075
631.71365,632.141625,631.317025,634.2298
631.7371,632.1542,631.334325,634.2355
631.81545,632.161675,631.337025,634.278225
631.91995,632.175825,631.350575,634.304
631.9633,632.196175,631.362675,634.350275
631.971,632.21075,631.3685,634.43005
632.130275,632.22885,631.3875,634.58715
632.1699,632.26595,631.4318,634.603525
632.1902,632.3019,631.48905,634.6134
632.4387,632.3478,631.52355,634.6574
632.560275,632.37635,631.5323,634.698925
632.567425,632.476175,631.566225,634.757225
632.575125,632.54435,631.672375,634.7785
632.629625,632.57245,631.80875,634.822075
632.6338,632.57925,631.92775,634.92295
632.70625,632.597175,631.9373,635.00635
633.047175,632.610775,631.955625,635.016975
633.050225,632.6183,632.03765,635.100325
633.224125,632.672425,632.04715,635.147425
633.269375,632.7227,632.08305,635.5286
633.39175,632.7481,632.0909,635.5941
633.3957,632.8109,632.126625,635.6063
633.408725,632.85435,632.143025,635.658075
633.446,632.98475,632.1654,635.6971
633.5072,633.0086,632.172775,635.755425
633.59145,633.0257,632.21625,635.794175
633.765525,633.034475,632.25195,635.801675
633.7697,633.038775,632.296725,635.81635
633.78325,633.054975,632.3115,635.89935
633.83085,633.06055,632.388025,636.06775
633.964125,633.064975,632.544675,636.127025
633.98605,633.1182,632.577625,636.18435
634.0182,633.133875,632.598875,636.20115
634.083725,633.333825,632.62775,636.2596
634.19865,633.367025,632.654675,636.33265
634.21955,633.38045,632.70005,636.4489
634.2677,633.3852,632.746125,636.623075
634.2938,633.399325,632.756975,637.010225
634.421175,633.402025,632.76655,637.28785
634.534575,633.4148,632.78675,637.342775
634.57865,633.422825,632.8252,637.397825
634.626825,633.43775,632.850375,637.47365
634.642975,633.4506,632.85775,637.497925
634.66475,633.4613,632.8736,637.5394
634.7133,633.470175,632.930775,637.593375
634.7978,633.4901,633.05085,637.629475
634.865775,633.499325,633.08155,637.641425
634.891225,633.534175,633.083075,637.67195
635.03065,633.5548,633.11115,637.70445
635.049,633.60575,633.163575,637.731175
635.074075,633.67115,633.203925,637.908425
635.22555,633.69695,633.2064,638.451525
635.266675,633.7394,633.23515,638.711825
635.334525,633.787925,633.26705,638.7311
635.366925,633.794375,633.271525,638.841425
635.3797,633.812125,633.4089,638.901775
635.42255,633.820575,633.429275,638.93095
635.471725,633.845325,633.45915,638.944225
635.4863,633.848225,633.517875,638.99205
635.651025,633.86605,633.5284,639.017425
635.71025,633.881375,633.542825,639.074725
635.736325,633.8946,633.575225,639.54595
635.7989,633.910875,633.6113,639.58465
635.8117,633.920975,633.6264,639.642175
635.817625,633.9341,633.640625,639.6818
636.156375,634.047525,633.67415,639.811525
636.20475,634.155075,633.691075,639.869875
636.23895,634.170275,633.7074,639.887425
636.25505,634.224675,633.78345,639.9116
636.263725,634.243025,633.79665,639.92035
636.279875,634.25605,633.8204,639.93035
636.3052,634.304425,633.828625,639.938625
636.3319,634.33525,633.854975,640.00705
636.40955,634.3819,633.895675,640.045475
636.447975,634.45045,633.922075,640.449275
636.45825,634.480025,633.9405,640.47755
636.490975,634.554825,633.956375,640.511175
636.557125,634.588475,634.015,640.62755
636.5909,634.6114,634.0161,640.731225
636.813275,634.61955,634.0657,640.804525
636.924625,634.6325,634.1562,640.87835
636.969825,634.68145,634.172925,641.008175
636.981425,634.7003,634.18965,641.054025
637.028525,634.730275,634.202175,641.07845
637.04065,634.73835,634.215825,641.096975
637.1495,634.820975,634.2519,641.116475
637.165525,634.842575,634.25505,641.158025
637.18595,634.87755,634.276375,641.168825
637.1985,634.91145,634.291725,641.2614
637.21015,634.9346,634.31485,641.2916
637.3172,634.9724,634.42795,641.299575
637.5192,634.99805,634.595375,641.397125
637.541825,635.01125,634.596825,641.40625
637.6039,635.0988,634.63085,641.42135
637.806175,635.1114,634.632125,641.540025
637.852375,635.1516,634.6348,641.5843
637.8875,635.1627,634.6771,641.65305
637.93925,635.181,634.72035,641.6794
637.9949,635.1913,634.721875,641.69895
638.011325,635.20945,634.73255,641.717475
638.057975,635.291075,634.7399,642.024075
638.230525,635.31255,634.7558,642.03455
638.252925,635.39265,634.8013,642.049675
638.256575,635.41025,634.806,642.087175
638.274275,635.4412,634.855375,642.113325
638.336225,635.456875,634.876275,642.1277
638.3863,635.52105,634.9258,642.173375
638.529425,635.554125,634.955725,642.199675
638.67085,635.5709,634.96155,642.253475
638.7476,635.588025,634.98505,642.2747
638.8091,635.615525,635.0144,642.286
638.829175,635.6381,635.029025,642.36245
638.86245,635.663325,635.040175,642.553075
638.921675,635.6717,635.060225,642.5868
638.9563,635.678825,635.0677,642.6076
638.979825,635.698425,635.076825,642.98085
639.07205,635.744125,635.103625,643.003225
639.14735,635.76835,635.118525,643.0459
639.171375,635.841925,635.16115,643.1509
639.249275,635.925125,635.1777,643.17995
639.328425,635.942125,635.20485,643.19435
639.383825,635.9637,635.245025,643.26145
639.5198,636.027625,635.279125,643.47145
639.704925,636.037,635.2916,643.51175
639.79725,636.055075,635.33555,643.5388
639.957425,636.208375,635.35475,643.5548
639.98495,636.223575,635.36945,643.605725
640.0246,636.299,635.387225,643.61455
640.07805,636.3216,635.413,643.66595
640.175275,636.399325,635.442175,643.690075
640.4251,636.422625,635.4846,643.704275
640.499175,636.440325,635.51335,643.858975
640.6241,636.473875,635.51635,643.930325
640.80215,636.514725,635.551275,644.05135
640.954575,636.527625,635.552875,644.074725
641.00145,636.5496,635.567075,644.150675
641.219825,636.604275,635.60255,644.277775
641.255125,636.625675,635.649225,644.3046
641.272225,636.6377,635.7114,644.3461
641.332925,636.64545,635.7476,644.37735
641.37845,636.652775,635.7651,644.546475
641.4093,636.67265,635.775575,644.727125
641.480475,636.678225,635.8713,644.773775
641.576125,636.7019,635.87515,644.816475
641.7137,636.71465,635.959725,644.8873
641.7555,636.743675,635.9849,644.97265
641.7999,636.7685,635.999875,645.021975
641.865725,636.837,636.03405,645.059475
641.949775,636.87025,636.0638,645.0682
642.0017,636.91065,636.108925,645.2225
642.0255,636.94015,636.12035,645.297575
642.06655,636.949325,636.1507,645.549025
642.090375,636.991875,636.1773,645.69395
642.2047,637.012625,636.1796,645.7739
642.317675,637.09235,636.225575,645.89805
642.35635,637.11675,636.23945,645.97335
642.371325,637.17985,636.25375,646.045875
642.416,637.226175,636.2954,646.1546
642.43435,637.3641,636.305975,646.165675
642.503375,637.3907,636.3371,646.172225
642.59075,637.4773,636.3608,646.19035
642.6238,637.51045,636.413325,646.222575
642.71135,637.554275,636.43395,646.2836
642.772,637.574275,636.4565,646.319175
643.132025,637.58205,636.4878,646.347525
643.1413,637.59405,636.510825,646.360375
643.15375,637.608725,636.53705,646.442725
643.23135,637.624775,636.538575,646.519575
643.2737,637.645025,636.54915,646.614725
643.3979,637.660575,636.56805,646.696625
643.470775,637.678275,636.59705,646.70635
643.511125,637.688075,636.620125,646.764575
643.541875,637.70825,636.64175,647.095675
643.546625,637.723075,636.658975,647.13205
643.580825,637.7331,636.66455,647.204675
643.6012,637.7623,636.69,647.259425
643.993125,637.828675,636.71855,647.488925
644.054825,637.870025,636.719775,647.501675
644.12135,637.8743,636.75945,647.5847
644.2164,637.8993,636.86715,647.6455
644.240525,637.907975,636.898,647.6623
644.25185,637.95865,636.92275,647.74805
644.26205,637.969575,636.965275,648.0249
644.274325,637.987325,636.9834,648.0471
644.66135,638.03935,637.007775,648.094325
644.676325,638.053675,637.0388,648.21545
644.6896,638.0937,637.058975,648.2896
644.7673,638.1283,637.1458,648.3096
644.948675,638.180375,637.18835,648.326075
644.9666,638.248425,637.216075,648.34315
