SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC01c,SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC16a
0.005875,0.030725,0.09645,0.130375,0.0402,0.01955,0.0528,0.253575,0.245425
0.021075,0.069,0.16785,0.19935,0.07065,0.05245,0.065225,0.3126,0.295425
0.050475,0.124375,0.1997,0.38685,0.093025,0.0776,0.092375,0.351225,0.3595
0.0856,0.17015,0.2758,0.591825,0.107625,0.134375,0.100275,0.714725,0.7816
0.110525,0.235775,0.30325,0.739425,0.155425,0.1537,0.159075,0.777675,0.919975
0.142375,0.2558,0.32195,0.826125,0.22005,0.17795,0.247225,0.80645,1.296625
0.1589,0.348325,0.42095,1.0389,0.23495,0.1964,0.367375,1.1081,1.649525
0.1859,0.363,0.582175,1.1081,0.26635,0.251075,0.399225,1.173775,2.191225
0.195925,0.4049,0.61135,1.15765,0.301025,0.252975,0.460475,1.232375,2.2337
0.19855,0.418725,0.743575,1.493875,0.3259,0.2676,0.48455,1.270975,2.25065
0.21265,0.484975,0.942675,1.534825,0.370975,0.2829,0.50845,1.371925,2.262475
0.2272,0.52265,1.141525,1.5635,0.41145,0.297875,0.661425,1.62175,2.3337
0.243125,0.555125,1.227725,1.5744,0.465725,0.3132,0.711175,1.684775,2.873025
0.25815,0.668525,1.2303,1.63925,0.496675,0.378775,0.777575,1.7274,2.943775
0.273875,0.70415,1.26375,1.68735,0.5382,0.4236,0.873125,1.79695,2.962325
0.28555,0.71555,1.312725,2.064325,0.620825,0.4527,0.953425,1.974675,3.100225
0.29115,0.72805,1.46435,2.34795,0.67065,0.49585,0.96725,2.14705,3.23625
0.308275,0.834425,1.561675,2.670225,0.690175,0.5163,0.981175,2.2701,3.340475
0.327675,0.8623,1.582675,2.788875,0.7198,0.53775,1.183325,2.369375,3.3923
0.349325,0.90045,1.775425,2.98525,0.761,0.55775,1.273375,2.437925,3.43615
0.366475,0.97945,1.818025,3.064125,0.791125,0.581475,1.3087,2.54535,3.4691
