SPK_SPKC09a,SPK_SPKC09b
400.035725,400.079525
400.052475,400.198325
400.070875,400.57715
400.13105,400.7081
400.175625,400.772925
400.205825,400.798
400.25425,400.9405
400.271,401.0372
400.33115,401.0608
400.353625,401.088675
400.3742,401.241725
400.40315,401.269125
400.4096,401.565675
400.413325,401.647025
400.427125,401.6982
400.50665,401.7082
400.6032,401.738825
400.6336,401.78635
400.6633,401.814425
400.689375,401.9286
400.703875,402.0988
400.7469,402.143725
400.814,402.21635
400.83065,402.365025
400.84045,402.406575
400.847075,402.4533
400.8563,402.630525
400.86995,402.6479
400.894625,402.667675
400.94305,402.674025
401.00065,402.759725
401.02615,402.87545
401.101775,402.9985
401.11585,403.037175
401.161725,403.074275
401.17605,403.17805
401.271725,403.2144
401.295175,403.234175
401.331175,403.246025
401.34165,403.3612
401.4057,403.436675
401.441525,403.443825
401.473775,403.5992
401.50035,403.6947
401.518525,403.739625
401.541575,403.76495
401.575375,403.77935
401.586975,403.783475
401.606575,404.059
401.635425,404.232175
401.8666,404.316925
401.88825,404.3294
401.944375,404.4186
401.982175,404.466925
402.081675,404.5185
402.102125,404.528175
402.12725,404.55705
402.14845,404.67805
402.1907,404.718475
402.301925,404.795625
402.3354,404.8145
402.360225,404.916575
402.398075,404.924175
402.420625,405.1164
402.43025,405.37815
402.43395,405.574575
402.575325,405.599675
402.606,405.940075
402.821225,406.182525
402.88725,406.4772
402.918225,406.8014
403.045,408.0007
403.110025,408.00955
403.1523,408.03575
403.164425,408.0994
403.20955,408.3831
403.220575,408.734825
403.2243,408.861725
403.2712,408.8777
403.324825,409.159525
403.328625,409.223125
403.351625,409.71325
403.408,409.882625
403.4143,409.949675
403.457675,409.98815
403.46945,410.13305
403.54555,410.389975
403.55135,410.402925
403.62155,410.40715
403.714275,410.420425
403.723475,410.4244
403.8957,410.562875
403.929,410.638025
403.97545,410.747475
404.009175,410.925875
404.106475,410.9379
404.1545,410.95665
404.249775,410.9689
404.2589,411.1005
404.2719,411.132625
404.30845,411.163575
404.325075,411.23635
404.335575,411.2525
404.348425,411.48915
404.36855,411.514175
404.397825,411.5672
404.41105,411.648025
404.462675,411.707175
404.48825,411.78795
404.5409,411.858125
404.57305,411.88755
404.59995,411.8927
404.6953,412.246575
404.736275,412.264975
404.754175,412.42735
404.77495,412.46865
404.889325,412.70035
404.908825,412.895675
404.973725,412.925375
404.984225,413.050475
405.045725,413.074
405.06195,413.14885
405.101,413.425425
405.1134,413.44945
405.128225,413.837625
405.2289,413.886825
405.2441,414.082275
405.2756,414.273225
405.300375,414.57145
405.346325,414.934875
405.4317,414.9907
405.46545,415.01735
405.47715,415.03115
405.484775,415.236675
405.5147,415.368925
405.569975,415.457375
405.677475,415.496725
405.697225,415.537625
405.70315,415.580675
405.7864,415.6413
405.837075,415.753
405.84605,415.879325
405.852175,416.0497
405.962175,416.09735
406.081625,416.146525
406.09735,416.2471
406.131725,416.260425
406.1414,416.36435
406.15805,416.512975
406.199725,416.5178
406.215175,416.524625
406.227425,416.559525
406.253975,416.574125
406.28835,416.653375
406.33555,416.7673
406.405125,416.911475
406.527025,416.9417
406.533925,416.9728
406.564475,417.042375
406.586275,417.046275
406.5915,417.143225
406.6206,417.264225
406.65825,417.274375
406.6852,417.3324
406.756225,417.364275
406.77825,417.4119
406.8529,417.5003
406.8679,417.56785
406.998925,417.692625
407.014875,417.70585
407.056225,417.82505
407.0607,417.853725
407.091375,417.971425
407.111325,418.01045
407.149575,418.3519
407.180225,418.54965
407.203525,418.60475
407.234825,418.615575
407.2746,418.774375
407.33945,418.9912
407.425075,419.011725
407.4548,419.0254
407.477075,419.211
407.50485,419.233225
407.612725,419.51895
407.707925,419.604125
407.7603,419.632575
407.80365,419.76365
407.822075,419.786725
407.843175,419.897125
407.8716,419.944675
407.8884,419.967525
407.912675,419.971425
407.931975,420.070075
407.956925,420.087325
407.979125,420.14485
408.053675,420.1818
408.0776,420.384375
408.0905,420.39825
408.14245,420.77335
408.20275,420.83465
408.256775,421.012875
408.275275,421.0337
408.278025,421.06005
408.30215,421.091275
408.3303,421.099175
408.339575,421.349975
408.424875,421.4805
408.499275,421.533675
408.5453,422.121675
408.69585,422.12505
408.70825,422.215825
408.75465,422.358925
408.77455,422.43025
408.791175,422.4372
408.804725,422.487375
408.8562,422.83925
408.918325,422.884525
408.9342,422.950875
408.9821,423.059375
409.049025,423.2459
409.0671,423.275875
409.095275,423.281275
409.102125,423.30935
409.1379,423.5912
409.15565,423.8378
409.1819,424.035575
409.207575,424.5854
409.232425,424.6294
409.298425,424.841525
409.3781,425.04605
409.391975,425.094775
409.4119,425.741625
409.43535,425.917275
409.4514,426.100125
409.4821,426.151225
409.49475,426.18635
409.51275,426.20965
409.526175,426.223775
409.57365,426.33415
409.620575,426.476075
409.6666,426.48585
409.685425,426.553875
409.68945,426.585975
409.732525,426.61165
409.756225,426.684125
409.7742,426.82835
409.8004,426.852675
409.83845,427.003275
409.841575,427.01795
409.900625,427.0743
409.912825,427.08025
409.930675,427.094975
409.9918,427.204525
410.005425,427.283725
410.0591,427.337425
410.10335,427.4106
410.12055,427.512125
410.1631,427.624525
410.205,427.638625
410.234825,427.800475
410.259675,427.81195
410.293275,428.320175
410.31425,428.372975
410.33715,428.38225
410.38605,428.531325
410.4353,428.56395
410.44915,428.857775
410.489675,429.068975
410.5258,429.0837
410.539125,429.147675
410.5519,429.251275
410.6311,429.2611
410.649825,429.31615
410.67905,429.334525
410.7177,429.352975
410.811075,429.462175
410.836225,429.63145
410.875525,429.643475
410.899325,429.6555
410.99485,429.714925
411.007825,429.794075
411.02815,429.9065
411.031675,429.93955
411.034825,429.963425
411.0707,429.981125
411.121575,430.038975
411.15305,430.1746
411.180175,430.29765
411.21015,430.339275
411.282125,430.46645
411.324425,430.492225
411.362025,430.883175
411.393775,430.92245
411.4115,430.937975
411.427375,430.964775
411.44485,430.9761
411.553275,430.99855
411.592925,431.02505
411.63865,431.08915
411.6884,431.098275
411.800525,431.113275
411.805475,431.141375
411.8301,431.227875
411.85005,431.2625
411.880275,431.34625
411.898175,431.3568
412.0209,431.361225
412.0393,431.43885
412.149725,431.454175
412.170875,431.549925
412.202225,431.68855
412.209675,431.844025
412.214325,432.017525
412.441625,432.371875
412.45455,432.3934
412.485575,432.403575
412.49035,432.41705
412.504825,432.4238
412.5964,432.4425
412.660225,432.454
412.684475,432.461375
412.72175,432.4736
412.751075,432.4875
412.797675,432.532475
412.845575,432.57455
412.874225,432.692425
412.986625,432.70325
413.03525,432.72955
413.1174,432.74775
413.193175,432.8067
413.225325,432.914925
413.262625,432.922325
413.2724,433.036625
413.312125,433.1713
413.326475,433.30425
413.3536,433.697675
413.382375,433.752175
413.4732,433.774475
413.492075,433.7902
413.521075,433.796525
413.607925,434.048375
413.6451,434.102
413.68135,434.227625
413.688275,434.24995
413.71615,434.291075
413.75825,434.491575
413.7779,434.559625
413.9301,434.573475
413.964825,434.622625
413.991275,434.7246
414.025475,434.807
414.10845,434.8662
414.15025,435.26795
414.1846,435.3517
414.20835,435.51095
414.309575,435.589075
414.341825,435.804475
414.368925,435.839475
414.41675,435.929575
414.434525,436.1183
414.482175,436.3609
414.505925,436.382725
414.6021,436.387025
414.62965,436.397925
414.6588,436.415225
414.7137,436.564875
414.746275,436.638075
414.77205,436.6731
414.81845,436.72095
414.8418,436.78535
414.9076,436.85525
414.955325,436.8655
414.96535,436.904025
415.1528,437.0088
415.1843,437.03665
415.2169,437.066025
415.3262,437.125475
415.387225,437.2796
415.407875,437.37855
415.4185,437.4144
415.441675,437.492525
415.467425,437.552975
415.5058,437.58065
415.572075,437.718875
415.61235,437.8716
415.72215,437.8928
415.8289,438.00025
415.832875,438.0306
415.925975,438.061075
415.969525,438.2086
416.0055,438.31055
416.0784,438.708625
416.1137,438.73255
416.125625,438.8287
416.1833,438.906375
416.191025,438.930675
416.212975,438.99935
416.29475,439.057875
416.343575,439.09415
416.38585,439.297775
416.3985,439.550075
416.479575,439.7129
416.4847,439.95335
416.50865,439.989975
416.540025,440.154875
416.58765,440.219625
416.603275,440.22545
416.618875,440.27125
416.658175,440.32785
416.682025,440.3572
416.7065,440.44565
416.73225,440.5071
416.776025,440.569075
416.840475,440.638425
416.865475,440.642125
416.88835,440.8003
416.926625,440.9558
416.955425,440.983525
417.038625,441.006375
417.08275,441.030175
417.087375,441.405575
417.11175,441.4532
417.151225,441.572925
417.1845,441.6441
417.244575,442.0241
417.2958,442.029775
417.344875,442.096575
417.3869,442.1463
417.40625,442.229375
417.43845,442.5699
417.4536,442.606375
417.46495,442.66325
417.4757,442.771925
417.523825,442.802425
417.5556,442.847675
417.62895,442.91445
417.63885,443.0297
417.6754,443.045675
417.731525,443.164425
417.738525,443.24295
417.74485,443.48775
417.764425,443.502775
417.800875,443.636225
417.808675,443.723125
417.8176,443.7481
417.8352,443.776925
417.865175,443.795675
417.9265,443.818275
417.94445,444.109475
418.060525,444.125775
418.07215,444.1471
418.0906,444.184725
418.112775,444.34675
418.160675,444.78695
418.1653,445.026525
418.1755,445.06185
418.26145,445.085825
418.314975,445.137175
418.3334,445.150125
418.33835,445.20085
418.4175,445.271375
418.456925,445.4958
418.55505,445.53145
418.567475,445.59905
418.571625,445.625925
418.584975,445.724225
418.626825,445.9378
418.6931,445.9611
418.704875,446.0121
418.731175,446.036425
418.754,446.087025
418.8003,446.113475
418.81935,446.238325
418.846875,446.561325
418.933925,446.895975
418.973975,446.9571
419.001475,446.9864
