SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3200.0502,3200.36215,3200.049675,3200.01615,3200.0845
3200.4696,3200.42975,3200.065775,3200.04965,3200.239075
3200.546225,3200.440325,3200.14395,3200.06585,3200.3814
3200.774025,3200.49125,3200.2886,3200.0946,3200.40585
3200.8834,3200.586575,3200.309375,3200.12165,3200.5508
3200.9798,3200.604825,3200.420925,3200.150675,3200.62905
3201.086,3200.615,3200.4343,3200.166475,3200.6633
3201.38525,3200.825375,3200.4392,3200.188425,3200.866925
3201.524825,3200.9552,3200.447625,3200.30935,3200.93925
3201.86175,3201.0213,3200.459075,3200.340825,3201.153325
3201.97375,3201.040925,3200.48945,3200.35995,3201.33825
3202.08155,3201.291375,3200.517025,3200.378925,3201.410675
3202.1319,3201.40415,3200.547275,3200.421,3201.752425
3202.20045,3201.4178,3200.5561,3200.434275,3201.916575
3202.908175,3201.63085,3200.762525,3200.44765,3202.057225
3202.92485,3201.64135,3200.771625,3200.469025,3202.2286
3203.168875,3201.76765,3200.90375,3200.49505,3202.567725
3203.571125,3201.9156,3200.920325,3200.5025,3202.5967
3203.671475,3202.042075,3200.93045,3200.509825,3202.804875
3204.013475,3202.264275,3200.943275,3200.54295,3203.115625
3204.05845,3202.40815,3200.9736,3200.547225,3203.161375
3204.1778,3202.54445,3200.976475,3200.552175,3203.206475
3204.539125,3202.596725,3201.000825,3200.608775,3203.2147
3204.719175,3202.77935,3201.053725,3200.62595,3203.2325
3204.9347,3202.8953,3201.10095,3200.635,3203.4866
3205.2374,3202.944775,3201.11495,3200.6503,3203.564425
3205.353825,3203.213625,3201.156275,3200.6793,3203.6434
3205.649625,3203.400675,3201.168375,3200.685025,3203.8391
3206.095225,3203.41695,3201.189075,3200.710975,3203.876175
3206.4637,3203.455775,3201.209125,3200.7248,3203.90835
3206.490225,3203.783375,3201.22015,3200.736475,3203.982
3206.662325,3203.82045,3201.227775,3200.781575,3204.11325
3206.664225,3203.8883,3201.317725,3200.78875,3204.19155
3206.6702,3203.9251,3201.32915,3200.811575,3204.44225
3206.67535,3203.978375,3201.3984,3200.824675,3204.46885
3206.832925,3203.982,3201.4005,3200.920425,3204.513
3207.22025,3204.034825,3201.421975,3200.930525,3204.705475
3207.298075,3204.0405,3201.448475,3200.988925,3204.7243
3208.495,3204.071725,3201.55655,3201.01385,3204.754925
3208.566575,3204.267025,3201.568525,3201.0328,3204.87725
3208.61885,3204.4464,3201.643775,3201.0382,3204.91185
3209.03895,3204.68165,3201.8305,3201.077875,3204.9585
3209.090425,3204.69925,3201.868,3201.08075,3204.9789
3209.17035,3204.85285,3201.877875,3201.115,3204.99605
3209.2934,3204.989875,3201.89205,3201.125225,3205.041575
3209.82255,3205.0708,3201.907825,3201.14645,3205.070825
3209.860575,3205.175175,3201.931775,3201.150125,3205.2249
3209.883325,3205.345175,3202.0917,3201.156375,3205.302225
3209.90545,3205.568075,3202.137275,3201.1756,3205.359075
