SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC10a
400.00565,400.15675,400.017875
400.01745,400.178975,400.03525
400.033475,400.2516,400.0582
400.0492,400.298675,400.074875
400.070875,400.321275,400.089225
400.082875,400.3355,400.127425
400.09795,400.3604,400.1751
400.1204,400.369825,400.2185
400.13755,400.448975,400.258925
400.1486,400.475525,400.2974
400.161975,400.4975,400.327675
400.179375,400.51385,400.333075
400.212,400.5417,400.33905
400.2282,400.625,400.36195
400.262625,400.672825,400.3926
400.29565,400.6972,400.398925
400.304125,400.73155,400.40845
400.3108,400.793,400.418175
400.317175,400.88295,400.435675
400.32095,400.9255,400.478125
400.326225,400.9477,400.522625
400.3321,400.9626,400.5318
400.344025,401.004225,400.55475
400.35065,401.013075,400.5844
400.356725,401.04675,400.5991
400.362025,401.084875,400.61145
400.368175,401.158175,400.6442
400.384925,401.19165,400.668225
400.393125,401.3174,400.680425
400.40105,401.36195,400.735975
400.411025,401.466875,400.7649
400.44165,401.5504,400.814325
400.45625,401.587875,400.8823
400.46865,401.614875,400.90845
400.48635,401.642475,400.939325
400.506725,401.7419,400.946425
400.520925,401.7759,400.9512
400.5324,401.8038,400.959075
400.54905,401.8747,400.987425
400.561625,401.935425,401.00075
400.579325,401.988175,401.012575
400.59695,402.0176,401.03565
400.6183,402.05085,401.040125
400.64485,402.082125,401.07525
400.67515,402.107525,401.090925
400.698125,402.15545,401.130975
400.7137,402.2617,401.153075
400.737675,402.311425,401.19705
400.754625,402.350625,401.2104
400.77565,402.418,401.2275
400.792375,402.4432,401.268525
400.821475,402.502375,401.28365
400.843325,402.525625,401.341925
400.86835,402.551225,401.374075
400.88865,402.62955,401.391875
400.894925,402.664825,401.4129
400.909125,402.74325,401.435425
400.927175,402.786225,401.461725
400.93545,402.81505,401.502375
400.940975,402.8321,401.5126
400.949125,402.839,401.521175
400.95395,402.85305,401.52905
400.959875,402.87145,401.53515
400.967425,402.9513,401.5407
400.97395,403.02675,401.588475
400.977225,403.139875,401.6076
400.9808,403.15935,401.622275
400.989275,403.210425,401.6714
400.993675,403.263575,401.67975
400.999025,403.30475,401.702075
401.01445,403.330125,401.7149
401.0261,403.406125,401.74165
401.0318,403.44835,401.7641
401.0445,403.4926,401.787125
401.05495,403.509625,401.803975
401.068875,403.53705,401.82635
401.08055,403.5909,401.885625
401.0957,403.66555,401.932925
401.12895,403.728125,401.958
401.15405,403.773575,401.971475
401.167,403.86565,401.98415
401.180925,403.911525,401.9913
401.210075,403.92475,401.9957
401.22895,403.951225,402.0056
401.243675,403.981175,402.019
401.267,404.097875,402.028525
401.28705,404.136325,402.063175
401.30555,404.193625,402.095475
401.32135,404.2369,402.1293
401.332875,404.274825,402.162425
401.355225,404.297525,402.17765
401.379,404.3219,402.1966
401.412725,404.336225,402.210025
401.423575,404.350025,402.262925
401.441175,404.3716,402.272525
401.46095,404.382225,402.297
401.478925,404.448675,402.370775
401.492425,404.490375,402.3852
401.5049,404.5411,402.39525
401.5155,404.5678,402.396475
401.5292,404.624425,402.40795
401.539975,404.6828,402.43295
401.565975,404.716275,402.445925
401.577325,404.727125,402.465575
401.58915,404.738925,402.47985
401.5929,404.754025,402.489625
401.61995,404.796075,402.50595
401.63535,404.840275,402.54745
401.65475,404.91775,402.56205
401.667325,404.94765,402.596075
401.67975,405.004825,402.617725
401.692675,405.04915,402.62955
401.70725,405.128325,402.65225
401.7359,405.154925,402.708
401.749425,405.175775,402.73715
401.776725,405.1968,402.771475
401.806475,405.218925,402.79975
401.83285,405.298225,402.8148
401.8471,405.32745,402.828875
401.86425,405.3779,402.835275
401.8845,405.396325,402.858325
401.91565,405.419975,402.886575
401.95805,405.5002,402.89545
401.96675,405.53155,402.907975
401.97875,405.5673,402.95195
401.991475,405.6244,402.9891
401.99785,405.66705,403.024025
402.013675,405.707675,403.0637
402.02395,405.7557,403.08945
402.03985,405.84665,403.116675
402.05765,405.886075,403.18825
402.0738,405.904975,403.219675
402.08725,405.927525,403.255875
402.096425,405.9468,403.2698
402.1086,405.97095,403.279225
402.11635,406.02325,403.2913
402.1286,406.068275,403.29885
402.1551,406.09045,403.3111
402.165075,406.25125,403.344875
402.185275,406.373525,403.3617
402.20655,406.388525,403.378675
402.23515,406.390225,403.402475
402.256675,406.398975,403.44175
402.290375,406.40775,403.46265
402.3197,406.4337,403.48285
402.33935,406.577075,403.50645
402.3565,406.6057,403.526225
402.385325,406.63205,403.572025
402.395425,406.653725,403.61315
402.404675,406.6846,403.6266
402.418125,406.7139,403.643675
402.4309,406.80935,403.6582
402.443625,406.84805,403.69745
402.463075,406.86135,403.739
402.476475,406.913225,403.76315
402.495125,406.942675,403.784725
402.52025,406.9641,403.817125
402.53875,406.991675,403.852575
402.5604,407.059175,403.90225
402.588125,407.124375,403.911775
402.608625,407.218925,403.92705
402.6497,407.29265,403.933475
402.68055,407.31655,403.951375
402.71705,407.342275,403.961975
402.75685,407.3602,404.001125
402.7939,407.382575,404.0245
402.80755,407.414225,404.06955
402.817475,407.4307,404.0898
402.831175,407.454075,404.13885
402.839075,407.47315,404.1578
402.843925,407.492675,404.260625
402.853525,407.564775,404.322375
402.874575,407.58645,404.329425
402.88095,407.625275,404.35155
402.8942,407.647775,404.3699
402.910675,407.683225,404.389025
402.921025,407.789825,404.399
402.94295,408.070925,404.41005
402.9625,408.174325,404.42135
402.973675,408.238825,404.436875
402.986775,408.320275,404.452825
403.0026,408.422825,404.471925
403.01415,408.441175,404.488
403.036275,408.49375,404.6127
403.077125,408.5589,404.6493
403.099525,408.57305,404.689275
403.1229,408.59015,404.7082
403.1476,408.6105,404.716025
403.1711,408.654775,404.721225
403.198525,408.6912,404.72905
403.218525,408.713925,404.73495
403.24825,408.735875,404.744475
403.288225,408.848725,404.758
403.3018,408.886075,404.77605
403.304225,408.912075,404.807325
403.30855,409.006975,404.8513
403.311,409.025075,404.881575
403.3174,409.0833,404.9203
403.323175,409.095875,404.948625
403.329625,409.14195,405.008425
403.333125,409.17225,405.06085
403.3382,409.194775,405.0982
403.342425,409.30705,405.132975
403.346475,409.32715,405.14465
403.35095,409.4978,405.15355
403.3603,409.5198,405.1638
403.375075,409.540125,405.174425
403.38235,409.582975,405.225075
403.394875,409.64125,405.240025
403.41495,409.714775,405.259825
403.4352,409.784725,405.2957
403.468775,409.81815,405.315775
403.487975,409.869125,405.334675
403.503175,409.959275,405.36555
403.514125,409.9716,405.38645
403.5243,409.983725,405.41925
403.5406,410.031875,405.463825
403.554775,410.059925,405.4867
403.586275,410.118975,405.526475
403.59775,410.172325,405.59285
403.627125,410.204225,405.62395
403.6454,410.23915,405.634525
403.6654,410.302075,405.644725
403.68675,410.37485,405.661475
403.710775,410.422675,405.669025
403.733625,410.4405,405.67475
403.75645,410.457025,405.709275
403.7746,410.48595,405.730775
403.7998,410.5242,405.75495
403.8357,410.656775,405.7898
403.856275,410.689275,405.806525
403.878575,410.727675,405.82625
403.8898,410.86615,405.888125
403.8961,410.871275,405.92445
403.90545,410.904425,405.9488
403.9135,410.9787,405.991275
403.9209,410.997175,406.00955
403.9272,411.03425,406.0226
403.9398,411.056325,406.03485
403.94955,411.097075,406.065025
403.9582,411.13175,406.095075
403.973025,411.1929,406.1155
403.989875,411.228875,406.14235
404.00615,411.252675,406.201475
404.023275,411.28315,406.23095
404.047175,411.3093,406.2668
404.058175,411.3395,406.3298
404.07705,411.37105,406.36605
404.106725,411.3858,406.38345
404.126875,411.432825,406.391875
404.155125,411.4751,406.39805
404.174,411.52065,406.41055
404.195925,411.576025,406.417275
404.213825,411.6047,406.437375
404.245975,411.6307,406.4602
404.280025,411.7267,406.474575
404.293775,411.804575,406.497825
404.31515,411.85905,406.5255
404.3217,411.876825,406.58075
404.332575,411.900975,406.611075
404.35015,411.919525,406.62635
404.35955,411.940175,406.656475
404.3727,411.985925,406.68225
404.392925,412.024675,406.704725
404.4009,412.0534,406.7439
404.414025,412.08515,406.809425
404.42585,412.124775,406.8219
404.4549,412.207225,406.83705
404.479325,412.251,406.84505
404.506675,412.2948,406.849875
404.534425,412.310575,406.858125
404.56575,412.399875,406.86665
404.58405,412.41855,406.885725
404.616225,412.532825,406.89655
404.636675,412.555125,406.922125
404.6566,412.62055,406.9396
404.679875,412.7304,406.966575
404.68805,412.7474,406.986975
404.6986,412.784275,407.022625
404.70525,412.834325,407.042675
404.725175,412.8625,407.07215
404.72825,412.88925,407.095375
404.737675,412.917675,407.1208
404.7467,412.94005,407.1854
404.755075,412.95755,407.197475
404.777175,413.071925,407.2136
404.803675,413.0971,407.224225
404.829825,413.116325,407.234575
404.847675,413.1549,407.24415
404.862075,413.19895,407.2561
404.89405,413.282375,407.2881
404.912475,413.36745,407.330775
404.934275,413.393425,407.35175
404.9609,413.4169,407.411425
404.971425,413.44635,407.448925
404.9946,413.551375,407.467025
405.023075,413.58645,407.49415
405.04905,413.58905,407.5265
405.0616,413.60925,407.5498
405.092725,413.826625,407.58875
405.1137,413.857,407.624075
405.1201,413.8866,407.699925
405.131,413.91385,407.7318
405.136725,413.988825,407.74565
405.14595,414.015525,407.751475
405.162075,414.0817,407.7675
405.166725,414.09615,407.779075
405.188025,414.132875,407.787475
405.193725,414.16095,407.814075
405.2165,414.22445,407.8422
405.244325,414.3172,407.868025
405.264525,414.3674,407.889425
405.28595,414.55025,407.906375
405.314375,414.63135,407.930025
405.3334,414.667175,407.953225
405.3601,414.714575,407.973
405.379425,414.8564,408.00115
405.3955,414.962875,408.0259
405.422975,414.985825,408.055575
405.441,415.07615,408.1271
405.4577,415.115875,408.174375
405.474675,415.1444,408.215575
405.49865,415.2367,408.260075
405.521375,415.26475,408.294675
405.535875,415.315825,408.364075
405.55935,415.4183,408.377625
405.5878,415.56955,408.385975
405.620875,415.623675,408.4014
405.633875,415.6702,408.413175
405.64575,415.73325,408.42295
405.660175,415.764575,408.432175
405.685775,415.87315,408.440925
405.695775,415.874375,408.45065
405.707125,415.93085,408.45955
405.723625,415.99925,408.472275
405.7397,416.045725,408.506375
405.7494,416.075025,408.525475
405.762425,416.11955,408.535525
405.7777,416.1512,408.546475
405.801325,416.228525,408.5625
405.826125,416.373625,408.5738
405.846675,416.40305,408.588925
405.865525,416.4259,408.628075
405.88065,416.453525,408.641275
405.90055,416.5971,408.656975
405.910525,416.687675,408.73005
405.928375,416.7178,408.749075
405.95125,416.756075,408.76545
405.97485,416.814225,408.786825
405.98865,416.843775,408.82125
406.0029,416.883975,408.875775
406.0235,416.92255,408.9005
406.044225,417.1151,408.9347
406.068075,417.176075,408.981575
406.085375,417.211875,409.00265
406.115175,417.2352,409.00885
406.15395,417.254525,409.015525
406.173525,417.30745,409.0193
406.198075,417.339375,409.0237
406.2186,417.50405,409.02745
406.28705,417.53605,409.03205
406.318475,417.593225,409.035625
406.34085,417.66765,409.0396
406.364125,417.7059,409.044425
406.371275,417.8077,409.0495
406.37825,417.832675,409.1365
406.38455,417.850725,409.156775
406.391575,417.880925,409.182275
406.400425,417.884225,409.218375
406.40675,417.891075,409.23875
406.428225,418.0554,409.255875
406.446675,418.096425,409.277175
406.464575,418.16665,409.3108
406.48775,418.2091,409.353925
406.5043,418.251625,409.374275
406.528775,418.36025,409.4198
406.556375,418.392325,409.4655
406.595425,418.432575,409.493425
406.6242,418.448225,409.50645
406.643125,418.476875,409.512675
406.658925,418.549075,409.522075
406.6989,418.5901,409.533475
406.719375,418.611575,409.538725
406.75255,418.649425,409.546025
406.7901,418.69445,409.552325
406.807125,418.826625,409.560275
406.810875,418.884625,409.58785
406.814875,418.9167,409.6191
406.82235,418.987025,409.634025
406.8255,419.003425,409.653875
406.83405,419.035225,409.6703
406.8398,419.12835,409.69065
406.8449,419.157625,409.76255
406.8518,419.201275,409.79045
406.86245,419.23035,409.8171
406.873325,419.310975,409.8445
406.8809,419.38465,409.86815
406.8988,419.42905,409.953675
406.919375,419.45575,409.96315
406.940425,419.491025,409.972375
406.96895,419.50615,409.979525
407.00165,419.527175,409.986375
407.034225,419.610225,409.991875
407.0483,419.6421,410.00005
407.07605,419.695625,410.005725
407.1062,419.848375,410.0162
407.137575,419.893025,410.03915
407.172825,419.91295,410.063425
407.189625,419.928975,410.119125
407.19665,419.9408,410.1388
407.206125,419.97895,410.168975
407.21195,419.99645,410.22995
407.223925,420.070725,410.2461
407.229725,420.087675,410.27185
407.242675,420.11295,410.33455
407.2479,420.1507,410.427125
407.255375,420.161525,410.4392
407.2642,420.1826,410.463875
407.282725,420.20425,410.48615
407.296,420.2126,410.505775
407.310225,420.227425,410.523075
407.331375,420.2415,410.54355
407.35935,420.261925,410.561525
407.386175,420.305625,410.59155
407.4132,420.325975,410.63545
407.42945,420.351325,410.65975
407.4508,420.4868,410.703325
407.462675,420.54785,410.730425
407.478075,420.5866,410.78535
407.4901,420.62415,410.856875
407.5134,420.6951,410.884525
407.52715,420.74885,410.892025
407.54345,420.76345,410.905975
407.570475,420.78175,410.918025
407.5817,420.84185,410.931875
407.63635,420.85505,410.949375
407.66645,420.86685,410.9861
407.690025,421.005925,411.00405
407.7039,421.13015,411.019375
407.7189,421.15955,411.032575
407.73605,421.245425,411.0527
407.743225,421.312225,411.072575
407.74835,421.367275,411.1012
407.754225,421.393475,411.127575
407.761325,421.4376,411.192925
407.764525,421.814375,411.220075
407.76855,421.855225,411.278525
407.772975,421.918575,411.2908
407.778275,421.996775,411.300975
407.781975,422.1026,411.307925
407.787125,422.1253,411.325625
407.7906,422.14425,411.35535
407.794425,422.171,411.3709
407.7993,422.201525,411.3894
407.81485,422.239925,411.404025
407.8271,422.27425,411.435775
407.836325,422.312575,411.46585
407.8509,422.336525,411.49595
407.87415,422.507225,411.57575
407.886575,422.56825,411.5912
407.923775,422.65855,411.639575
407.942325,422.690675,411.674025
407.97545,422.70745,411.715625
408.002475,422.80195,411.759275
408.02535,422.976625,411.775175
408.048275,423.02505,411.791775
408.06445,423.05375,411.814275
408.0771,423.085975,411.82905
408.0932,423.11125,411.845425
408.110725,423.1822,411.858325
408.1267,423.19945,411.87795
408.1482,423.2699,411.8938
408.165075,423.309775,411.915275
408.1842,423.38965,411.93635
408.206575,423.415275,411.95715
408.237075,423.448225,412.043825
408.257425,423.46795,412.06275
408.286375,423.512875,412.09965
408.3079,423.550375,412.158775
408.35255,423.60205,412.219875
408.36565,423.628075,412.2336
408.379575,423.669825,412.24805
408.383925,423.6756,412.268625
408.386525,423.688225,412.28115
408.39075,423.7932,412.29065
408.394575,423.831225,412.30675
408.4,423.85395,412.32505
408.40375,423.889125,412.34525
408.4083,423.9533,412.36875
408.41355,423.9951,412.3804
408.42735,424.023425,412.4008
408.43295,424.059075,412.432325
408.44095,424.092675,412.46675
408.4486,424.176575,412.486425
408.458325,424.196025,412.51865
408.4767,424.203425,412.5596
408.499075,424.246175,412.588925
408.507875,424.36555,412.609675
408.521,424.47585,412.635625
408.528875,424.509325,412.666225
408.536975,424.5579,412.690825
408.549,424.571425,412.7274
408.56485,424.590125,412.749875
408.576775,424.6477,412.786975
408.589225,424.6877,412.844275
408.60145,424.720625,412.879475
408.634825,424.7488,412.900975
408.6515,424.78105,412.92125
408.6735,424.80825,412.9402
408.707475,424.840425,412.9997
408.72635,424.9108,413.0298
408.7444,424.97245,413.0695
