SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
100.055125,100.050375,100.003875,100.01155,100.23685,100.04085,100.00935
100.09605,100.0703,100.01015,100.07035,100.3658,100.07085,100.035325
100.1626,100.0907,100.02075,100.2194,100.394325,100.1914,100.058975
100.202725,100.10805,100.025675,100.273625,100.450925,100.271175,100.093525
100.241975,100.14775,100.031275,100.30815,100.46445,100.282625,100.13875
100.270525,100.18315,100.04275,100.337575,100.48615,100.287525,100.182075
100.3227,100.219475,100.050425,100.3538,100.492225,100.30365,100.224975
100.4216,100.26575,100.068125,100.377825,100.5197,100.609975,100.27135
100.51445,100.291225,100.0705,100.5268,100.54695,100.7087,100.3671
100.65195,100.327225,100.087325,100.555975,100.63905,100.84515,100.390125
100.718675,100.380075,100.1137,100.5846,101.21045,101.00445,100.419975
100.776225,100.394025,100.121075,100.629125,101.26785,101.126575,100.472325
100.825925,100.462575,100.1273,101.37065,101.55145,101.147,100.504775
100.867625,100.7072,100.1716,101.423975,101.569875,101.34595,100.53085
100.89955,100.72605,100.176875,101.464475,101.572075,101.599175,100.5697
100.9377,100.743225,100.2061,101.566025,101.573625,101.635825,100.588
100.99905,100.837275,100.2273,101.67625,101.646075,101.646175,100.619925
101.0814,100.8624,100.246125,101.70825,101.65355,101.670225,100.636
101.144975,100.95465,100.2542,101.874825,101.807175,101.68355,100.657575
101.179275,101.04625,100.270025,101.991025,101.872,101.69555,100.66845
101.195925,101.07065,100.282525,102.0201,101.979575,101.763475,100.692575
101.2709,101.09235,100.28905,102.045425,102.008,101.78645,100.713325
101.3037,101.123475,100.3146,102.14655,102.0234,101.879275,100.724725
101.343625,101.142775,100.3184,102.23355,102.072,101.914375,100.737425
101.652275,101.19035,100.37035,102.2674,102.134,101.99375,100.749425
101.7412,101.21915,100.3849,103.14685,102.238575,101.999825,100.76975
101.797475,101.454575,100.48005,103.215775,102.375,102.024175,100.794775
101.855125,101.541825,100.6192,103.24085,102.382875,102.044625,100.8176
101.9355,101.57275,100.636075,103.286275,102.591225,102.100075,100.837125
102.01035,101.60375,100.68055,103.35115,102.78835,102.123075,100.8534
102.060325,101.6302,100.686125,103.5613,102.796175,102.1689,100.894725
102.097925,101.662975,100.690475,103.616275,102.819625,102.291725,100.9125
102.10485,101.711225,100.702625,104.004125,102.906275,102.32425,100.943975
102.120575,102.07035,100.71065,104.02145,103.009675,102.498425,100.96325
102.146675,102.0873,100.716425,104.145675,103.0138,102.51555,100.995525
102.234075,102.11915,100.7236,104.43005,103.158075,102.519575,101.03425
102.26965,102.13415,100.76455,104.535025,103.24825,102.6055,101.07505
102.30475,102.17045,100.831725,104.666425,103.28175,102.656725,101.111825
102.375175,102.18435,100.875975,104.7017,103.3029,102.659075,101.138375
102.44995,102.2173,100.8785,104.90005,103.33655,102.70635,101.158475
102.5007,102.2571,100.933375,104.9941,103.455375,102.769025,101.1814
102.525975,102.29595,100.973425,105.372375,103.469525,102.78225,101.207125
102.53645,102.34685,101.007075,105.489725,103.625,102.8098,101.220775
102.5904,102.353925,101.012275,105.680125,103.633125,102.82925,101.250375
102.6165,102.400425,101.04415,105.70575,103.64595,102.8802,101.26445
102.65815,102.5951,101.056925,105.75055,103.6743,102.973475,101.313575
102.73115,102.621125,101.104325,105.772375,103.791725,103.04655,101.333175
102.764025,102.6368,101.130525,105.887425,103.818275,103.16215,101.352975
102.86185,102.651625,101.148725,106.022,104.624375,103.24895,101.382525
102.8971,102.66905,101.151575,106.218275,104.692575,103.309,101.4471
103.036775,102.6852,101.1614,106.2586,104.709875,103.313225,101.48555
103.11785,102.706675,101.23995,106.465475,104.7441,103.394225,101.50525
103.1549,102.769175,101.321375,106.489775,104.750075,103.450025,101.5663
103.216325,102.871575,101.39115,106.584375,104.77765,103.489675,101.587075
103.2648,103.05285,101.5383,106.685475,104.860975,103.530075,101.638675
103.298575,103.093275,101.551775,106.71845,104.942925,103.58055,101.66135
103.35415,103.12085,101.5652,106.7837,104.9514,103.6404,101.683625
103.379925,103.142575,101.570875,106.8351,104.957225,103.686325,101.713675
103.4494,103.21405,101.5821,107.232925,104.996575,103.70875,101.725525
103.829775,103.35925,101.59155,107.305375,105.03185,103.718,101.733725
103.8775,103.556575,101.610575,107.393275,105.0469,103.747425,101.759175
103.9705,103.5807,101.617125,107.550525,105.054525,103.75135,101.807725
104.02585,103.605425,101.62585,107.76135,105.223875,103.793075,101.8575
104.097275,103.652225,101.640075,108.1543,105.975975,103.798025,101.871675
104.314125,103.720425,101.64885,108.237625,106.0393,103.81975,101.892
104.4968,103.943325,101.655625,108.23885,106.915625,104.0215,101.9103
104.54195,103.981925,101.6773,108.34915,107.144975,104.024275,101.928275
104.591725,103.994775,101.6949,108.372175,107.6944,104.105725,101.959125
104.62055,104.0031,101.725575,108.39835,107.849775,104.15765,101.97575
104.667175,104.02335,101.74495,108.41055,107.908725,104.158775,101.988825
104.7638,104.056225,101.83965,108.43115,108.176475,104.224025,102.0028
104.867275,104.074825,101.954675,108.651125,108.6238,104.37635,102.0231
104.982925,104.2429,102.0232,108.66845,108.682075,104.4892,102.03025
104.9868,104.320775,102.06875,108.71965,108.910875,104.558875,102.044175
105.0107,104.3412,102.0776,108.745175,109.236,104.56765,102.055125
105.02355,104.3614,102.097325,109.1801,109.509775,104.612125,102.0687
105.043225,104.3772,102.136225,109.4367,110.2747,104.658925,102.111325
105.078275,104.3962,102.14155,109.48095,110.424025,104.6788,102.12415
105.163825,104.409575,102.193475,109.5222,110.45245,104.728775,102.180925
105.206525,104.429025,102.217125,109.627625,110.577625,104.733625,102.19905
105.265,104.453525,102.24485,109.66095,110.7372,104.752875,102.2155
105.358475,104.477375,102.259575,109.695175,110.738975,104.76375,102.235725
105.420475,104.510525,102.28435,109.74865,110.936775,104.774875,102.26375
105.45955,104.543625,102.296825,109.8082,111.10305,104.823125,102.28185
