SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC09a
300.03415,300.090275,300.008675,300.0145
300.087875,300.110275,300.029,300.02565
300.117325,300.2581,300.03105,300.0479
300.146775,300.3007,300.076675,300.066475
300.1547,300.3409,300.09905,300.08265
300.18785,300.4813,300.108675,300.108425
300.2794,300.56305,300.134625,300.15455
300.30165,300.611325,300.2373,300.2222
300.492,300.647475,300.245225,300.22425
300.6599,300.671925,300.362125,300.235925
300.71255,300.723025,300.3803,300.27145
300.72315,300.77675,300.431575,300.457925
300.827475,300.8761,300.456125,300.526325
300.974925,300.98465,300.495375,300.58865
301.026525,301.19285,300.661425,300.6451
301.09545,301.624925,300.6849,300.719675
301.478325,301.678825,300.71275,300.76005
301.65045,301.71085,300.7361,300.80515
301.6649,301.835525,300.745625,300.92865
301.6966,302.1215,300.8525,300.93995
301.799625,302.36925,300.934625,300.949775
301.84175,302.4123,300.949175,300.97405
301.91635,302.628775,301.09635,300.993475
301.969225,302.6702,301.148825,301.1316
302.0198,302.683725,301.213275,301.157175
302.12195,302.7996,301.26235,301.1882
302.1979,302.8885,301.3116,301.2234
302.29385,302.921525,301.323,301.29635
302.443875,302.98935,301.35255,301.317525
302.5239,303.143775,301.383775,301.363225
302.54115,303.158475,301.4096,301.396475
302.570525,303.18585,301.41345,301.4693
302.709825,303.246425,301.550875,301.623525
302.8051,303.34595,301.559325,301.6569
302.89115,303.37815,301.641175,301.662175
302.91635,303.4502,301.725925,301.7103
302.930775,303.625025,301.75235,301.773625
302.9468,303.689875,301.7689,301.79235
302.95005,303.7547,301.929325,301.97755
302.952025,303.779875,301.9542,301.98765
303.159325,303.799075,301.9808,302.035625
303.185675,303.9304,302.064075,302.07965
303.361875,303.9807,302.150575,302.0916
303.387975,303.99535,302.22195,302.1863
303.410725,304.037925,302.24825,302.2424
303.418425,304.06165,302.304425,302.299825
303.473675,304.10045,302.3173,302.30915
303.50345,304.132425,302.33565,302.32075
303.54965,304.15915,302.465425,302.43695
303.590475,304.457725,302.470925,302.4624
303.683825,304.499075,302.48885,302.520475
303.730175,304.611775,302.667325,302.5769
303.750225,304.63505,302.778675,302.73215
303.78715,304.668925,302.8756,302.91595
303.807575,304.8267,302.8837,302.929125
303.821325,304.889325,302.986175,302.94355
303.827775,304.9875,303.026425,302.9703
303.842125,305.006075,303.353225,302.991875
303.8627,305.04505,303.387775,303.013625
303.964425,305.115075,303.392125,303.05605
304.00055,305.14915,303.454425,303.07055
304.040525,305.31585,303.5063,303.0894
304.14375,305.3764,303.604725,303.237725
304.168725,305.445325,303.638875,303.40375
304.234775,305.512175,303.6511,303.419625
304.25505,305.53145,303.85795,303.42885
304.270575,305.549875,303.88605,303.46115
304.284175,305.568525,303.9318,303.512475
304.3767,305.578175,304.0469,303.5278
304.434925,305.58785,304.11885,303.564975
304.4994,305.82,304.126075,303.5819
304.556125,305.88695,304.13375,303.610875
304.6437,305.9182,304.1405,303.6582
304.798025,305.93805,304.185075,303.695825
304.834925,305.961975,304.2635,303.759675
304.886325,306.0121,304.334775,303.817225
304.9347,306.08925,304.346325,303.8288
304.944825,306.10575,304.44495,303.86075
304.968475,306.161225,304.458175,303.922775
304.988,306.1832,304.46605,303.939575
304.997925,306.2147,304.469275,304.0153
305.023225,306.223525,304.518225,304.0826
305.063025,306.2281,304.53055,304.146625
305.119,306.235075,304.632375,304.2191
305.17115,306.2405,304.669475,304.2556
305.196975,306.2534,304.677425,304.27045
305.218025,306.32715,304.746025,304.32455
305.28335,306.427,304.787125,304.345875
305.319875,306.454,304.89865,304.369125
305.36345,306.606,305.0527,304.404875
305.405775,306.655975,305.087725,304.44055
305.425875,306.738975,305.095375,304.4654
305.445725,306.752225,305.11925,304.646675
305.51585,306.768475,305.1892,304.6697
305.5882,306.9627,305.218125,304.708775
305.6021,307.10495,305.220575,304.727825
305.695025,307.15,305.2751,304.755625
305.71585,307.16775,305.281775,304.775425
305.7378,307.20545,305.4594,304.9239
305.769175,307.24455,305.50865,305.00875
305.798575,307.3155,305.61585,305.049525
305.82115,307.3292,305.622675,305.13435
305.85175,307.337425,305.642875,305.171475
305.8681,307.3546,305.697775,305.241425
305.992175,307.44455,305.73325,305.2602
306.007025,307.740775,305.741725,305.292125
306.0913,307.809375,305.754775,305.324175
306.1862,307.840825,305.798425,305.356775
306.200925,307.84815,305.826875,305.422675
306.3886,307.857775,305.85785,305.4612
