SPK_SPKC04b,SPK_SPKC11a
400.016275,400.025625
400.0283,400.14315
400.0429,400.154675
400.071525,400.32765
400.090725,400.399325
400.1318,400.401875
400.216375,400.562825
400.270025,400.580525
400.29375,400.7641
400.316825,400.905025
400.337625,401.0542
400.352825,401.198275
400.381675,401.210875
400.404025,401.331575
400.416125,401.360325
400.4325,401.394575
400.4449,401.4095
400.463625,401.4125
400.480325,401.4898
400.498925,401.55505
400.52415,401.62955
400.5612,401.660475
400.595275,401.6699
400.631775,401.70555
400.672675,401.748025
400.68435,401.922225
400.70305,401.933375
400.726475,402.024525
400.741575,402.2316
400.762675,402.2607
400.790525,402.35555
400.813825,402.378625
400.826775,402.50715
400.8449,402.613975
400.86995,402.672225
400.89385,402.887525
400.909975,402.938225
400.949775,402.97395
400.97435,403.1604
400.99005,403.2479
401.0122,403.684275
401.03075,403.768075
401.044875,403.77455
401.06945,403.778625
401.0953,403.781725
401.12795,403.7872
401.143625,403.791275
401.161175,403.800375
401.175475,403.8273
401.188925,403.839625
401.1987,403.86765
401.214325,403.8925
401.243825,403.939275
401.2594,404.028275
401.2724,404.1021
401.292025,404.130975
401.305125,404.138275
401.322475,404.143425
401.348325,404.222075
401.37525,404.273175
401.423975,404.35085
401.5313,404.373325
401.5706,404.3824
401.6017,404.477625
401.623175,404.4835
401.6399,404.54485
401.6543,404.55155
401.6657,404.554375
401.6895,404.569625
401.72725,404.5763
401.741675,404.580625
401.8241,404.59995
401.841425,404.60695
401.87865,404.8232
401.906025,405.10475
401.950425,405.174925
401.9678,405.2066
401.9905,405.217625
402.021925,405.22395
402.0511,405.235925
402.070375,405.509625
402.092125,405.689125
402.100025,405.69635
402.111475,405.720375
402.1212,405.73615
402.124775,405.7411
402.130675,405.768225
402.142525,405.770225
402.1708,405.800875
402.229025,405.8145
402.33865,406.021475
402.366875,406.0375
402.392525,406.076825
402.42805,406.084525
402.46185,406.117325
402.482625,406.14885
402.5007,406.155825
402.531575,406.182325
402.552475,406.21755
402.569275,406.308925
402.595825,406.342675
402.60775,406.354575
402.625925,406.389625
402.638225,406.49255
402.653875,406.547575
402.6813,406.556625
402.703425,406.6273
402.726125,406.64905
402.764025,406.669375
402.81135,406.68015
402.8205,406.7304
402.842375,406.94775
402.861225,406.96415
402.8808,407.025125
402.898425,407.031875
402.911025,407.08535
402.925625,407.1417
402.94065,407.2247
402.94805,407.52265
402.957925,407.6659
402.97975,407.70755
402.9969,407.835
403.015975,407.8613
403.040775,407.888775
403.08,407.921275
403.12985,407.956825
403.1615,408.014325
403.18525,408.0845
403.236325,408.20005
403.26015,408.240675
403.28315,408.263725
403.296175,408.5179
403.322425,408.522625
403.3449,408.56195
403.362575,408.56445
403.38275,408.57645
403.445325,408.599125
403.49265,408.6019
403.51805,408.609075
403.534675,408.805075
403.561,408.9708
403.57715,409.193075
403.6005,409.205575
403.626175,409.226825
403.64595,409.24695
403.659475,409.2584
403.678375,409.275025
403.6955,409.28365
403.709275,409.345375
