SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
2800.02185,2800.005575,2800.0259,2800.021875
2800.180325,2800.036475,2800.062275,2800.083825
2800.212075,2800.12075,2800.10265,2800.180325
2800.2928,2800.138725,2800.11955,2800.2211
2800.31755,2800.16085,2800.122125,2800.2928
2800.5604,2800.24025,2800.131075,2800.389125
2800.603775,2800.281425,2800.142075,2800.509025
2800.767875,2800.3307,2800.152525,2800.560425
2800.8363,2800.40975,2800.166075,2800.603825
2800.90535,2800.4498,2800.1788,2800.7679
2800.916075,2800.487575,2800.18805,2800.978475
2801.033125,2800.514525,2800.205,2801.033125
2801.129525,2800.57545,2800.22725,2801.195175
2801.195175,2800.61745,2800.249125,2801.347275
2801.3473,2800.6969,2800.2622,2801.6126
2801.482075,2800.854375,2800.2774,2801.715975
2801.61265,2800.9468,2800.300825,2801.740825
2801.716,2800.9917,2800.316725,2801.83535
2801.734475,2801.14545,2800.343275,2801.88035
2801.8803,2801.204075,2800.367275,2801.923025
2801.9656,2801.3149,2800.391825,2802.0013
2802.001275,2801.360125,2800.432675,2802.16525
2802.08575,2801.395175,2800.480875,2802.2057
2802.165225,2801.440075,2800.5267,2802.51845
2802.243325,2801.46435,2800.5723,2802.67445
2802.385875,2801.527125,2800.615175,2802.82825
2802.45095,2801.66125,2800.643525,2803.0738
2802.624725,2801.70235,2800.6864,2803.18905
2802.674475,2801.73035,2800.712625,2803.256475
2802.794025,2801.8194,2800.750475,2803.288375
2803.1592,2801.85305,2800.779525,2803.335925
2803.256475,2801.877025,2800.80855,2803.45775
2803.288425,2801.94965,2800.83705,2803.577875
2803.37185,2802.016525,2800.889575,2803.629225
2803.457725,2802.10845,2800.92925,2803.67395
2803.529875,2802.191425,2800.977525,2803.818275
2804.02425,2802.26235,2801.014725,2804.1449
2804.107425,2802.337875,2801.03675,2804.242625
2804.18995,2802.39075,2801.05575,2804.290775
2804.563175,2802.417575,2801.07535,2804.603775
2804.8395,2802.42715,2801.096975,2804.632075
2804.88335,2802.451325,2801.1148,2804.792975
2804.939375,2802.516525,2801.134875,2804.8395
2805.005375,2802.56965,2801.1376,2804.883325
2805.011625,2802.6232,2801.167275,2805.011675
2805.077325,2802.70275,2801.19245,2805.10965
2805.120125,2802.7402,2801.22265,2805.120125
2805.3635,2802.7987,2801.251975,2805.168425
2805.435825,2802.91145,2801.274525,2805.2137
2805.60445,2802.950475,2801.315025,2805.363475
2805.681475,2802.986275,2801.357375,2805.4358
2805.82415,2803.04005,2801.387225,2805.516475
2805.953225,2803.09235,2801.428975,2805.55755
2805.976925,2803.16015,2801.471675,2805.585525
2806.2362,2803.24575,2801.5363,2805.6192
2806.329875,2803.4139,2801.556225,2805.68145
2806.392,2803.546225,2801.5687,2805.7836
2806.50815,2803.63725,2801.59145,2805.863775
2806.59625,2803.69065,2801.603425,2805.888325
2806.612825,2803.726425,2801.614,2805.95325
2806.66465,2803.831525,2801.6377,2806.012475
2806.763725,2803.869825,2801.648725,2806.108725
2806.877025,2803.9078,2801.668,2806.144225
2806.91235,2804.008675,2801.682875,2806.18215
2807.037525,2804.050825,2801.703225,2806.2362
