SPK_SPKC12a,SPK_SPKC12b
0.0059,0.013575
0.037725,0.021225
0.4538,0.04785
0.860575,0.06975
1.458875,0.085425
1.912775,0.11065
1.92815,0.16035
1.962525,0.236725
1.96905,0.336425
1.9756,0.35165
1.986675,0.3663
2.04675,0.37345
2.053475,0.380075
2.081325,0.38735
2.094075,0.39685
2.125675,0.4007
2.187425,0.408825
2.56615,0.412325
2.581975,0.41985
2.5851,0.428875
2.6003,0.444125
2.6236,0.458275
2.653475,0.468675
3.051125,0.48155
3.438325,0.492025
4.485925,0.50735
4.522425,0.51975
4.532225,0.539
5.5954,0.5861
5.6849,0.635025
5.7401,0.68375
6.038425,0.78445
6.450075,0.8031
6.49385,0.81775
6.558175,0.82945
6.56885,0.83765
6.836725,0.8471
6.8975,0.8545
7.242075,0.8706
7.6594,0.878175
8.037575,0.885375
8.202125,0.890575
10.0541,0.9011
10.718775,0.911075
10.7818,0.918825
11.272425,0.925675
11.4628,0.94045
11.48445,0.948125
11.51635,0.960325
11.542,0.973875
11.550675,0.99205
11.591225,1.010025
12.707725,1.0269
12.78485,1.0505
12.923325,1.144225
13.191475,1.21675
13.26455,1.24225
13.37425,1.254425
13.57935,1.273425
13.618325,1.292525
13.640975,1.3058
15.32065,1.3218
15.3382,1.34095
15.924625,1.352225
16.749425,1.3698
16.8311,1.3823
16.97625,1.398475
17.601625,1.412925
18.09355,1.4252
18.103375,1.440875
18.57505,1.457
18.629625,1.47985
19.1838,1.51095
19.228475,1.55005
19.840225,1.63955
19.890275,1.7068
19.910475,1.809175
20.345625,1.842
20.37495,1.855975
20.38045,1.862525
20.390575,1.869775
20.9123,1.875475
21.569175,1.88205
21.576325,1.887225
21.5842,1.89435
22.1945,1.902075
23.5535,1.9073
25.50405,1.91935
27.036925,1.93105
27.5848,1.936325
27.995425,1.942925
28.00205,1.95055
28.979825,1.955
29.38815,1.961125
29.500175,1.995075
29.983625,2.00705
34.54655,2.014375
35.928975,2.024475
35.994775,2.033625
36.73855,2.04005
36.8187,2.0585
37.217225,2.06345
37.8634,2.07195
40.489725,2.086175
40.508975,2.106725
41.704375,2.137575
41.943775,2.1528
42.891525,2.166575
43.373825,2.17445
44.369425,2.19965
44.68865,2.2226
45.297875,2.2919
46.402475,2.368725
46.9806,2.435325
47.3326,2.466375
47.67025,2.496725
48.811125,2.5062
49.35595,2.512275
51.530625,2.521975
51.581125,2.53145
51.5937,2.542125
51.8899,2.548275
52.917925,2.55465
53.322225,2.56095
53.331075,2.570625
53.714825,2.576775
54.845325,2.59145
54.855075,2.5967
55.29625,2.611375
56.470275,2.635
56.57935,2.6657
56.7632,2.69425
58.306725,2.753225
58.488575,2.800425
59.5291,2.873075
60.605925,2.89375
61.0996,2.94185
64.01715,2.9721
64.13265,2.985
64.183,3.000825
64.965325,3.016825
65.9101,3.0265
67.591825,3.036125
69.198775,3.04825
69.2223,3.0578
69.2432,3.07535
69.25005,3.08675
69.2549,3.100825
69.27095,3.114225
69.33145,3.12475
69.347825,3.134675
70.237275,3.1547
70.925625,3.177175
71.644925,3.196575
71.7116,3.227025
71.725075,3.26875
71.751325,3.332875
72.360325,3.3833
72.382575,3.42545
72.899925,3.440825
73.3715,3.46285
73.917075,3.474
74.449625,3.483575
75.153225,3.499775
75.62225,3.509
75.660475,3.520425
76.5558,3.529
77.931025,3.540325
78.620375,3.557125
80.50615,3.566875
82.555175,3.6007
83.261225,3.65585
83.7478,3.702825
84.466025,3.79425
84.79225,3.839125
85.2223,3.875925
85.620125,3.889825
86.15815,3.900325
86.176175,3.90615
86.451975,3.91275
86.501125,3.920625
86.6184,3.927825
86.708875,3.94025
86.7249,3.948525
87.098775,3.95905
87.181725,3.971575
87.5938,3.983375
87.664725,3.998625
88.8473,4.0176
90.24395,4.030575
90.75615,4.048175
90.79235,4.07495
