SPK_SPKC01a,SPK_SPKC10a,SPK_SPKC14a
220.0085,220.10525,220.005925
220.02295,220.124625,220.0146
220.0529,220.1646,220.0223
220.07085,220.1813,220.03105
220.106625,220.223625,220.042975
220.1386,220.276675,220.053625
220.15415,220.296025,220.063575
220.203725,220.348575,220.081725
220.2564,220.36295,220.098075
220.299825,220.382275,220.10935
220.31685,220.40915,220.126575
220.351575,220.428625,220.146875
220.37315,220.45035,220.16175
220.422825,220.497975,220.1776
220.44055,220.5222,220.190225
220.4892,220.54935,220.205325
220.51115,220.575825,220.23515
220.536925,220.594625,220.2723
220.571675,220.63035,220.300125
220.588125,220.68555,220.316225
220.6227,220.712625,220.35405
220.64075,220.740175,220.397375
220.667675,220.757125,220.4214
220.69685,220.799075,220.4482
220.71555,220.8069,220.470175
220.744625,220.831525,220.49655
220.7697,220.848225,220.537775
220.7977,220.85245,220.5737
220.823725,220.8687,220.603075
220.8445,220.882,220.632875
220.864725,220.8903,220.650875
220.8941,220.914125,220.682275
220.9666,220.93585,220.7039
220.993625,221.0272,220.730225
221.015875,221.213525,220.7759
221.056825,221.29095,220.832325
221.086825,221.3173,220.8517
221.102725,221.3618,220.889775
221.120425,221.408225,220.932275
221.15095,221.424925,220.967125
221.152175,221.44745,220.99795
221.177475,221.465625,221.0237
221.2045,221.475825,221.047225
221.221625,221.49785,221.06235
221.238675,221.5009,221.076525
221.262525,221.51885,221.08755
221.31235,221.546,221.0977
221.33155,221.560825,221.1087
221.35425,221.577675,221.1201
221.38195,221.663075,221.1302
221.40005,221.6952,221.137725
221.436575,221.71325,221.16115
221.466925,221.720525,221.1806
221.50605,221.737625,221.19685
221.5388,221.780325,221.2077
221.563775,221.878125,221.2206
221.593675,221.955175,221.235625
221.63,221.9762,221.254675
221.6557,221.9955,221.274375
221.695325,222.007025,221.304175
221.69925,222.03315,221.32605
221.71885,222.043175,221.3457
221.736975,222.057525,221.374925
221.7546,222.070925,221.41415
221.810125,222.087625,221.44975
221.82355,222.094225,221.49035
221.84075,222.10345,221.5203
221.863075,222.1178,221.57695
221.877225,222.147375,221.618725
221.9048,222.24355,221.6631
221.931175,222.3169,221.678125
221.96145,222.350325,221.6919
221.9853,222.40375,221.70395
222.0043,222.431,221.71945
222.03355,222.477475,221.734725
222.0677,222.5023,221.75105
222.124875,222.540375,221.766475
222.148775,222.565975,221.780075
222.16915,222.642875,221.791475
222.175175,222.67635,221.81165
222.185625,222.687525,221.82785
222.2357,222.702425,221.84425
222.249475,222.711625,221.861475
222.2636,222.7196,221.883275
222.28275,222.74555,221.908175
222.29535,222.75695,221.95885
222.356625,222.773375,221.9946
222.378725,222.77815,222.040975
222.402475,222.916225,222.079425
222.42055,223.12405,222.12955
222.45465,223.26455,222.154475
222.473975,223.295975,222.1639
222.54155,223.333125,222.179375
222.57025,223.371625,222.18635
222.590375,223.396225,222.19605
222.619675,223.40645,222.205175
