SPK_SPKC01a,SPK_SPKC05a
0.015975,0.125025
0.055225,0.1578
0.083425,0.179375
0.1259,0.237625
0.19195,0.271175
0.279575,0.28355
0.29855,0.309425
0.3217,0.32085
0.361875,0.3461
0.39025,0.36715
0.397275,0.3887
0.4134,0.416375
0.4358,0.428925
0.457375,0.44225
0.483025,0.457225
0.533575,0.51395
0.561275,0.5365
0.59125,0.5686
0.635475,0.59595
0.668,0.6397
0.7044,0.698225
0.836625,0.723875
0.84965,0.825525
0.889925,0.84795
0.91385,0.865925
0.939725,0.8895
0.9433,0.91145
0.955775,0.930525
0.977,0.94315
0.995925,0.954075
1.00795,1.047275
1.027875,1.1677
1.0573,1.203975
1.111025,1.3831
1.120575,1.4045
1.130325,1.42545
1.14235,1.4366
1.192575,1.4824
1.2219,1.517625
1.230225,1.557375
1.24725,1.575475
1.3769,1.59715
1.39035,1.629875
1.4053,1.6431
1.429225,1.670175
1.439825,1.749925
1.462975,1.834525
1.4767,1.873775
1.4872,1.907225
1.49875,1.933225
1.522,1.951775
1.5446,1.96585
1.573375,1.997175
1.599875,2.0155
1.60605,2.028225
1.643725,2.046925
1.7087,2.081575
1.74825,2.1125
1.7881,2.15175
1.7989,2.1758
1.818725,2.20285
1.8375,2.22905
1.8551,2.25685
1.87945,2.2863
1.905725,2.317725
1.944275,2.343775
1.967575,2.358925
1.990725,2.391025
2.01755,2.414075
2.04095,2.45755
2.063125,2.481675
2.08685,2.56035
2.14985,2.63735
2.176425,2.6575
2.198075,2.675275
2.2158,2.692325
2.234725,2.7168
2.2467,2.74735
2.262625,2.785675
2.2876,2.83415
2.30815,2.868425
2.338975,2.908425
2.365275,2.972125
2.38565,3.037775
2.408075,3.088125
2.442,3.121575
2.4642,3.219925
2.498225,3.241725
2.533375,3.25725
2.663075,3.278575
2.688725,3.324675
2.7045,3.352875
2.72825,3.3812
2.75,3.405275
2.7757,3.4497
2.81815,3.4979
2.8459,3.5266
2.876975,3.600425
2.900075,3.646625
2.96145,3.68
2.99095,3.7881
3.0589,3.803325
3.0872,3.830525
3.2253,3.858375
3.243325,3.87965
3.256675,3.90015
3.27125,3.9264
3.287975,3.9379
3.314475,3.94185
3.334125,3.99575
3.3596,4.0292
3.38355,4.053575
3.399425,4.083975
3.428425,4.1248
3.45575,4.128825
3.490375,4.207975
3.524175,4.25225
3.559525,4.31795
3.597175,4.328575
3.6364,4.4151
3.6855,4.439925
3.811225,4.465675
3.848975,4.478825
3.868575,4.490775
3.880775,4.495725
3.8993,4.53265
3.91995,4.5581
3.9443,4.5928
3.957925,4.61315
3.98545,4.639575
4.0014,4.689525
4.0254,4.71215
4.0339,4.7532
4.0634,4.794175
4.0813,4.956425
4.101875,4.987175
4.135025,5.004825
4.166775,5.0167
4.192875,5.03755
4.21665,5.074025
4.3304,5.1976
4.35,5.28235
4.37145,5.4182
4.38075,5.437625
4.40525,5.45155
4.428,5.473925
4.47165,5.533475
4.4967,5.551825
4.519975,5.5809
4.546475,5.60215
4.584775,5.62755
4.602225,5.7169
4.6286,5.754075
4.648575,5.8158
4.6715,5.88415
4.728725,5.891775
4.7661,5.905625
4.80475,5.950675
4.8819,6.012525
4.904725,6.0937
4.92555,6.1941
4.9486,6.22965
4.962375,6.257225
4.9822,6.306675
5.0035,6.3884
5.02775,6.407625
5.045,6.489125
5.0606,6.516675
5.105275,6.5468
5.11865,6.5834
5.1503,6.623575
5.1905,6.751275
5.203425,6.79245
5.29275,6.835975
5.414025,6.878075
5.43315,6.900125
5.4521,6.930075
5.47065,6.984425
5.49415,7.0618
5.5349,7.1066
5.551125,7.136725
5.581775,7.2449
5.595125,7.274225
5.626925,7.308675
5.6478,7.319025
5.698275,7.325625
5.7399,7.4027
5.761125,7.423925
5.812875,7.4699
5.834525,7.5151
5.880375,7.5749
5.910225,7.63745
6.09235,7.68295
6.10585,7.73615
6.1254,7.7926
6.161875,7.8727
6.194475,7.907075
6.225775,7.9251
6.255175,7.942125
6.30575,7.969425
6.312575,8.033575
6.326775,8.05305
6.361475,8.0971
6.3874,8.131975
6.4478,8.161175
6.47535,8.195725
6.5124,8.219875
6.5373,8.271675
6.5778,8.29685
6.743775,8.333325
6.775725,8.3567
6.797,8.40885
6.820375,8.514625
6.861425,8.6196
6.879775,8.659775
6.914225,8.6732
6.9643,8.704075
6.999625,8.739525
7.0289,8.761
7.080175,8.776725
7.131425,8.80575
7.27635,8.829475
7.300325,8.8407
7.3212,8.87645
7.354775,8.907575
7.37055,8.920925
7.401975,8.94575
7.4217,8.9595
