SPK_SPKC03a,SPK_SPKC04a
0.008325,0.0662
0.0353,0.125875
0.073,0.1502
0.102325,0.189275
0.12495,0.208725
0.14275,0.225475
0.15655,0.2449
0.1698,0.2477
0.181225,0.27
0.198975,0.2856
0.214925,0.30015
0.23465,0.41195
0.24785,0.4236
0.263625,0.444625
0.283375,0.46815
0.3018,0.5024
0.31535,0.520825
0.335725,0.54035
0.375375,0.61505
0.417075,0.63695
0.4356,0.662
0.450375,0.72225
0.480275,0.7438
0.5126,0.7816
0.52815,0.797575
0.550725,0.81415
0.571075,0.8312
0.597625,0.85465
0.638525,0.87955
0.67175,0.9145
0.7076,0.951325
0.71785,0.9703
0.7403,0.987075
0.763825,1.00765
0.78305,1.031
0.801175,1.043075
0.822425,1.05815
0.848875,1.090775
0.868225,1.107775
0.8888,1.122625
0.90125,1.13745
0.9206,1.151075
0.93735,1.1651
0.95485,1.179425
0.973325,1.187725
0.99195,1.198175
1.013375,1.212675
1.026525,1.22455
1.040375,1.246425
1.0605,1.2848
1.0723,1.3274
1.10065,1.34405
1.1143,1.406675
1.130675,1.4315
1.14345,1.46205
1.17405,1.48545
1.213575,1.502025
1.230825,1.529975
1.25305,1.54635
1.265975,1.564225
1.282275,1.591575
1.33345,1.6132
1.3465,1.630425
1.359925,1.65005
1.374775,1.672375
1.3914,1.713325
1.421825,1.726775
1.446425,1.7435
1.463925,1.754
1.4774,1.78095
1.496775,1.797225
1.509725,1.8115
1.559575,1.824425
1.5925,1.8416
1.605375,1.856925
1.6228,1.872375
1.638525,1.88655
1.6567,1.9212
1.670375,1.940625
1.685475,1.9616
1.6987,2.026675
1.707925,2.0483
1.7216,2.081175
1.73665,2.10395
1.749075,2.126225
1.767025,2.146525
1.79135,2.16295
1.804775,2.180475
1.8196,2.199975
1.83665,2.22285
1.8536,2.31905
1.871,2.3388
1.88825,2.3793
1.903075,2.396
1.917375,2.412475
1.930725,2.432775
1.954975,2.44825
1.969125,2.470125
1.9851,2.4889
2.0027,2.505725
2.03395,2.5165
2.0497,2.5275
2.07,2.544225
2.082525,2.56425
2.108375,2.5867
2.1283,2.62345
2.159325,2.635125
2.186,2.6483
2.214325,2.6684
2.224925,2.7038
2.256325,2.7473
2.277575,2.76525
2.2932,2.783075
2.3118,2.803125
2.337,2.817225
2.358675,2.8309
2.374625,2.848175
2.41005,2.861075
2.43535,2.90075
2.4478,2.9132
2.464825,2.9313
2.476375,2.94825
2.49035,2.97055
2.50255,2.9861
2.52195,3.002975
2.530825,3.021225
2.54725,3.0375
2.567325,3.083975
2.584375,3.10605
2.600325,3.15215
2.62585,3.1735
2.644825,3.188775
2.65825,3.20875
2.675925,3.2477
2.70195,3.262575
2.7205,3.2795
2.73985,3.2942
2.75645,3.303675
2.769025,3.320025
2.789075,3.3928
2.80525,3.410375
2.8137,3.439625
2.819425,3.4723
2.844525,3.487325
2.865675,3.5068
2.8803,3.529225
2.8948,3.547075
2.909675,3.604975
2.929125,3.6189
2.946225,3.637225
2.9609,3.653875
2.983525,3.67515
3.00025,3.692875
3.0187,3.7046
3.035925,3.721625
3.046725,3.739075
3.062325,3.7595
3.0707,3.77725
3.094775,3.793275
3.11545,3.81255
3.1443,3.8284
3.159725,3.8415
3.187,3.8553
3.201325,3.86855
3.215475,3.887525
3.236175,3.9086
3.251725,3.926975
3.269775,3.946125
3.2861,3.967
3.2981,3.98595
3.337,4.005825
3.3553,4.026575
3.368,4.056575
3.381575,4.090575
3.3974,4.121
3.4163,4.2114
3.429775,4.2355
3.452375,4.25875
3.475125,4.278675
3.4896,4.290025
3.5063,4.301525
3.524575,4.315125
3.545525,4.33815
3.55845,4.361275
3.5754,4.377775
3.589475,4.396175
3.606925,4.416575
3.63195,4.434125
3.6518,4.4808
3.67145,4.49515
3.6893,4.5685
3.710875,4.58745
3.730875,4.6133
3.737925,4.647125
3.755825,4.664725
3.771,4.6888
3.788075,4.725475
3.8021,4.74365
