SPK_SPKC04a,SPK_SPKC08a
0.016425,2.11675
0.0351,2.1451
0.333275,3.62885
0.511,3.6519
0.546425,3.67915
0.573625,3.7397
0.696975,3.77665
0.833375,3.818075
0.910975,3.85075
0.974275,3.87245
1.044125,3.99965
1.181025,4.1497
1.20405,4.1659
1.28025,4.173675
1.393575,4.213575
1.4981,4.222
1.538425,4.240375
1.5756,4.252375
1.601525,4.318925
1.75395,4.322975
1.797475,4.3404
2.0042,4.390125
2.3178,4.42565
2.3647,4.49605
2.437525,4.5428
2.468575,4.6324
2.4883,4.7897
2.502875,4.8222
2.6061,4.83895
2.623975,4.84735
2.6938,4.860125
2.83835,4.8618
2.925825,4.8731
2.96115,4.885675
3.14735,4.899275
3.161875,4.910375
3.291175,4.916925
3.327325,4.927225
3.362025,4.940425
3.4158,4.9541
3.47845,5.001575
3.49395,5.0778
3.571225,5.1226
3.592625,5.23315
3.59555,5.5427
3.7044,5.583175
3.8364,5.95125
3.8557,5.976825
3.972725,6.0025
4.224225,6.107325
4.2586,6.16635
4.26515,6.18875
4.38815,6.213625
4.404725,6.246375
4.455525,6.4891
4.4691,6.5245
4.572225,6.636675
4.579075,6.6453
4.655825,6.683625
4.674725,7.0544
4.6838,7.065525
4.723325,7.118775
4.75325,7.132675
4.78955,7.148025
4.81965,7.16525
4.8575,7.188425
4.907425,7.244675
4.924575,7.287625
4.9447,7.303525
5.0189,7.476175
5.17175,7.573425
5.24385,7.985275
5.44225,8.007775
5.45635,8.0883
5.4659,8.1342
5.483325,8.257475
5.538675,8.91385
5.554975,8.9904
5.578575,9.009575
5.61925,9.0289
5.635975,9.092025
5.70815,9.138575
5.728775,9.24215
5.827825,9.545
5.9331,10.021325
5.99475,10.038475
6.055975,10.14035
6.1054,10.308375
6.20295,10.3725
6.243975,10.41345
6.259675,10.4537
6.2792,10.585825
6.301775,10.923775
6.418425,10.934375
6.501325,10.93675
6.5659,10.97525
6.619275,10.9947
6.7727,11.02585
7.09815,11.040725
7.203825,11.07445
7.34415,11.159125
7.479375,11.18345
7.515,11.38565
7.5223,11.7412
7.544025,12.028875
7.57375,12.0462
7.592725,12.065325
7.669475,12.072875
7.7369,12.091175
7.78755,12.111525
7.9293,12.14465
7.956675,12.159775
7.9801,12.17265
8.026275,12.189125
8.04565,12.229175
8.079225,12.249075
8.200575,12.3527
8.2258,12.416575
8.4733,12.5906
8.58915,12.60335
8.61335,12.611175
8.85535,12.61915
8.866325,12.630225
8.894925,12.649525
8.9206,12.661775
8.97025,12.6759
8.972875,12.67795
9.05055,12.7051
9.056475,12.706975
9.09365,12.773075
9.369,12.795275
9.45635,12.80505
9.53075,12.838775
9.582525,12.864575
9.6086,12.87555
9.81875,12.8994
9.9227,12.924825
10.07835,12.935125
10.0985,12.96885
10.24595,12.98535
10.3226,13.16525
10.379525,13.18125
10.43425,13.203975
10.6713,13.210325
10.8906,13.220325
10.92685,13.23795
10.933175,13.245875
10.963775,13.29765
10.9835,13.31235
10.997475,13.360025
11.0735,13.38085
11.09735,13.3873
11.141425,13.452225
11.146225,13.473675
11.16845,13.5234
11.257625,13.55345
11.39165,13.565
11.397525,13.610425
11.40205,13.646625
11.4241,13.72085
11.526,13.747425
11.573375,13.763325
11.71735,13.7896
11.9288,13.815825
12.0632,13.853425
12.1195,13.87245
12.1688,13.9276
12.2243,13.948425
12.2496,14.000825
12.325325,14.025575
12.39065,14.08705
12.473425,14.33355
12.501,14.3844
12.601625,14.4936
12.613625,14.53305
12.665725,14.829725
12.694125,14.87165
12.723525,14.967425
12.746775,15.40055
12.7812,15.750975
12.872425,15.80525
12.942125,17.172525
13.17085,17.8728
13.198775,18.11415
13.28655,18.1698
13.30435,18.6743
13.355125,18.7277
13.408275,18.793425
13.540675,18.82145
13.556525,18.8348
13.581225,18.888175
13.69235,18.9192
13.714625,18.94915
13.72415,19.2572
13.742025,19.274575
13.8029,19.3372
13.984625,19.4752
14.00535,19.49525
14.2936,19.523425
14.350425,19.66405
14.468325,19.6895
14.5405,19.766125
14.583425,19.869975
14.6717,19.88005
14.8127,19.887625
14.849975,19.898975
14.878175,19.96945
14.91945,19.98015
15.050175,19.98915
15.156025,20.0331
15.280375,20.053125
15.385325,20.163975
15.390225,20.208375
15.45175,20.286025
15.497725,20.3556
15.53545,20.376575
15.63915,20.4107
15.681875,20.42865
15.753675,20.4385
15.77955,20.450275
15.828025,20.4843
15.884125,20.500875
15.90665,20.638675
15.93105,20.927125
16.059475,21.004275
16.086025,21.02015
16.281125,21.043
16.33135,21.054425
16.465525,21.062425
16.493875,21.6813
16.54115,21.6992
16.630775,21.713275
16.841275,21.73405
16.891225,21.7375
16.96195,21.744525
17.232725,21.75215
17.28225,21.805625
17.414325,21.84875
17.5146,21.90245
17.63965,22.103025
17.791525,22.11455
17.958425,22.29335
18.0129,22.72235
18.04265,22.752375
18.1374,22.795625
18.164825,22.86675
18.1948,22.8907
18.226725,22.9561
18.264075,23.126725
18.312175,23.181275
18.381475,23.319025
18.4516,23.3221
18.51425,23.33865
18.591725,23.378825
18.63245,23.3806
18.696825,23.424175
18.7617,23.44005
18.784575,23.513475
18.849175,23.53325
18.8844,23.568275
18.932775,23.652775
19.031975,23.681
19.067675,23.72235
19.162675,23.810375
19.31585,23.8393
19.332025,23.858775
19.36975,23.921275
19.442525,24.3324
19.45855,25.242375
19.5308,25.3926
19.67105,25.465375
19.689625,25.53425
19.765075,25.59075
19.7897,25.764525
19.831825,25.8393
19.8955,25.878475
19.943125,25.8838
19.9921,25.912825
20.0119,25.96305
20.027725,26.144775
20.0755,26.180375
20.13125,26.209375
20.36195,26.22115
20.372775,26.248025
20.3961,26.2757
20.582325,26.357325
20.6156,26.4539
20.621425,26.87085
20.681575,27.162725
20.73445,27.218375
20.997925,27.27105
21.00705,27.3071
