SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC15a
400.0506,400.017175,400.027475
400.093625,400.058925,400.054875
400.119925,400.11565,400.11165
400.17855,400.139925,400.130475
400.183375,400.145675,400.286475
400.413225,400.20615,400.329225
400.5501,400.2109,400.36255
400.70155,400.30235,400.37285
400.77535,400.303475,400.414325
400.82725,400.32215,400.454825
400.88635,400.374025,400.500375
401.059375,400.465225,400.515525
401.084875,400.513175,400.53045
401.26825,400.547975,400.6301
401.318275,400.604175,400.644525
401.3946,400.645625,400.659125
401.47135,400.7237,400.725775
401.476425,400.84605,400.85425
401.60135,400.964625,400.955575
401.641525,401.036925,400.96175
401.737775,401.104525,400.972875
401.743125,401.177,401.03175
401.786175,401.296525,401.048325
401.8109,401.4049,401.09025
401.848375,401.508375,401.1665
401.8652,401.600325,401.186125
401.96105,401.683225,401.235875
402.033025,401.7898,401.2811
402.1335,401.85635,401.291975
402.172825,401.88305,401.3485
402.2258,401.922775,401.369275
402.25445,402.06495,401.401375
402.28105,402.117225,401.463575
402.769325,402.17945,401.499575
402.817475,402.3127,401.5521
403.121475,402.376475,401.602125
403.157875,402.508475,401.624475
403.28055,402.5653,401.661325
403.395325,402.669525,401.76445
403.4491,402.6815,401.790375
403.515725,402.691875,401.822075
403.534025,402.849725,401.847975
403.63635,403.02825,401.868675
403.904525,403.09985,401.8919
403.992975,403.115225,402.0671
404.106925,403.2501,402.08415
404.17805,403.3182,402.149325
404.313525,403.424625,402.259575
404.55255,403.520575,402.37255
404.605075,403.612925,402.410875
404.6084,403.708825,402.42765
404.725425,403.86445,402.506525
404.763125,404.007225,402.5487
404.93445,404.096175,402.56295
405.19085,404.201,402.58725
405.24605,404.263125,402.604575
405.28485,404.316025,402.64295
405.47765,404.452675,402.741425
405.515125,404.672225,402.78745
405.63595,404.7224,402.804975
405.94345,404.7652,402.861175
406.02095,404.786075,402.929125
406.170225,404.801525,402.988425
406.183025,404.83545,403.035225
406.227975,404.934025,403.06155
406.27185,405.1042,403.111025
406.336225,405.186525,403.167575
406.5644,405.2736,403.211325
406.613875,405.36215,403.22955
406.697625,405.418125,403.27485
406.790325,405.512025,403.2998
406.843175,405.780825,403.334625
406.971125,405.853025,403.37265
407.008975,405.9645,403.414275
407.1024,406.09475,403.438575
407.1358,406.19005,403.473425
407.217575,406.20745,403.49605
407.24585,406.2816,403.523275
407.4281,406.285875,403.56015
407.472875,406.324825,403.6241
407.5549,406.512775,403.639
407.6079,406.513825,403.663825
407.70695,406.683525,403.726575
407.88745,406.823125,403.8206
408.0046,407.081025,403.837075
408.04015,407.152175,403.9407
408.075975,407.189925,403.971525
408.13295,407.19765,403.9895
408.30755,407.21715,404.007175
408.357175,407.348625,404.228325
408.484675,407.548275,404.268525
408.7198,407.680825,404.295775
408.758575,407.82345,404.3161
408.778575,407.898325,404.3379
408.80435,407.996175,404.4015
408.910175,408.051725,404.459375
409.0711,408.16715,404.50005
409.1345,408.3241,404.532075
409.293075,408.397025,404.55725
409.404675,408.469525,404.658475
409.46825,408.582975,404.701375
409.527275,408.671625,404.7167
409.772475,408.751225,404.74765
409.7913,408.7761,404.761575
409.9068,408.78635,404.77285
409.98005,408.82045,404.79185
410.03735,408.925725,404.826175
410.092925,408.9396,404.870675
410.106,408.980825,405.00755
410.180625,409.14835,405.100425
410.387275,409.217675,405.12965
410.450625,409.255,405.158575
410.531,409.33335,405.244475
410.6296,409.37415,405.263125
410.766925,409.385075,405.291675
410.993025,409.405975,405.349125
411.0405,409.483275,405.430375
411.0756,409.5019,405.4455
411.1574,409.552525,405.5147
411.244125,409.635525,405.609175
411.29785,409.7323,405.67285
411.603775,409.773225,405.7262
411.6383,409.8437,405.744475
411.75275,409.914775,405.822475
411.933725,409.95995,405.8712
412.041825,410.0493,405.9818
412.3021,410.142575,406.00075
412.3366,410.171625,406.0871
412.545875,410.26375,406.136575
412.728225,410.494025,406.147225
412.734,410.761375,406.206675
412.76725,410.8409,406.230475
413.03245,410.972375,406.266675
413.137125,411.1049,406.316825
413.371825,411.41815,406.3291
413.4795,411.487325,406.348075
413.624775,411.557675,406.407225
413.710375,411.5878,406.450075
413.891725,411.663725,406.56785
414.708875,411.856525,406.64915
414.864,411.87945,406.6743
414.92935,411.94935,406.700525
415.053875,412.04795,406.759625
415.10105,412.089775,406.81355
415.157425,412.17905,406.874575
415.19135,412.190375,406.959775
415.29135,412.34935,407.011275
415.959775,412.46175,407.02765
416.0296,412.51205,407.08345
416.1461,412.578425,407.12495
416.1844,412.6391,407.155975
416.254925,412.7016,407.27375
416.44075,412.75865,407.45445
416.445525,412.810375,407.579175
416.504375,412.8661,407.696625
416.5551,412.94705,407.7276
416.58445,413.01775,407.75405
416.664925,413.116775,407.86465
416.753175,413.1628,407.9187
416.89595,413.211225,407.929375
417.16235,413.335625,408.004475
417.2586,413.395025,408.051925
417.274475,413.4526,408.0725
417.324275,413.47515,408.17085
417.3771,413.52295,408.22305
417.5466,413.61325,408.27925
