SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC12a
400.417825,400.0799,400.007325
400.95665,401.837,400.0572
401.1663,402.63765,400.09475
401.593475,402.812725,400.097475
402.113325,403.241275,400.1222
402.167425,404.985075,400.139925
402.3471,407.291475,400.183275
402.384925,407.736075,400.18875
402.40565,408.300125,400.220825
403.094,408.90005,400.298725
403.1083,409.08675,400.329225
403.92805,409.2362,400.3332
404.0247,410.0507,400.374475
404.467025,410.595475,400.4266
404.5778,410.7512,400.509375
404.6431,411.09615,400.5504
404.71785,411.36615,400.6964
405.025625,411.5526,400.697875
405.069175,411.705475,400.736075
405.09095,411.944675,400.754275
405.144825,412.43395,400.797375
405.476375,412.872625,400.833075
405.59125,413.099425,401.039
405.7199,414.677675,401.09545
405.801425,415.22155,401.116
406.06715,416.2216,401.186625
406.5263,416.4517,401.2423
406.573625,416.784325,401.261975
406.7803,418.5822,401.277775
406.914525,418.864275,401.298375
407.028925,418.896325,401.494225
407.30825,421.465325,401.5823
407.3575,421.724625,401.620325
407.423875,422.318375,401.6514
407.5014,423.125025,401.8813
407.646525,423.296925,401.92675
407.9714,424.038625,401.93735
408.003375,424.321975,401.9401
408.057375,424.513475,401.98745
409.2976,425.0123,402.064375
409.341675,425.0689,402.071325
410.193675,425.633875,402.224575
411.238625,425.884475,402.27225
411.319625,426.2242,402.34555
411.697475,426.573575,402.476675
411.8125,427.494375,402.497425
411.9012,427.802475,402.5568
411.9242,429.005025,402.58425
411.983875,431.60605,402.60145
412.82955,431.817775,402.645575
412.878975,433.59405,402.7349
413.191375,433.596875,402.7871
413.285125,434.001075,402.9104
413.322725,435.50245,403.1093
413.381575,435.5675,403.1566
413.46155,436.6785,403.36325
413.63535,437.104425,403.45685
413.797125,438.25745,403.497275
413.838425,438.567225,403.54415
413.874775,438.578225,403.99695
413.998175,439.5437,404.046175
414.026625,441.424375,404.113275
414.106525,442.662225,404.1653
414.613125,442.7341,404.2041
414.96865,442.96005,404.21365
415.034125,443.432225,404.21845
415.312225,444.165575,404.241875
415.3586,444.936225,404.327275
415.52475,445.295975,404.347025
415.90495,445.510725,404.4237
416.180175,445.9884,404.4628
416.269275,446.3382,404.48295
416.458325,446.9237,404.5183
416.6299,447.1061,404.5402
416.812725,447.338,404.813775
416.83565,448.30295,404.83445
416.861575,448.3502,404.880275
416.88725,449.619175,404.923925
416.90915,449.66005,404.9338
417.2669,449.779825,405.091175
417.326325,450.230975,405.183925
417.348,450.57545,405.1941
417.399575,451.063025,405.270025
417.51975,451.706,405.299175
417.94065,452.060925,405.3611
417.981025,453.297075,405.4147
418.1666,453.616475,405.428975
418.236,454.831425,405.492975
418.437575,455.85245,405.5303
418.669225,456.3758,405.54265
418.6981,456.41935,405.840275
419.083475,456.592975,405.849025
419.1779,457.657725,405.869575
419.45275,457.758,405.92725
420.0952,458.295325,405.9626
421.101475,458.331025,406.105125
421.17715,460.96545,406.16725
421.223,461.241375,406.1826
421.748275,461.2714,406.31495
421.813075,461.652025,406.393275
422.061325,461.6822,406.457975
422.328325,461.768725,406.5851
422.605775,462.534125,406.630725
422.73025,464.91405,406.67
422.928225,465.495625,406.7958
423.083525,465.6982,406.873725
423.200375,466.0116,406.93065
423.589375,466.08345,407.182025
