SPK_SPKC03a,SPK_SPKC05a
0.050075,0.522075
0.7205,1.6842
0.9,2.043775
0.90485,2.35865
0.982975,3.5644
1.0828,3.683175
1.38285,3.7182
1.583925,3.73415
1.60375,3.78205
1.615025,3.874675
1.631225,4.7656
1.6345,4.824975
2.28835,4.970825
2.348775,5.662975
2.384725,5.760425
2.53775,5.818325
2.6798,5.98145
2.709425,6.009675
2.9047,6.0647
3.1693,6.77235
3.19985,6.91985
3.2862,7.007775
3.3309,7.517025
3.480975,7.6459
3.52195,7.7523
3.527875,7.8804
4.203125,7.888675
4.257575,8.243275
4.3483,8.7149
4.4721,8.9145
4.502675,8.95395
4.668575,8.99455
4.691025,9.0193
5.00575,9.0857
5.03855,9.164225
5.178475,9.198525
5.1914,9.303575
5.197475,9.375375
5.201375,9.502525
5.345175,9.505825
5.4299,10.3604
5.48915,10.72385
5.57565,11.034625
5.965875,11.192075
6.0948,11.573525
6.152725,11.9203
6.2368,12.0456
6.25155,12.621275
6.68695,12.783525
7.0298,12.987025
7.03845,13.191975
7.070275,13.58005
7.3877,13.6126
7.420125,13.673975
7.8911,13.925225
7.9076,14.3247
7.91815,14.75665
7.957475,15.2919
7.96175,15.358025
8.195225,15.4011
8.211875,15.421975
8.263325,15.438525
8.278,15.469575
8.34455,15.548725
8.6768,15.65595
8.7493,15.75735
8.7623,16.104075
9.73195,16.5346
9.811825,16.638825
9.899175,16.750075
9.948025,16.774975
10.07615,17.08785
10.1142,17.3774
10.13445,17.55215
10.33685,18.226525
10.42265,18.252575
10.440075,18.371375
10.46295,18.396175
10.55555,18.447925
10.65405,18.6341
10.675475,19.03115
10.68085,19.147525
10.746,19.234325
10.77875,19.492525
10.893475,19.829525
10.9401,20.261675
11.2508,20.526875
11.33855,20.622275
11.36885,20.70375
11.4291,21.082775
11.562125,21.796
11.575425,22.077775
11.5906,22.088175
11.91215,22.226875
12.096375,22.51405
12.12535,22.5782
12.1355,22.837825
12.332875,23.120025
12.38825,23.378175
12.707725,23.68665
12.7145,23.9118
12.782975,24.263775
12.8062,24.52375
13.04955,24.86315
13.266375,24.90165
13.3507,24.91395
13.384275,24.9278
13.5805,24.953675
13.86925,24.96995
13.877825,24.983575
13.921025,24.995325
14.0951,25.014225
14.138525,25.018675
14.173225,25.069875
14.17455,25.1274
14.1896,25.1802
14.237825,25.22345
14.260225,25.2743
14.3086,25.38545
14.39595,25.462575
14.7903,25.4802
15.13935,25.524775
15.5296,25.55275
15.670375,25.578725
15.8066,25.628325
16.001975,25.65515
16.3021,25.887775
16.34955,26.08945
16.491725,26.538975
16.496675,26.5466
17.075,26.58665
17.1367,26.608875
17.299275,26.6769
17.753925,26.993625
17.91125,27.0204
18.5616,27.092975
18.650025,27.21775
18.65335,27.320725
18.8953,27.3457
18.9452,28.0448
19.044425,28.053325
19.0702,28.1134
19.5021,28.53315
19.5202,29.09605
19.594475,29.411
19.63275,29.70335
19.645975,29.75885
19.93025,29.762125
19.9623,29.778025
20.093175,29.8005
20.18125,29.8154
20.221775,29.827925
20.252925,29.85445
20.261275,29.89785
20.285925,29.91725
20.462225,29.93525
20.669375,30.00545
20.938475,30.1654
21.0823,30.311675
21.218225,30.361775
21.2465,30.478
21.370225,30.548875
21.375125,30.782325
21.376225,31.8541
21.48115,32.20735
21.492925,32.2564
21.5202,32.27
21.566675,32.28265
21.604025,32.301475
22.084275,32.351175
22.135725,32.416175
22.1369,32.448825
22.1618,32.65125
22.372475,32.7356
22.431575,32.7494
22.6878,32.783875
22.7294,32.86145
22.9136,32.907525
23.1475,32.96235
23.20765,33.017425
23.6362,33.06885
23.688825,33.133975
23.690225,33.305175
23.75555,33.4237
23.896525,33.53345
23.98295,33.566775
23.99505,33.58425
24.044475,33.659375
24.077775,33.672175
24.316075,33.74845
24.3352,33.7637
24.464375,33.83425
24.683525,33.96315
24.731225,34.023
25.285275,34.07035
25.536775,34.09865
25.701675,34.1113
25.7246,34.184125
25.751525,34.395025
25.75885,34.4204
25.76225,34.479175
25.7635,34.560325
25.8585,34.576925
25.878025,34.593275
25.89565,34.614275
25.98645,34.64375
26.106575,34.68125
26.1107,34.718
26.165575,34.7377
26.17645,34.760675
26.186225,34.85645
26.269,34.8774
26.3225,34.951475
26.332325,35.006275
26.8169,35.04625
26.836625,35.415625
26.84235,35.4492
26.8499,35.474775
26.90735,35.5407
27.346,35.6141
27.349575,35.652225
27.4001,35.6789
27.523775,35.69845
27.68425,35.761725
27.88,35.790775
28.1104,35.8257
28.28745,35.8851
28.311475,35.926925
28.337375,35.952875
28.57055,36.1021
28.571875,36.18365
28.670025,36.23765
28.8211,36.398025
29.122275,36.4491
29.171025,36.47925
29.30245,36.533275
29.36705,36.5587
30.035625,36.591775
30.081575,36.642925
30.105425,36.71515
30.1869,36.7965
30.251275,36.8651
30.28155,37.04675
30.300975,37.09645
30.3877,37.1459
30.7147,37.177475
30.71745,37.33085
30.721375,38.233875
30.8943,40.796175
30.899125,40.814825
31.016925,40.832975
31.11665,40.855225
31.336475,40.86425
31.8157,40.88285
31.84345,40.895925
31.84625,40.9156
31.8557,40.949375
31.8665,40.958575
31.884575,40.992475
31.9949,41.0096
32.0213,41.0361
32.787275,41.09
33.2429,41.25995
34.66945,41.39355
35.174025,41.4433
35.18135,42.1652
35.731425,42.1967
35.8596,42.24135
36.96855,42.26115
37.567625,42.279375
37.631025,42.29965
37.6487,42.3178
37.664025,42.3805
37.66735,42.384075
37.676225,42.434475
37.706025,42.4869
37.714575,42.527575
37.7435,42.576775
37.812325,42.659025
37.843925,42.938525
37.862375,42.943675
37.92245,43.058875
38.079475,43.336625
38.186975,43.392
38.192,43.401125
38.237875,43.478775
38.32195,43.53235
38.3232,43.5736
38.379675,43.6487
38.3878,43.897525
38.392725,44.066575
38.4956,44.6833
38.5783,44.729275
38.607725,44.7509
38.891075,44.79305
38.91655,44.8386
38.93095,44.874725
38.940225,44.890025
38.983075,44.931325
38.99455,44.99175
39.019675,45.007975
39.4902,45.020925
39.50525,45.06945
39.60645,45.105675
39.72445,45.1304
39.833825,45.182
39.8608,45.205925
40.03835,45.2477
40.22845,45.264075
40.24295,45.470175
40.4787,45.5835
40.498625,45.76635
40.524975,45.778125
40.615575,45.792675
40.649175,45.80265
41.011575,45.828175
41.0628,45.84165
41.069575,45.86175
41.112175,45.931175
41.400475,45.9862
41.679475,46.023975
41.718625,46.0724
42.18145,46.2117
42.63095,46.2299
42.656475,46.2586
42.835175,46.3096
43.060475,46.321075
43.11795,46.359725
43.17285,46.457025
43.2574,46.5103
43.562275,46.52965
43.61365,46.569925
43.644725,46.8792
43.655975,47.097225
43.665325,47.507225
43.67165,48.184575
43.7641,48.200175
43.8128,48.222825
43.935,48.26065
43.98265,48.335525
44.0115,48.367225
44.23185,49.089775
44.348925,49.203975
45.237075,49.446325
45.274725,49.5125
45.280975,49.93895
45.292125,49.984525
45.300375,50.00245
45.3144,50.05115
45.336475,50.075025
45.39235,50.1236
45.4112,50.229025
45.439075,50.28765
45.469625,50.47455
45.6431,50.530075
45.8893,50.552225
46.0711,50.56785
46.073,50.669125
46.39555,50.700875
46.4,50.715675
46.4145,50.750525
46.42505,50.836525
46.446025,50.87285
46.448275,50.88695
46.5471,51.1025
46.55575,51.21995
46.633425,51.3458
46.6879,51.55775
46.7015,51.633525
46.78695,51.662975
46.92085,51.690575
46.93435,51.72115
46.94355,51.771975
46.96655,51.793975
47.032675,51.899325
47.1246,51.996
47.2119,52.198575
