SPK_SPKC04a,SPK_SPKC12a,SPK_SPKC16a
650.171075,650.175325,650.059275
650.2577,650.20795,650.09995
650.461425,650.228,650.162525
650.479925,650.33795,650.204375
650.5004,650.481925,650.293525
650.539875,650.5195,650.296825
650.5783,650.52075,650.35355
650.601,650.5883,650.3866
650.71045,650.59665,650.558
650.75725,650.71865,650.588075
650.81155,650.770025,650.64825
650.98875,650.777825,650.7922
651.124,650.821125,651.0494
651.249375,650.834175,651.063225
651.290825,650.930875,651.09165
651.306425,651.014425,651.153225
651.441925,651.053025,651.243625
651.47115,651.0787,651.309575
651.557525,651.140075,651.372125
651.646725,651.18795,651.65265
651.682325,651.21095,651.837825
651.7883,651.244975,651.881375
651.813675,651.256075,652.6568
651.866625,651.286275,652.725775
651.926825,651.2903,652.81735
651.933575,651.330575,653.153475
651.991125,651.430725,653.218775
651.996375,651.476075,653.257875
652.039075,651.54005,653.450925
652.061275,651.561825,653.4862
652.13715,651.630675,653.630175
652.1611,651.7781,653.715
652.2263,651.83485,653.745675
652.25905,651.838825,654.238725
652.287975,651.842225,654.538125
652.4507,651.8465,655.91765
652.53185,652.062675,655.994725
652.546925,652.173275,656.0214
652.594125,652.182,656.107675
652.62275,652.3372,656.142975
652.685625,652.427375,656.16275
652.80705,652.475475,656.317575
652.824,652.56195,656.35935
652.89795,652.739675,656.45905
652.91025,652.903975,656.62445
652.94365,652.92335,656.7068
653.20845,652.9247,656.893475
653.328375,653.0118,656.91705
653.401,653.02965,657.234125
653.655925,653.038075,657.442575
653.663075,653.091525,657.472025
653.69045,653.1,657.585
653.7192,653.120975,657.651775
653.723775,653.137425,657.809675
653.823225,653.155375,657.85325
653.990075,653.2733,657.934175
654.054275,653.28505,657.97725
654.0996,653.303725,658.058625
654.353175,653.339,658.112025
654.43495,653.40035,658.140625
654.445825,653.45065,658.2302
654.5076,653.4781,658.267725
654.53175,653.51495,658.310975
654.55235,653.5445,658.36735
654.757275,653.597475,658.4179
654.765225,653.6003,658.473075
654.779275,653.773025,658.516925
654.81315,653.82165,658.5787
654.88235,653.8684,658.714575
654.9683,653.9347,658.797275
655.3227,653.975475,658.87935
655.657425,653.977725,659.150425
655.6704,654.0082,659.185675
656.0424,654.0715,659.218025
656.096975,654.147525,659.239975
656.57505,654.276875,659.32035
656.58045,654.47535,659.41125
656.615525,654.505925,659.463
656.738325,654.5343,659.58675
656.8743,654.564425,659.611
657.11385,654.6582,659.672475
657.18355,654.7625,659.720175
657.30925,654.76675,659.83895
657.3223,654.8206,659.9215
657.333475,654.85345,660.0144
657.54115,654.887275,660.107325
657.706075,655.05225,660.11615
657.90005,655.21595,660.225825
657.943925,655.259325,660.26465
658.115375,655.314075,660.37945
658.184875,655.725075,660.557325
658.423175,655.797925,660.60515
658.4347,655.89835,660.641375
658.83285,655.93185,660.819825
658.894325,655.989825,660.91945
659.117475,656.02815,660.9594
659.32445,656.20595,660.99435
659.441525,656.249125,661.030925
659.44455,656.32215,661.1331
659.55605,656.414575,661.71205
659.574025,656.46975,661.74035
659.598775,656.493425,661.8465
659.670975,656.55685,662.980475
660.002975,656.57835,663.099325
660.10285,656.579525,663.160525
660.193525,656.69015,663.2087
660.203375,656.719075,663.39355
660.4383,656.75525,664.439
660.500625,656.770875,664.514575
660.504825,656.804225,664.585525
660.56125,656.8147,664.6015
660.6588,656.8631,664.624125
660.77895,656.896625,664.665275
660.807725,656.961075,664.8653
660.904225,656.962575,664.9533
661.07505,656.97825,665.04885
661.164925,656.9975,665.075825
661.26485,657.105825,665.151425
661.2946,657.14625,665.1962
661.334675,657.158225,665.3053
661.460425,657.16675,665.352275
661.646425,657.2689,665.432025
661.70045,657.38675,665.500575
661.71355,657.3896,665.662175
661.87555,657.4259,665.7091
661.896525,657.447575,665.74385
662.048075,657.452925,665.8555
662.20635,657.496625,666.016825
662.2937,657.5707,666.038025
662.391175,657.58395,666.9393
662.424,657.63935,666.9615
662.425025,657.6878,667.001675
663.112925,657.746675,667.03505
663.18215,657.771625,667.0577
663.561275,657.777175,667.12675
663.587325,657.874725,667.5813
663.656875,657.899725,667.637625
663.86745,657.904325,667.650225
664.065575,657.9345,667.7102
664.13675,657.945175,667.7425
664.1389,657.9602,667.90655
664.253475,657.973,667.929775
664.5051,658.08295,667.98765
664.507,658.119075,668.03095
664.63155,658.124725,668.168925
664.637225,658.16485,668.23325
664.696,658.2367,668.360925
664.81225,658.283375,668.44355
