SPK_SPKC02a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC15a
3700.1527,3700.041225,3700.230025,3700.1527,3700.041225
3700.202225,3700.097475,3701.4945,3700.202225,3700.0975
3700.249125,3700.1626,3702.193525,3700.24915,3700.162625
3700.333425,3700.1993,3702.688925,3700.333425,3700.1993
3700.36775,3700.255275,3703.0465,3700.36775,3700.230025
3700.40755,3700.3091,3703.8017,3700.40755,3700.255275
3700.46185,3700.3527,3704.12165,3700.46185,3700.309125
3700.524375,3700.386675,3704.182325,3700.524375,3700.3527
3700.56965,3700.41675,3704.301275,3700.6404,3700.3867
3700.6404,3700.4491,3704.412575,3700.6745,3700.416725
3700.6745,3700.470075,3704.67795,3700.735575,3700.449125
3700.735575,3700.48765,3705.21775,3700.8073,3700.487675
3700.8073,3700.523475,3705.254625,3700.88215,3700.523475
3700.88215,3700.576325,3706.47495,3700.95985,3700.576325
3700.95985,3700.60595,3707.7783,3701.089825,3700.60595
3701.025725,3700.6431,3707.78415,3701.12995,3700.643125
3701.089825,3700.6903,3708.414775,3701.3235,3700.6903
3701.129975,3700.725525,3708.6081,3701.422775,3700.725525
3701.2026,3700.762625,3708.83385,3701.48665,3700.76265
3701.3235,3700.799575,3709.500925,3701.529175,3700.7996
3701.379725,3700.843025,3709.6256,3701.5692,3700.843025
3701.422775,3700.888175,3709.716125,3701.610825,3700.8882
3701.48665,3700.93205,3710.021625,3701.718375,3700.932075
3701.52915,3700.9748,3710.03285,3701.82305,3700.9748
3701.569175,3701.028175,3710.1955,3701.9128,3701.028175
3701.610825,3701.071875,3710.422875,3702.007375,3701.071875
3701.718375,3701.0974,3711.131975,3702.15335,3701.0974
3701.823025,3701.13475,3711.136425,3702.20215,3701.134775
3701.9128,3701.15915,3711.876325,3702.332125,3701.15915
3702.007375,3701.2047,3711.936775,3702.42955,3701.204725
3702.04635,3701.264975,3712.163475,3702.476075,3701.265
3702.087075,3701.317575,3712.261625,3702.520525,3701.3176
3702.15335,3701.370525,3712.372675,3702.596775,3701.370525
3702.20215,3701.41055,3712.7435,3702.6142,3701.41055
3702.2784,3701.454525,3713.98255,3702.685475,3701.45455
3702.332125,3701.5279,3715.08755,3702.763975,3701.4945
3702.386575,3701.5545,3715.47325,3702.876875,3701.5279
3702.429525,3701.576225,3715.6221,3702.9376,3701.5545
3702.520525,3701.58145,3715.6761,3703.1052,3701.58145
3702.614175,3701.609275,3715.747875,3703.175475,3701.609275
3702.6855,3701.675475,3715.86995,3703.2008,3701.675475
3702.763975,3701.7121,3715.97975,3703.29885,3701.714525
3702.87685,3701.714525,3716.065275,3703.465775,3701.753225
3702.937625,3701.753225,3716.18545,3703.507,3701.82615
3703.009725,3701.826125,3716.481025,3703.621375,3701.877875
3703.04835,3701.87785,3716.53375,3703.705,3701.91795
3703.1052,3701.917925,3716.8928,3703.753025,3701.958575
3703.175475,3701.95855,3716.89705,3703.798375,3701.9868
3703.2008,3701.986775,3717.025475,3703.8438,3702.049375
3703.2526,3702.049375,3718.1092,3703.914675,3702.0874
3703.29885,3702.0874,3719.7965,3704.04315,3702.118525
3703.340525,3702.1185,3719.883425,3704.138375,3702.148475
3703.397175,3702.13855,3720.2319,3704.1946,3702.193525
3703.465775,3702.14845,3720.27975,3704.268325,3702.256725
3703.507,3702.256725,3720.750575,3704.30925,3702.29695
3703.5553,3702.2796,3720.88525,3704.3541,3702.3353
3703.62135,3702.296925,3720.910675,3704.414825,3702.37665
3703.705,3702.335275,3721.134925,3704.46805,3702.410125
