SPK_SPKC11a,SPK_SPKC13a,SPK_SPKC16a
100.015725,100.029375,100.087725
100.0683,100.0875,100.9226
100.10805,100.135,101.703325
100.1324,100.181475,102.112525
100.15915,100.220575,102.267275
100.197375,100.318,102.38425
100.23055,100.51845,102.911175
100.25225,100.574225,104.042925
100.298975,100.6081,104.10025
100.3363,100.754225,104.311375
100.4139,100.789325,104.702775
100.469025,100.84845,105.36405
100.49315,100.914325,106.284625
100.536525,100.922375,106.30615
100.58055,100.975875,106.34175
100.6295,101.08045,106.6399
100.66795,101.12685,107.04855
100.70405,101.16005,107.4619
100.75435,101.19785,107.870425
100.7925,101.226575,108.5908
100.85445,101.2632,109.159
100.891475,101.307125,109.209475
100.933225,101.340325,109.442
101.0091,101.383475,109.5687
101.057475,101.434525,109.673425
101.118525,101.4691,109.7357
101.15655,101.508775,110.2077
101.19555,101.517125,111.628675
101.228025,101.5673,111.923175
101.2554,101.59835,112.654325
101.293425,101.642175,113.3841
101.336825,101.676575,114.267525
101.362375,101.70315,114.336025
101.4083,101.7105,114.35485
101.43715,101.731075,114.7783
101.4748,101.756875,115.69545
101.505025,101.793675,116.46975
101.55305,101.83915,116.96155
101.59685,101.86965,117.02925
101.632025,101.91205,117.862425
101.669625,101.9633,118.49005
101.71165,101.9855,118.65025
101.731175,102.014725,119.078475
101.763525,102.081975,119.40735
101.789725,102.112325,119.496825
101.8316,102.165825,120.121925
101.84725,102.190125,120.386525
101.86225,102.23175,120.682875
101.91075,102.267025,120.95365
101.963675,102.310625,121.571625
102.026675,102.33985,122.121575
102.061125,102.384025,122.27865
102.109025,102.40575,123.17665
102.162525,102.44255,123.244675
102.2192,102.475,123.2755
102.2559,102.506175,123.443025
102.28285,102.54795,123.596975
102.323975,102.59205,123.7873
102.36625,102.6488,123.8025
102.41255,102.707275,123.99945
102.46115,102.74695,124.4861
102.48775,102.8092,125.030425
102.518425,102.85075,125.221975
102.55915,102.87645,125.82235
102.5862,102.910975,126.459025
102.613025,102.945025,126.648075
102.6548,102.9828,127.1555
102.6925,103.042375,127.314925
102.7314,103.08305,127.559325
102.767125,103.11185,127.8404
102.804725,103.15695,127.9707
102.84195,103.333675,128.781475
102.875575,103.355975,128.842725
102.9165,103.39535,129.156775
102.939325,103.4246,129.40865
102.979875,103.474125,131.308275
103.021975,103.51475,131.43845
103.07915,103.559775,131.6757
103.099725,103.5923,132.151375
103.135775,103.637975,132.53335
103.18895,103.674125,132.635025
103.2202,103.713275,132.778275
103.26705,103.745075,135.152825
103.29605,103.7812,135.1751
103.344725,103.81595,135.217075
103.37875,103.866725,136.3886
103.4104,103.896525,136.674175
103.450225,103.9243,137.455475
103.48445,103.960275,137.5849
103.529375,103.9811,138.770825
103.59385,104.042725,138.8188
103.631,104.100025,139.5888
103.6778,104.151825,139.62785
103.705375,104.197375,139.87
103.734725,104.2182,140.2973
103.760575,104.273325,140.857425
103.789875,104.31115,142.269525
103.821825,104.35665,142.524475
103.870975,104.392825,142.76115
103.909225,104.4415,142.8199
103.94245,104.478275,142.97445
103.975375,104.53535,143.175175
104.00355,104.56675,143.785825
104.0424,104.6024,143.920025
104.07345,104.629125,144.04795
104.12645,104.66725,145.10855
