SPK_SPKC09a,SPK_SPKC15a
400.016475,400.005775
400.064425,400.1596
400.0736,400.970325
400.086775,401.286525
400.190425,401.36225
400.193225,401.402
400.2421,402.0532
400.264375,402.147
400.289825,402.529775
400.315575,402.624375
400.4592,402.776125
400.55475,402.87235
400.559175,402.94435
400.66525,402.946725
400.667025,403.03235
400.72475,403.070825
400.726575,403.1865
400.776125,403.7276
400.77795,403.7601
400.818,403.81965
400.8594,404.0348
400.89585,404.10345
400.922125,404.1394
400.947675,404.314875
400.985825,404.5519
401.021075,404.66795
401.092275,404.775675
401.094375,404.9712
401.1663,404.9884
401.2149,405.026225
401.31555,405.035975
401.4093,405.3344
401.476075,405.56595
401.477675,405.617525
401.522775,405.804775
401.525775,405.97755
401.58235,406.05575
401.599725,406.3494
401.659625,406.892025
401.6613,406.9656
401.70955,407.0469
401.7115,407.140325
401.763,407.534
401.76615,407.57615
401.8928,407.663475
401.8949,407.67135
401.91085,407.839325
401.932575,408.20075
401.974325,408.248575
402.034525,408.360975
402.0388,408.39805
402.088875,408.531575
402.151075,408.66275
402.17355,408.75595
402.2371,408.86865
402.260275,408.96435
402.30375,409.3127
402.373375,409.422025
402.391725,409.5378
402.438525,409.9833
402.44075,410.092375
402.444925,410.12055
402.49195,410.1349
402.49375,410.1944
402.519275,410.8087
402.577075,411.051975
402.603675,411.3229
402.610025,411.4755
402.633225,411.62775
402.717875,411.660275
402.724475,411.701525
402.792975,412.015325
402.795375,412.0741
402.8456,412.136375
402.84725,412.5183
402.882125,412.675075
403.014,412.7282
403.017675,412.8291
403.0569,412.865875
403.06765,412.9458
403.162075,413.022475
403.20015,413.08095
403.223825,413.163825
403.322225,413.248025
403.340025,413.32465
403.381275,413.472875
403.468525,413.606525
403.478175,413.68475
403.48495,413.86685
403.558575,413.885175
403.5776,413.924775
403.59205,413.9749
403.63325,414.12575
403.690925,414.336025
403.7212,414.4222
403.724075,414.5569
403.861225,415.027625
403.8642,415.261
403.918725,415.535075
403.9479,415.64105
403.988,415.76615
404.060075,415.9492
404.131825,416.265525
404.137225,416.3075
404.144625,416.51725
404.175225,416.70135
404.241225,416.729725
404.245275,416.7743
404.375475,416.79085
404.482175,417.02
404.542,417.08315
404.595075,417.1506
404.708075,417.3284
404.8603,417.44565
404.8909,417.540475
404.901425,417.6612
404.951175,417.7624
404.9942,417.95765
404.997775,418.0782
405.024475,418.1237
405.0678,418.1489
405.120575,418.171725
405.2196,418.269575
405.2216,418.43145
405.2509,418.435925
405.2561,418.812125
405.31005,418.94315
405.339175,419.09725
405.34165,419.189375
405.41465,419.195375
405.417425,419.233875
405.4448,419.255025
405.44715,419.256025
405.63845,419.47605
405.66405,419.5575
405.698425,419.844725
405.7005,419.8787
405.7621,419.953025
405.860625,420.26735
405.86215,420.291175
406.040775,420.429
406.177175,420.611375
406.178775,420.8547
406.227375,421.005825
406.256025,421.3334
406.303925,421.431125
406.3481,421.5066
406.351425,422.286575
406.402575,422.379675
406.4047,422.4519
406.410425,422.52915
406.49465,422.673875
406.5342,422.8428
406.6402,422.98475
406.676575,423.058725
406.75835,423.301125
406.759925,423.331075
406.7772,423.462075
406.895675,423.7126
406.898075,423.96445
406.923125,424.2195
407.0129,424.680625
407.0147,424.694175
407.106325,425.456975
407.14235,425.49485
407.167025,425.5698
407.171275,425.617
407.199825,425.907825
407.251525,426.0525
407.312225,426.27215
407.3139,426.720775
407.315725,426.74445
407.318025,426.810225
407.3584,426.85575
407.434075,426.9358
407.593775,426.993525
407.619775,427.113875
407.64735,427.508675
407.64965,427.56345
407.6796,427.61485
407.74565,427.643575
407.7649,427.853225
407.794125,427.932225
407.837275,427.9825
407.8623,428.30135
407.865975,428.79395
407.97105,428.901175
408.018325,428.9572
408.072375,429.116075
408.11095,429.191375
408.1192,429.32855
408.236675,429.388675
408.34495,429.6645
408.348475,430.013475
408.43445,430.302875
408.56825,430.3377
408.57015,430.36905
408.6665,430.566675
408.66835,430.567775
408.775975,430.600725
408.777875,430.667175
408.851125,430.7697
408.935,430.86715
409.087775,430.937875
409.089925,431.346625
409.11205,431.448575
409.11555,431.787075
409.26295,431.80515
409.265475,432.241125
409.29385,432.2816
409.329625,432.345
409.3769,432.384825
409.410075,432.405925
409.412925,432.924075
409.444175,432.986275
409.68385,433.337825
409.68675,433.375325
409.740325,433.505625
409.772525,433.605825
409.83455,433.916925
409.838325,433.9665
409.936725,434.04505
410.0152,434.264675
410.0541,434.281425
410.1227,434.338475
410.130525,434.430225
410.15885,434.73405
410.216675,434.79825
410.291825,434.97785
410.298025,435.115975
410.353775,435.2843
410.40215,435.340625
410.4634,435.350625
410.511575,435.605475
410.5134,436.2812
410.594525,436.425775
410.59905,436.805025
410.657325,437.01975
410.704575,437.143025
410.707475,437.17625
410.75235,437.2372
410.782675,437.459775
410.791475,437.648175
410.845275,437.808925
410.88705,437.8533
410.9849,437.997175
411.0197,438.068175
411.060575,438.133475
411.135925,438.158075
411.138775,438.2506
411.175125,438.28125
411.272975,438.36685
411.3731,438.429675
411.422325,438.7044
411.464525,438.8087
411.466925,438.8504
411.49255,439.007025
411.55995,439.033675
411.612675,439.1889
411.670025,439.314575
411.704825,439.3892
411.710075,439.4746
411.762875,439.51135
411.8062,439.537475
411.893325,439.5585
411.943025,439.84815
411.990225,439.901775
411.9927,440.171375
412.091775,440.2175
412.124975,440.683225
412.1654,440.885275
412.273325,440.94395
412.4329,441.110975
412.43445,441.112275
412.44015,441.13565
412.502325,441.1878
412.507175,441.303225
412.6647,441.402225
412.6674,441.584225
412.700375,441.605675
412.71105,441.8318
412.73045,441.928725
412.8069,442.0681
412.8341,442.095275
412.839275,442.10025
412.869425,442.498175
412.893775,442.56145
412.895375,442.59075
412.8992,442.81365
412.97855,443.11595
413.040925,444.1364
413.24755,444.2294
413.312575,444.2632
413.340775,444.2764
413.430375,444.6843
413.5281,444.749175
413.579,444.8633
413.5805,444.945025
413.59965,445.003775
413.65355,445.050625
413.695175,445.09
413.74685,445.2001
413.895475,445.485875
413.945175,445.562925
413.9472,445.58735
414.006375,445.677875
414.008025,445.705
414.106875,445.828025
414.125825,446.007625
414.155,446.2082
414.15675,446.538975
414.314325,446.759275
414.346475,446.794675
414.40735,446.90275
414.478975,447.0872
414.4818,447.14775
414.56965,447.237525
414.601375,447.3948
414.6042,447.446025
414.631075,447.56725
414.69305,447.6665
414.69565,447.722475
414.778725,447.8109
414.81525,447.98005
414.85855,448.106225
414.891825,448.198875
414.91695,448.4338
414.9885,448.799025
414.98995,449.189625
415.0029,449.5527
415.038975,449.581275
415.082325,449.672125
415.109275,449.7216
415.14045,449.844875
415.198,449.92795
415.203875,450.0936
415.2268,450.269775
415.22995,450.458525
415.292375,450.70535
415.329425,450.73475
415.3315,450.960025
415.34285,451.019775
415.401425,451.020825
415.4349,451.5724
415.437575,451.7686
415.440775,451.931525
415.452,452.198675
415.501775,452.328125
415.50595,452.3443
415.54365,452.54045
415.55305,452.579325
415.568175,452.6553
415.607675,452.693325
415.6525,452.799075
415.662225,452.884275
415.705625,452.967775
415.793275,453.142425
415.79545,453.196375
415.848925,453.280125
415.8809,453.565825
415.884225,453.7158
415.926425,453.807675
415.92905,454.0295
415.95385,454.08635
416.0732,454.43235
416.091025,454.453325
416.126,454.4888
416.145425,454.533325
416.17975,454.71785
416.214125,454.770425
416.30915,454.8521
416.310925,455.0055
416.31245,455.4684
416.351775,455.529175
416.374875,455.731675
416.4267,455.775375
416.4759,455.8352
416.498625,455.901025
416.501525,455.968
416.62755,456.450425
416.663375,456.551575
416.6738,456.988775
416.677675,457.690275
416.777725,457.7988
416.800825,457.87065
416.8313,458.001075
416.910675,458.249475
417.0473,458.2818
417.1283,458.364525
417.218425,458.737225
417.28015,458.995575
417.3476,459.062675
417.39045,459.571075
417.4119,459.91275
417.441925,460.002875
417.540725,460.1773
417.5819,460.448875
417.587275,460.487025
417.61655,460.5223
417.623025,460.587825
417.70335,460.66805
417.779125,460.686775
417.8791,460.8259
417.88395,461.137925
417.9633,461.255025
418.006475,461.3926
418.04855,461.64155
418.05325,461.69
418.088775,462.06395
418.091275,462.099925
418.096975,462.195925
418.148925,462.4576
418.151275,462.512425
418.2133,462.60425
418.266675,463.041275
418.308375,463.130275
418.3269,463.264725
418.348675,463.603125
418.4104,463.892175
418.41245,464.0114
418.433875,464.06235
418.47575,464.11265
418.480425,464.312025
418.56475,464.408375
418.639825,464.5203
418.723775,464.6558
418.746975,464.76895
418.777425,464.8103
418.844525,464.8387
418.920475,464.871625
418.92985,465.29555
418.932325,465.3335
418.9666,465.3845
418.97135,465.52775
419.0265,465.583675
419.1206,465.598775
419.122725,465.702925
419.2368,465.721275
419.3227,465.73155
419.358,465.892225
419.405525,466.066725
419.4675,466.245525
419.699875,466.330975
419.702625,466.855925
419.737225,466.9927
419.8018,467.00885
419.854475,467.050875
419.943075,467.124375
419.994925,467.19385
420.01565,467.327925
420.046725,467.380525
420.09405,467.62745
420.0965,467.675025
420.147625,467.7463
420.167875,467.857875
420.215625,468.12285
420.22135,468.28555
420.302925,468.36945
420.304825,468.604825
420.3432,468.6345
420.4378,468.70025
420.505625,468.9878
420.5116,469.02725
420.540275,469.04495
420.56485,469.20675
420.636225,469.535925
420.6942,469.87835
420.7314,470.176525
420.733,470.208775
420.789475,470.468375
420.793975,470.487925
420.832075,470.6738
420.8596,470.964575
420.91615,471.21705
420.9657,471.4267
421.0805,471.466075
421.08225,471.7834
421.1533,472.033725
421.2593,472.191425
421.261,472.256225
421.29925,472.43785
421.30225,472.515525
421.395575,472.529225
421.420075,472.609225
421.421775,472.63155
421.608225,472.63595
421.627175,472.66595
421.62985,473.13085
421.680125,473.188225
421.697475,473.44315
421.730925,473.535525
421.756875,473.7798
421.812925,473.908525
421.8148,474.0999
421.8214,474.201625
421.869125,474.391125
421.912825,474.96975
421.916375,475.122675
421.96195,475.28025
422.044475,475.365425
422.102275,475.413125
422.15615,475.437175
422.1811,475.55685
422.304425,475.58995
422.3291,475.633925
422.43855,476.196825
422.543625,476.325075
422.547725,476.388425
422.7951,476.80865
422.88415,476.87135
422.9027,477.08055
422.930375,477.48785
423.010875,477.59515
423.070175,477.59625
423.07655,477.75075
423.19915,477.790825
423.28185,477.87645
423.283925,477.945625
423.322325,478.031625
423.378,478.064225
423.380025,478.134425
423.3839,478.1712
423.398925,478.2307
423.4839,478.38545
423.555875,478.501825
423.559225,478.55505
423.604875,478.5732
423.6065,478.602
423.6633,478.71145
423.6653,478.7398
423.67635,478.83395
423.728525,478.882675
423.7311,479.45005
423.761875,479.865925
423.769675,480.062
423.8574,480.111925
423.90075,480.146075
423.961575,480.505075
423.963375,480.524425
423.970575,480.604275
424.009925,480.676725
424.062,481.010325
424.086525,481.362275
424.142325,481.467975
424.144625,481.535225
424.220675,481.7995
424.2592,481.945625
424.2978,482.122925
424.29945,482.181275
424.344,482.432075
424.347725,482.45055
424.379625,482.4753
424.478825,482.546
424.4806,482.553575
424.589325,482.623125
424.62685,482.73465
424.789,483.08985
424.845725,483.25635
424.89755,483.286175
424.9092,483.39
424.949725,483.456525
424.985775,483.59945
424.990375,483.608425
425.0265,483.98225
425.028175,484.14065
425.065225,484.1841
425.066925,484.44105
425.06915,484.492
425.100625,484.5172
425.1023,484.54935
425.1044,484.5686
425.1335,484.787425
425.171725,485.326575
425.2127,485.40445
425.241575,485.4258
425.31055,485.545675
425.3153,485.679175
425.426375,485.723725
425.4298,485.788275
425.459625,485.91965
425.4614,486.011425
425.46435,486.09405
425.49225,486.11285
425.540225,486.11635
425.60685,486.23055
425.643575,486.283675
425.646025,486.33615
425.68355,486.55955
425.74195,486.64455
425.794275,486.98425
425.830875,487.148275
425.92445,487.452525
425.92805,487.487725
426.0417,487.65845
426.10395,487.78575
426.184625,487.86575
426.254025,488.0541
426.291,488.170175
426.317075,488.466775
426.436175,488.51945
426.458775,488.664525
426.50145,489.00305
426.5035,489.0459
426.542675,489.118525
426.5473,489.131375
426.569775,489.2013
426.609175,489.326125
426.610875,489.50595
426.69665,489.57875
426.70075,489.7731
426.7441,489.8751
426.810075,489.98125
426.8866,489.997775
426.893,490.044625
426.947425,490.235475
426.99695,490.2903
427.0251,490.4786
427.075425,490.697125
427.14995,490.7358
427.15345,490.79395
427.1657,490.996375
427.324,491.12515
427.325425,491.54705
427.35755,491.607575
427.388425,491.7576
427.451425,491.8052
427.515475,491.830375
427.517525,491.879175
427.553975,491.97685
427.63125,492.10145
427.707125,492.178075
427.7089,492.30115
427.726875,492.343125
427.728875,492.37955
427.7792,492.45
427.80235,492.5567
427.8051,492.5962
427.83305,492.773
427.835,492.8321
427.918325,492.95425
427.957725,492.972525
428.06385,493.1204
428.11495,493.252
428.156175,493.266175
428.249875,493.29475
428.2538,493.69925
428.257175,493.9428
428.2636,494.288675
428.320275,494.46025
428.358475,494.6974
428.359925,494.7567
428.438475,494.7885
428.4917,494.856325
428.493475,494.87255
428.6198,494.929275
428.632325,495.036025
428.69455,495.132425
428.727475,495.155225
428.729025,495.17655
428.759475,495.19475
428.842,495.240575
428.844825,495.650825
428.8783,495.765575
428.905525,495.77035
428.907375,495.812175
428.98445,495.84295
428.9965,495.924075
429.0363,496.1249
429.0968,496.20325
429.141625,496.2449
429.144275,496.382225
429.194575,496.5108
429.19745,496.54915
429.219675,496.584025
429.36475,496.76415
429.366625,496.81675
429.3907,497.180925
429.43855,497.214925
429.5116,497.29155
429.57525,497.29585
429.62255,497.3165
429.66905,497.347225
429.704725,497.5929
429.706775,497.730725
429.71,497.744025
429.75615,497.89985
429.7636,497.903225
429.83995,498.025825
429.8729,498.14325
429.907725,498.200225
429.95835,498.398625
429.995175,498.41095
430.0383,498.5751
430.1092,498.63155
430.1625,498.7921
430.174625,498.822575
430.26915,498.9553
430.282625,499.1119
430.385875,499.1377
430.400925,499.166325
430.4037,499.387425
430.483825,499.5258
430.48775,499.55345
430.538475,499.56155
430.6224,499.771325
430.684025,500.176025
430.723575,500.321275
430.80435,500.85155
430.80585,501.05225
430.843825,501.2015
430.8566,501.758075
431.034525,501.9118
431.071625,502.108
431.1276,502.14305
431.2208,502.2255
431.225525,502.422725
431.31435,502.6032
431.4018,502.873625
431.41775,503.14745
431.55055,503.232925
431.711675,503.392675
431.71355,503.46935
431.8648,503.572525
431.89815,503.669
431.937575,503.78495
431.99435,503.85945
431.9961,503.926225
432.05565,503.975
432.14065,504.046925
432.2307,504.628075
432.3559,504.6911
432.3837,504.740075
432.414125,504.94705
432.4435,504.975125
432.447375,505.103675
432.4875,505.156475
432.5395,505.19535
432.62375,505.3524
432.689,505.7308
432.693125,505.87365
432.7563,506.054975
432.758725,506.0838
432.761525,506.1185
432.81375,506.24965
432.816025,506.304625
432.818475,506.41995
432.865825,506.4229
432.89715,506.537225
432.933025,506.569925
432.97205,506.730525
433.09785,506.751225
433.100175,506.921575
433.132675,507.0146
433.2081,507.163525
433.212175,507.380775
433.264425,507.45155
433.2836,507.7315
433.44055,507.75495
433.443325,507.795825
433.503425,507.9559
433.5054,508.06455
433.53645,508.208975
433.538125,508.2512
433.631075,508.34675
433.63325,508.695925
433.684275,508.765275
433.696675,508.782475
433.742575,508.8733
433.81665,509.0099
434.067375,509.20495
434.1105,509.35995
434.153575,509.7936
434.199675,509.82225
434.202025,510.08275
434.28565,510.124775
434.415975,510.1524
