SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC04c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC12c
200.010025,200.076025,200.056525,200.220075,200.0826,200.124025,200.0143
200.03065,200.106075,200.064275,200.378,200.0894,200.23055,200.05045
200.039825,200.18005,200.09965,200.4004,200.098225,200.26925,200.107025
200.062225,200.26565,200.12205,200.492425,200.1459,200.319525,200.13205
200.0902,200.426725,200.14815,200.62835,200.2236,200.35075,200.160175
200.114025,200.5141,200.18475,200.6883,200.306525,200.3885,200.194825
200.115025,200.630125,200.233975,200.972975,200.32625,200.486375,200.218
200.12985,200.658675,200.252675,201.085225,200.4985,200.5484,200.24115
200.1556,200.700125,200.314125,201.142825,200.519075,200.60875,200.2618
200.1691,200.89345,200.325025,201.258025,200.526975,200.664425,200.28245
200.187375,200.975175,200.35055,201.313025,200.6277,200.705475,200.303125
200.203,201.049,200.36395,201.3958,200.666225,200.8172,200.332475
200.21315,201.268375,200.370075,201.466325,200.869275,200.9104,200.353425
200.23735,201.340375,200.42305,201.61575,201.0124,200.968775,200.3741
200.247225,201.39925,200.442525,201.78675,201.0251,201.017375,200.429575
200.26325,201.454425,200.4723,201.8397,201.1011,201.059225,200.465025
200.2763,201.573525,200.49745,201.89025,201.144825,201.10035,200.4884
200.28725,201.609875,200.512775,201.9436,201.19035,201.13415,200.5119
200.312525,201.8667,200.5438,202.00315,201.2011,201.190775,200.54435
200.3182,201.9902,200.58895,202.115375,201.312625,201.2849,200.5916
200.335125,202.032725,200.60765,202.195125,201.42425,201.3514,200.61305
200.356175,202.083275,200.64335,202.27015,201.560725,201.42425,200.640425
200.390725,202.12135,200.676875,202.324925,201.64255,201.492275,200.66285
200.403025,202.1695,200.727625,202.3672,201.777575,201.64045,200.68935
200.428175,202.20615,200.778775,202.44245,201.889225,201.705,200.720875
200.47425,202.252125,200.80255,202.476375,201.903225,201.801175,200.7485
200.495825,202.2862,200.828375,202.56995,201.9407,201.860625,200.791375
200.533325,202.37625,200.8776,202.615075,202.05315,201.9004,200.809825
200.55225,202.47775,200.90315,202.746075,202.113025,201.95315,200.83295
200.56105,202.535875,200.928525,202.797075,202.313875,202.00465,200.87225
200.58105,202.6462,200.96835,202.85735,202.331075,202.0899,200.9013
200.611025,202.6748,200.9916,202.9816,202.355025,202.203125,200.9256
200.631175,202.732475,201.044575,203.042425,202.425825,202.32035,200.956425
200.6331,202.75145,201.0572,203.0963,202.609275,202.35305,200.97855
200.647325,202.811325,201.080075,203.18175,202.78225,202.395275,201.001675
200.67255,202.85295,201.109175,203.33335,202.792575,202.44865,201.03135
200.6829,202.940725,201.124075,203.3885,202.7941,202.5661,201.0572
200.701125,203.0745,201.166325,203.44055,202.81725,202.5938,201.0873
200.710775,203.191375,201.18945,203.475425,202.86185,202.6382,201.116275
200.726975,203.27895,201.1979,203.501475,203.01155,202.7541,201.13625
200.744475,203.311825,201.2324,203.592125,203.1045,202.784925,201.170475
200.755725,203.383825,201.25685,203.642225,203.12825,202.83385,201.2118
200.766375,203.441125,201.2782,203.6859,203.161475,202.889275,201.229325
200.78125,203.47355,201.32825,203.8859,203.19,202.982375,201.292275
200.79195,203.51495,201.429825,203.93115,203.430425,203.026925,201.322425
200.800275,203.581825,201.463525,204.089525,203.466575,203.058725,201.359075
200.8198,203.7552,201.5002,204.225125,203.60225,203.110175,201.3814
200.82875,203.8873,201.522675,204.34715,203.61545,203.16925,201.453375
200.844575,203.942175,201.559075,204.412275,203.63975,203.366175,201.4735
200.8769,204.0729,201.60475,204.4738,203.679675,203.4323,201.504425
200.89015,204.161275,201.63905,204.540425,203.8694,203.490375,201.533825
200.9124,204.2115,201.6752,204.605075,203.882525,203.55265,201.556775
200.933125,204.39945,201.755025,204.73325,203.899775,203.588575,201.6109
200.9545,204.4285,201.857375,204.8243,203.934475,203.6249,201.63555
200.970175,204.49965,201.90325,204.88195,203.9595,203.6695,201.669975
200.98525,204.5343,201.9373,205.062825,204.095725,203.8662,201.705675
201.00345,204.574175,201.973275,205.146025,204.1283,203.92,201.777875
201.0289,204.617,201.985425,205.18825,204.15295,203.9715,201.80355
201.0732,204.64435,202.019775,205.4861,204.41865,204.06335,201.832875
201.089975,204.6529,202.0589,205.54075,204.4675,204.14705,201.85945
201.105375,204.8412,202.085175,205.601025,204.478375,204.208225,201.886425
201.133375,204.93065,202.128625,205.832025,204.517425,204.264575,201.9044
201.150975,204.9769,202.16025,205.908175,204.548825,204.349325,201.932725
201.1623,205.235825,202.19225,205.9529,204.59605,204.422825,201.964525
201.178175,205.3,202.226375,206.2269,204.6211,204.47645,201.992375
201.21255,205.467725,202.257825,206.2896,204.6474,204.5398,202.020625
201.221375,205.519075,202.279325,206.347075,204.7302,204.58935,202.052
201.2357,205.57435,202.3691,206.6301,204.7933,204.7505,202.07985
201.264875,205.610925,202.396675,206.7252,204.89385,204.8081,202.1088
201.28285,205.69465,202.419175,206.785225,205.0851,204.85845,202.141475
201.29895,205.8372,202.4523,206.84255,205.105575,204.893525,202.163275
201.315475,205.912725,202.525975,206.92195,205.1229,205.119475,202.193625
201.332775,206.07465,202.55035,207.022025,205.1466,205.164725,202.220525
201.34645,206.14585,202.555475,207.110475,205.195925,205.215,202.248575
201.3835,206.2179,202.621275,207.32165,205.242475,205.34805,202.2806
201.393725,206.25875,202.641775,207.363975,205.344725,205.45225,202.303125
201.41885,206.3389,202.673975,207.3971,205.46605,205.509025,202.328325
201.425225,206.44965,202.7185,207.49605,205.4772,205.55925,202.344475
201.437725,206.5965,202.734725,207.538975,205.538625,205.60575,202.36605
201.451,206.7278,202.7506,207.575875,205.635775,205.6852,202.39505
201.4836,206.73245,202.777575,207.62265,205.694675,205.815125,202.41835
201.500375,206.804725,202.79245,207.664,205.702325,205.851275,202.447725
201.51575,207.009325,202.809075,207.82375,205.786875,205.88935,202.493525
201.53045,207.05245,202.81735,207.90325,205.798325,205.937625,202.520525
201.5715,207.302925,202.821125,207.967875,205.80775,205.978325,202.557975
201.585075,207.431725,202.851575,208.187625,205.8756,206.114575,202.59495
201.607275,207.474975,202.8841,208.2413,205.879025,206.210725,202.6258
201.623825,207.5496,202.911125,208.2927,205.9054,206.275975,202.6512
201.65575,207.705075,202.939875,208.4565,205.9398,206.3147,202.69585
201.673975,207.824525,202.976125,208.496075,205.96385,206.360175,202.7323
