SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC06b,SPK_SPKC13a,SPK_SPKC14a
200.1682,200.06725,200.06675,200.006325,200.0115
200.27385,200.093525,200.1103,200.020975,200.0875
200.396475,200.18685,200.161675,200.058975,200.10495
200.47485,200.21805,200.23855,200.12335,200.130775
200.555875,200.23335,200.361575,200.177,200.19305
200.6587,200.290825,200.39805,200.199075,200.2164
200.7309,200.339325,200.42805,200.23,200.289775
200.926925,200.356025,200.4917,200.2443,200.326475
200.994825,200.3899,200.646625,200.2887,200.366
201.357025,200.4561,200.687525,200.300275,200.386075
201.56595,200.48085,200.73515,200.31465,200.404525
201.70355,200.510775,200.887325,200.344425,200.43885
201.730325,200.54395,200.9263,200.4074,200.494525
201.79085,200.576725,201.005225,200.4364,200.55285
201.86925,200.5969,201.23635,200.45295,200.6087
201.944275,200.6156,201.286725,200.47115,200.6328
202.004775,200.656425,201.34925,200.49355,200.66785
202.141175,200.6745,201.3957,200.533875,200.68465
202.226425,200.79075,201.442875,200.5917,200.72175
202.429375,200.828575,201.50415,200.636975,200.75795
202.507025,200.912425,201.56945,200.779825,200.781075
202.637125,201.11305,201.620475,200.813325,200.877675
202.6758,201.1541,201.69335,200.823625,200.903625
202.735675,201.173325,201.79215,200.834525,200.9322
202.790325,201.185675,201.9391,200.846,200.96205
202.8465,201.290275,202.040775,200.9464,200.990975
203.3193,201.31415,202.08685,200.9963,201.024425
203.50615,201.330725,202.133175,201.02845,201.134325
203.587775,201.357375,202.164325,201.05795,201.152375
204.2139,201.377075,202.318875,201.073275,201.195175
204.35885,201.431875,202.35505,201.084825,201.239475
204.481225,201.450925,202.4698,201.1456,201.38395
204.664825,201.4731,202.612475,201.1583,201.421325
204.8638,201.4842,202.671875,201.1655,201.474025
204.88635,201.5096,202.717825,201.208975,201.52335
205.1003,201.53895,202.927525,201.22375,201.55025
205.24825,201.55765,202.989975,201.239325,201.587175
205.308475,201.723525,203.087225,201.256675,201.62625
205.398475,201.7356,203.19175,201.2679,201.699025
205.4703,201.7548,203.355075,201.282875,201.741075
205.6288,201.826875,203.422175,201.304075,201.7788
205.720575,201.830425,203.5878,201.32835,201.802125
205.82965,201.95095,203.875075,201.35865,201.836
205.894225,201.98535,203.974775,201.372675,201.86015
205.93,202.021,204.057325,201.3978,201.919075
205.98925,202.03095,204.148925,201.419825,201.9446
206.0362,202.043225,204.207225,201.442375,202.048325
206.115975,202.218675,204.295375,201.47415,202.077575
206.219025,202.22815,204.362675,201.48915,202.107675
206.2741,202.23805,204.42095,201.5132,202.129725
206.279,202.25675,204.492975,201.53405,202.168925
206.34575,202.320775,204.54735,201.54985,202.216125
206.352725,202.343875,204.601,201.568,202.278275
206.41445,202.37105,204.710825,201.592575,202.300525
206.48065,202.45375,204.890375,201.6164,202.325675
206.65335,202.491775,204.94415,201.624025,202.38635
206.725225,202.510175,204.9924,201.632325,202.417525
206.950875,202.5337,205.10785,201.65085,202.435725
207.407775,202.55245,205.2213,201.66615,202.470525
207.471625,202.5624,205.274425,201.691075,202.537675
207.881825,202.6373,205.3298,201.72495,202.5691
208.054775,202.676,205.338825,201.75475,202.608775
208.4608,202.70275,205.438175,201.77955,202.66155
208.698125,202.730925,205.514575,201.808925,202.700625
209.062275,202.821725,205.6489,201.83215,202.783875
209.20625,202.839225,205.8117,201.86435,202.806875
209.566025,202.853325,205.874225,201.892275,202.8691
209.695825,202.877075,205.9223,201.937975,202.90235
209.771625,202.898025,205.9255,201.958975,202.9378
209.90815,202.93175,206.168075,201.99375,202.987675
210.1812,202.96615,206.3243,202.022275,203.050125
210.19715,203.089825,206.5384,202.047375,203.0906
210.225475,203.1274,206.607675,202.05965,203.11465
210.4547,203.179725,207.201525,202.0854,203.17795
210.552,203.286375,207.295175,202.14325,203.221925
210.6454,203.311875,207.400225,202.170425,203.244675
210.68455,203.3261,207.481225,202.186575,203.281175
210.76,203.345325,207.6871,202.24165,203.3232
210.8926,203.37145,207.741375,202.278625,203.348225
210.941225,203.405925,207.902075,202.34365,203.4558
210.954925,203.46815,208.0138,202.409975,203.475275
211.134875,203.4922,208.054425,202.444875,203.5088
211.2446,203.615425,208.116275,202.473575,203.540475
211.26685,203.66755,208.130275,202.50715,203.564675
211.3002,203.69545,208.193925,202.554225,203.5969
211.53305,203.7531,208.252025,202.620025,203.6339
211.67165,203.7865,208.504325,202.644025,203.671325
211.73825,203.814925,208.5515,202.658575,203.72485
211.8836,203.8276,208.6971,202.679575,203.76245
211.998125,203.849775,208.77015,202.698975,203.79955
212.05955,203.859375,208.825325,202.74665,203.817575
212.122525,203.899725,208.968975,202.7662,203.853425
212.20825,203.923425,209.2642,202.81735,203.88105
212.278675,203.9697,209.4982,202.857975,203.92915
212.35405,203.990625,209.626275,202.86765,203.995275
212.3629,204.066775,209.739075,202.88325,204.0824
212.4181,204.102925,209.83595,202.934675,204.098375
212.4936,204.1832,209.90005,202.9711,204.16085
212.541625,204.23085,209.98555,203.024975,204.205675
212.702175,204.29785,210.0571,203.047875,204.23215
212.70485,204.312525,210.155325,203.075725,204.2618
212.767175,204.33175,210.273825,203.116925,204.3353
212.815,204.401,210.35425,203.15515,204.36335
212.86935,204.45035,210.438175,203.173425,204.401725
212.93585,204.477575,210.50285,203.194225,204.41835
213.015475,204.54005,210.562075,203.208075,204.50125
213.0171,204.569375,210.6479,203.233975,204.622325
213.14525,204.59555,210.69545,203.2544,204.6781
213.2235,204.630575,210.854625,203.268175,204.7021
213.404675,204.654075,210.8987,203.29185,204.7248
213.462125,204.832525,210.9472,203.31145,204.843575
213.512,204.948975,211.071875,203.332825,204.888275
213.566225,204.980025,211.358875,203.373,204.91145
213.6389,205.005875,211.41015,203.437975,204.933425
213.850525,205.078375,211.467275,203.459775,204.962825
213.908025,205.11275,211.528575,203.478725,205.109775
213.96025,205.18335,211.589275,203.512425,205.13105
214.011925,205.2016,211.657275,203.568225,205.1934
